world_row,world_id,objective,source_role,exclude_name,mode,anchor_count,residual_mean,cancellation_mean,positive_share_mean,movement_loss_corr_mean,target_entropy_mean,residual_rz,cancellation_rz,positive_gap_rz,corr_gap_rz,anchor_energy,anchor_energy_rank,anchor_energy_quantile
10,3d35ba77dad0,inverse7blend_1040_max,inverse7blend_1040,__all__,shape,8,0.000722959876183828,7.405087159703817,0.6088168852569119,0.2723768037485921,0.8426318465198526,6.0,6.0,0.7301766039283882,1.3980598417847208,7.429206524820748,29,1.0
11,a8dc30df1cbc,frontier_random_00,random,__all__,shape,8,2.640586788791754e-05,2.497512863718157,0.6445508702658027,0.41330637296770767,0.7810423070556699,-0.9275801234566778,-0.8079870777734286,0.262738143849078,0.1477095408778043,-0.47139416348544844,12,0.41379310344827586
12,6962cd5852bc,frontier_random_01,random,__all__,shape,8,0.00010615725067364905,3.1908940814286977,0.6819170457234229,0.5567829694477011,0.8322083583027505,1.0985076244793746,0.17506674023730798,-0.2260511000770495,-1.1252384045099895,-0.6136035620947362,11,0.3793103448275862
13,e6bfbdfa87c1,frontier_random_02,random,__all__,shape,8,6.291751333150098e-05,3.7455503939146917,0.5855495608628314,0.5808287767220938,0.8532553440742185,0.0,0.961440803661587,1.0345379082225707,-1.3385767587508997,1.326690332508708,21,0.7241379310344828
14,4f54d6754a50,frontier_random_03,random,__all__,shape,8,7.721026513275223e-05,3.4272187466832715,0.5323884089849634,0.43077543548580055,0.8170458691693046,0.3631080527670437,0.5101203276934402,1.729942212098845,-0.0072788529496031875,2.2364231133174837,24,0.8275862068965517
15,c70bb0a802ed,frontier_random_04,random,__all__,shape,8,3.203122563387257e-05,2.5992234556666975,0.6282923120203604,0.5576519855097535,0.8113120776177192,-0.7846676370680934,-0.6637850382701239,0.4754173462237484,-1.1329484578415987,-0.7548419209671748,9,0.3103448275862069
16,a416a1fce3ce,frontier_random_05,random,__all__,shape,8,7.241456169755335e-05,2.8237269418455027,0.691721290248787,0.5068323847816154,0.8400612074615149,0.2412729743848079,-0.345491142203086,-0.35430102691943666,-0.6820686076122833,-1.0408264729286643,8,0.27586206896551724
17,cb089e691932,frontier_random_06,random,__all__,shape,8,0.00011935028952802474,2.6023632250919144,0.7283595862126273,0.6012548313208836,0.8388113450243567,1.43367741649052,-0.6593335731275803,-0.8335688343304049,-1.5198000723213059,-2.252802443618638,1,0.034482758620689655
18,8bbc350246a3,frontier_random_07,random,__all__,shape,8,8.459450585146718e-05,2.861333141651079,0.7517733588012614,0.577887721841317,0.8142499155426994,0.5507050463915304,-0.2921742692398794,-1.1398458364827042,-1.3124832364649874,-2.0882617239550774,3,0.10344827586206896
19,dde8304218cd,frontier_random_08,random,__all__,shape,8,2.066156816186495e-05,2.7509931583166214,0.6646362541085737,0.6401211259918395,0.8111496343674849,-1.073514336618808,-0.44861078515003716,0.0,-1.8646282265989171,-1.3809248984494957,7,0.2413793103448276
20,4f73f92bbcb0,frontier_random_09,random,__all__,shape,8,5.0888843112348726e-05,2.5916723472018184,0.7307456274006331,0.5114828677468345,0.8150053712907779,-0.30558895035670725,-0.6744907594765952,-0.8647807861552498,-0.7233284568202483,-1.900935774041969,4,0.13793103448275862
21,867fc3d20831,frontier_random_10,random,__all__,shape,8,2.2221169338189138e-05,2.7592709348344284,0.7543100237410909,0.39404258562965494,0.8135701282711163,-1.0338925930873286,-0.4368748171102064,-1.1730281068876443,0.31862102828391164,-1.4505924098558949,6,0.20689655172413793
22,f4ea2d44adb6,frontier_random_11,random,__all__,shape,8,3.707680269695252e-05,2.494064206907942,0.6085988792709144,0.35880557724930695,0.8054174349153658,-0.6564845070496576,-0.8128764736175854,0.7330283536662751,0.6312495580917757,0.2357766590945775,16,0.5517241379310345
23,8254bf184843,frontier_random_12,random,__all__,shape,8,4.785966915149243e-05,2.4200227493078748,0.6543127767141378,0.40005809022885824,0.8149537840177259,-0.3825452617594471,-0.917850095235372,0.1350420440014759,0.2652504827880524,-0.6501828098398699,10,0.3448275862068966
24,e6e102dc8a8b,frontier_random_13,random,__all__,shape,8,0.0001171656022663414,3.059457322651052,0.6108547482979352,0.44913349981069606,0.7685227437155209,1.3781753306412887,-0.011280112320876556,0.7035191919013934,-0.1701546169208462,0.6071617711200938,19,0.6551724137931034
25,fb117db632d8,frontier_random_14,random,__all__,shape,8,9.230367401615435e-05,3.6113542568471035,0.5828337614253863,0.49853389608458176,0.7690869721789091,0.746556837541236,0.7711817924034297,1.0700634480303397,-0.6084430519755087,1.537023714446015,23,0.7931034482758621
26,38768d53eec3,frontier_random_15,random,__all__,shape,8,5.2448953527551185e-05,2.8425432250825757,0.6757148911178952,0.3738288337868095,0.8129977376726083,-0.2659542695868252,-0.3188140148097997,-0.14492033346200844,0.497960756910085,-0.21475396981676564,13,0.4482758620689655
27,7200ad876873,frontier_random_16,random,__all__,shape,8,3.6368035995559616e-05,2.3722829627766053,0.7182833085260134,0.38960772292844037,0.8489504432413146,-0.6744907594765952,-0.9855340448749967,-0.7017604249411237,0.35796785907087775,-1.5083105402806813,5,0.1724137931034483
28,3d226cd68855,frontier_random_17,random,__all__,shape,8,0.00010099574088369526,2.160765339895266,0.7113729647801568,0.5059782698407098,0.8243035432571583,0.9673792179115028,-1.2854169973389031,-0.611365792537874,-0.6744907594765952,-2.2340281696150748,2,0.06896551724137931
0,c0bf242d5185,frontier_box_fit,slack,__all__,residual,8,0.00011972116523935913,3.0674135686608466,0.6216093196875689,0.34939829916794324,0.793216916644542,1.4430995319259419,0.0,0.5628379807817088,0.7147124753838892,2.3632937503995954,24,0.8275862068965517
1,15e0682b980e,pair_sensor_1bb_min,pair_sensor_1bb,__all__,residual,8,5.545986250839979e-05,3.993010094913587,0.6592211760757057,0.42995502091089877,0.8311216458876183,-0.1894619808871061,1.3122812903335428,0.07083496946291717,0.0,0.8655839563259682,18,0.6206896551724138
2,3d2adab6abd2,pair_sensor_1bb_max,pair_sensor_1bb,__all__,residual,8,6.00149196962112e-05,3.1845360140376417,0.7161986409170589,0.3157378067379189,0.8456382488203945,-0.07374053209206502,0.16605247468713216,-0.6744907594765952,1.0133538965686721,-0.11701498726897497,14,0.5
3,154255b46d2b,pair_sensor_1bb_s0p65_min,pair_sensor_1bb_s0p65,__all__,residual,8,5.366404612549219e-05,4.212507722709846,0.6205298673505328,0.41935696055728283,0.8622027102749688,-0.23508478319922968,1.6234780397376936,0.5769583633258787,0.09402773332522102,1.6064959765925297,20,0.6896551724137931
4,f590efd660f5,pair_sensor_1bb_s0p65_max,pair_sensor_1bb_s0p65,__all__,residual,8,8.548607548109028e-05,3.246503085879823,0.6908623869117543,0.3344400437699918,0.8578986217916307,0.5733554160768373,0.25390741654226656,-0.343065659436082,0.8474245757720746,0.8444326069334925,17,0.5862068965517241
5,d42d7be6d14c,pair_sensor_6b_min,pair_sensor_6b,__all__,residual,8,4.392039955454905e-05,4.762826770568751,0.6205298673505328,0.4547346499995965,0.8540267996810282,-0.4826225969402977,2.4037028674421737,0.5769583633258787,-0.21984894198635307,1.7871884459740344,21,0.7241379310344828
6,3d2adab6abd2,pair_sensor_6b_max,pair_sensor_6b,__all__,residual,8,6.00149196962112e-05,3.1845360140376417,0.7161986409170589,0.3157378067379189,0.8456382488203945,-0.07374053209206502,0.16605247468713216,-0.6744907594765952,1.0133538965686721,-0.11701498726897497,15,0.5
7,9ae600f0db62,mixmin_0c916_min,mixmin_0c916,__all__,residual,8,0.0011978589744030712,4.104512748263009,0.7259524457264144,0.4736234082640973,0.8455753043031551,6.0,1.4703662027795497,-0.8020808812854259,-0.3874331098131647,6.106977215892654,26,0.896551724137931
8,5528fcf0b22c,mixmin_0c916_max,mixmin_0c916,__all__,residual,8,0.0012547964870053068,4.154686327023202,0.5419360595978849,0.30744797983142363,0.8008657487316522,6.0,1.5415007055662422,1.6050488060382304,1.0869026033761622,9.304625636900994,28,0.9655172413793104
9,e5b3428f2f46,inverse7blend_1040_min,inverse7blend_1040,__all__,residual,8,0.0007997230808207867,6.016466339956177,0.6725961547242955,0.3695002571338627,0.8028803303695502,6.0,4.181073141711878,-0.10412395049898762,0.5363646004079369,9.299863205988888,27,0.9310344827586207
10,3d35ba77dad0,inverse7blend_1040_max,inverse7blend_1040,__all__,residual,8,0.000722959876183828,7.405087159703817,0.6088168852569119,0.2723768037485921,0.8426318465198526,6.0,6.0,0.7301766039283882,1.3980598417847208,11.92920652482075,29,1.0
11,a8dc30df1cbc,frontier_random_00,random,__all__,residual,8,2.640586788791754e-05,2.497512863718157,0.6445508702658027,0.41330637296770767,0.7810423070556699,-0.9275801234566778,-0.8079870777734286,0.262738143849078,0.1477095408778043,-1.1969775174987694,7,0.2413793103448276
12,6962cd5852bc,frontier_random_01,random,__all__,residual,8,0.00010615725067364905,3.1908940814286977,0.6819170457234229,0.5567829694477011,0.8322083583027505,1.0985076244793746,0.17506674023730798,-0.2260511000770495,-1.1252384045099895,0.44113737732531133,16,0.5517241379310345
13,e6bfbdfa87c1,frontier_random_02,random,__all__,residual,8,6.291751333150098e-05,3.7455503939146917,0.5855495608628314,0.5808287767220938,0.8532553440742185,0.0,0.961440803661587,1.0345379082225707,-1.3385767587508997,1.0863301315933112,19,0.6551724137931034
14,4f54d6754a50,frontier_random_03,random,__all__,residual,8,7.721026513275223e-05,3.4272187466832715,0.5323884089849634,0.43077543548580055,0.8170458691693046,0.3631080527670437,0.5101203276934402,1.729942212098845,-0.0072788529496031875,2.4720010841611675,25,0.8620689655172413
15,c70bb0a802ed,frontier_random_04,random,__all__,residual,8,3.203122563387257e-05,2.5992234556666975,0.6282923120203604,0.5576519855097535,0.8113120776177192,-0.7846676370680934,-0.6637850382701239,0.4754173462237484,-1.1329484578415987,-1.3735632984677375,6,0.20689655172413793
16,a416a1fce3ce,frontier_random_05,random,__all__,residual,8,7.241456169755335e-05,2.8237269418455027,0.691721290248787,0.5068323847816154,0.8400612074615149,0.2412729743848079,-0.345491142203086,-0.35430102691943666,-0.6820686076122833,-0.7131807129930849,10,0.3448275862068966
17,cb089e691932,frontier_random_06,random,__all__,residual,8,0.00011935028952802474,2.6023632250919144,0.7283595862126273,0.6012548313208836,0.8388113450243567,1.43367741649052,-0.6593335731275803,-0.8335688343304049,-1.5198000723213059,-0.6542916338462231,11,0.3793103448275862
18,8bbc350246a3,frontier_random_07,random,__all__,residual,8,8.459450585146718e-05,2.861333141651079,0.7517733588012614,0.577887721841317,0.8142499155426994,0.5507050463915304,-0.2921742692398794,-1.1398458364827042,-1.3124832364649874,-1.464513110253577,5,0.1724137931034483
19,dde8304218cd,frontier_random_08,random,__all__,residual,8,2.066156816186495e-05,2.7509931583166214,0.6646362541085737,0.6401211259918395,0.8111496343674849,-1.073514336618808,-0.44861078515003716,0.0,-1.8646282265989171,-2.3422865387807947,2,0.06896551724137931
20,4f73f92bbcb0,frontier_random_09,random,__all__,residual,8,5.0888843112348726e-05,2.5916723472018184,0.7307456274006331,0.5114828677468345,0.8150053712907779,-0.30558895035670725,-0.6744907594765952,-0.8647807861552498,-0.7233284568202483,-2.0379020345295276,3,0.10344827586206896
21,867fc3d20831,frontier_random_10,random,__all__,residual,8,2.2221169338189138e-05,2.7592709348344284,0.7543100237410909,0.39404258562965494,0.8135701282711163,-1.0338925930873286,-0.4368748171102064,-1.1730281068876443,0.31862102828391164,-2.375266298665672,1,0.034482758620689655
22,f4ea2d44adb6,frontier_random_11,random,__all__,residual,8,3.707680269695252e-05,2.494064206907942,0.6085988792709144,0.35880557724930695,0.8054174349153658,-0.6564845070496576,-0.8128764736175854,0.7330283536662751,0.6312495580917757,-0.2174887295506837,13,0.4482758620689655
23,8254bf184843,frontier_random_12,random,__all__,residual,8,4.785966915149243e-05,2.4200227493078748,0.6543127767141378,0.40005809022885824,0.8149537840177259,-0.3825452617594471,-0.917850095235372,0.1350420440014759,0.2652504827880524,-0.8032655477904739,9,0.3103448275862069
24,e6e102dc8a8b,frontier_random_13,random,__all__,residual,8,0.0001171656022663414,3.059457322651052,0.6108547482979352,0.44913349981069606,0.7685227437155209,1.3781753306412887,-0.011280112320876556,0.7035191919013934,-0.1701546169208462,1.9881571298416016,22,0.7586206896551724
25,fb117db632d8,frontier_random_14,random,__all__,residual,8,9.230367401615435e-05,3.6113542568471035,0.5828337614253863,0.49853389608458176,0.7690869721789091,0.746556837541236,0.7711817924034297,1.0700634480303397,-0.6084430519755087,2.0907851038863936,23,0.7931034482758621
26,38768d53eec3,frontier_random_15,random,__all__,residual,8,5.2448953527551185e-05,2.8425432250825757,0.6757148911178952,0.3738288337868095,0.8129977376726083,-0.2659542695868252,-0.3188140148097997,-0.14492033346200844,0.497960756910085,-0.4010047357011409,12,0.41379310344827586
27,7200ad876873,frontier_random_16,random,__all__,residual,8,3.6368035995559616e-05,2.3722829627766053,0.7182833085260134,0.38960772292844037,0.8489504432413146,-0.6744907594765952,-0.9855340448749967,-0.7017604249411237,0.35796785907087775,-1.9364177885385274,4,0.13793103448275862
28,3d226cd68855,frontier_random_17,random,__all__,residual,8,0.00010099574088369526,2.160765339895266,0.7113729647801568,0.5059782698407098,0.8243035432571583,0.9673792179115028,-1.2854169973389031,-0.611365792537874,-0.6744907594765952,-0.9452947023688462,8,0.27586206896551724
