mask_name,keep_factor,rows,relaxed,strict_submit,budget_post,best_all_minus_e95,best_e101_active_l1,best_q2s3_l1,best_post101_p95,best_e72_gap
top_tension_1,0.75,1,1,0,1,-1.064740659850738e-05,0.001500000000000223,0.001870000000000031,-3.7555085355073588e-06,2.8189256484623115e-18
top_q2s3_weighted_1,0.5,1,1,0,1,-1.064219223123608e-05,0.0016000000000002252,0.0018600000000000294,-3.7536693457841643e-06,2.8189256484623115e-18
top_tension_2,0.75,1,1,0,1,-1.0641622835483311e-05,0.0014000000000002205,0.0018600000000000307,-3.753468510905753e-06,2.8189256484623115e-18
top_q2s3_weighted_1,0.25,1,1,0,1,-1.0632256166043241e-05,0.0016000000000002252,0.0018500000000000291,-3.750164738601576e-06,2.8189256484623115e-18
top_tension_1,0.5,1,1,0,1,-1.0632155766243656e-05,0.0014000000000002248,0.0018600000000000311,-3.7501293260059544e-06,2.8189256484623115e-18
top_q2s3_weighted_3,0.75,1,1,0,1,-1.0631401431426823e-05,0.0016000000000002252,0.0018500000000000283,-3.7498632601976247e-06,2.8189256484623115e-18
top_q2s3_weighted_2,0.5,1,1,0,1,-1.0630916169929172e-05,0.0016000000000002252,0.001840000000000028,-3.7496921008003085e-06,2.8189256484623115e-18
top_tension_1,0.25,1,1,0,1,-1.0625951190834648e-05,0.001300000000000218,0.0018500000000000304,-3.7479408742273775e-06,2.8189256484623115e-18
top_q2s3_weighted_1,0.0,1,1,0,1,-1.062078570945868e-05,0.0016000000000002252,0.001840000000000029,-3.74611892733186e-06,2.8189256484623115e-18
top_tension_2,0.5,1,1,0,1,-1.0619596093941475e-05,0.001200000000000229,0.0018400000000000315,-3.7456993311431064e-06,2.8189256484623115e-18
top_tension_1,0.0,1,1,0,1,-1.0617891256781142e-05,0.0012000000000002204,0.0018400000000000306,-3.7450980081403605e-06,2.8189256484623115e-18
top_q2s3_weighted_2,0.25,1,1,0,1,-1.061383966505236e-05,0.0016000000000002252,0.001820000000000028,-3.7436689477227782e-06,2.8189256484623115e-18
top_tension_3,0.75,1,1,0,1,-1.0613287054872522e-05,0.0013000000000002226,0.0018500000000000309,-3.7434740333811504e-06,2.8189256484623115e-18
top_tension_2,0.25,1,1,0,1,-1.0605625692883258e-05,0.0010000000000002112,0.0018200000000000297,-3.740771749958601e-06,2.8189256484623115e-18
top_q2s3_weighted_5,0.75,1,1,0,1,-1.060187472712304e-05,0.0016000000000002252,0.001830000000000029,-3.73944872507e-06,2.8189256484623115e-18
e101_active,0.75,1,1,0,1,-1.0601148172972863e-05,0.0012000000000002243,0.001840000000000031,-3.7391924579417306e-06,2.8189256484623115e-18
top_q2s3_weighted_3,0.5,1,1,0,1,-1.0599602139338415e-05,0.0016000000000002252,0.0018200000000000267,-3.738647147451648e-06,2.8189256484623115e-18
top_q2s3_weighted_2,0.0,1,1,0,1,-1.0594221424908845e-05,0.0016000000000002252,0.001800000000000027,-3.736749284457461e-06,2.8189256484623115e-18
top_tension_5,0.75,1,1,0,1,-1.0589800487736944e-05,0.0012000000000002243,0.0018300000000000304,-3.735189950066461e-06,2.8189256484623115e-18
top_tension_2,0.0,1,1,0,1,-1.0588812177081408e-05,0.00080000000000022,0.0018000000000000305,-3.734841357283019e-06,2.8189256484623115e-18
top_q2s3_weighted_8,0.75,1,1,0,1,-1.0572782746520737e-05,0.0016000000000002252,0.0018000000000000294,-3.7291875238604893e-06,2.8189256484623115e-18
top_q2s3_weighted_3,0.25,1,1,0,1,-1.0565824198449647e-05,0.0016000000000002252,0.0017900000000000233,-3.726733134011287e-06,2.8189256484623115e-18
top_tension_3,0.5,1,1,0,1,-1.0561276761800187e-05,0.001000000000000229,0.0018200000000000314,-3.725129181255869e-06,2.8189256484623115e-18
top_tension_8,0.75,1,1,0,1,-1.0545428432262582e-05,0.0012000000000002243,0.0018000000000000275,-3.7195392250255554e-06,2.8189256484623115e-18
e101_active,0.5,1,1,0,1,-1.053321572075383e-05,0.0008000000000002355,0.001800000000000032,-3.715231608716506e-06,2.8189256484623115e-18
top_q2s3_weighted_3,0.0,1,1,0,1,-1.0529503282064034e-05,0.0016000000000002252,0.0017600000000000252,-3.7139221729343676e-06,2.8189256484623115e-18
top_q2s3_weighted_5,0.5,1,1,0,1,-1.0528280154575853e-05,0.0016000000000002252,0.0017800000000000257,-3.713490756543963e-06,2.8189256484623115e-18
top_tension_5,0.5,1,1,0,1,-1.051929241202565e-05,0.0008000000000002355,0.0017800000000000303,-3.7103206377408583e-06,2.8189256484623115e-18
top_tension_3,0.25,1,1,0,1,-1.0515667204336054e-05,0.0007000000000002133,0.00179000000000003,-3.709041969710733e-06,2.8189256484623115e-18
top_q2s3_weighted_13,0.75,1,1,0,1,-1.0514526428084814e-05,0.001500000000000223,0.0017500000000000302,-3.7086395999027433e-06,2.8189256484623115e-18
top_tension_13,0.75,1,1,0,1,-1.0508858115376718e-05,0.0012000000000002243,0.0017500000000000297,-3.7066402964516874e-06,2.8189256484623115e-18
e101_active,0.25,1,1,0,1,-1.0470188015587745e-05,0.00040000000000021854,0.0017600000000000306,-3.6930007412714843e-06,2.8189256484623115e-18
top_q2s3_weighted_8,0.5,1,1,0,1,-1.0463519204417793e-05,0.0016000000000002252,0.0017200000000000236,-3.690648546205134e-06,2.8189256484623115e-18
top_q2s3_weighted_21,0.75,1,1,0,1,-1.0461468246236727e-05,0.0014000000000002205,0.0016700000000000282,-3.689925140849688e-06,2.8189256484623115e-18
top_tension_3,0.0,1,1,0,1,-1.0460844638293665e-05,0.00040000000000022407,0.001760000000000031,-3.6897051844752123e-06,2.8189256484623115e-18
top_tension_5,0.25,1,1,0,1,-1.0447129147328482e-05,0.00040000000000021854,0.0017300000000000286,-3.6848675141080786e-06,2.8189256484623115e-18
top_q2s3_weighted_5,0.25,1,1,0,1,-1.044533798189029e-05,0.0016000000000002252,0.0017300000000000223,-3.6842357417577516e-06,2.8189256484623115e-18
top_tension_21,0.75,1,1,0,1,-1.0439772227477384e-05,0.0012000000000002243,0.001670000000000029,-3.682272612237824e-06,2.8189256484623115e-18
top_tension_8,0.5,1,1,0,1,-1.0426749333936058e-05,0.0008000000000002355,0.0017200000000000268,-3.6776792319250715e-06,2.8189256484623115e-18
e101_active,0.0,1,1,0,1,-1.0400031956625533e-05,2.34257058195908e-16,0.0017200000000000323,-3.668255590815123e-06,2.8189256484623115e-18
top_q2s3_weighted_5,0.0,1,1,0,1,-1.0365839785531072e-05,0.0016000000000002252,0.0016800000000000224,-3.6561954718364052e-06,2.8189256484623115e-18
top_tension_5,0.0,1,1,0,1,-1.0362204052039026e-05,2.34257058195908e-16,0.00168000000000003,-3.654913091189448e-06,2.8189256484623115e-18
top_q2s3_weighted_13,0.5,1,1,0,1,-1.034892301887691e-05,0.0014000000000002248,0.001620000000000021,-3.6502286609538574e-06,2.8189256484623115e-18
top_q2s3_weighted_8,0.25,1,1,0,1,-1.0340755795423817e-05,0.0016000000000002252,0.0016400000000000184,-3.647347952200442e-06,2.8189256484623115e-18
top_tension_13,0.5,1,1,0,1,-1.0335423130447552e-05,0.0008000000000002355,0.0016200000000000238,-3.6454670370076147e-06,2.8189256484623115e-18
top_tension_8,0.25,1,1,0,1,-1.0301174056981388e-05,0.00040000000000021854,0.001640000000000021,-3.6333868476633454e-06,2.8189256484623115e-18
top_tension_34,0.75,1,1,0,1,-1.0268314168615511e-05,0.0012000000000002243,0.0015400000000000292,-3.6217966458529645e-06,2.8189256484623115e-18
top_q2s3_weighted_34,0.75,1,1,0,1,-1.0263987805014807e-05,0.0013000000000002226,0.0015400000000000283,-3.620270669054781e-06,2.8189256484623115e-18
top_q2s3_weighted_21,0.5,1,1,0,1,-1.0230188747351043e-05,0.001200000000000229,0.001460000000000023,-3.6083492073942334e-06,2.8189256484623115e-18
top_q2s3_weighted_8,0.0,1,1,0,1,-1.0205403029872606e-05,0.0016000000000002252,0.0015600000000000197,-3.5996068932271392e-06,2.8189256484623115e-18
top_tension_21,0.5,1,1,0,1,-1.017573981088038e-05,0.0008000000000002355,0.0014600000000000238,-3.5891442072119798e-06,2.8189256484623115e-18
top_tension_8,0.0,1,1,0,1,-1.0162214151177018e-05,2.34257058195908e-16,0.001560000000000025,-3.5843734933302114e-06,2.8189256484623115e-18
top_q2s3_weighted_13,0.25,1,1,0,1,-1.0160858966434816e-05,0.001300000000000218,0.0014900000000000182,-3.5838954982598215e-06,2.8189256484623115e-18
s3_non_e101,0.75,1,1,0,1,-1.0132767322645897e-05,0.0016000000000002252,0.0014500000000000409,-3.573987131649635e-06,2.8189256484623115e-18
top_tension_13,0.25,1,1,0,1,-1.0132400255269403e-05,0.00040000000000021854,0.0014900000000000176,-3.5738576611863107e-06,2.8189256484623115e-18
q2s3,0.75,1,1,0,1,-1.0067106123945457e-05,0.0012000000000002243,0.0014100000000000408,-3.5508273894260517e-06,2.8189256484623115e-18
top_tension_55,0.75,1,1,0,1,-1.0050555710017228e-05,0.0012000000000002243,0.0014100000000000408,-3.544989796938285e-06,2.8189256484623115e-18
top_q2s3_weighted_13,0.0,1,1,0,1,-9.940767126792593e-06,0.0012000000000002204,0.0013600000000000174,-3.5062656289836984e-06,2.8189256484623115e-18
top_q2s3_weighted_21,0.25,1,1,0,1,-9.924881039680145e-06,0.0010000000000002112,0.001250000000000018,-3.500662355060171e-06,2.8189256484623115e-18
top_tension_13,0.0,1,1,0,1,-9.91300994768185e-06,2.34257058195908e-16,0.0013600000000000205,-3.4964752333500242e-06,2.8189256484623115e-18
top_tension_21,0.25,1,1,0,1,-9.842668859949555e-06,0.00040000000000021854,0.0012500000000000198,-3.471664820323013e-06,2.8189256484623115e-18
top_q2s3_weighted_34,0.5,1,1,0,1,-9.787704625119353e-06,0.001000000000000229,0.001200000000000026,-3.452278066267675e-06,2.8189256484623115e-18
top_tension_34,0.5,1,1,0,1,-9.783994690981679e-06,0.0008000000000002355,0.0012000000000000248,-3.4509695138806393e-06,2.8189256484623115e-18
