view,source,target,model,source_support_rate,target_support_rate,auc,logloss,brier,corr_benefit,mean_pred,n_source,n_target
latent_with_targetid,only_q3_e224,s2_e216,hgb_shallow,0.5022222222222222,0.5511111111111111,0.5929814755669116,0.6935253540460138,0.25003204727269046,-0.027314796997610833,0.5059720614797911,450,450
latent_no_targetid,only_s2_e216,q3_e224,lr_l2_c0p10,0.5511111111111111,0.5022222222222222,0.5924462705436158,0.7671040477510572,0.26940824525384155,0.11241652288940594,0.5173322374085707,450,450
latent_with_targetid,only_s2_e216,q3_e224,lr_l2_c0p10,0.5511111111111111,0.5022222222222222,0.5924462705436158,0.7671040477510565,0.2694082452538412,0.1124165228894075,0.5173322374085706,450,450
movement,only_s2_e216,s4_e224,hgb_shallow,0.5511111111111111,0.27111111111111114,0.5867527988804478,0.7669163042132181,0.28375423723837795,0.01363806787556665,0.5512292534100738,450,450
latent_with_targetid,only_s2_e216,s4_e224,lr_l2_c0p10,0.5511111111111111,0.27111111111111114,0.583766493402639,0.7861962540359149,0.27487069099503464,0.025638528922765805,0.4849126646312334,450,450
latent_no_targetid,only_s2_e216,s4_e224,lr_l2_c0p10,0.5511111111111111,0.27111111111111114,0.583766493402639,0.7861962540359161,0.27487069099503497,0.025638528922766697,0.4849126646312334,450,450
latent_with_targetid,s2_q3,s4_e224,hgb_shallow,0.5266666666666666,0.27111111111111114,0.5819922031187524,0.7003006510207842,0.2532701754231858,0.05515860925770758,0.4997029203268476,900,450
latent_no_targetid,s2_q3,s4_e224,hgb_shallow,0.5266666666666666,0.27111111111111114,0.5819922031187524,0.7003006510207842,0.2532701754231858,0.05515860925770758,0.4997029203268476,900,450
latent_with_targetid,only_q3_e224,s2_e216,lr_l2_c0p10,0.5022222222222222,0.5511111111111111,0.5806052379431492,0.771417497090289,0.27466873827925814,-0.002530941986031694,0.4739284457671741,450,450
latent_no_targetid,only_q3_e224,s2_e216,lr_l2_c0p10,0.5022222222222222,0.5511111111111111,0.5806052379431492,0.7714174970902888,0.27466873827925803,-0.002530941986031634,0.4739284457671741,450,450
latent_with_targetid,only_q3_e224,s4_e224,hgb_shallow,0.5022222222222222,0.27111111111111114,0.5688224710115953,0.7128924845627644,0.2584223347906599,0.07787325345755591,0.4953642972119551,450,450
latent_no_targetid,only_q3_e224,s4_e224,hgb_shallow,0.5022222222222222,0.27111111111111114,0.5688224710115953,0.7128924845627644,0.2584223347906599,0.07787325345755591,0.4953642972119551,450,450
latent_with_targetid,only_s4_e224,q3_e224,hgb_shallow,0.27111111111111114,0.5022222222222222,0.5678136852085968,0.7220793405872213,0.2612761961952749,0.06164332216598529,0.45442589394844113,450,450
latent_no_targetid,only_s4_e224,q3_e224,hgb_shallow,0.27111111111111114,0.5022222222222222,0.5678136852085968,0.7220793405872213,0.2612761961952749,0.06164332216598529,0.45442589394844113,450,450
latent_no_targetid,only_s4_e224,s2_e216,lr_l2_c0p10,0.27111111111111114,0.5511111111111111,0.5626796550622805,0.9841035476074024,0.3143231821953336,-0.025559234447243596,0.5047579887869643,450,450
latent_with_targetid,only_s4_e224,s2_e216,lr_l2_c0p10,0.27111111111111114,0.5511111111111111,0.5626796550622805,0.9841035476074023,0.31432318219533373,-0.025559234447243475,0.5047579887869647,450,450
movement,s2_q3,s4_e224,hgb_shallow,0.5266666666666666,0.27111111111111114,0.5568147740903638,0.7033971927903916,0.254538532052134,-0.011846646009879875,0.48740517621210994,900,450
movement,only_q3_e224,s4_e224,hgb_shallow,0.5022222222222222,0.27111111111111114,0.5447820871651339,0.7006731135685306,0.2534204095274005,-0.03552792950701157,0.49940683567567024,450,450
latent_with_targetid,only_s2_e216,s4_e224,hgb_shallow,0.5511111111111111,0.27111111111111114,0.535360855657737,0.7784320444589398,0.28823998835421816,0.024586259430075846,0.538841710624911,450,450
latent_no_targetid,only_s2_e216,s4_e224,hgb_shallow,0.5511111111111111,0.27111111111111114,0.535360855657737,0.7784320444589398,0.28823998835421816,0.024586259430075846,0.538841710624911,450,450
latent_no_targetid,only_s4_e224,s2_e216,hgb_shallow,0.27111111111111114,0.5511111111111111,0.5235547748323219,0.7724250656315882,0.2842630277986597,-0.009858396442252003,0.4163120668253552,450,450
latent_with_targetid,only_s4_e224,s2_e216,hgb_shallow,0.27111111111111114,0.5511111111111111,0.5235547748323219,0.7724250656315882,0.2842630277986597,-0.009858396442252003,0.4163120668253552,450,450
