tag,strategy,source,fallback,row_quantile,cell_quantile,beta,projection_scope,pred_index,cleaner_than_e85_noq2,eligible,pareto_score,margin_retention_vs_e86_e85,decontam_gain_vs_e86_to_min,hidden_retention_vs_e86_e85,world_retention_vs_e86_e85,all_delta_vs_mixmin,e72_failed_contamination_index,hidden_q2s3_mean_minus_base,world_support_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,mixmin_reversal_index,materialized_submission
e89_row_e72_fallback_73e3c821,row_e72_fallback,e86,noq2,0.7,,,,17,False,False,0.6154484531994261,0.8200901647478482,0.38042784180457584,0.2842759404892,0.3232896809915085,-2.7016806538493476e-05,0.7358514288255501,-0.0002619776090793,-0.0001876083765958,0.6388888888888888,0.9444444444444444,0.6361618886256862,False
e89_blend_e86_noq2_91221f91,blend_e86_noq2,e86+noq2,,,,,,6,False,False,0.6153685026327863,0.8607209861230133,0.3826393704063282,0.35281420752788173,0.35079559053203885,-2.717242453131874e-05,0.7356390821152815,-0.0002730482870831,-0.0001924790798781,0.7222222222222222,0.9444444444444444,0.635220747958715,False
e89_row_e72_fallback_12801003,row_e72_fallback,e86,noq2,0.6,,,,13,False,False,0.5999541713695989,0.8021293727716051,0.42977350372857004,0.24554966583137347,0.20547772996912284,-2.6948015844574513e-05,0.7311133535561263,-0.0002557223281166,-0.0001667464212515,0.6388888888888888,0.9444444444444444,0.6390931652737941,False
e89_control_a85c4e39,control,noq2,,,,,,3,False,False,0.576209288321309,0.8016262869808967,0.43712324861929147,0.2361634923566743,0.23310099139818125,-2.6946089001889103e-05,0.7304076452294868,-0.0002542062217323,-0.000171637905022,0.6666666666666666,0.9444444444444444,0.6369506941444923,False
e89_cell_e72_fallback_1c652fe0,cell_e72_fallback,e86,noq2,,0.6,,,29,False,False,0.5745281917445991,0.8011136170996798,0.4367603199604719,0.2361634923566743,0.23295405096691285,-2.6944125451677792e-05,0.7304424929392118,-0.0002542062217323,-0.0001716118850411,0.6388888888888888,0.9444444444444444,0.6369435499245082,False
e89_cell_e72_fallback_037f5012,cell_e72_fallback,e86,noq2,,0.9,,,38,False,False,0.5745188083905689,0.8009294180120765,0.43658316218191834,0.2361634923566743,0.2336165561087088,-2.694341996034577e-05,0.7304595032873685,-0.0002542062217323,-0.0001717292004116,0.6388888888888888,0.9444444444444444,0.6369239159340216,False
e89_cell_e72_fallback_1feda6c6,cell_e72_fallback,e86,noq2,,0.8,,,35,False,False,0.5745161090818368,0.8010079819469837,0.4365997432550485,0.2361634923566743,0.23338760974716038,-2.6943720863981113e-05,0.7304579112047117,-0.0002542062217323,-0.0001716886589493,0.6388888888888888,0.9444444444444444,0.63692688221155,False
e89_cell_e72_fallback_2e6e1825,cell_e72_fallback,e86,noq2,,0.7,,,32,False,False,0.5744815543952507,0.8010558664844152,0.4366528801912584,0.2361634923566743,0.2329569530222307,-2.694390426405402e-05,0.7304528090985988,-0.0002542062217323,-0.0001716123989325,0.6388888888888888,0.9444444444444444,0.6369325582418947,False
e89_project_away_e72_9c322c06,project_away_e72,e86,,,,0.15,e86_active_top80cell,47,False,False,0.5737321754165163,0.8820399097310055,0.2697236523275715,0.6606020222283757,0.4842546854469672,-2.7254077030303137e-05,0.7464810315490988,-0.0003227638684257,-0.0002161118068998,0.7777777777777778,1.0,0.6677298166382226,False
e89_project_away_e72_d17157dc,project_away_e72,e86,,,,0.15,e86_active,41,False,False,0.5274789708092006,0.8164376799477892,0.22114731853839759,0.735031038832921,0.36031306947129293,-2.7002817346688524e-05,0.7511452374150627,-0.0003347860527115,-0.000194164420108,0.7777777777777778,1.0,0.6592494873384616,False
e89_project_away_e72_693495a0,project_away_e72,e86,,,,0.25,e86_active,42,False,False,0.4430180959722349,0.67019530814022,0.3753806727331033,0.557156810509932,-0.1045923933087258,-2.6442702054985112e-05,0.7363360482637284,-0.000306054828652,-0.0001118396905736,0.7777777777777778,1.0,0.6798682643846068,False
e89_control_5445ec28,control,inverse_top,,,,,,5,False,False,0.41798268520284376,-1.3027509460090232,-1.6250615604522793,0.9909379631395487,1.7679309964842902,-1.888622336143619e-05,0.9284146526112742,-0.0003761215471783,-0.0004434231929264,0.7777777777777778,1.0,0.5639522680079594,False
e89_control_acd7add0,control,noover,,,,,,4,False,False,0.3290918098975377,0.09885817290652756,0.0,0.5524359702055683,0.6690597564720487,-2.4254453449557012e-05,0.7723793763446426,-0.000305292292551,-0.0002488367987675,0.7777777777777778,1.0,0.6270625307172759,False
e89_control_58b23ed1,control,e85,,,,,,1,False,False,0.22430805372096296,0.0,0.3916766593282964,0.0,0.0,-2.387582191021309e-05,0.7347713390660593,-0.0002160597950265,-0.0001303607473902,0.6388888888888888,0.9444444444444444,0.6247787204483503,False
