pair,set,top_n,actual_direction,known_status,family,actual_delta,n_cells,n_rows,n_subjects,n_blocks,swing_sum,top_swing_share,row_coverage,subject_coverage,block_coverage,between_train_runs_rate,edge_like_rate,is_weekend_rate,flank_conflict_rate,both_flanks_rate,e72_active_rate,e101_active_rate,all_veto_null_rate,all_safe_density_mean,broad_low_alpha_mass_mean,e101_plausible_mass_mean,target_Q1,target_Q2,target_Q3,target_S1,target_S2,target_S3,target_S4,context_between_train_runs,context_after_train_run,context_before_train_run,context_isolated,pos_single,pos_left_edge,pos_right_edge,pos_near_edge,pos_interior,block_len_1-2,block_len_3-5,block_len_6-10,block_len_11-16,q_share,s_share,q2s3_share
e101_vs_mixmin,top16,16,new_won,known,mixmin_relative_success,-6.2745000000141715e-06,16,16,8,13,0.000476510074999195,0.07315182456222152,0.064,0.8,0.3611111111111111,0.6938109998043884,0.6719466337861592,0.17580642160327303,0.18579934896893943,0.6938109998043884,1.0,1.0,0.1905895115296294,0.01060490474804641,0.11128304718412943,0.001419159232545631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6938109998043884,0.30618900019561157,0.0,0.0,0.06960764168006463,0.188470041110925,0.13505919108534672,0.2788097599098229,0.32805336621384074,0.13372260317510648,0.12529207678468307,0.2509998884467597,0.48998543159345076,0.0,1.0,1.0
e101_vs_mixmin,top33,33,new_won,known,mixmin_relative_success,-6.2745000000141715e-06,33,32,10,21,0.0008132121002989173,0.04286407124987358,0.128,1.0,0.5833333333333334,0.5984615987088,0.6085811234754097,0.20386961323787217,0.17437953885319868,0.5984615987088,0.9611026193521346,0.8851154373483499,0.25553032215796384,0.029975529079730247,0.12987772186152513,0.0014250763460665061,0.0,0.0,0.0,0.037992786305516967,0.07689177634613303,0.8851154373483499,0.0,0.5984615987088,0.40153840129119983,0.0,0.0,0.04078732048538462,0.15373458253740327,0.14323738274726544,0.2708218377053562,0.39141887652459034,0.11635054367569643,0.12948377036326833,0.24121427214932412,0.5129514138117109,0.0,0.9999999999999999,0.8851154373483499
e72_vs_mixmin,top4,4,new_lost,known,q2s3_gate_fail,0.0001011367,4,4,4,4,0.00011365459139147456,0.2531383987193451,0.016,0.4,0.1111111111111111,0.7521503316008494,0.2478496683991506,0.2467563013074238,0.2467563013074238,0.7521503316008494,1.0,1.0,0.25225563157408065,0.0,0.13573189941031394,0.0018528450591793213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7521503316008494,0.2478496683991506,0.0,0.0,0.0,0.2478496683991506,0.0,0.0,0.7521503316008494,0.0,0.0,0.25225563157408065,0.7477443684259195,0.0,1.0,1.0
e72_vs_mixmin,top16,16,new_lost,known,q2s3_gate_fail,0.0001011367,16,16,8,14,0.00041376118498633155,0.06953368831078187,0.064,0.8,0.3888888888888889,0.5810651476591594,0.6132597656730959,0.12276453824598932,0.19020152993147257,0.5810651476591594,1.0,0.9434919444315204,0.18951136560000628,0.010856168867379378,0.13666395171638762,0.0062972253840388424,0.0,0.056508055568479584,0.0,0.0,0.0,0.9434919444315203,0.0,0.5810651476591593,0.4189348523408407,0.0,0.0,0.06593406709942863,0.18785092515684493,0.1328341660230933,0.22664060739372902,0.38674023432690396,0.13156811714065497,0.067200115981867,0.1890611835438155,0.6121705833336625,0.056508055568479584,0.9434919444315203,0.9999999999999999
e72_vs_mixmin,top33,33,new_lost,known,q2s3_gate_fail,0.0001011367,33,33,9,19,0.000760646473644633,0.03782353861983534,0.132,0.9,0.5277777777777778,0.5591549986530475,0.46857290021981457,0.17553999705382825,0.18476610145214412,0.5591549986530475,1.0,0.7827691552537333,0.18054070014207219,0.012486694570361445,0.18316826706023492,0.017451233236059942,0.0,0.24242655355357703,0.0,0.0,0.0,0.7575734464464232,0.0,0.5591549986530476,0.4408450013469526,0.0,0.0,0.03586548900083812,0.12708876958856696,0.09706320180971892,0.2085554398206905,0.5314270997801857,0.07156778075062858,0.14573749121707355,0.18426757494419804,0.5984271530881,0.24242655355357703,0.7575734464464232,1.0000000000000002
e72_vs_e95,top4,4,new_lost,known,q2s3_gate_fail,0.0001164474,4,4,3,3,9.294155785733284e-05,0.2521034779865467,0.016,0.3,0.08333333333333333,0.49982144853042143,0.7484350319457992,0.24861358341537781,0.2521034779865467,0.49982144853042143,1.0,0.0,0.24861358341537781,0.13131449100022294,0.15617130031124596,0.026492578067786616,0.0,0.2515649680542007,0.0,0.2477179705438747,0.5007170614019245,0.0,0.0,0.49982144853042143,0.5001785514695785,0.0,0.0,0.0,0.24861358341537781,0.2521034779865467,0.2477179705438747,0.2515649680542007,0.2521034779865467,0.2477179705438747,0.0,0.5001785514695785,0.2515649680542007,0.7484350319457992,0.2515649680542007
e72_vs_e95,top16,16,new_lost,known,q2s3_gate_fail,0.0001164474,16,16,7,11,0.0003667901460536835,0.06388091457040429,0.064,0.7,0.3055555555555556,0.5627960706848493,0.687601912545514,0.31189335427388104,0.06388091457040429,0.5627960706848493,1.0,0.0,0.623699009451166,0.28551978022323277,0.08697536808496818,0.010586072412645014,0.0,0.06374446065371003,0.0,0.18715814882514575,0.7490973905211442,0.0,0.0,0.5627960706848493,0.4372039293151507,0.0,0.0,0.06269276415898091,0.18733177167942133,0.1883456355002987,0.24923174120681305,0.312398087454486,0.1265736787293852,0.3115893678612482,0.18682198179786394,0.37501497161150266,0.06374446065371003,0.9362555393462899,0.06374446065371003
e72_vs_e95,top33,33,new_lost,known,q2s3_gate_fail,0.0001164474,33,32,7,16,0.0007509688975039074,0.031200879374900545,0.128,0.7,0.4444444444444444,0.5758561886285104,0.5465519222420883,0.3027119440041853,0.12165927882521295,0.5758561886285104,1.0,0.0,0.6658417502439328,0.3305549930846201,0.1340285415787722,0.011901486631432218,0.0,0.031134232204558018,0.0,0.3019589532324569,0.666906814562985,0.0,0.0,0.5758561886285105,0.4241438113714896,0.0,0.0,0.03062055991774559,0.2121048062286462,0.12203059452030338,0.1817959615753931,0.4534480777579117,0.09198173171363622,0.21241428189331726,0.15141506564482798,0.5441889207482185,0.031134232204558018,0.9688657677954419,0.031134232204558018
e176_vs_e95_pending,top4,4,pending_new_better,pending,pending_broad_q2_underopen,,4,4,2,3,1.939105676195335e-05,0.30075502474434807,0.016,0.2,0.08333333333333333,1.0,1.0,0.2303235758897388,0.23367517948483973,1.0,0.6992449752556519,0.0,1.0,0.4388235040695057,0.020690582165358382,0.0050989898003342225,0.0,0.0,0.6992449752556519,0.30075502474434807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30075502474434807,0.23367517948483973,0.2352462198810734,0.2303235758897388,0.0,0.5344302042291879,0.4655697957708122,0.0,0.0,0.6992449752556519,0.30075502474434807,0.0
e176_vs_e95_pending,top16,16,pending_new_better,pending,pending_broad_q2_underopen,,16,16,6,12,6.69824967713424e-05,0.08706689116365496,0.064,0.6,0.3333333333333333,0.8845853462155712,0.7605759142877284,0.2996451557830319,0.18127346235731426,0.8845853462155712,0.3827504638226503,0.0,1.0,0.41363613766575685,0.008998442568096832,0.0017327248850820644,0.05660718083859632,0.0,0.2623732137148042,0.4394839570084368,0.05964205672638793,0.05876001249477961,0.12313357921699514,0.8845853462155711,0.11541465378442883,0.0,0.0,0.08706689116365496,0.24399813857591307,0.18565557979737057,0.2438553047507898,0.23942408571227156,0.21466026280626402,0.3129478778351463,0.2311298523704733,0.2412620069881164,0.31898039455340055,0.6810196054465995,0.05876001249477961
e176_vs_e95_pending,top33,33,pending_new_better,pending,pending_broad_q2_underopen,,33,30,8,16,0.00012493077144709014,0.046681515600263866,0.12,0.8,0.4444444444444444,0.8046920790702534,0.6748066925592621,0.2930798287197601,0.12332320702837006,0.8046920790702534,0.3729432896090111,0.0,1.0,0.3950883051131845,0.00913483670074907,0.001675501496455377,0.1454486503308081,0.05337530835521522,0.14067321234770092,0.3942980123081856,0.08614466584278874,0.0865417816899979,0.09351836912530367,0.8046920790702535,0.19530792092974666,0.0,0.0,0.07486686051831094,0.21198280541652162,0.17890661368958888,0.20905041293484053,0.32519330744073816,0.143276928791325,0.24875880127558403,0.230811375782723,0.37715289415036807,0.33949717103372423,0.660502828966276,0.13991709004521313
