category,value,broad_count,e101_count,pred_e101_mean,pred_vs_e95_e101_mean,e101_residual_mean,e101_rate,enrichment_vs_base
alpha_group,alpha_2_4,1028,6,-2.830551213427644e-05,-1.2994812134227914e-05,-2.203101213426227e-05,0.005836575875486381,0.35347122670489456
family,deterministic,28,5,-1.886701924533302e-05,-3.5563192452844946e-06,-1.259251924531885e-05,0.17857142857142858,10.814536340852131
gamma_group,deterministic,28,5,-1.886701924533302e-05,-3.5563192452844946e-06,-1.259251924531885e-05,0.17857142857142858,10.814536340852131
gamma_group,gamma_1,908,5,-3.2388392712271816e-05,-1.707769271222329e-05,-2.6113892712257644e-05,0.005506607929515419,0.33348790478398643
mask_name,s1,3,3,-1.2847425910754299e-05,2.4632740892942276e-06,-6.5729259107401285e-06,1.0,60.56140350877193
mask_name,e95_fallback_cells,324,2,-3.525063254457228e-05,-1.9939932544523752e-05,-2.8976132544558108e-05,0.006172839506172839,0.3738358241282218
mask_name,s1s2s3,435,2,-3.293205483634958e-05,-1.7621354836301058e-05,-2.665755483633541e-05,0.004597701149425287,0.27844323452308933
mask_name,e95_moved_vs_mixmin,441,2,-3.3582191625821125e-05,-1.82714916257726e-05,-2.7307691625806957e-05,0.0045351473922902496,0.2746548911962446
mask_name,e86_moved_vs_mixmin,454,2,-2.9501012199189437e-05,-1.4190312199140908e-05,-2.3226512199175266e-05,0.004405286343612335,0.26679032382718915
winner_live,e89,652,2,-3.527277546991935e-05,-1.996207546987082e-05,-2.899827546990518e-05,0.003067484662576687,0.1857711764072759
mask_name,s2,1,1,-1.4715555469314615e-05,5.9514453073391e-07,-8.441055469300446e-06,1.0,60.56140350877193
mask_name,q2,3,1,-1.7406620634755586e-05,-2.09592063470706e-06,-1.1132120634741416e-05,0.3333333333333333,20.18713450292398
winner_live,e85,9,1,-1.7585237733431314e-05,-2.2745377333827847e-06,-1.131073773341714e-05,0.1111111111111111,6.7290448343079925
winner_live,noq2,21,1,-1.6850377368615983e-05,-1.5396773685674563e-06,-1.0575877368601812e-05,0.047619047619047616,2.883876357560568
winner_future,e86,139,1,-3.062073308246789e-05,-1.5310033082419363e-05,-2.434623308245372e-05,0.007194244604316547,0.4356935504228197
mask_name,live_q2s1s2s3,465,1,-3.014675130149283e-05,-1.4836051301444302e-05,-2.3872251301478658e-05,0.002150537634408602,0.1302395774382192
gamma_group,gamma_2,744,1,-4.158244717349883e-05,-2.62717471734503e-05,-3.5307947173484656e-05,0.0013440860215053765,0.08139973589888702
alpha_group,alpha_gt_4,1389,1,-4.170420804139118e-05,-2.6393508041342658e-05,-3.542970804137701e-05,0.0007199424046076314,0.04360072246851831
mask_name,q2s3,368,0,-4.426747729689952e-05,-2.8956777296850995e-05,-3.799297729688535e-05,0.0,0.0
winner_live,e90,6,0,-4.104474063954305e-05,-2.573404063949452e-05,-3.477024063952888e-05,0.0,0.0
mask_name,e72_top20_abs,2,0,-2.5070430437860653e-05,-9.759730437812128e-06,-1.8795930437846485e-05,0.0,0.0
mask_name,e89_moved_vs_mixmin,2,0,-1.7984571616714895e-05,-2.6738716166663696e-06,-1.1710071616700727e-05,0.0,0.0
mask_name,e90_moved_vs_mixmin,2,0,-1.7471643891333267e-05,-2.160943891284743e-06,-1.1197143891319098e-05,0.0,0.0
mask_name,e95_fallback_q2s3,2,0,-3.408531007053573e-05,-1.87746100704872e-05,-2.7810810070521556e-05,0.0,0.0
winner_live,e86,1,0,-2.1754523286907043e-05,-6.443823286858516e-06,-1.5480023286892872e-05,0.0,0.0
