support_variant,slice,n_rows,shape_accuracy,support_accuracy,both_correct,support_rescue,shape_only_win,both_wrong,support_rescue_rate,shape_only_win_rate,e72_neighbor_share,exact_e95_e101_share
shape_support_keep_hard_only,micro,32,0.75,0.625,18,2,6,6,0.0625,0.1875,0.375,0.125
shape_support_keep_hard_only,e95_edge,28,0.7857142857142857,0.6428571428571429,16,2,6,4,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.14285714285714285
shape_support_keep_hard_only,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_keep_hard_only,e72_frontier_neighbor,12,0.5,0.6666666666666666,6,2,0,4,0.16666666666666666,0.0,1.0,0.0
shape_support_keep_mean_only,all,264,0.7954545454545454,0.7878787878787878,186,22,24,32,0.08333333333333333,0.09090909090909091,0.045454545454545456,0.015151515151515152
shape_support_keep_mean_only,frontier,60,0.8333333333333334,0.8,38,10,12,0,0.16666666666666666,0.2,0.2,0.06666666666666667
shape_support_keep_mean_only,micro,32,0.75,0.6875,16,6,8,2,0.1875,0.25,0.375,0.125
shape_support_keep_mean_only,e95_edge,28,0.7857142857142857,0.7142857142857143,14,6,8,0,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.14285714285714285
shape_support_keep_mean_only,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_keep_mean_only,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_no_q2s3_targets,all,264,0.7954545454545454,0.8257575757575758,196,22,14,32,0.08333333333333333,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_no_q2s3_targets,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_no_q2s3_targets,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_no_q2s3_targets,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_no_q2s3_targets,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_no_q2s3_targets,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_public_axis,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_public_axis,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_public_axis,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_public_axis,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_public_axis,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_public_axis,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
