context,state_scope,safety_scope,overlap_kind,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure,best_changed_cells
raw05_compatible,all,low_adverse75_nonactive,hard,sign,12,12,0,3,0,0,-1.7640928759998786e-05,-4.66515581222998e-05,-1.3351394994500129e-05,0.0007889140929277224,143
raw05_compatible,all,low_adverse75_nonactive,state_soft,sign,12,12,0,3,0,0,-1.7640928759998786e-05,-4.66515581222998e-05,-1.3351394994500129e-05,0.0007889140929277224,143
raw05_compatible,all,low_adverse75_nonq2s3,hard,sqrt,12,11,0,3,0,0,-1.601375977078323e-05,-4.662581670883019e-05,-1.3648077077146286e-05,0.0007824435463394764,170
raw05_compatible,all,low_adverse75,hard,sign,12,12,0,3,0,0,-1.7721919588153945e-05,-4.647186392301111e-05,-1.3302232375265271e-05,0.0007889140929277224,145
raw05_compatible,all,low_adverse75,state_soft,sign,12,12,0,3,0,0,-1.7721919588153945e-05,-4.647186392301111e-05,-1.3302232375265271e-05,0.0007889140929277224,145
raw05_compatible,non_q2s3,low_adverse75,state_soft,sqrt,12,10,0,3,0,0,-1.623632245917328e-05,-4.641163409660979e-05,-1.380699711259838e-05,0.0007889140929277224,120
raw05_compatible,all,low_adverse75_nonq2s3,state_soft,sqrt,12,11,0,3,0,0,-1.5919532663888347e-05,-4.618864286409815e-05,-1.3876225651295427e-05,0.0007824435463394764,170
raw05_compatible,non_q2s3,veto_null_nonactive,hard,sqrt,12,11,0,3,0,0,-1.59356303889302e-05,-4.5019081189780495e-05,-1.3556814994895346e-05,0.0007824435463394764,166
raw05_compatible,all,veto_null,hard,sign,12,12,0,3,0,0,-1.768940548796394e-05,-4.491652579938524e-05,-1.3555122468117006e-05,0.0007889140929277224,138
raw05_compatible,all,veto_null,state_soft,sign,12,12,0,3,0,0,-1.768940548796394e-05,-4.491652579938524e-05,-1.3555122468117006e-05,0.0007889140929277224,138
raw05_compatible,all,veto_null_nonactive,hard,sign,12,12,0,3,0,0,-1.79153718284919e-05,-4.476340818631911e-05,-1.3513230949419583e-05,0.0007889140929277224,136
raw05_compatible,all,veto_null_nonactive,state_soft,sign,12,12,0,3,0,0,-1.79153718284919e-05,-4.476340818631911e-05,-1.3513230949419583e-05,0.0007889140929277224,136
raw05_compatible,non_q2s3,veto_null_nonactive,state_soft,sqrt,12,11,0,3,0,0,-1.5974802544005406e-05,-4.471568658982992e-05,-1.384134964008732e-05,0.0007889140929277224,111
raw05_compatible,all,veto_null_nonq2s3,hard,sqrt,12,11,0,3,0,0,-1.5822313268687438e-05,-4.362741774332997e-05,-1.34086399085679e-05,0.000782515676825051,159
raw05_compatible,all,veto_null_nonq2s3,state_soft,sqrt,12,11,0,3,0,0,-1.5851218678863965e-05,-4.335193140192176e-05,-1.3686039086836809e-05,0.000782515676825051,159
raw05_compatible,all,low_adverse75_nonq2s3,hard,sign,12,12,0,3,0,0,-1.3542721586268236e-05,-4.2193058739994755e-05,-1.2356839356878574e-05,0.0007889140929277224,113
raw05_compatible,all,low_adverse75_nonq2s3,state_soft,sign,12,12,0,3,0,0,-1.3542721586268236e-05,-4.2193058739994755e-05,-1.2356839356878574e-05,0.0007889140929277224,113
raw05_compatible,non_q2s3,low_adverse75,hard,sign,12,12,0,3,0,0,-1.3558084425491224e-05,-4.196006708481692e-05,-1.2280642937932238e-05,0.0007889140929277224,120
raw05_compatible,non_q2s3,low_adverse75,state_soft,sign,12,12,0,3,0,0,-1.3558084425491224e-05,-4.196006708481692e-05,-1.2280642937932238e-05,0.0007889140929277224,120
raw05_compatible,all,veto_null,hard,raw,12,7,0,3,0,0,-1.852219553122314e-05,-4.0951129619993424e-05,-1.285168766928958e-05,0.0007889140929277224,138
raw05_compatible,all,veto_null_nonactive,hard,raw,12,7,0,3,0,0,-1.8439668969194578e-05,-4.071122880178303e-05,-1.2780073702076371e-05,0.0007889140929277224,136
raw05_compatible,all,veto_null,state_soft,raw,12,7,0,3,0,0,-1.791854034616236e-05,-4.0318903145929424e-05,-1.3066643047580989e-05,0.0007889140929277224,138
raw05_compatible,non_q2s3,veto_null_nonactive,hard,sign,12,12,0,3,0,0,-1.3608970781620044e-05,-4.0097188738379484e-05,-1.2349830406099335e-05,0.0007889140929277224,111
raw05_compatible,non_q2s3,veto_null_nonactive,state_soft,sign,12,12,0,3,0,0,-1.3608970781620044e-05,-4.0097188738379484e-05,-1.2349830406099335e-05,0.0007889140929277224,111
raw05_compatible,all,veto_null_nonactive,state_soft,raw,12,7,0,3,0,0,-1.7838997533492496e-05,-4.0078888260888554e-05,-1.2991996251681615e-05,0.0007889140929277224,136
raw05_compatible,all,veto_null_nonq2s3,hard,sign,12,12,0,3,0,0,-1.2937830285553176e-05,-3.8806652289989384e-05,-1.2355479783528046e-05,0.0007889140929277224,104
raw05_compatible,all,veto_null_nonq2s3,state_soft,sign,12,12,0,3,0,0,-1.2937830285553176e-05,-3.8806652289989384e-05,-1.2355479783528046e-05,0.0007889140929277224,104
all,all,veto_null_nonactive,state_soft,raw,9,2,0,3,0,0,-2.4099050578096914e-05,-3.727453011159311e-05,-9.357927226530283e-06,0.0007827616445844975,216
all,all,veto_null_nonactive,hard,raw,9,2,0,3,0,0,-2.429169507511819e-05,-3.721620959704754e-05,-9.439252180431558e-06,0.0007822196948177023,216
raw05_compatible,non_q2s3,low_adverse75,hard,raw,12,5,0,3,0,0,-1.2779917699989873e-05,-2.459235343826191e-05,-7.894166126059111e-06,0.0007889140929277224,120
raw05_compatible,all,low_adverse75_nonq2s3,hard,raw,12,5,0,3,0,0,-1.2412124477667597e-05,-2.3707633850526708e-05,-7.652554998556677e-06,0.0007889140929277224,113
raw05_compatible,non_q2s3,veto_null_nonactive,hard,raw,12,5,0,3,0,0,-1.2315023831033223e-05,-2.350753678523948e-05,-7.584653903964339e-06,0.0007889140929277224,111
raw05_compatible,non_q2s3,veto_null_nonactive,state_soft,raw,12,5,0,3,0,0,-1.2387048974327186e-05,-2.3451089313245015e-05,-7.82939183792858e-06,0.0007889140929277224,111
raw05_compatible,all,veto_null_nonq2s3,hard,raw,12,5,0,3,0,0,-1.1838801088681628e-05,-2.2556008519351876e-05,-7.319080433156786e-06,0.0007889140929277224,104
raw05_compatible,all,veto_null_nonq2s3,state_soft,raw,12,4,0,3,0,0,-1.1916918294496703e-05,-2.2509746748755307e-05,-7.550671942877534e-06,0.0007889140929277224,104
raw05_compatible,non_q2s3,low_adverse75,state_soft,raw,12,4,0,3,0,0,-9.58495164804507e-06,-1.8020481047749645e-05,-5.606598049078679e-06,0.000786735154138911,174
raw05_compatible,all,low_adverse75_nonq2s3,state_soft,raw,12,4,0,3,0,0,-9.499566580806196e-06,-1.7771767791090393e-05,-5.548888289287949e-06,0.0007867670922936839,170
raw05_compatible,non_q2s3,low_adverse75_nonactive,hard,sqrt,9,9,0,2,0,0,-1.6037998473605874e-05,-4.678641444357572e-05,-1.356814607423585e-05,0.0007889140929277224,118
raw05_compatible,non_q2s3,low_adverse75_nonactive,state_soft,sqrt,9,9,0,2,0,0,-1.6139182921870443e-05,-4.6388584181369556e-05,-1.3809292320027631e-05,0.0007889140929277224,118
raw05_compatible,non_q2s3,low_adverse75_nonactive,hard,sign,9,9,0,2,0,0,-1.3479726200582576e-05,-4.204476216262061e-05,-1.2290143356275314e-05,0.0007889140929277224,118
raw05_compatible,non_q2s3,low_adverse75_nonactive,state_soft,sign,9,9,0,2,0,0,-1.3479726200582576e-05,-4.204476216262061e-05,-1.2290143356275314e-05,0.0007889140929277224,118
raw05_compatible,all,low_adverse75,hard,raw,12,7,0,2,0,0,-1.845484491980187e-05,-4.171175412223833e-05,-1.2951152348406338e-05,0.0007889140929277224,145
raw05_compatible,all,low_adverse75_nonactive,hard,raw,12,7,0,2,0,0,-1.8436182181225114e-05,-4.154080424311922e-05,-1.2906566058865772e-05,0.0007889140929277224,143
raw05_compatible,all,low_adverse75,state_soft,raw,12,7,0,2,0,0,-1.7813175099523626e-05,-4.100550609381909e-05,-1.3156699261804275e-05,0.0007844819816347885,207
raw05_compatible,all,low_adverse75_nonactive,state_soft,raw,12,7,0,2,0,0,-1.785794415998243e-05,-4.0916467173274606e-05,-1.3140242562455154e-05,0.0007889140929277224,143
all,non_q2s3,veto_null,hard,sqrt,6,2,0,2,0,0,-2.226346807154833e-05,-3.645081976735864e-05,-8.629603530330662e-06,0.0007889140929277224,115
all,non_q2s3,veto_null,state_soft,sqrt,6,2,0,2,0,0,-2.2117289603884593e-05,-3.6407794847054514e-05,-8.816888894105559e-06,0.0007889140929277224,115
all,non_q2s3,veto_null_nonactive,hard,sqrt,6,2,0,2,0,0,-2.2113431699999353e-05,-3.611981497408209e-05,-8.58945144930913e-06,0.0007889140929277224,114
all,non_q2s3,veto_null_nonactive,state_soft,sqrt,6,2,0,2,0,0,-2.1972596201069727e-05,-3.6080515506014646e-05,-8.759207972112984e-06,0.0007889140929277224,114
all,non_q2s3,veto_null,hard,sign,6,1,0,2,0,0,-1.927334576889983e-05,-3.298861185015724e-05,-7.683172364493632e-06,0.0007889140929277224,115
all,non_q2s3,veto_null,state_soft,sign,6,1,0,2,0,0,-1.927334576889983e-05,-3.298861185015724e-05,-7.683172364493632e-06,0.0007889140929277224,115
all,non_q2s3,veto_null_nonactive,hard,sign,6,1,0,2,0,0,-1.9170117466993375e-05,-3.268412696831743e-05,-7.642021188877764e-06,0.0007889140929277224,114
all,non_q2s3,veto_null_nonactive,state_soft,sign,6,1,0,2,0,0,-1.9170117466993375e-05,-3.268412696831743e-05,-7.642021188877764e-06,0.0007889140929277224,114
raw05_compatible,non_q2s3,low_adverse75_nonactive,hard,raw,9,4,0,2,0,0,-1.2639039085438064e-05,-2.4342759365446363e-05,-7.818387925898705e-06,0.0007889140929277224,118
raw05_compatible,non_q2s3,low_adverse75_nonactive,state_soft,raw,9,3,0,2,0,0,-9.552979241100878e-06,-1.7955169807092734e-05,-5.586695079129654e-06,0.0007867437148663998,173
all,non_q2s3,veto_null,hard,raw,6,0,0,2,0,0,,,,,0
all,non_q2s3,veto_null,state_soft,raw,6,0,0,2,0,0,,,,,0
all,non_q2s3,veto_null_nonactive,hard,raw,6,0,0,2,0,0,,,,,0
all,non_q2s3,veto_null_nonactive,state_soft,raw,6,0,0,2,0,0,,,,,0
raw05_compatible,non_q2s3,veto_null,hard,sqrt,6,5,0,1,0,0,-1.600421259118079e-05,-4.51544492983661e-05,-1.3601301614418548e-05,0.0007824435463394764,167
raw05_compatible,non_q2s3,veto_null,state_soft,sqrt,6,5,0,1,0,0,-1.6053304856433748e-05,-4.486851692003864e-05,-1.3894362635979728e-05,0.0007824435463394764,167
raw05_compatible,non_q2s3,veto_null,hard,sign,6,6,0,1,0,0,-1.2117985039861168e-05,-4.0238158280531155e-05,-1.2365643245036405e-05,0.0007824435463394764,167
raw05_compatible,non_q2s3,veto_null,state_soft,sign,6,6,0,1,0,0,-1.2117985039861168e-05,-4.0238158280531155e-05,-1.2365643245036405e-05,0.0007824435463394764,167
raw05_compatible,non_q2s3,veto_null,hard,raw,6,2,0,1,0,0,-9.351561105486184e-06,-1.74528454573613e-05,-5.4341879510348906e-06,0.0007865779856187583,167
raw05_compatible,non_q2s3,veto_null,state_soft,raw,6,2,0,1,0,0,-9.399799495102279e-06,-1.7396318384100657e-05,-5.490409884762205e-06,0.0007867899633310359,167
raw05_compatible,q1q3_sall,low_adverse75,hard,sqrt,3,3,0,0,0,0,-1.9447009340978205e-05,-5.1103680758370257e-05,-1.5262320746365998e-05,0.0007824435463394764,206
raw05_compatible,q1q3_sall,low_adverse75,state_soft,sqrt,3,3,0,0,0,0,-1.9194493071972296e-05,-5.072352679983682e-05,-1.5475061416572552e-05,0.0007824435463394764,206
raw05_compatible,q1q3_sall,low_adverse75,hard,sign,3,3,0,0,0,0,-1.5617477638785182e-05,-4.663448737681679e-05,-1.3346724601334637e-05,0.0007824435463394764,206
raw05_compatible,q1q3_sall,low_adverse75,state_soft,sign,3,3,0,0,0,0,-1.5617477638785182e-05,-4.663448737681679e-05,-1.3346724601334637e-05,0.0007824435463394764,206
raw05_compatible,q1q3_sall,low_adverse75,hard,raw,3,2,0,0,0,0,-1.7842032269732577e-05,-3.494665396455414e-05,-1.0463449938043874e-05,0.0007841178182166076,206
raw05_compatible,q1q3_sall,low_adverse75,state_soft,raw,3,2,0,0,0,0,-1.778519587358751e-05,-3.488830795669655e-05,-1.0889837799848873e-05,0.0007844969749577689,206
