variant,source,axis_set,method,alpha,removed_l2,source_poscos_before,removed_component_count,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,source_move_l2,delta_l2_vs_source,delta_cos_vs_source,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4
span_all_existing_a0.05,e351,all_existing,span,0.05,0.017557656672446242,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_05_369e9212.csv,submission_e353_publictangent_span_all_existing_a0_05_369e9212.csv,250,1750,4.926532899429571,0.44435344192829057,0.44386732465602213,0.017557656672446242,0.9992191127309228,2.2520970749093885,1.0316410174217718,0.35754131085361507,1.1264925752200314,0.020414756573561003,0.02197124822747124,0.11637491622373172
span_all_existing_a0.10,e351,all_existing,span,0.1,0.035115313344892485,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_10_aad21b60.csv,submission_e353_publictangent_span_all_existing_a0_10_aad21b60.csv,250,1750,5.227941268120608,0.445531484213403,0.44386732465602213,0.035115313344892485,0.9968893221837376,2.265949933172359,1.0334258723492336,0.48565923266791733,1.1310044618774315,0.04082951314712201,0.03832242245908179,0.23274983244746345
span_all_existing_a0.25,e351,all_existing,span,0.25,0.08778828336223121,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_25_6bb25a54.csv,submission_e353_publictangent_span_all_existing_a0_25_6bb25a54.csv,250,1750,6.147003038401962,0.45314735499058684,0.44386732465602213,0.08778828336223121,0.9810560657420955,2.3121390074879367,1.038780437131619,0.870012998110824,1.1518535100769673,0.10207378286780501,0.09026872160815194,0.5818745811186585
span_all_existing_a0.50,e351,all_existing,span,0.5,0.17557656672446242,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_50_aacfa421.csv,submission_e353_publictangent_span_all_existing_a0_50_aacfa421.csv,250,1750,7.688643611987059,0.47862345759898783,0.44386732465602213,0.17557656672446242,0.9302899614544993,2.3912543546276948,1.048145891076498,1.510602607182335,1.192247575687833,0.20414756573561002,0.1784964554397721,1.163749162237317
span_all_existing_a0.75,e351,all_existing,span,0.75,0.26336485008669364,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_75_5f55d76b.csv,submission_e353_publictangent_span_all_existing_a0_75_5f55d76b.csv,250,1750,9.232600891023706,0.5179110622340771,0.44386732465602213,0.26336485008669364,0.8610633505872213,2.470960817556723,1.0578711428676635,2.1511922162538464,1.2334053867660077,0.30622134860341504,0.2673262356200734,1.7456237433559758
span_all_existing_a1.00,e351,all_existing,span,1.0,0.35115313344892485,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a1_00_1966f517.csv,submission_e353_publictangent_span_all_existing_a1_00_1966f517.csv,250,1750,10.777201072527271,0.5681521697540413,0.44386732465602213,0.35115313344892485,0.7861447952919024,2.550770139346855,1.0675963946588294,2.7917818253253577,1.274782581375685,0.40829513147122004,0.3564766758746894,2.327498324474634
span_broad_residual_a0.01,e351,broad_residual,span,0.01,0.00015591214425316166,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_01_0490be12.csv,submission_e353_publictangent_span_broad_residual_a0_01_0490be12.csv,250,1750,4.63609617668271,0.44386267267096985,0.44386732465602213,0.00015591214425316185,0.9999999383630294,2.24114859534016,1.0299755788446345,0.2303260528976816,1.1241776640480052,0.0005381389065771329,0.009273750941746085,0.0006563957039050439
span_broad_residual_a0.02,e351,broad_residual,span,0.02,0.0003118242885063233,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_02_ec0235cb.csv,submission_e353_publictangent_span_broad_residual_a0_02_ec0235cb.csv,250,1750,4.638732580130661,0.44385807540376226,0.44386732465602213,0.0003118242885063228,0.9999997534469871,2.2412895792905605,1.030094995194959,0.23122871675605133,1.1242965147109478,0.0010762778131542658,0.009433704957178643,0.0013127914078100878
span_broad_residual_a0.05,e351,broad_residual,span,0.05,0.0007795607212658083,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_05_d740b889.csv,submission_e353_publictangent_span_broad_residual_a0_05_d740b889.csv,250,1750,4.647114912320684,0.4438446119261096,0.44386732465602213,0.0007795607212658099,0.9999984589491829,2.241901132067418,1.030453244245932,0.2339367083311604,1.1246530666997754,0.002690694532885665,0.010198087923987117,0.00328197851952522
span_broad_residual_a0.10,e351,broad_residual,span,0.1,0.0015591214425316165,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_10_c5eb69b2.csv,submission_e353_publictangent_span_broad_residual_a0_10_c5eb69b2.csv,250,1750,4.6623629045188295,0.4438232673083053,0.44386732465602213,0.0015591214425316156,0.9999938351895595,2.2433203037296128,1.0310503259975543,0.23845002762300885,1.1252473200144877,0.00538138906577133,0.012349581049344402,0.00656395703905044
span_broad_residual_a0.25,e351,broad_residual,span,0.25,0.003897803606329042,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_25_b3b0bf89.csv,submission_e353_publictangent_span_broad_residual_a0_25_b3b0bf89.csv,250,1750,4.713184169988111,0.44376744403840496,0.44386732465602213,0.0038978036063290426,0.9999614596165523,2.249217566556121,1.03284157125242,0.2519899854985542,1.128129240307745,0.013453472664428322,0.021142441111216763,0.016409892597626097
span_broad_residual_a0.50,e351,broad_residual,span,0.5,0.007795607212658084,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_50_2d51df7f.csv,submission_e353_publictangent_span_broad_residual_a0_50_2d51df7f.csv,250,1750,4.805056604933137,0.44370178343722055,0.44386732465602213,0.007795607212658085,0.9998457839163675,2.261859335777758,1.0358269800105298,0.2745565819577965,1.1350748880270136,0.026906945328856645,0.038012088635929905,0.032819785195252194
