prior,target,prior_mean,projected_mean,mean_delta,mean_abs_delta,p90_abs_delta,prior_ge_0p5_rate,projected_ge_0p5_rate,projected_entropy
efmicro3,Q1,0.49769156858426633,0.4897629738048931,-0.007928594779373301,0.023104882642239328,0.04241438474974765,0.484,0.48,0.5867537882423541
efmicro3,Q2,0.548600238810508,0.5478172785409805,-0.0007829602695274935,0.010640312498245642,0.019513022697616622,0.628,0.628,0.6512918971475715
efmicro3,Q3,0.6097943141361345,0.6087764513612337,-0.0010178627749007475,0.019493532291401956,0.03976295281580313,0.812,0.828,0.6285720218952261
efmicro3,S1,0.660667627891735,0.6580041482342274,-0.0026634796575076922,0.01068821592274734,0.02163162728714516,0.724,0.72,0.4953630568443735
efmicro3,S2,0.6343345144822675,0.6396564484583187,0.005321933976051,0.018144819820134807,0.04243092721167146,0.764,0.796,0.5509228818066918
efmicro3,S3,0.6417326824229141,0.6589494503380458,0.017216767915131537,0.021480818975012406,0.04759758890643222,0.708,0.74,0.5183334057039957
efmicro3,S4,0.5651011882379895,0.5650412770367674,-5.9911201222175745e-05,0.016924219675128555,0.03335635794121127,0.596,0.608,0.6009625477314572
efmicro5,Q1,0.4976879101766571,0.4897631583442303,-0.00792475183242687,0.02310261795029036,0.04240691097136596,0.484,0.48,0.5867340012122213
efmicro5,Q2,0.5486111600052486,0.5478249648435112,-0.0007861951617372825,0.010644718026032273,0.019521757423454224,0.628,0.628,0.6513020846305692
efmicro5,Q3,0.6097943141361345,0.6087758962369003,-0.0010184178992341268,0.019494413348943234,0.0397489537502659,0.812,0.828,0.6285705466509737
efmicro5,S1,0.66066898040509,0.6580103646443944,-0.0026586157606955504,0.010683296367145259,0.021611775666782133,0.724,0.72,0.49537560273537523
efmicro5,S2,0.6343385991949504,0.6396592813475754,0.005320682152625067,0.018142644116787957,0.04242939885044972,0.764,0.796,0.5509240374580283
efmicro5,S3,0.6417391253610037,0.6589571604467802,0.017218035085776517,0.021480777004239334,0.04759812274083075,0.708,0.74,0.5183329757537319
efmicro5,S4,0.5651011882379895,0.5650414270560877,-5.9761181901645255e-05,0.01692476892862569,0.0333568505588243,0.596,0.608,0.6009602582656127
energyfront,Q1,0.49771389790983955,0.489776105810446,-0.007937792099393487,0.023113146861254298,0.042425659927999335,0.484,0.48,0.5867495543484624
energyfront,Q2,0.5486023071558086,0.5478169501378507,-0.0007853570179578315,0.01064142177770612,0.01951525152900533,0.628,0.628,0.651294558034008
energyfront,Q3,0.6097943141361345,0.6087795500073014,-0.0010147641288330738,0.019495841682319978,0.03978109650284721,0.812,0.828,0.628573438835489
energyfront,S1,0.6606660621913102,0.657995960999067,-0.002670101192243082,0.010698112310393871,0.021669107208663274,0.724,0.72,0.4953632796411118
energyfront,S2,0.6343279084544199,0.6396556510860196,0.005327742631599681,0.018153722902796886,0.04245423655322433,0.764,0.796,0.5509209959911807
energyfront,S3,0.6417252299636393,0.6589482906400632,0.017223060676423933,0.021488482753764693,0.04761304289865554,0.708,0.74,0.5183328878911704
energyfront,S4,0.5651011882379895,0.5650420227154596,-5.9165522530007395e-05,0.016927816711390816,0.03336605794759168,0.596,0.608,0.6009649128127038
siggate,Q1,0.4976754780372265,0.489756019845395,-0.007919458191831598,0.02311490082084327,0.042433495577057986,0.488,0.48,0.5867234374832101
siggate,Q2,0.5486039288842146,0.5478201831278113,-0.0007837457564034347,0.010652534301958451,0.01954504687039086,0.628,0.628,0.6513044893186382
siggate,Q3,0.6097943141361345,0.6087625453484594,-0.0010317687876750998,0.019510369034572574,0.0397808054421767,0.812,0.824,0.6285773529329766
siggate,S1,0.6606606902786052,0.658004516509772,-0.0026561737688331963,0.010681775124120737,0.02157846088135047,0.724,0.72,0.49537699390030615
siggate,S2,0.6343473376704949,0.6396578821901878,0.005310544519692926,0.0181488565260992,0.0424447986629306,0.764,0.796,0.5509223577363732
siggate,S3,0.641713503286783,0.6589323105701772,0.01721880728339424,0.021487400953742353,0.04764090071108032,0.708,0.74,0.5183259520602411
siggate,S4,0.5651011882379895,0.5650375493183682,-6.363891962118861e-05,0.016940336408743255,0.03337312608528019,0.596,0.608,0.6009688261411233
compatband,Q1,0.49769086712859967,0.4897632163257701,-0.007927650802829651,0.023103732296195653,0.042412098442682414,0.484,0.48,0.5867508239055268
compatband,Q2,0.548604373463315,0.5478205661950517,-0.0007838072682633901,0.010640971015026163,0.019514198307899112,0.628,0.628,0.6512937322358775
compatband,Q3,0.6097943141361345,0.6087767121435936,-0.0010176019925408277,0.019493118847667055,0.039758803938711104,0.812,0.828,0.6285713943572705
compatband,S1,0.6606681641637003,0.6580057705163107,-0.002662393647389559,0.01068698342208339,0.02162795621903414,0.724,0.72,0.49536600608993675
compatband,S2,0.6343357047463202,0.6396575790813611,0.005321874335040896,0.018143825276370432,0.04242901890626006,0.764,0.796,0.5509226574120042
compatband,S3,0.6417344905903029,0.658951269518369,0.017216778928066234,0.02148030612255867,0.04759554894196269,0.708,0.74,0.5183332616636074
compatband,S4,0.5651011882379895,0.5650414222650298,-5.976597295964714e-05,0.016923631630917826,0.03335549405755281,0.596,0.608,0.6009616885517142
