story_id,source,mapped_family,split,target,base_loss,state_loss,delta_logloss,state_oof_r2,state_oof_corr,context_cols
vehicle_noise_day,human_social,mobility_context,dateblock5,S1,0.5877324997650802,0.5885856685840161,0.0008531688189358233,0.6168286901279783,0.7873270994530149,117
commute_workday,human_social,mobility_context,dateblock5,Q1,0.6733314718456856,0.6742565640415253,0.000925092195839694,0.4998603543288721,0.7126466716757597,117
commute_workday,human_social,mobility_context,subject5,S2,0.6836444874170926,0.6846433152604916,0.0009988278433989972,0.19924570610768388,0.5841203146795481,117
single_app_monotony,human_social,routine_calendar,subject5,S2,0.6836444874170926,0.684753882276769,0.001109394859676427,0.14015796389281454,0.6217425180837004,117
commute_workday,human_social,mobility_context,subject5,S3,0.6363938446306157,0.6375353175282648,0.0011414728976490984,0.19924570610768388,0.5841203146795481,117
heart_stress_late,human_social,physiology_activity,dateblock5,S1,0.5877324997650802,0.5889504810195911,0.0012179812545108915,0.08959478217694794,0.3966877665313356,117
commute_workday,human_social,mobility_context,dateblock5,S1,0.5877324997650802,0.5892032131039154,0.0014707133388351945,0.4998603543288721,0.7126466716757597,117
heart_stress_late,human_social,physiology_activity,dateblock5,Q1,0.6733314718456856,0.6750111000093854,0.001679628163699709,0.08959478217694794,0.3966877665313356,117
vehicle_noise_day,human_social,mobility_context,subject5,S2,0.6836444874170926,0.6857562140328766,0.00211172661578396,0.39792264928503485,0.7089112970958625,117
single_app_monotony,human_social,routine_calendar,dateblock5,S4,0.6650293040672156,0.6671668110390881,0.002137506971872538,0.5636991770596237,0.7530376097513694,117
vehicle_noise_day,human_social,mobility_context,dateblock5,Q2,0.7039531870021892,0.706178059682994,0.0022248726808047348,0.6168286901279783,0.7873270994530149,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,S4,0.6650293040672156,0.6672858714249205,0.002256567357704853,0.7283466143311701,0.8534825404452421,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,S1,0.5877324997650802,0.5901179714044416,0.002385471639361314,0.7283466143311701,0.8534825404452421,117
commute_workday,human_social,mobility_context,dateblock5,Q2,0.7039531870021892,0.7063740307501221,0.0024208437479328326,0.4998603543288721,0.7126466716757597,117
vehicle_noise_day,human_social,mobility_context,subject5,Q2,0.7158492250983057,0.718315850928267,0.0024666258299612664,0.39792264928503485,0.7089112970958625,117
vehicle_noise_day,human_social,mobility_context,dateblock5,Q1,0.6733314718456856,0.6758425361287497,0.002511064283064024,0.6168286901279783,0.7873270994530149,117
bright_light_late,human_social,bedtime_phone,dateblock5,S2,0.5800292810825479,0.5825414909603404,0.0025122098777924373,0.10526633188386414,0.37483144832329335,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,S3,0.6363938446306157,0.6392138366168952,0.0028199919862795797,0.4190103570245278,0.7511441718681486,117
bright_light_late,human_social,bedtime_phone,dateblock5,S3,0.5337854556868376,0.5366898385098926,0.0029043828230550517,0.10526633188386414,0.37483144832329335,117
heart_stress_late,human_social,physiology_activity,dateblock5,S4,0.6650293040672156,0.6679737094193355,0.0029444053521199276,0.08959478217694794,0.3966877665313356,117
single_app_monotony,human_social,routine_calendar,subject5,S3,0.6363938446306157,0.6393570717780945,0.002963227147478875,0.14015796389281454,0.6217425180837004,117
single_app_monotony,human_social,routine_calendar,dateblock5,S1,0.5877324997650802,0.5910746642225305,0.0033421644574502807,0.5636991770596237,0.7530376097513694,117
bright_light_late,human_social,bedtime_phone,dateblock5,S1,0.5877324997650802,0.591096810704956,0.00336431093987577,0.10526633188386414,0.37483144832329335,117
app_entropy_scattered_day,human_social,routine_calendar,subject5,S1,0.6621792348492731,0.665617503604829,0.003438268755555862,0.4190103570245278,0.7511441718681486,117
vehicle_noise_day,human_social,mobility_context,dateblock5,S4,0.6650293040672156,0.6685556141600987,0.003526310092883067,0.6168286901279783,0.7873270994530149,117
heart_stress_late,human_social,physiology_activity,subject5,Q2,0.7158492250983057,0.7196863090386632,0.003837083940357422,-0.5482125383571812,0.28002593600440295,117
heart_stress_late,human_social,physiology_activity,subject5,Q1,0.7086849472657867,0.7126118873989316,0.003926940133144874,-0.5482125383571812,0.28002593600440295,117
single_app_monotony,human_social,routine_calendar,subject5,S1,0.6621792348492731,0.6661269035881879,0.0039476687389148335,0.14015796389281454,0.6217425180837004,117
