group_kind,target,n_cells,n_rows,focus_cost_e172_to_e169,visible_delta_e172_to_e169,abs_swing,top_swing,mean_support_focus,mean_safe_density,e72_active_rate,group,target_group,context_type,e72_active,safe_low,support_low
target_context,Q2,15,15,8.928531478569763e-08,-3.6691931112525367e-07,1.1272013280221886e-05,1.5881787746531625e-06,0.6755652247266649,0.1848158755156593,0.0,Q2:between_train_runs,,between_train_runs,,,
target_context,Q3,2,2,8.590785541268042e-08,-3.9378859050648033e-08,2.6957679641985385e-06,1.605108824034878e-06,0.6024245063879211,0.42418231591711597,0.5,Q3:between_train_runs,,between_train_runs,,,
target_context,S1,1,1,6.94759453693995e-08,-3.5036390509632125e-08,1.3538609651224823e-06,1.3538609651224823e-06,0.8232407407407408,0.4210136533641106,0.0,S1:after_train_run,,after_train_run,,,
target_context,S2,3,3,6.492298302562487e-08,-6.619425650492892e-08,2.2835435075068452e-06,2.088708212901366e-06,0.646914870736009,0.4210136533641106,0.0,S2:after_train_run,,after_train_run,,,
target_context,S3,3,3,4.622994069466926e-08,-1.2950511380250184e-07,3.0277502442623045e-06,1.511138462106963e-06,0.7822113452427041,0.18481587551565934,0.0,S3:after_train_run,,after_train_run,,,
target_context,Q3,2,2,1.4367628001422887e-08,-1.774386367860386e-08,6.880500540410292e-07,5.472683507178492e-07,0.7332004253056884,0.4210136533641106,0.0,Q3:after_train_run,,after_train_run,,,
target_context,Q1,2,2,1.4950907485887168e-09,-3.429594401484013e-08,5.168999763809039e-07,3.6739909246108483e-07,0.6777269647696477,0.48772309333884034,0.5,Q1:after_train_run,,after_train_run,,,
support_low,,2,2,7.300099718062772e-10,-2.032588869862961e-08,1.6067406051282366e-06,1.5828984481675181e-06,0.3742171825227025,0.1848158755156593,0.0,True,,,,,True
target,S4,2,2,-1.793184079848473e-10,-2.631988995008099e-09,5.586849643733111e-07,5.08472908859327e-07,0.679795321637427,0.4210136533641106,0.0,S4,,,,,
target_context,S4,2,2,-1.793184079848473e-10,-2.631988995008099e-09,5.586849643733111e-07,5.08472908859327e-07,0.679795321637427,0.4210136533641106,0.0,S4:between_train_runs,,between_train_runs,,,
