group_kind,target,n_cells,n_rows,expected_delta_focus_mean,abs_expected_share,swing_sum,top1_swing,support_prob_swing_weighted,mean_safe_density,e72_active_rate,group,target_group,context_type,edge_like,e72_active,safe_density_bin
target_context,S1,79,79,-2.0808118696317892e-05,0.1727435124067809,0.0001295064777493646,5.831957756260338e-06,0.359723491082465,0.45670105756179785,0.5443037974683544,S1:between_train_runs,,between_train_runs,,,
target_context,Q2,136,136,-1.5347188782166542e-05,0.1274083128077564,0.00016828883632693674,3.6046363311961524e-06,0.5390606058638264,0.1839384083872346,0.007352941176470588,Q2:between_train_runs,,between_train_runs,,,
target_context,S4,97,97,-1.3475779746635826e-05,0.11187236865704532,0.0001042038299518852,4.431570249905037e-06,0.4868009684113046,0.4362600830638513,0.35051546391752575,S4:between_train_runs,,between_train_runs,,,
target_context,Q1,99,99,-1.080465310124985e-05,0.08969737986822386,0.0001226174665674511,3.7916903077560728e-06,0.4667139295226407,0.4332200501413669,0.36363636363636365,Q1:between_train_runs,,between_train_runs,,,
target_context,S2,91,91,-1.0164681888765572e-05,0.08438450768130565,0.00012063183286815331,3.994973872111499e-06,0.43667582019699225,0.45481894502796594,0.38461538461538464,S2:between_train_runs,,between_train_runs,,,
target_context,Q3,98,98,-6.123356772778475e-06,0.05083449263660642,0.00011339151276107278,4.561672802748853e-06,0.567288497495143,0.43698307959472377,0.40816326530612246,Q3:between_train_runs,,between_train_runs,,,
target_context,S4,19,19,-5.336291982113432e-06,0.044300488365703924,2.5330898561810004e-05,3.816224322441394e-06,0.5289668917601015,0.42926541766144605,0.3157894736842105,S4:after_train_run,,after_train_run,,,
target_context,S2,31,31,-3.7896910762499193e-06,0.03146101562578493,4.326637299743897e-05,3.3154189118656966e-06,0.46339282453428166,0.4477180264959111,0.41935483870967744,S2:after_train_run,,after_train_run,,,
target_context,Q1,22,22,-3.5352493599338763e-06,0.029348707616554826,1.7643866366297873e-05,1.8188519668329255e-06,0.5030198225329651,0.4327678558013453,0.5,Q1:after_train_run,,after_train_run,,,
target_context,Q2,29,29,-3.499688654727708e-06,0.029053492022553883,3.109409702506991e-05,3.3593900683171397e-06,0.501622516685898,0.18481587551565937,0.0,Q2:after_train_run,,after_train_run,,,
target_context,S1,16,16,-3.0296770372135218e-06,0.02515157955913833,2.1181050411111076e-05,3.914537352039933e-06,0.36933424723558167,0.4472195377105639,0.5,S1:after_train_run,,after_train_run,,,
target_context,S3,27,27,-1.9834910254728626e-06,0.0164664192649065,2.420543281862387e-05,3.2500427691386663e-06,0.3464912247609693,0.18481587551565934,0.0,S3:after_train_run,,after_train_run,,,
target_context,Q3,19,19,-1.581672478440257e-06,0.013130627683859608,1.7018642010176493e-05,3.0886223855400696e-06,0.6038064743485264,0.4366111311757179,0.3684210526315789,Q3:after_train_run,,after_train_run,,,
target_safety,S3,112,112,-2.313707759632618e-05,0.19207791483450523,0.00012518672646224486,3.935892347215614e-06,0.37883701428726546,0.17579841457304446,0.08035714285714286,S3:q1_low,,,,,q1_low
target_safety,S1,34,34,-1.1962489557726883e-05,0.09930943270219085,6.766702114256857e-05,5.831957756260338e-06,0.36419190050491074,0.42101365336411056,0.0,S1:q3,,,,,q3
target_safety,Q2,114,114,-9.504711579655211e-06,0.07890560826979438,0.00013656427700212535,3.3593900683171397e-06,0.530864309505941,0.18376907262560885,0.008771929824561403,Q2:q1_low,,,,,q1_low
target_safety,Q2,51,51,-9.34216585723904e-06,0.07755619656051593,6.281865634988131e-05,3.6046363311961524e-06,0.5383477238360325,0.18481587551565926,0.0,Q2:q2,,,,,q2
target_safety,S1,53,53,-9.334786237054021e-06,0.07749493290042284,6.906623627420111e-05,4.08231116385415e-06,0.36676779843064133,0.4821192964048753,0.9622641509433962,S1:q4_high,,,,,q4_high
target_safety,Q1,53,53,-8.482538325301663e-06,0.07041979555302304,6.35497999183434e-05,3.7916903077560728e-06,0.4800838632670176,0.4210136533641105,0.0,Q1:q3,,,,,q3
target_safety,S2,44,44,-7.791570199204288e-06,0.06468356044185399,5.213846349398618e-05,3.994973872111499e-06,0.4618108639269066,0.4210136533641105,0.0,S2:q3,,,,,q3
target_safety,S4,30,30,-7.451302205888761e-06,0.06185874532123799,4.5477107702235685e-05,4.431570249905037e-06,0.43355799606083945,0.42043351682586566,0.2,S4:q2,,,,,q2
target_safety,S4,51,51,-7.441533120566212e-06,0.061777644951894306,4.618837328095986e-05,3.4355274269517137e-06,0.5349900312474638,0.42101365336411056,0.0,S4:q3,,,,,q3
target_safety,Q3,42,42,-6.258601724571952e-06,0.051957260549893323,5.6037245994162254e-05,4.561672802748853e-06,0.5882542271650019,0.46572984400634465,0.9523809523809523,Q3:q4_high,,,,,q4_high
target_safety,Q1,43,43,-3.969601129091935e-06,0.03295458142569162,4.510423796805855e-05,3.5956110581882383e-06,0.4830804825713729,0.4557539535953571,0.8837209302325582,Q1:q4_high,,,,,q4_high
target_safety,S4,35,35,-3.919236402294283e-06,0.03253646674961695,3.786924753049966e-05,2.8176677844741205e-06,0.5201700680145852,0.468244833326155,0.9714285714285714,S4:q4_high,,,,,q4_high
target_safety,S2,53,53,-3.9141611448741475e-06,0.03249433330132602,8.105637703967534e-05,3.3692588115795834e-06,0.4210995219393539,0.4946762403168776,0.9056603773584906,S2:q4_high,,,,,q4_high
target_safety,S1,8,8,-2.540519938750508e-06,0.021090726363305536,1.3954270743706016e-05,3.819250130072624e-06,0.3177777777777778,0.4210136533641106,0.0,S1:q2,,,,,q2
target_safety,S2,25,25,-2.2486416209370587e-06,0.018667629563910597,3.070336533193077e-05,3.3154189118656966e-06,0.47276318741470696,0.42101365336411056,0.0,S2:q2,,,,,q2
target_safety,Q1,25,25,-1.8877630067901306e-06,0.015671710506064054,3.160729504734704e-05,3.754784808399636e-06,0.43674359540194946,0.4199413663490673,0.36,Q1:q2,,,,,q2
target_safety,Q3,44,44,-1.0175858337431418e-06,0.008447729160987454,3.9409031371186636e-05,2.7837758158046266e-06,0.5262577252355807,0.4210136533641105,0.0,Q3:q3,,,,,q3
target_safety,Q3,31,31,-4.2884169290363716e-07,0.003560130609585246,3.4963877405900394e-05,4.531208669250164e-06,0.5977086823865432,0.42047416439787816,0.22580645161290322,Q3:q2,,,,,q2
target_safety,S3,56,56,1.7639680773813585e-07,0.0014643997658193527,5.656647472874725e-05,2.2821081356543737e-06,0.3238360160389172,0.18481587551565928,0.0,S3:q2,,,,,q2
