policy,n_cells,n_rows,n_subjects,n_blocks,expected_delta,benefit_sum,risk_sum,expected_abs_share_vs_all,benefit_share_vs_all_focus,top_benefit_focus_cells_kept,top_benefit_focus_share_kept,top_benefit_focus_expected_kept,cells_to_flip_expected,top1_expected_ratio,q_share,s_share,q2s3_share,edge_like_rate,between_train_runs_rate,all_veto_null_rate,all_low_adverse75_rate,all_safe_density_mean,broad_low_alpha_mass_sum,e101_plausible_mass_sum,e72_active_rate,context_gain_vs_all,veto_gain_vs_all,density_gain_vs_all,e72_reduction_vs_all,decoupling_pass
safety_veto_null,1175,250,10,36,-0.0001539448619422849,0.00018359447056791529,2.964960862563039e-05,0.46358237887389614,1.5922767220037355,22,0.2972972972972973,-2.7717144297539916e-05,41,0.0378834193144217,0.4374468085106383,0.5625531914893617,0.3676595744680851,0.4697872340425532,0.6306382978723404,1.0,1.0,0.34756990712947433,23.840835763735193,3.5791180360078867,0.27063829787234045,0.006638297872340382,0.3285714285714286,0.11420154091397011,0.23964741641337378,False
safety_high_density_p50,1164,250,10,36,-0.00015260710100797433,0.0001820502761489544,2.944317514098004e-05,0.45955390797549905,1.5788842444418911,22,0.2972972972972973,-2.7717144297539916e-05,41,0.038215507127388484,0.44072164948453607,0.5592783505154639,0.36168384879725085,0.4690721649484536,0.6280068728522337,1.0,1.0,0.35018793669775095,21.507699840041603,3.567184217067658,0.26374570446735396,0.004006872852233667,0.3285714285714286,0.11681957048224673,0.24654000981836027,False
context_edge_and_between,567,81,10,26,-0.00013174825287026498,0.00014747436713314653,1.5726114262881534e-05,0.3967405453322306,1.2790145648285052,42,0.5675675675675675,-6.611710892753524e-05,26,0.05890405608622067,0.42857142857142855,0.5714285714285714,0.2857142857142857,1.0,1.0,0.6860670194003528,0.763668430335097,0.2375482560751915,19.38125785751133,2.7835428624716014,0.5238095238095238,0.528,0.014638447971781376,0.004179889859687286,-0.013523809523809605,False
safety_not_e72_active,857,250,10,36,-0.00011156815136291507,0.00013156454083991607,1.999638947700102e-05,0.3359711286419789,1.1410319448755655,12,0.16216216216216217,-1.5347394000454554e-05,31,0.05227260365092743,0.46091015169194866,0.5390898483080513,0.4912485414235706,0.45274212368728123,0.6336056009334889,1.0,1.0,0.3049818395085704,0.0,0.0,0.0,0.009605600933488945,0.3285714285714286,0.07161347329306617,0.5102857142857142,False
safety_veto_not_e72,857,250,10,36,-0.00011156815136291507,0.00013156454083991607,1.999638947700102e-05,0.3359711286419789,1.1410319448755655,12,0.16216216216216217,-1.5347394000454554e-05,31,0.05227260365092743,0.46091015169194866,0.5390898483080513,0.4912485414235706,0.45274212368728123,0.6336056009334889,1.0,1.0,0.3049818395085704,0.0,0.0,0.0,0.009605600933488945,0.3285714285714286,0.07161347329306617,0.5102857142857142,False
safety_high_density_p75,711,248,10,36,-9.560381286018509e-05,0.00011603103721039204,2.0427224350206943e-05,0.28789686408472265,1.0063130932459778,16,0.21621621621621623,-2.0373096963598967e-05,25,0.06100130927611884,0.3952180028129395,0.6047819971870605,0.0,0.47257383966244726,0.6286919831223629,1.0,1.0,0.44503875974252194,21.26244615915116,3.5573984406973347,0.38677918424753865,0.004691983122362853,0.3285714285714286,0.21167039352701772,0.12350653003817558,False
context_high__not_e72,661,193,10,36,-8.88344074800522e-05,0.00010564543445971191,1.6811026979659706e-05,0.26751179237729356,0.916240917037552,10,0.13513513513513514,-1.2607604239738666e-05,25,0.06564976253789846,0.4659606656580938,0.5340393343419062,0.4886535552193646,0.5869894099848714,0.8214826021180031,1.0,1.0,0.30559476948355124,0.0,0.0,0.0,0.19748260211800306,0.3285714285714286,0.07222640326804702,0.5102857142857142,False
context_high__veto_not_e72,661,193,10,36,-8.88344074800522e-05,0.00010564543445971191,1.6811026979659706e-05,0.26751179237729356,0.916240917037552,10,0.13513513513513514,-1.2607604239738666e-05,25,0.06564976253789846,0.4659606656580938,0.5340393343419062,0.4886535552193646,0.5869894099848714,0.8214826021180031,1.0,1.0,0.30559476948355124,0.0,0.0,0.0,0.19748260211800306,0.3285714285714286,0.07222640326804702,0.5102857142857142,False
context_high__veto__s_only,501,192,10,36,-7.956492121588736e-05,9.085392760324779e-05,1.128900638736044e-05,0.23959809367332843,0.7879572493538128,12,0.16216216216216217,-1.4480724995595107e-05,22,0.07329810257005351,0.0,1.0,0.33532934131736525,0.6087824351297405,0.8143712574850299,1.0,1.0,0.3573154918632498,13.452939577857581,1.676325086934637,0.2954091816367265,0.19037125748502992,0.3285714285714286,0.12394712564774557,0.2148765326489877,False
context_high__veto__no_q2s3,571,191,10,36,-7.864917213970014e-05,9.66250547129244e-05,1.7975882573224254e-05,0.2368404496062624,0.838009036469392,16,0.21621621621621623,-2.0421750235824904e-05,20,0.07415154664185601,0.4168126094570928,0.5831873905429071,0.0,0.6164623467600701,0.8126094570928196,1.0,1.0,0.4422164291535494,15.23107258661359,2.622506936791442,0.4080560420315236,0.18860945709281962,0.3285714285714286,0.2088480629380452,0.1022296722541906,False
context_high__high_density_p75,549,191,10,36,-7.43155090428007e-05,9.15075732438611e-05,1.7192064201060393e-05,0.2237902586330044,0.7936261822730251,14,0.1891891891891892,-1.763330720288309e-05,19,0.07847564837242149,0.40437158469945356,0.5956284153005464,0.0,0.6120218579234973,0.8142076502732241,1.0,1.0,0.4431770785102785,15.079916712128973,2.6151643429336557,0.3843351548269581,0.19020765027322406,0.3285714285714286,0.20980871229477427,0.1259505594587561,False
context_strict__veto,389,81,10,26,-5.530464249482469e-05,6.760902392962077e-05,1.230438143479608e-05,0.16654182157851538,0.5863590263232135,13,0.17567567567567569,-1.6767037357856216e-05,14,0.10545150448818257,0.455012853470437,0.5449871465295629,0.37017994858611825,1.0,1.0,1.0,1.0,0.346246429806256,8.22293099543246,1.2408393513555123,0.3059125964010283,0.528,0.3285714285714286,0.11287806359075175,0.20437311788468593,False
context_strict__not_e72,270,81,10,26,-3.9553084350474636e-05,4.693380455189422e-05,7.380720201419584e-06,0.11910831387063281,0.40704714162624744,7,0.0945945945945946,-9.06162653634943e-06,11,0.14744634589262706,0.4666666666666667,0.5333333333333333,0.5111111111111111,1.0,1.0,1.0,1.0,0.3002903446860133,0.0,0.0,0.0,0.528,0.3285714285714286,0.06692197847050907,0.5102857142857142,False
context_strict__veto_not_e72,270,81,10,26,-3.9553084350474636e-05,4.693380455189422e-05,7.380720201419584e-06,0.11910831387063281,0.40704714162624744,7,0.0945945945945946,-9.06162653634943e-06,11,0.14744634589262706,0.4666666666666667,0.5333333333333333,0.5111111111111111,1.0,1.0,1.0,1.0,0.3002903446860133,0.0,0.0,0.0,0.528,0.3285714285714286,0.06692197847050907,0.5102857142857142,False
context_strict__high_density_p75,234,79,10,26,-3.5048084704793825e-05,4.367149942725409e-05,8.62341472246027e-06,0.10554216800372014,0.37875384665952117,10,0.13513513513513514,-1.295193956790734e-05,9,0.16639875774617296,0.41025641025641024,0.5897435897435898,0.0,1.0,1.0,1.0,1.0,0.4449027759893418,6.7834455656235875,1.2318528819997159,0.4358974358974359,0.528,0.3285714285714286,0.21153440977383758,0.07438827838827833,False
