q3_scale,s4_mode,s4_scale,delta,ungated_delta,delta_vs_ungated,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate,ungated_geometry_delta,geometry_vs_ungated_delta,keep_abs_share,anchor,anchor_scale,frontier_keep_abs_share,mean_abs_logit_step_vs_anchor,max_abs_logit_step_vs_anchor,q3s4_share_vs_e95,q2s3_share_vs_e95,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,vs_e95_moved_cells,vs_e95_moved_rows,vs_e95_targets_moved,vs_e95_expected_delta_focus_mean,vs_e95_total_swing,vs_e95_top1_swing,vs_e95_top5_swing,vs_e95_top10_swing,vs_e95_top25_swing,vs_e95_cells_for_2e6_guard,vs_e95_cells_for_e95_edge,vs_e95_cells_to_flip_expected_focus_mean,vs_e95_top1_over_abs_expected,vs_e95_top5_over_abs_expected,vs_e95_support_prob_swing_weighted_focus_mean,vs_anchor_moved_cells,vs_anchor_moved_rows,vs_anchor_targets_moved,vs_anchor_expected_delta_focus_mean,vs_anchor_total_swing,vs_anchor_top1_swing,vs_anchor_top5_swing,vs_anchor_top10_swing,vs_anchor_top25_swing,vs_anchor_cells_for_2e6_guard,vs_anchor_cells_for_e95_edge,vs_anchor_cells_to_flip_expected_focus_mean,vs_anchor_top1_over_abs_expected,vs_anchor_top5_over_abs_expected,vs_anchor_support_prob_swing_weighted_focus_mean,e211_frontier_gate,survival_score,submission_file
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,mixmin,0.75,0.6298282348326832,0.014877196010654618,0.3097662385134299,0.7283647711062082,0.06038643775869813,0.391780197134893,0.9200588443860231,e72,0.24785545881852064,0.055836250172250176,0.208730194814453,0.3206170547430547,1050,250,"Q2,Q3,S1,S2,S3,S4",-0.00013534898808465,0.020425474433723206,0.0001770092791505314,0.0008028465098214083,0.0014567072195010298,0.0028057420432191847,1,1,1,1.3077990582377035,5.931677223322067,0.47478291157911645,500,250,"Q3,S4",-0.0002798916428654673,0.01487719601065454,0.0001770092791505314,0.0008028465098214083,0.0014567072195010298,0.002805742043219185,1,1,2,0.6324207373194515,2.868419012450845,0.4702284240335246,False,0.009004132780512715,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,mixmin,1.0,0.6298282348326871,0.019836261347539474,0.41302165135124047,0.7814308050015203,0.04858948209145971,0.3652879892395515,0.9308945616541787,e72,0.19851485438166216,0.05908643480906851,0.16019121806314246,0.24605944806769692,1050,250,"Q2,Q3,S1,S2,S3,S4",-0.00016031862199083192,0.02538453977060806,0.00023601237220070888,0.0010704620130952119,0.0019422762926680397,0.0037409893909589134,1,1,1,1.4721457137662126,6.677090906859392,0.47389315736183607,500,250,"Q3,S4",-0.00030486127677164913,0.019836261347539394,0.00023601237220070888,0.0010704620130952119,0.0019422762926680397,0.003740989390958914,1,1,2,0.7741631692289005,3.5113085677228275,0.4702284240335246,False,0.010244788814771418,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e95,0.25,0.7499999999999468,0.005905259238896514,0.10325541283780981,0.9999999999999907,1.7521784439808017e-15,0.29216517390015206,0.9563678743872014,ordinal,0.15573750907517525,0.061073489081732116,9.200624789732428e-17,3.0427422249337602e-16,500,250,"Q3,S4",-0.00014941462661628737,0.0059052592388964585,5.900309305017713e-05,0.00026761550327380264,0.0004855690731670107,0.0009503007767887186,1,1,3,0.39489502725662423,1.791093076590605,0.4740583966216388,500,250,"Q3,S4",-0.00014941462661628737,0.0059052592388964585,5.900309305017713e-05,0.00026761550327380264,0.0004855690731670107,0.0009503007767887186,1,1,3,0.39489502725662423,1.791093076590605,0.4740583966216388,True,0.010508450915141654,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e95,0.5,0.7499999999999736,0.011810518477792974,0.2065108256756203,0.9999999999999952,8.760892219904049e-16,0.29216517390015223,0.9563678743872013,ordinal,0.15573750907517536,0.06107348908173182,4.600312394866212e-17,3.742986145732193e-16,500,250,"Q3,S4",-0.00025577573425136514,0.011810518477792915,0.00011800618610035448,0.0005352310065476063,0.00097113814633402,0.0019006015535774363,1,1,3,0.4613658384981243,2.0925792984787397,0.474058396621639,500,250,"Q3,S4",-0.00025577573425136514,0.011810518477792915,0.00011800618610035448,0.0005352310065476063,0.00097113814633402,0.0019006015535774363,1,1,3,0.4613658384981243,2.0925792984787397,0.474058396621639,True,0.015826506296895543,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e95,0.75,0.7499999999999825,0.01771577771668944,0.3097662385134299,0.9999999999999968,5.840594813269373e-16,0.2921651739001521,0.9563678743872015,ordinal,0.1557375090751754,0.0610734890817316,3.0668749299108085e-17,3.976400785998417e-16,500,250,"Q3,S4",-0.00031878982241598903,0.01771577771668938,0.0001770092791505314,0.0008028465098214083,0.0014567072195010298,0.0028509023303661548,1,1,2,0.555253859138426,2.5184195145783965,0.47405839662163896,500,250,"Q3,S4",-0.00031878982241598903,0.01771577771668938,0.0001770092791505314,0.0008028465098214083,0.0014567072195010298,0.0028509023303661548,1,1,2,0.555253859138426,2.5184195145783965,0.47405839662163896,False,0.018949583775557523,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e95,1.0,0.7499999999999868,0.023621036955585897,0.41302165135124047,0.9999999999999978,4.380446109952034e-16,0.2921651739001525,0.9563678743872013,ordinal,0.15573750907517533,0.06107348908173159,2.300156197433106e-17,4.093108106131516e-16,500,250,"Q3,S4",-0.00033820413833353006,0.02362103695558584,0.00023601237220070888,0.0010704620130952119,0.0019422762926680397,0.0038012031071548717,1,1,2,0.6978399890777157,3.16513576199811,0.4740583966216389,500,250,"Q3,S4",-0.00033820413833353006,0.02362103695558584,0.00023601237220070888,0.0010704620130952119,0.0019422762926680397,0.0038012031071548717,1,1,2,0.6978399890777157,3.16513576199811,0.4740583966216389,False,0.01984900650646493,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e154,0.25,0.7499999999999477,0.005905259238896523,0.10325541283780981,0.8581965256296527,0.04156270312567754,0.31903383817758846,0.9477433250082409,ordinal,0.21219913149824657,0.4429048000767727,-0.002143431224221776,-0.009228634446561213,665,250,"Q1,Q3,S2,S3,S4",-0.00017802458096029402,0.007400378016423626,5.900309305017713e-05,0.0002677916062643532,0.0004857342175412258,0.0010130493962298333,1,1,4,0.33143228160911653,1.5042394978257554,0.4718788109787388,500,250,"Q3,S4",-0.00014818702294717333,0.005905259238896464,5.900309305017713e-05,0.00026761550327380264,0.00048556907316701047,0.0009503007767887186,1,1,3,0.39816639727765457,1.8059307620290337,0.47405839662163896,True,0.01192674950084374,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e154,0.5,0.7499999999999737,0.011810518477792978,0.2065108256756203,0.9203517996389761,0.023344946383005962,0.3070369489429572,0.9516975948187535,ordinal,0.18919954634088829,0.26747927792292636,-0.0011517982153370682,-0.004959116283008446,665,250,"Q1,Q3,S2,S3,S4",-0.00028314617244349955,0.013175430325182088,0.00011800618610035448,0.0005245680871657684,0.000965390640606365,0.0019360441747855789,1,1,3,0.416767724889172,1.8526405730257345,0.4725777972230675,500,250,"Q3,S4",-0.00025330861443037886,0.011810518477792919,0.00011800618610035448,0.0005352310065476059,0.0009711381463340195,0.001900601553577436,1,1,3,0.4658593485488751,2.112960144490912,0.474058396621639,True,0.017195028206502264,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e154,0.75,0.7499999999999825,0.017715777716689442,0.3097662385134299,0.9448382719943258,0.016167943241020014,0.30227200103871577,0.9532217147065266,ordinal,0.17916966991900918,0.20125454234130435,-0.0007805962724250863,-0.0033608905045107457,665,250,"Q1,Q3,S2,S3,S4",-0.0003449087743166522,0.01902404714868372,0.0001770092791505314,0.0007857780627578537,0.0014509597137733758,0.0028803108738369616,1,1,2,0.513206077465642,2.278219985312552,0.47295574327316886,500,250,"Q3,S4",-0.00031507121630353145,0.017715777716689387,0.0001770092791505314,0.0008028465098214087,0.0014567072195010302,0.0028509023303661548,1,1,2,0.5618072041846097,2.5481429857050704,0.47405839662163896,False,0.020276555261427076,
0.75,raw,0.75,-0.001085183282338975,-0.0012727238597273205,0.0001875405773883454,-0.001102642981584964,0.926923076923077,-0.0009262681509941556,0.875,-0.0010582560495632637,0.00013198789856910809,0.7499999999999967,e154,1.0,0.7499999999999869,0.0236210369555859,0.41302165135124047,0.9578583419228498,0.012351751123600587,0.29979265372551356,0.9540043840424499,ordinal,0.17371675268372275,0.16701164523487322,-0.0005892818625284719,-0.0025371781626619687,665,250,"Q1,Q3,S2,S3,S4",-0.00036305954167041945,0.024901709193825346,0.00023601237220070888,0.0010533935660316572,0.0019365287869403851,0.003826002359490898,1,1,2,0.6500651962342797,2.901434737632963,0.47318725783450405,500,250,"Q3,S4",-0.0003332219836572988,0.02362103695558584,0.00023601237220070888,0.0010704620130952123,0.0019422762926680397,0.003801203107154872,1,1,2,0.7082737147481696,3.2124591581452377,0.47405839662163884,False,0.02111566406973112,
