source,field,scope,modifier,mask_kind,quantile,rows,evaluated,strict,strict_actionable,post101_submit_gate,best_all_minus_e95,best_all_delta_vs_mixmin,best_tail,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_sensor_beat
e90,tail_equal,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-6.893227788573597e-08,-2.6276323505824983e-05,0.0007959383925376135,1.8537845175961566e-07,5.190047157363061e-07,0.017543859649122806
e90,tail_equal,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-7.670201618292793e-08,-2.6284093244122175e-05,0.0007964926129393662,1.9230324145779664e-07,5.217470740703623e-07,0.03508771929824561
noq2,tail_equal,e95_moved,soft_nonactive,soft,0.85,4,4,0,0,0,-9.385357380153891e-08,-2.6301244801740786e-05,0.000796321092394006,1.9399002034136036e-07,6.14449689901039e-07,0.05263157894736842
e86,tail_equal,e95_moved,soft_nonactive,soft,0.85,4,4,0,0,0,-9.37555900692999e-08,-2.6301146818008547e-05,0.0007963188746886564,1.9409999305894296e-07,6.149449847620953e-07,0.05263157894736842
e90,tail_equal,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-7.923262257403252e-08,-2.628662385051328e-05,0.0007966307445012595,1.9461598854253552e-07,5.214627249437947e-07,0.03508771929824561
noq2,density_score,e95_fallback,soft_nonactive,soft,0.85,4,4,0,0,0,-7.356405684610934e-08,-2.6280955284785357e-05,0.0007960627083827903,1.955301821927332e-07,6.995968023579279e-07,0.2982456140350877
e90,tail_equal,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-7.827094850032523e-08,-2.6285662176439573e-05,0.0007967195461937029,1.9601714245575226e-07,5.350397310697366e-07,0.03508771929824561
noq2,tail_equal,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.0084221935269255e-07,-2.630823344729194e-05,0.0007966180635380377,1.9799072635626558e-07,6.551016666668195e-07,0.03508771929824561
e86,tail_equal,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.0073427758605646e-07,-2.6308125505525304e-05,0.0007966159943175446,1.9811516088262278e-07,6.556036813861781e-07,0.03508771929824561
noq2,tail_equal,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.0290794960621241e-07,-2.631029917754546e-05,0.0007969015378811241,2.015055375952878e-07,6.545655770173651e-07,0.03508771929824561
e86,tail_equal,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.0279130002732728e-07,-2.6310182527966575e-05,0.000796899972266061,2.01652732934618e-07,6.55099466062249e-07,0.03508771929824561
noq2,tail_equal,all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.0385882187602391e-07,-2.631125004981527e-05,0.00079695973081893,2.0246593777631424e-07,6.543329277874894e-07,0.03508771929824561
noq2,tail_equal,e95_fallback,raw,hard,0.85,4,4,0,0,0,-8.981102639360472e-08,-2.6297202254332852e-05,0.0007959427324248607,2.1335842767578905e-07,8.658439646874668e-07,0.543859649122807
noq2,tail_equal,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.1262065313655256e-07,-2.63200118810758e-05,0.0007976488167730982,2.145223986509303e-07,6.521715810191993e-07,0.03508771929824561
e86,tail_equal,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.124943086461272e-07,-2.6319885536585375e-05,0.000797647234488046,2.1467464421543255e-07,6.5273163940758e-07,0.03508771929824561
noq2,tail_equal,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.1515473863354941e-07,-2.6322545966572797e-05,0.0007977869807815781,2.168340764518704e-07,6.515381122419305e-07,0.03508771929824561
e86,tail_equal,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.1502490393500153e-07,-2.632241613187425e-05,0.0007977853660499392,2.169873919214562e-07,6.521151609736645e-07,0.03508771929824561
noq2,tail_equal,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.1458320170465441e-07,-2.6321974429643902e-05,0.0007978831879780324,2.1808411456310488e-07,6.516768259305888e-07,0.03508771929824561
e86,tail_equal,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.144555114018786e-07,-2.6321846739341126e-05,0.0007978818340899722,2.1824012749659637e-07,6.522533524927499e-07,0.03508771929824561
noq2,tail_equal,all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.1446056935593418e-07,-2.632185179729518e-05,0.000797892454684363,2.1832828396736847e-07,6.51706646414979e-07,0.03508771929824561
e89,density_score,e95_fallback,soft_nonactive,soft,0.7,4,3,0,0,0,-3.52478307652504e-08,-2.6242639058704498e-05,0.0007941031167301273,2.2479280689467503e-07,6.947921649001847e-07,0.22807017543859648
noq2,low_alpha,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.2486247236154213e-07,-2.633225370030079e-05,0.0008005490983045485,2.3970254530571545e-07,6.013853515222419e-07,0.10526315789473684
e86,low_alpha,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.247235869028529e-07,-2.63321148148421e-05,0.0008005493162755814,2.40065320505428e-07,6.01498895948473e-07,0.10526315789473684
e90,low_alpha,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-9.886698293382068e-08,-2.6306258210873068e-05,0.0007998786716050585,2.4309109600451595e-07,5.833305644683532e-07,0.10526315789473684
e89,tail_equal,e95_fallback,raw,hard,0.7,4,4,0,0,0,-9.544531165417425e-08,-2.630283653959342e-05,0.0007992818907302584,2.45077548596078e-07,7.701768312572663e-07,0.3684210526315789
e89,tail_equal,e95_fallback,raw,hard,0.85,4,2,0,0,0,-2.1806981220784394e-08,-2.6229198209160032e-05,0.0007918792233954175,2.5209183391084005e-07,1.2022737903222282e-06,0.7017543859649122
noq2,low_alpha,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.3282587041363314e-07,-2.634021709835288e-05,0.0008012348473129445,2.5404986280692107e-07,5.99970854584892e-07,0.08771929824561403
e86,low_alpha,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.3266200160622077e-07,-2.6340053229545468e-05,0.0008012350345211894,2.544232308147245e-07,6.000887548319731e-07,0.08771929824561403
e90,density_score,e95_moved,soft_nonactive,soft,0.85,4,4,0,0,0,-8.326616873777226e-08,-2.629065739667702e-05,0.0007987667793260539,2.5538950448531686e-07,6.977174588044241e-07,0.10526315789473684
e90,low_alpha,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.0680578232946658e-07,-2.6314197010268714e-05,0.0008005643898506665,2.5744897922582594e-07,5.900433432182518e-07,0.08771929824561403
e90,density_score,e95_fallback,soft_nonactive,soft,0.85,4,4,0,0,0,-7.984919170311855e-08,-2.6287240419642366e-05,0.0007987364661072091,2.5862884975511795e-07,8.996591253815801e-07,0.24561403508771928
noq2,density_score,e95_moved,soft_nonactive,soft,0.85,4,4,0,0,0,-1.2411133643031036e-07,-2.6331502564369558e-05,0.0007997397863651038,2.675194831754146e-07,7.937978846099729e-07,0.10526315789473684
e86,density_score,e95_moved,soft_nonactive,soft,0.85,4,4,0,0,0,-1.239456101087555e-07,-2.6331336838048003e-05,0.0007997387019863178,2.677593574230808e-07,7.947059227131898e-07,0.10526315789473684
noq2,low_alpha,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.4143029969382326e-07,-2.634882152763307e-05,0.0008023766922868106,2.697780476655983e-07,6.372193568939816e-07,0.08771929824561403
e86,low_alpha,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.4125138403375814e-07,-2.6348642611973006e-05,0.0008023762540365446,2.7014407040764e-07,6.384089952644018e-07,0.08771929824561403
noq2,low_alpha,all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.4317833207933006e-07,-2.6350569560018577e-05,0.0008024858998911782,2.7158557855217724e-07,6.367944641869926e-07,0.08771929824561403
e90,low_alpha,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.1383322118252437e-07,-2.6321224449121772e-05,0.0008015014030315663,2.7162075020804226e-07,5.898675482623357e-07,0.08771929824561403
noq2,low_alpha,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.5495873673110339e-07,-2.636234996467035e-05,0.0008029694199867432,2.8168182879224864e-07,6.580967050718181e-07,0.07017543859649122
noq2,low_alpha,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.5495591565439781e-07,-2.6362347143593645e-05,0.0008029694147732922,2.816829086994335e-07,6.580972232647388e-07,0.07017543859649122
e90,low_alpha,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.2827980155893925e-07,-2.6335671029498187e-05,0.0008020257657264541,2.819587880986428e-07,6.106636980281982e-07,0.07017543859649122
e86,low_alpha,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.547879200369806e-07,-2.6362179147976228e-05,0.0008029696844391309,2.82075181642179e-07,6.573230080559076e-07,0.07017543859649122
e86,low_alpha,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.547879200369806e-07,-2.6362179147976228e-05,0.0008029696844391309,2.82075181642179e-07,6.573230080559076e-07,0.07017543859649122
e90,low_alpha,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.2797856652202455e-07,-2.6335369794461272e-05,0.0008020396172499148,2.823397481937634e-07,6.107316548399439e-07,0.07017543859649122
noq2,density_score,e95_fallback,soft_nonactive,soft,0.7,4,4,0,0,0,-1.3091250694596823e-07,-2.6338303734885216e-05,0.0008004080663491252,2.857056033003382e-07,8.262647186930951e-07,0.07017543859649122
noq2,low_alpha,e95_moved,soft_nonactive,soft,0.85,4,3,0,0,0,-5.990101514807833e-08,-2.6267292243087326e-05,0.0007957413576393957,2.90052374362802e-07,8.911733638593825e-07,0.2807017543859649
e86,low_alpha,e95_moved,soft_nonactive,soft,0.85,4,3,0,0,0,-5.971994232467637e-08,-2.6267111170263924e-05,0.0007957404277960209,2.906581473799273e-07,8.895061229567751e-07,0.2807017543859649
noq2,low_alpha,all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.5676123410468534e-07,-2.6364152462043933e-05,0.0008034831738042682,2.9310215401416787e-07,6.577615218537871e-07,0.05263157894736842
e90,density_score,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.1892446438732662e-07,-2.6326315692326574e-05,0.0008010507391227714,2.9598633107502777e-07,7.351789023150521e-07,0.07017543859649122
e90,density_score,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.1892446438732662e-07,-2.6326315692326574e-05,0.0008010507391227714,2.9598633107502777e-07,7.351789023150521e-07,0.07017543859649122
e90,low_alpha,e95_moved,soft_nonactive,soft,0.85,4,3,0,0,0,-3.14419429381374e-08,-2.6238833170877385e-05,0.0007951090388981615,2.967765746954112e-07,7.648143750940467e-07,0.24561403508771928
noq2,density_score,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.5793154073406868e-07,-2.6365322768673316e-05,0.0008020244569903003,3.0569849925678767e-07,8.184357729361793e-07,0.07017543859649122
e86,density_score,non_q2s3,soft_nonactive,soft,0.85,4,4,0,0,0,-1.5769900463258324e-07,-2.636509023257183e-05,0.0008020226617830356,3.05983579399754e-07,8.194497215569864e-07,0.07017543859649122
noq2,density_score,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.5930006924680384e-07,-2.636669129718605e-05,0.0008022023925802017,3.070423720863252e-07,8.5764927845856e-07,0.07017543859649122
e86,density_score,s_all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.5906524597486538e-07,-2.6366456473914113e-05,0.0008022007981107742,3.0733464075729434e-07,8.586468790581888e-07,0.07017543859649122
e90,density_score,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.241008920072062e-07,-2.6331492119946454e-05,0.0008017533061879466,3.103676457177626e-07,7.385625855029114e-07,0.03508771929824561
e90,density_score,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.304999606155377e-07,-2.6337891188554785e-05,0.0008021072033074004,3.151102655844147e-07,7.37842445174309e-07,0.03508771929824561
e90,density_score,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.2954626271710623e-07,-2.6336937490656354e-05,0.0008022129141528332,3.1609817742678103e-07,7.557841387953467e-07,0.03508771929824561
noq2,density_score,all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.664528339606619e-07,-2.637384406189991e-05,0.000803145899529231,3.2971769279011425e-07,8.717637709823058e-07,0.05263157894736842
noq2,density_score,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.6719627871086828e-07,-2.6374587506650116e-05,0.0008032025724395691,3.3075780334651165e-07,8.715463943368155e-07,0.05263157894736842
e86,density_score,e95_moved,soft_nonactive,soft,0.7,4,4,0,0,0,-1.6702797511758405e-07,-2.637441920305683e-05,0.0008032014328173921,3.310600075165705e-07,8.725816598194765e-07,0.05263157894736842
noq2,density_score,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.7399189078393107e-07,-2.638138311872318e-05,0.0008035950009481708,3.363189748133072e-07,8.698864962931858e-07,0.03508771929824561
e86,density_score,non_q2s3,soft_nonactive,soft,0.7,4,4,0,0,0,-1.7380340178174691e-07,-2.6381194629720994e-05,0.0008035939401057885,3.366252746788623e-07,8.70929186038841e-07,0.03508771929824561
noq2,density_score,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.7357884085633657e-07,-2.6380970068795584e-05,0.0008037135688693871,3.3716355523376136e-07,8.699864613050936e-07,0.03508771929824561
e86,density_score,s_all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.733908066015033e-07,-2.638078203454075e-05,0.0008037125868721142,3.374738853051899e-07,8.710290400059992e-07,0.03508771929824561
noq2,density_score,all,soft_nonactive,soft,0.7,4,4,0,0,0,-1.736244686911803e-07,-2.6381015696630428e-05,0.0008037835907183475,3.380735719544829e-07,8.699752227770133e-07,0.03508771929824561
e89,density_score,e95_fallback,raw,hard,0.7,4,4,0,0,0,-1.3041463475804704e-07,-2.6337805862697294e-05,0.0008066223027605157,3.718688049535996e-07,1.0053283080572468e-06,0.22807017543859648
e90,tail_equal,e95_fallback,soft_nonactive,soft,0.85,4,4,0,0,0,-1.4335503351059486e-07,-2.6350746261449842e-05,0.000803128042337715,3.744397576572653e-07,1.3777657511889103e-06,0.2631578947368421
e90,density_score,e95_fallback,soft_nonactive,soft,0.7,4,4,0,0,0,-1.6355747356477934e-07,-2.6370948701504027e-05,0.0008042467770384954,3.760645833622165e-07,1.252638796300976e-06,0.05263157894736842
e86,low_alpha,e95_moved,raw,hard,0.85,4,4,0,0,0,-2.0177612525262845e-07,-2.6409167353191876e-05,0.0008268888237420776,3.799649063183433e-07,1.1756394733942874e-06,0.2807017543859649
noq2,density_score,e95_fallback,raw,hard,0.85,4,4,0,0,0,-1.5985547541230716e-07,-2.6367246703351555e-05,0.00080657923082605,4.609457207131729e-07,1.6181727135320983e-06,0.2982456140350877
e90,density_score,all,soft_nonactive,soft,0.85,4,4,0,0,0,-1.9695128528063321e-07,-2.640434251321988e-05,0.0008076527608233565,4.612068649105645e-07,1.4168593444786067e-06,0.017543859649122806
e90,density_score,all,soft_nonactive,soft,0.7,4,4,0,0,0,-2.161506675868452e-07,-2.6423541895526093e-05,0.000808893330679364,4.834771987098818e-07,1.4348130496584722e-06,0.017543859649122806
e90,low_alpha,e95_fallback,soft_nonactive,soft,0.85,4,4,0,0,0,-1.9290106634262116e-07,-2.640029229428187e-05,0.0008094620041703513,4.958458854411695e-07,1.8291995168790173e-06,0.40350877192982454
e90,tail_equal,e95_fallback,soft_nonactive,soft,0.7,4,4,0,0,0,-2.377123741181819e-07,-2.644510360205743e-05,0.0008113175962294835,5.436081189999916e-07,1.7718432554306998e-06,0.10526315789473684
noq2,tail_equal,e95_fallback,raw,hard,0.7,4,4,0,0,0,-2.5280280613326767e-07,-2.6460194034072515e-05,0.0008085944905359642,5.46751886642105e-07,1.974268894885426e-06,0.12280701754385964
e90,tail_equal,all,soft_nonactive,soft,0.85,4,4,0,0,0,-2.688227310754243e-07,-2.647621395901467e-05,0.0008144088864169743,6.081834885554121e-07,1.9117374310762637e-06,0.05263157894736842
e90,tail_equal,all,soft_nonactive,soft,0.7,4,4,0,0,0,-2.7720811957010483e-07,-2.6484599347509352e-05,0.0008151410556968222,6.180691073789359e-07,1.941190639459679e-06,0.03508771929824561
e90,low_alpha,e95_fallback,soft_nonactive,soft,0.7,4,4,0,0,0,-2.3463959164526926e-07,-2.6442030819584517e-05,0.0008164119392560509,6.200336945480436e-07,2.0066319184442653e-06,0.17543859649122806
e90,density_score,e95_fallback,raw,hard,0.85,4,3,0,0,0,-1.3637052853621157e-07,-2.634376175647546e-05,0.0008081312940148514,6.515360741961288e-07,2.218087627568315e-06,0.24561403508771928
e86,density_score,e95_fallback,soft_nonactive,soft,0.85,4,4,0,0,0,-1.453608945434226e-07,-2.635275212248267e-05,0.000811024556072264,7.242907831625951e-07,2.361090733644715e-06,0.15789473684210525
e90,density_score,e95_moved,raw,hard,0.85,4,4,0,0,0,-2.888344814433452e-07,-2.6496225709382593e-05,0.0008203495530782008,7.626899838019287e-07,1.961097797023025e-06,0.10526315789473684
noq2,density_score,e95_moved,raw,hard,0.85,4,4,0,0,0,-3.7565428623320685e-07,-2.6583045514172454e-05,0.0008223575327626413,7.730688145359621e-07,2.084214466844489e-06,0.10526315789473684
e86,density_score,e95_moved,raw,hard,0.85,4,4,0,0,0,-3.7522789197996786e-07,-2.6582619119919215e-05,0.0008223563310666619,7.737197104106638e-07,2.0862399584786036e-06,0.10526315789473684
e86,low_alpha,s_all,raw,hard,0.85,4,4,0,0,0,-5.387575959803215e-07,-2.674614882391957e-05,0.0008541623867166767,7.908272679662336e-07,2.0425108813598195e-06,0.10526315789473684
e90,low_alpha,s_all,raw,hard,0.85,4,4,0,0,0,-4.212270690029385e-07,-2.6628618296942186e-05,0.0008446722630178614,8.093784080834958e-07,1.9646258550868028e-06,0.10526315789473684
e90,tail_equal,e95_fallback,raw,hard,0.85,4,3,0,0,0,-2.0443638926170848e-07,-2.6411827617200956e-05,0.0008117318947573318,8.23986662774797e-07,2.943366597562174e-06,0.24561403508771928
e90,low_alpha,all,soft_nonactive,soft,0.85,4,4,0,0,0,-3.738686605858632e-07,-2.658125988852511e-05,0.0008281335121725951,8.389125036206156e-07,2.35887652147627e-06,0.03508771929824561
e86,density_score,e95_fallback,soft_nonactive,soft,0.7,4,4,0,0,0,-2.290706737628767e-07,-2.6436461901702124e-05,0.0008165348670035504,8.417264138850482e-07,2.417127707155704e-06,0.05263157894736842
e90,low_alpha,all,soft_nonactive,soft,0.7,4,4,0,0,0,-3.8520488832016753e-07,-2.6592596116259415e-05,0.0008288798513941661,8.536944284031001e-07,2.3701040894861214e-06,0.03508771929824561
noq2,density_score,e95_fallback,raw,hard,0.7,4,4,0,0,0,-4.1023736729872695e-07,-2.6617628595237974e-05,0.0008260345646189702,8.730398323023139e-07,2.2111277825822247e-06,0.07017543859649122
e90,tail_equal,e95_moved,raw,hard,0.85,4,4,0,0,0,-3.121462283095511e-07,-2.65195374562488e-05,0.0008231023264889527,8.732209212728873e-07,2.2150213188264577e-06,0.03508771929824561
noq2,tail_equal,e95_moved,raw,hard,0.85,4,4,0,0,0,-3.98064027629097e-07,-2.6605455255568344e-05,0.000825118594805412,8.838283604081054e-07,2.213691746167062e-06,0.03508771929824561
e86,tail_equal,e95_moved,raw,hard,0.85,4,4,0,0,0,-3.9762353687411434e-07,-2.660501476481336e-05,0.0008251091044774138,8.842500328103693e-07,2.2116291867765563e-06,0.03508771929824561
e86,low_alpha,e95_moved,raw,hard,0.7,4,4,0,0,0,-5.855159511680696e-07,-2.6792907179107317e-05,0.0008586784272270529,8.852411715370452e-07,2.029926057095314e-06,0.08771929824561403
e90,low_alpha,e95_moved,raw,hard,0.7,4,4,0,0,0,-4.679938742091494e-07,-2.6675385102148397e-05,0.0008491883035282376,9.037916875123059e-07,2.150153191561279e-06,0.08771929824561403
e90,tail_equal,non_q2s3,raw,hard,0.85,4,4,0,0,0,-3.7770115413060523e-07,-2.6585092382069853e-05,0.0008251249279701834,9.1249083408133e-07,2.24627778712916e-06,0.017543859649122806
noq2,tail_equal,non_q2s3,raw,hard,0.85,4,4,0,0,0,-4.765494229230782e-07,-2.6683940650862326e-05,0.0008286658218275217,9.327186161148776e-07,2.3224371454573376e-06,0.017543859649122806
e86,tail_equal,non_q2s3,raw,hard,0.85,4,4,0,0,0,-4.7596958152595903e-07,-2.6683360809465206e-05,0.0008286579815188325,9.332990943570246e-07,2.320404870326765e-06,0.017543859649122806
e90,tail_equal,s_all,raw,hard,0.85,4,4,0,0,0,-4.0291314695739544e-07,-2.6610304374896643e-05,0.0008287716058851118,9.569215791091113e-07,2.243113252709866e-06,0.017543859649122806
e90,low_alpha,e95_fallback,raw,hard,0.85,4,4,0,0,0,-2.4376866847308776e-07,-2.6451159896412335e-05,0.0008335477793070469,9.59879080295747e-07,3.5614595850069465e-06,0.40350877192982454
noq2,tail_equal,s_all,raw,hard,0.85,4,4,0,0,0,-4.994773493693927e-07,-2.670686857730864e-05,0.0008325789352327224,9.814135769928903e-07,2.3172443481082076e-06,0.017543859649122806
e86,tail_equal,s_all,raw,hard,0.85,4,4,0,0,0,-4.987910873222035e-07,-2.670618231526145e-05,0.0008325783250494204,9.823156033213034e-07,2.3153486485161276e-06,0.017543859649122806
e86,density_score,all,soft_nonactive,soft,0.85,4,4,0,0,0,-2.9828070957638175e-07,-2.650567193751563e-05,0.0008226683191747151,9.83388370230257e-07,2.5954236496078976e-06,0.017543859649122806
noq2,tail_equal,all,raw,hard,0.85,4,4,0,0,0,-5.129226934297293e-07,-2.6720313921368977e-05,0.0008335132562742252,9.96937580924333e-07,2.3145109738655236e-06,0.017543859649122806
e86,density_score,all,soft_nonactive,soft,0.7,4,4,0,0,0,-3.185020035489927e-07,-2.652589323148824e-05,0.0008240226266875196,1.0075597752115763e-06,2.6180172102325005e-06,0.017543859649122806
noq2,density_score,non_q2s3,raw,hard,0.85,4,4,0,0,0,-5.795809514541617e-07,-2.678697217939341e-05,0.0008370333218802409,1.012308815440524e-06,2.2482500164804435e-06,0.07017543859649122
e86,density_score,non_q2s3,raw,hard,0.85,4,4,0,0,0,-5.787605930063222e-07,-2.678615182094557e-05,0.000837026532660705,1.0132250695653994e-06,2.2517614725613277e-06,0.07017543859649122
e90,density_score,non_q2s3,raw,hard,0.85,4,4,0,0,0,-5.031535778021734e-07,-2.671054480574142e-05,0.0008350197546722436,1.0163539701364858e-06,2.4927612415482785e-06,0.07017543859649122
e90,density_score,s_all,raw,hard,0.85,4,4,0,0,0,-5.031535778021734e-07,-2.671054480574142e-05,0.0008350197546722436,1.0163539701364858e-06,2.4927612415482785e-06,0.07017543859649122
e90,low_alpha,non_q2s3,raw,hard,0.85,4,4,0,0,0,-4.967769872132877e-07,-2.6704168215152535e-05,0.0008389570449299164,1.0226179365971847e-06,2.382552083372973e-06,0.08771929824561403
noq2,density_score,s_all,raw,hard,0.85,4,4,0,0,0,-5.897246759811736e-07,-2.679711590392042e-05,0.0008385579123754065,1.0239296772797113e-06,2.4139366794214307e-06,0.07017543859649122
e86,density_score,s_all,raw,hard,0.85,4,4,0,0,0,-5.888826621891496e-07,-2.6796273890128397e-05,0.0008385528082208923,1.0249060006072702e-06,2.4151914460686667e-06,0.07017543859649122
noq2,low_alpha,non_q2s3,raw,hard,0.85,4,4,0,0,0,-5.784454960577889e-07,-2.6785836723997036e-05,0.0008424949607655725,1.0286818565277738e-06,2.373056624331428e-06,0.08771929824561403
e86,low_alpha,non_q2s3,raw,hard,0.85,4,4,0,0,0,-5.779852012555153e-07,-2.6785376429194763e-05,0.0008424900984785651,1.0296471715842827e-06,2.3742446692478505e-06,0.08771929824561403
