policy_id,policy_note,split,model,n_cells,n_rows,n_good,mean_benefit_delta,median_benefit_delta,prevalence,auc,ap,ap_lift
attention_money_q3,Q3 cognitive-money/routine/global attention state,subject_oof,hgb_shallow,91,74,61,-0.010703277643529475,-0.010730307694099661,0.6703296703296703,0.507103825136612,0.6774233374132056,0.0070936670835353155
mobility_q3,Q3 mobility/context state only,subject_oof,hgb_shallow,51,48,36,-0.013298017497484235,-0.014653296694533746,0.7058823529411765,0.5,0.6963910310819319,-0.009491321859244617
attention_money_q3,Q3 cognitive-money/routine/global attention state,subject_oof,lr_l2,91,74,61,-0.010703277643529475,-0.010730307694099661,0.6703296703296703,0.4978142076502732,0.7073952993227852,0.03706562899311494
q3_only,Q3-only subjective sleep row action,subject_oof,lr_l2,160,131,121,-0.011548494997564326,-0.012284787439924394,0.75625,0.48908667090485275,0.7555914437472591,-0.0006585562527409161
jepa_only,JEPA-derived diary axes only,subject_oof,lr_l2,121,88,89,-0.014119183883760225,-0.015086918923442105,0.7355371900826446,0.48314606741573035,0.7326947410682234,-0.002842449014421211
jepa_only,JEPA-derived diary axes only,subject_oof,lr_l1,121,88,89,-0.014119183883760225,-0.015086918923442105,0.7355371900826446,0.4726123595505618,0.705541144050585,-0.02999604603205963
q3_only,Q3-only subjective sleep row action,subject_oof,hgb_shallow,160,131,121,-0.011548494997564326,-0.012284787439924394,0.75625,0.47107438016528924,0.7466369295221068,-0.00961307047789317
full_qsleep,all q-sleep Q1/Q2/Q3 axes,dateblock_oof,lr_l2,232,160,171,-0.007965326596211558,-0.011628875585710241,0.7370689655172413,0.47042469561882844,0.7285258253835316,-0.008543140133709715
q3_only,Q3-only subjective sleep row action,dateblock_oof,hgb_shallow,160,131,121,-0.007464694088306764,-0.010429729684362343,0.75625,0.4681076499258317,0.7452268488627662,-0.011023151137233733
full_qsleep,all q-sleep Q1/Q2/Q3 axes,dateblock_oof,hgb_shallow,232,160,171,-0.007965326596211558,-0.011628875585710241,0.7370689655172413,0.46352219346179657,0.7106896703287058,-0.026379295188535545
jepa_only,JEPA-derived diary axes only,dateblock_oof,lr_l2,121,88,89,-0.008968295037339313,-0.013093132701380794,0.7355371900826446,0.4624297752808989,0.7130071261271509,-0.02253006395549373
full_qsleep,all q-sleep Q1/Q2/Q3 axes,subject_oof,lr_l2,232,160,171,-0.011667717320836763,-0.014172335408311726,0.7370689655172413,0.46035854663982356,0.7190785198429612,-0.017990445674280098
q3_only,Q3-only subjective sleep row action,dateblock_oof,lr_l2,160,131,121,-0.007464694088306764,-0.010429729684362343,0.75625,0.45941936851027765,0.7533191401218038,-0.0029308598781961903
attention_money_q3,Q3 cognitive-money/routine/global attention state,dateblock_oof,lr_l2,91,74,61,-0.006113287791401501,-0.009629333462703338,0.6703296703296703,0.45846994535519126,0.6451803565921171,-0.025149313737553136
attention_money_q3,Q3 cognitive-money/routine/global attention state,dateblock_oof,lr_l1,91,74,61,-0.006113287791401501,-0.009629333462703338,0.6703296703296703,0.45355191256830607,0.628792813453009,-0.04153685687666131
jepa_only,JEPA-derived diary axes only,dateblock_oof,hgb_shallow,121,88,89,-0.008968295037339313,-0.013093132701380794,0.7355371900826446,0.4385533707865169,0.686412989349059,-0.04912420073358559
mobility_q3,Q3 mobility/context state only,dateblock_oof,lr_l2,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.43703703703703706,0.6734045399386613,-0.03247781300251518
jepa_only,JEPA-derived diary axes only,subject_oof,hgb_shallow,121,88,89,-0.014119183883760225,-0.015086918923442105,0.7355371900826446,0.43644662921348315,0.6980974653068899,-0.037439724775754746
full_qsleep,all q-sleep Q1/Q2/Q3 axes,subject_oof,lr_l1,232,160,171,-0.011667717320836763,-0.014172335408311726,0.7370689655172413,0.43164605502828113,0.6899691826657025,-0.04709978285153882
full_qsleep,all q-sleep Q1/Q2/Q3 axes,subject_oof,hgb_shallow,232,160,171,-0.011667717320836763,-0.014172335408311726,0.7370689655172413,0.42594190394017833,0.7048614524666257,-0.032207513050615644
attention_money_q3,Q3 cognitive-money/routine/global attention state,dateblock_oof,hgb_shallow,91,74,61,-0.006113287791401501,-0.009629333462703338,0.6703296703296703,0.39234972677595625,0.6306561797582106,-0.039673490571459635
jepa_only,JEPA-derived diary axes only,dateblock_oof,lr_l1,121,88,89,-0.008968295037339313,-0.013093132701380794,0.7355371900826446,0.39009831460674155,0.6768065889406074,-0.05873060114203721
bedtime_q3,Q3 bedtime-phone state only,dateblock_oof,hgb_shallow,24,24,19,-0.015525054537759998,-0.01834781873507041,0.7916666666666666,0.27368421052631575,0.7234889275035998,-0.0681777391630668
bedtime_q3,Q3 bedtime-phone state only,subject_oof,hgb_shallow,24,24,19,-0.021279106090458372,-0.019186607814070833,0.7916666666666666,0.19999999999999998,0.7445166770681645,-0.04714998959850214
