pool,base_agg,delta_agg,gate,n,pool_size,strict_consensus_gate,loose_consensus_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
all,mean,mean,none,7,155,0,3,0,-9.810167273860415e-06,-4.952457045681591e-06,3.2826386268114405e-06,3,3,-0.0006454879826693766,-0.0006688958342629004,0.9166666666666666
top100_heldout,median,mean,none,7,100,0,3,0,-9.768726850989395e-06,-5.131908104027971e-06,4.302237429198996e-06,3,3,-0.0006747115448456353,-0.0006512349097796133,0.9166666666666666
high_block,mean,mean,agree60,7,65,0,3,0,-9.75771665123748e-06,-5.02992481632436e-06,6.492662183887887e-06,3,3,-0.00042330418140060916,-0.0004071005258558581,0.6666666666666666
translator_tail_soft_p90_m1.00,mean,mean,none,7,34,0,3,0,-9.731060987006046e-06,-4.8338859216512375e-06,5.6200237185111135e-06,3,3,-0.0006287547384353984,-0.0006606213303604449,0.8888888888888888
high_block,median,mean,none,7,65,0,3,0,-9.673093179896064e-06,-5.095958160672431e-06,6.8321131458937145e-06,3,3,-0.0006468626787476256,-0.0006161210609799128,0.9166666666666666
all,median,mean,none,7,155,0,3,0,-9.642237481344296e-06,-5.032794973880428e-06,3.057757232083347e-06,3,3,-0.0006454879826693488,-0.000669861241899622,0.9166666666666666
translator_tail_soft_p90_m1.00,mean,weighted_mean,none,7,34,0,3,0,-9.612849625861841e-06,-4.715674560507033e-06,6.466192142839944e-06,3,3,-0.0007243158987292331,-0.0007354533351810744,0.8888888888888888
high_world,mean,mean,none,7,54,0,3,0,-9.559940924108723e-06,-4.679422950903955e-06,2.8218401155744033e-06,3,3,-0.0005025981355176665,-0.0005230973020122988,0.9166666666666666
translator_tail_soft_p90_m0.50,mean,mean,none,7,19,0,3,0,-9.5299988011055e-06,-4.812250498531512e-06,7.5220570378009555e-06,3,3,-0.0007207174227720145,-0.0007493248546686371,0.8888888888888888
translator_tail_soft_max_m1.00,mean,median,none,7,44,0,3,0,-9.498981237143767e-06,-4.62770790821132e-06,5.906678949063604e-06,3,3,-0.0005002677370651576,-0.000456205687215483,0.6666666666666666
translator_tail_soft_p90_m1.00,median,mean,none,7,34,0,3,0,-9.469039346288177e-06,-4.860536672035565e-06,4.976103176623781e-06,3,3,-0.0006287547384353984,-0.0006611923270242958,0.8888888888888888
top100_heldout,mean,weighted_mean,agree60,7,100,0,3,0,-9.45496508353294e-06,-4.666272220177348e-06,4.368345124960982e-06,3,3,-0.0005775768262733724,-0.0004923556206512191,0.6111111111111112
top100_heldout,mean,weighted_mean,agree60_top50,7,100,0,3,0,-9.408689181977792e-06,-4.619996318622199e-06,4.25544372817388e-06,3,3,-0.0005684226856232724,-0.00048165855602862466,0.6111111111111112
high_world,median,mean,none,7,54,0,3,0,-9.397182545001215e-06,-4.70651452932902e-06,1.8575062913361862e-06,3,3,-0.0005025981355176318,-0.000524343599497612,0.9166666666666666
top100_heldout,median,weighted_mean,agree60,7,100,0,3,0,-9.329730163543104e-06,-4.69291141658168e-06,3.930182969402729e-06,3,3,-0.000577576826273303,-0.0004945020361126929,0.6111111111111112
high_block,mean,weighted_mean,agree60,7,65,0,3,0,-9.329703298921466e-06,-4.601911464008346e-06,6.9151059415295535e-06,3,3,-0.00048533626946391933,-0.0004584679812445092,0.6666666666666666
translator_tail_soft_p90_m1.00,median,weighted_mean,none,7,34,0,3,0,-9.325178544794532e-06,-4.71667587054192e-06,5.821436317998696e-06,3,3,-0.0007243158987292053,-0.0007360243318450476,0.8888888888888888
high_block,mean,signed_p75,agree60,7,65,0,3,0,-9.29148902328869e-06,-4.563697188375571e-06,6.701309726686588e-06,3,3,-0.0005469210827965323,-0.0005353267552821561,0.6666666666666666
translator_tail_soft_max_m1.00,median,median,none,7,44,0,3,0,-9.28483376605449e-06,-4.617542244678141e-06,5.217519818856431e-06,3,3,-0.0005002677370651437,-0.0004565131981492611,0.6666666666666666
top100_heldout,median,weighted_mean,agree60_top50,7,100,0,3,0,-9.284512940910261e-06,-4.647694193948837e-06,3.820338455917671e-06,3,3,-0.0005684226856232377,-0.00048403833991124694,0.6111111111111112
high_block,mean,weighted_mean,agree60_top50,7,65,0,3,0,-9.278176855032072e-06,-4.550385020118952e-06,7.01614794418326e-06,3,3,-0.00048332372636999965,-0.00044735206471491207,0.6666666666666666
translator_tail_soft_p90_m0.50,mean,weighted_mean,agree60,7,19,0,3,0,-9.265552997184123e-06,-4.547804694610136e-06,7.162532218996098e-06,3,3,-0.0005693697280687512,-0.000589658643215263,0.6944444444444444
high_world,mean,weighted_mean,none,7,54,0,3,0,-9.24021635340111e-06,-4.359698380196342e-06,2.6995317047306955e-06,3,3,-0.0005249123477871209,-0.0005525623183557649,0.9166666666666666
translator_tail_soft_p90_m0.50,mean,weighted_mean,agree60_top50,7,19,0,3,0,-9.209591428027686e-06,-4.491843125453698e-06,7.028670024999961e-06,3,3,-0.0005353322629611038,-0.0005383117835458698,0.6388888888888888
high_block,median,weighted_mean,agree60,7,65,0,3,0,-9.198859370229684e-06,-4.621724351006051e-06,5.847706129324948e-06,3,3,-0.0004853362694638985,-0.0004596878965964779,0.6666666666666666
top100_heldout,mean,mean,agree60,7,100,0,3,0,-9.19742274696489e-06,-4.408729883609297e-06,4.736073260347418e-06,3,3,-0.0004781922161824978,-0.00040900873995664,0.6111111111111112
high_block,median,weighted_mean,agree60_top50,7,65,0,3,0,-9.158591401714489e-06,-4.581456382490856e-06,5.94244368423702e-06,3,3,-0.0004833237263699927,-0.00044857198006688077,0.6666666666666666
high_block,median,signed_p75,agree60,7,65,0,3,0,-9.149708374400767e-06,-4.572573355177134e-06,5.611458534171554e-06,3,3,-0.0005469210827964976,-0.0005365466706340359,0.6666666666666666
top100_heldout,mean,mean,agree60_top50,7,100,0,3,0,-9.127219890769922e-06,-4.3385270274143295e-06,4.6347341868813174e-06,3,3,-0.00047006290454368327,-0.00039966586716786443,0.6111111111111112
translator_tail_soft_p90_m0.50,mean,mean,agree60,7,19,0,3,0,-9.12170039879534e-06,-4.403952096221353e-06,6.815260213843821e-06,3,3,-0.0005355338341280144,-0.00057365626221354,0.6944444444444444
top100_heldout,median,mean,agree60,7,100,0,3,0,-9.107508776029505e-06,-4.470690029068081e-06,4.258490294617445e-06,3,3,-0.00047819221618249086,-0.0004101748327001388,0.6111111111111112
top50_heldout,mean,median,none,7,50,0,3,0,-9.092495319995564e-06,-4.414468197655452e-06,4.794840342881024e-06,3,3,-0.0005026381954260431,-0.0004065201267960173,0.6388888888888888
top50_heldout,mean,median,agree60,7,50,0,3,0,-9.092228338891672e-06,-4.414201216551561e-06,4.748807280408052e-06,3,3,-0.0004523915011446361,-0.00031846754769587196,0.5555555555555556
translator_tail_soft_p90_m0.50,mean,mean,agree60_top50,7,19,0,3,0,-9.089755565017121e-06,-4.372007262443134e-06,6.7332811923837e-06,3,3,-0.0005156567692904818,-0.000553607912492282,0.6666666666666666
high_world,median,weighted_mean,none,7,54,0,3,0,-9.083294675749087e-06,-4.392626660076893e-06,1.7087823508399325e-06,3,3,-0.0005249123477870932,-0.0005538086158412281,0.9166666666666666
translator_tail_soft_p90_m0.50,mean,median,agree60,7,19,0,3,0,-9.080357311286313e-06,-4.362609008712326e-06,6.2758350652947215e-06,3,3,-0.0004853417932784987,-0.0005024709825517172,0.6944444444444444
translator_tail_soft_p90_m1.00,mean,median,none,7,34,0,3,0,-9.077585132466481e-06,-4.180410067111673e-06,4.066436965377562e-06,3,3,-0.00042946111156377115,-0.0004589061321490064,0.7222222222222222
translator_tail_soft_p90_m0.50,mean,median,none,7,19,0,3,0,-9.054300977862084e-06,-4.336552675288097e-06,6.257018922761759e-06,3,3,-0.0004898926450564861,-0.0005109221586005685,0.7222222222222222
top50_heldout,median,median,none,7,50,0,3,0,-9.047603573897334e-06,-4.422175702400999e-06,4.8098133493823525e-06,3,3,-0.0005026381954260153,-0.0004070819500736789,0.6388888888888888
top100_heldout,median,mean,agree60_top50,7,100,0,3,0,-9.038028181418412e-06,-4.4012094344569874e-06,4.165523517785097e-06,3,3,-0.00047006290454366245,-0.0003998761442816246,0.6111111111111112
top50_heldout,median,median,agree60,7,50,0,3,0,-9.034581363587257e-06,-4.4091534920909226e-06,4.777763082275399e-06,3,3,-0.0004523915011446153,-0.00031929285438606634,0.5555555555555556
high_block,mean,signed_p75,agree60_top50,7,65,0,3,0,-9.012791309270796e-06,-4.284999474357676e-06,6.387318716827295e-06,3,3,-0.00051406208033343,-0.00046596988082193156,0.6388888888888888
translator_tail_soft_p90_m0.50,median,mean,none,7,19,0,3,0,-9.010360431549458e-06,-4.815715400674492e-06,9.850796765631387e-06,3,3,-0.0007207174227720145,-0.0007476314671200804,0.8888888888888888
translator_tail_soft_max_m1.00,mean,median,agree60,7,44,0,3,0,-9.008209820082769e-06,-4.136936491150323e-06,6.5678535686730655e-06,3,3,-0.0004619310362595358,-0.00041920059855078966,0.6111111111111112
translator_tail_soft_max_m1.00,mean,median,agree75,7,44,0,3,0,-9.00141215987027e-06,-4.130138830937824e-06,6.590302723430419e-06,3,3,-0.0004606795613099901,-0.0004161083012905742,0.6111111111111112
translator_tail_soft_p90_m1.00,mean,signed_p75,agree75,7,34,0,3,0,-8.928352416059937e-06,-4.0311773507051285e-06,6.059299945682106e-06,3,3,-0.0005493695543243443,-0.0005357430508848016,0.6111111111111112
high_block,median,signed_p75,agree60_top50,7,65,0,3,0,-8.862757499894514e-06,-4.285622480670881e-06,5.284988063958274e-06,3,3,-0.0005140620803333953,-0.0004671838895384415,0.6388888888888888
translator_tail_soft_max_m1.00,median,median,agree60,7,44,0,3,0,-8.804732934630799e-06,-4.13744141325445e-06,5.852557230068278e-06,3,3,-0.00046193103625952886,-0.0004195561825404649,0.6111111111111112
translator_tail_soft_max_m1.00,median,median,agree75,7,44,0,3,0,-8.800339535763868e-06,-4.133048014387519e-06,5.867786419311294e-06,3,3,-0.00046067956130998317,-0.0004165630842029144,0.6111111111111112
translator_tail_soft_p90_m0.50,median,weighted_mean,agree60,7,19,0,3,0,-8.754113610121017e-06,-4.559468579246051e-06,9.542952911001379e-06,3,3,-0.0005693697280687235,-0.0005889822634105256,0.6944444444444444
translator_tail_soft_p90_m1.00,median,signed_p75,agree75,7,34,0,3,0,-8.70363483296277e-06,-4.0951321587101575e-06,5.325260310939939e-06,3,3,-0.0005493695543243443,-0.00053614008194392,0.6111111111111112
all,mean,mean,agree60,7,155,0,3,0,-8.676128048112908e-06,-3.8184178199340835e-06,4.101100092412935e-06,3,3,-0.0004613837347772695,-0.00047778320622898773,0.5833333333333334
translator_tail_soft_p90_m1.00,mean,weighted_mean,agree60,7,34,0,3,0,-8.659424853840747e-06,-3.7622497884859385e-06,6.023886745643026e-06,3,3,-0.000516836325065162,-0.0005230894681163779,0.6666666666666666
translator_tail_soft_p90_m1.00,mean,weighted_mean,agree75,7,34,0,3,0,-8.64552760715398e-06,-3.7483525417991714e-06,6.0683689880880465e-06,3,3,-0.00046696733804290486,-0.0004567446531357211,0.6111111111111112
translator_tail_soft_p90_m0.50,mean,weighted_mean,agree75,7,19,0,3,0,-8.636762082403493e-06,-3.9190137798295055e-06,7.900506944880092e-06,3,3,-0.0005194873041811723,-0.0005026389619778248,0.6111111111111112
translator_tail_soft_p90_m1.00,mean,weighted_mean,agree60_top50,7,34,0,3,0,-8.620438518014417e-06,-3.7232634526596087e-06,5.903546640428914e-06,3,3,-0.00048591955036419304,-0.0004868358555713216,0.6388888888888888
all,mean,mean,agree60_top50,7,155,0,3,0,-8.614446430632583e-06,-3.7567362024537587e-06,3.961659271189966e-06,3,3,-0.00045179973514165167,-0.0004698891428145447,0.5833333333333334
translator_tail_soft_max_m1.00,mean,signed_p75,agree60,7,44,0,3,0,-8.562334501194258e-06,-3.6910611722618114e-06,7.375671289167052e-06,3,3,-0.0004931627811965433,-0.00043505173377051407,0.6111111111111112
translator_tail_soft_max_m1.00,mean,signed_p75,agree75,7,44,0,3,0,-8.555987830893841e-06,-3.6847145019613947e-06,7.399911100547385e-06,3,3,-0.0004912106144044914,-0.0004302008585470585,0.6111111111111112
translator_tail_soft_p90_m0.50,mean,mean,agree75,7,19,0,3,0,-8.522694425305843e-06,-3.804946122731856e-06,7.595990749398318e-06,3,3,-0.00048193755964120316,-0.00048032162283973,0.6111111111111112
translator_tail_soft_p90_m0.50,mean,median,agree75,7,19,0,3,0,-8.515216143090143e-06,-3.7974678405161555e-06,7.0664195980230105e-06,3,3,-0.0004318320100925449,-0.00043781069011368263,0.6111111111111112
all,median,mean,agree60,7,155,0,3,0,-8.508308592114489e-06,-3.898866084650621e-06,3.878126444867291e-06,3,3,-0.00046138373477725564,-0.0004787254822926079,0.5833333333333334
high_block,mean,signed_p75,agree75,7,65,0,3,0,-8.494485079557634e-06,-3.7666932446445145e-06,7.349766930953017e-06,3,3,-0.0005278364940708158,-0.00048056472748443375,0.6111111111111112
top100_heldout,median,signed_p75,none,7,100,0,2,0,-9.929668124519786e-06,-5.292849377558362e-06,5.591702506690943e-06,3,3,-0.0005139228600901033,-0.000469183723401756,0.8888888888888888
all,median,weighted_mean,none,7,155,0,2,0,-9.849712777176833e-06,-5.2402702697129655e-06,2.5628528286247843e-06,3,3,-0.000410696143838582,-0.00042444329668551734,0.9166666666666666
top50_heldout,mean,mean,none,7,50,0,2,0,-9.833382157653503e-06,-5.1553550353133915e-06,4.846458660279218e-06,3,3,-0.00041159679823518647,-0.0003849030349968197,0.9166666666666666
translator_tail_soft_p90_m1.00,median,signed_p75,none,7,34,0,2,0,-9.82230766966019e-06,-5.213804995407578e-06,5.8662453531477254e-06,3,3,-0.00048647475419410363,-0.0004983699541667719,0.8888888888888888
all,median,signed_p75,none,7,155,0,2,0,-9.806915518661974e-06,-5.197473011198106e-06,1.7269425051091858e-06,3,3,-0.0004123732183295911,-0.0004293888232511868,0.7777777777777778
top50_heldout,median,mean,none,7,50,0,2,0,-9.770639085693311e-06,-5.145211214196976e-06,4.91036522443089e-06,3,3,-0.00041159679823516565,-0.0003851502977404442,0.9166666666666666
top50_heldout,mean,weighted_mean,none,7,50,0,2,0,-9.76783192407904e-06,-5.0898048017389286e-06,4.982060834546331e-06,3,3,-0.00047178891282306096,-0.00044193157552868114,0.9166666666666666
translator_tail_soft_p90_m0.50,mean,weighted_mean,none,7,19,0,2,0,-9.679150196006958e-06,-4.961401893432971e-06,8.55217280570919e-06,3,3,-0.00041780074819907503,-0.0004109491189182913,0.8888888888888888
top50_heldout,median,weighted_mean,none,7,50,0,2,0,-9.673618328154276e-06,-5.048190456657942e-06,5.140369308431758e-06,3,3,-0.00047178891282300545,-0.00044236625825754276,0.9166666666666666
high_block,mean,mean,agree60_top50,7,65,0,2,0,-9.657817046426764e-06,-4.9300252115136445e-06,6.438694421295743e-06,3,3,-0.00041535570564180807,-0.0003916451163947731,0.6666666666666666
high_block,mean,median,agree60,7,65,0,2,0,-9.648740585621596e-06,-4.920948750708476e-06,6.8985199304094635e-06,3,3,-0.00041092171376759523,-0.000353515586330727,0.6666666666666666
high_block,median,mean,agree60,7,65,0,2,0,-9.620054297054814e-06,-5.0429192778311815e-06,5.421301545349699e-06,3,3,-0.0004233041814006022,-0.00040886697798875327,0.6666666666666666
high_world,mean,signed_p75,none,7,54,0,2,0,-9.57423394321033e-06,-4.693715970005563e-06,3.430000066972916e-06,3,3,-0.0004073325144587289,-0.0004181457996906724,0.8611111111111112
high_block,median,median,agree60,7,65,0,2,0,-9.509231805315821e-06,-4.932096786092188e-06,5.827811621395007e-06,3,3,-0.0004109217137675744,-0.000354735501682568,0.6666666666666666
high_block,median,mean,agree60_top50,7,65,0,2,0,-9.494420775135737e-06,-4.917285755912104e-06,5.372226421274107e-06,3,3,-0.00041535570564180113,-0.0003934115685275408,0.6666666666666666
top50_heldout,mean,weighted_mean,agree60,7,50,0,2,0,-9.473161507678185e-06,-4.7951343853380735e-06,3.7121268612327896e-06,3,3,-0.00031413058613246475,-0.0002387002748123091,0.5555555555555556
top50_heldout,mean,weighted_mean,agree60_top50,7,50,0,2,0,-9.473161507678185e-06,-4.7951343853380735e-06,3.7121268612327896e-06,3,3,-0.00031413058613246475,-0.0002387002748123091,0.5555555555555556
top100_heldout,mean,signed_p75,agree60,7,100,0,2,0,-9.47096395620406e-06,-4.682271092848467e-06,4.988761118984719e-06,3,3,-0.00034930515260507555,-0.0002876711224741868,0.6111111111111112
translator_tail_soft_max_m1.00,mean,signed_p75,none,7,44,0,2,0,-9.454910148587459e-06,-4.5836368196550126e-06,8.491435897095556e-06,3,3,-0.0004283696111805693,-0.00039157558020765375,0.8611111111111112
heldout_raw05_compatible,mean,weighted_mean,none,7,51,0,2,0,-9.440383245795658e-06,-4.69470710440234e-06,7.917589764483424e-06,3,3,-0.0004744992252480526,-0.00041301140777939556,0.9166666666666666
high_world,median,signed_p75,none,7,54,0,2,0,-9.434276214803639e-06,-4.743608199131444e-06,2.4511555113404526e-06,3,3,-0.0004073325144586873,-0.0004174927696901198,0.8611111111111112
top50_heldout,median,weighted_mean,agree60,7,50,0,2,0,-9.416040344212284e-06,-4.790612472715949e-06,3.7333916261816924e-06,3,3,-0.00031413058613244393,-0.00023934269561319836,0.5555555555555556
top50_heldout,median,weighted_mean,agree60_top50,7,50,0,2,0,-9.416040344212284e-06,-4.790612472715949e-06,3.7333916261816924e-06,3,3,-0.00031413058613244393,-0.00023934269561319836,0.5555555555555556
top50_heldout,mean,mean,agree60,7,50,0,2,0,-9.413211771169827e-06,-4.7351846488297156e-06,3.8863660246635234e-06,3,3,-0.00027017461575282176,-0.00020564734381957046,0.5555555555555556
top50_heldout,mean,mean,agree60_top50,7,50,0,2,0,-9.413211771169827e-06,-4.7351846488297156e-06,3.8863660246635234e-06,3,3,-0.00027017461575282176,-0.00020564734381957046,0.5555555555555556
high_block,mean,signed_p75,none,7,65,0,2,0,-9.410608019622124e-06,-4.682816184709004e-06,8.635643163890094e-06,3,3,-0.0004640302100938423,-0.0004356891243902372,0.8888888888888888
heldout_inverse_top,mean,mean,none,7,104,0,2,0,-9.395577135418165e-06,-4.502282806684299e-06,1.4845464789692286e-06,3,3,-0.00027757078327370066,-0.0003178124684930395,0.7777777777777778
translator_tail_soft_p90_m0.50,mean,signed_p75,none,7,19,0,2,0,-9.37264713019026e-06,-4.654898827616272e-06,9.118022946896787e-06,3,3,-0.0006074074510186087,-0.0006181164504777794,0.8888888888888888
top100_heldout,mean,median,none,7,100,0,2,0,-9.371417385661829e-06,-4.582724522306236e-06,5.01035746669487e-06,3,3,-0.00036910938927883774,-0.0003016857351046732,0.6111111111111112
translator_tail_soft_p90_m0.50,mean,signed_p75,agree60,7,19,0,2,0,-9.365829075180798e-06,-4.648080772606811e-06,7.028111085105593e-06,3,3,-0.0003818903455838768,-0.00039609100217500876,0.6944444444444444
top50_heldout,median,mean,agree60,7,50,0,2,0,-9.357696038270191e-06,-4.732268166773856e-06,3.911306690196348e-06,3,3,-0.0002701746157528079,-0.0002059191942300198,0.5555555555555556
top50_heldout,median,mean,agree60_top50,7,50,0,2,0,-9.357696038270191e-06,-4.732268166773856e-06,3.911306690196348e-06,3,3,-0.0002701746157528079,-0.0002059191942300198,0.5555555555555556
heldout_raw05_compatible,median,weighted_mean,none,7,51,0,2,0,-9.34111823447381e-06,-4.731094815357828e-06,7.364293581391124e-06,3,3,-0.0004744992252480318,-0.00041501272630843915,0.9166666666666666
top100_heldout,median,signed_p75,agree60,7,100,0,2,0,-9.327177078133353e-06,-4.690358331171929e-06,4.5261972659860206e-06,3,3,-0.00034930515260509637,-0.00028955848776411326,0.6111111111111112
heldout_raw05_compatible,mean,mean,none,7,51,0,2,0,-9.315716654523243e-06,-4.570040513129925e-06,7.954442462376754e-06,3,3,-0.00043757072295304983,-0.0003799767663805575,0.9166666666666666
top100_heldout,mean,median,agree60,7,100,0,2,0,-9.301455802690484e-06,-4.512762939334891e-06,5.019828729357911e-06,3,3,-0.00036344708606087656,-0.00030271501496439415,0.6111111111111112
high_block,mean,weighted_mean,none,7,65,0,2,0,-9.294480486587986e-06,-4.566688651674866e-06,8.772562479775203e-06,3,3,-0.0003912570244941557,-0.00035855462749529994,0.9166666666666666
translator_tail_p90_nonpos_m0.50,mean,mean,none,7,17,0,2,0,-9.287439736160863e-06,-4.595775966009796e-06,2.1747024394613845e-06,3,3,-0.0003058313677237537,-0.00032431392253096103,0.75
top100_heldout,mean,signed_p75,agree60_top50,7,100,0,2,0,-9.280215832796479e-06,-4.4915229694408865e-06,4.458379097904697e-06,3,3,-0.00032834738240842404,-0.0002683874505888973,0.5833333333333334
translator_tail_p90_nonpos_m0.50,mean,weighted_mean,none,7,17,0,2,0,-9.273341216031739e-06,-4.581677445880672e-06,1.916246758160156e-06,3,3,-0.00031588002897769973,-0.00033970633656263405,0.75
top100_heldout,median,median,none,7,100,0,2,0,-9.261940662197432e-06,-4.625121915236008e-06,4.543223661279683e-06,3,3,-0.0003691093892788447,-0.00030304331562858167,0.6111111111111112
high_block,median,signed_p75,none,7,65,0,2,0,-9.247463402473066e-06,-4.6703283832494336e-06,7.546736220276351e-06,3,3,-0.00046403021009384926,-0.0004367900002701208,0.8888888888888888
translator_tail_soft_max_m1.00,median,signed_p75,none,7,44,0,2,0,-9.24718911066158e-06,-4.579897589285231e-06,7.80365329788868e-06,3,3,-0.0004283696111805971,-0.0003895079049603346,0.8611111111111112
top50_heldout,mean,signed_p75,agree60,7,50,0,2,0,-9.238923441290403e-06,-4.5608963189502916e-06,3.3659992884071954e-06,3,3,-0.0003503304972769586,-0.0002791195963870673,0.5555555555555556
translator_tail_soft_max_m1.00,mean,weighted_mean,none,7,44,0,2,0,-9.231429103362387e-06,-4.360155774429941e-06,8.574211647793817e-06,3,3,-0.0003665077017165827,-0.00032039284856156267,0.9166666666666666
heldout_raw05_compatible,median,mean,none,7,51,0,2,0,-9.216434089909242e-06,-4.6064106707932595e-06,7.401165497022966e-06,3,3,-0.0004375707229530429,-0.000381930779958839,0.9166666666666666
top100_heldout,median,median,agree60,7,100,0,2,0,-9.19146225675238e-06,-4.5546435097909566e-06,4.554293530745213e-06,3,3,-0.0003634470860608835,-0.000303809515623088,0.6111111111111112
top50_heldout,median,signed_p75,agree60,7,50,0,2,0,-9.189538952458776e-06,-4.564111080962441e-06,3.392437507132584e-06,3,3,-0.0003503304972769239,-0.00028008642464415483,0.5555555555555556
heldout_inverse_top,median,mean,none,7,104,0,2,0,-9.182068175350722e-06,-4.479687310987579e-06,1.0968819947887454e-06,3,3,-0.0002775707832736868,-0.0003150362407789099,0.7777777777777778
translator_tail_soft_p90_m0.50,mean,signed_p75,agree60_top50,7,19,0,2,0,-9.152047703131494e-06,-4.4342994005575065e-06,6.410150901303702e-06,3,3,-0.0003375268949777979,-0.00032666502328040914,0.6388888888888888
top100_heldout,median,signed_p75,agree60_top50,7,100,0,2,0,-9.151574066779133e-06,-4.514755319817709e-06,4.0209345540942465e-06,3,3,-0.00032834738240838934,-0.00026904522635459727,0.5833333333333334
translator_tail_soft_max_m1.00,mean,mean,agree60,7,44,0,2,0,-9.142131379369367e-06,-4.270858050436921e-06,7.236247656527972e-06,3,3,-0.0003521301216433889,-0.00030940429008426986,0.6111111111111112
translator_tail_soft_p90_m0.50,median,weighted_mean,none,7,19,0,2,0,-9.139077159825426e-06,-4.94443212895046e-06,1.0881818451324854e-05,3,3,-0.0004178007481990473,-0.00041216981432241635,0.8888888888888888
high_block,median,weighted_mean,none,7,65,0,2,0,-9.133954627982277e-06,-4.556819608758644e-06,7.69522558452529e-06,3,3,-0.0003912570244941488,-0.00036005555719422194,0.9166666666666666
translator_tail_soft_max_m1.00,mean,mean,agree75,7,44,0,2,0,-9.13222268916769e-06,-4.260949360235244e-06,7.271726667035239e-06,3,3,-0.00035109501065592325,-0.0003068509908485896,0.6111111111111112
all,mean,median,none,7,155,0,2,0,-9.118050249390386e-06,-4.260340021211562e-06,4.03753177724564e-06,3,3,-0.00035543975500434283,-0.0003357538557518247,0.6111111111111112
translator_tail_soft_max_m1.00,mean,mean,agree60_top50,7,44,0,2,0,-9.08365616603124e-06,-4.212382837098794e-06,7.396624939204344e-06,3,3,-0.00034897759101015086,-0.0003080932427142358,0.6111111111111112
high_block,mean,median,agree60_top50,7,65,0,2,0,-9.039298312529809e-06,-4.311506477616689e-06,6.477784514680174e-06,3,3,-0.0003578568638124627,-0.00028591436734692324,0.5833333333333334
translator_tail_soft_max_m1.00,median,weighted_mean,none,7,44,0,2,0,-9.005859566091345e-06,-4.3385680447149966e-06,7.865821003649742e-06,3,3,-0.00036650770171657576,-0.0003210197897718426,0.9166666666666666
top50_heldout,mean,signed_p75,none,7,50,0,2,0,-8.982250656375257e-06,-4.304223534035145e-06,4.7312530413456955e-06,3,3,-0.0005030410077356967,-0.0005072865971332331,0.7222222222222222
all,median,median,none,7,155,0,2,0,-8.95732445738151e-06,-4.3478819499176424e-06,3.8121580607786143e-06,3,3,-0.0003554397550043012,-0.0003356161676421887,0.6111111111111112
translator_tail_soft_max_m1.00,median,mean,agree60,7,44,0,2,0,-8.942293128866297e-06,-4.275001607489948e-06,6.507353571327812e-06,3,3,-0.00035213012164337504,-0.0003105160970775344,0.6111111111111112
