prior,outcome,worlds,world_rate,mean_delta_vs_e95,p05_delta,p50_delta,p95_delta,support_cells_mean,support_flip_share_mean,support_flip_share_lift,top20_support_rate,fine_tail_support_rate,body_support_rate
prev_beta,clean_win,19915,0.07966,-1.3464694716784188e-05,-1.8530911853904633e-05,-1.338805471104592e-05,-7.1023404253323894e-06,85.25156916896812,0.46480380316222514,-0.004394985416147357,0.4446949535525985,0.4286697631600971,0.4656117692740732
prev_beta,micro_win,5943,0.023772,-4.512498834984926e-06,-6.5309118539008595e-06,-3.6737689967618338e-06,-3.6737689967580395e-06,85.12216052498738,0.4600448897985711,-0.009153898779801384,0.43968534410230525,0.46072410118346513,0.46002970246325603
prev_beta,tie,8177,0.032708,-5.56943056404539e-07,-1.959483282475695e-06,-2.451975681894187e-07,1.4690881460981805e-06,83.36480371774489,0.45794214902927716,-0.011256639549095337,0.4376299376299376,0.39154539154539153,0.45942679702270495
prev_beta,fine_loss_branch_alive,8096,0.032384,5.8507933973676915e-06,2.611945288955081e-06,6.040516717525935e-06,7.754802431812964e-06,84.24975296442688,0.45453584927408225,-0.014662939304290246,0.4325592885375494,0.4624094202898551,0.4543597942700022
prev_beta,branch_loss,9071,0.036284,1.1409778257441e-05,9.469088146095722e-06,1.1183373860382911e-05,1.4611945288954339e-05,82.30272296328961,0.45158073885332634,-0.01761804972504616,0.43365670819093816,0.3908104582368721,0.452939577426116
prev_beta,hard_fail,71060,0.28424,5.5182762706830216e-05,1.9183373860381095e-05,4.718337386038206e-05,0.00011861194528895359,79.16622572473966,0.42831138199232033,-0.040887406586052166,0.4085406698564593,0.4248123651374425,0.42838962087851573
next_beta,breakthrough_win,115305,0.46122,-6.972519781597797e-05,-0.00014367376899675896,-6.08166261396172e-05,-2.3102340425333417e-05,89.94498070335197,0.49471142175991345,0.029881793570362303,0.4847504444733533,0.4174255236112918,0.49643955364398124
next_beta,clean_win,19666,0.078664,-1.3349496503261262e-05,-1.9673768996758225e-05,-1.338805471104542e-05,-7.102340425334004e-06,84.94696430387471,0.4647425647437363,-8.706344581482783e-05,0.45640953930641714,0.41423226211058,0.46587198765975646
next_beta,micro_win,5628,0.022512,-4.518220210081025e-06,-6.530911853901877e-06,-3.673768996761723e-06,-3.673768996757881e-06,84.94385216773277,0.46004793123429955,-0.004781696955251602,0.4502398720682303,0.4519589552238806,0.4602288027475753
next_beta,tie,9045,0.03618,-4.6940984016196405e-07,-1.9594832824757824e-06,-2.451975681891858e-07,1.469088146098351e-06,83.24919845218352,0.4578956170947617,-0.006934011094789472,0.45039248203427307,0.38625391560714945,0.4594975433392046
next_beta,fine_loss_branch_alive,7848,0.031392,5.802130231432848e-06,2.6119452889557605e-06,6.04051671752583e-06,7.754802431812978e-06,83.9224006116208,0.45456171821101604,-0.010267909978535106,0.4461009174311927,0.4461540095141013,0.4547497166663501
next_beta,branch_loss,10037,0.040148,1.147156469714395e-05,9.469088146095725e-06,1.1183373860383023e-05,1.4611945288954358e-05,82.11756500946498,0.45154789369248793,-0.013281734497063213,0.44553153332669126,0.3819991033177244,0.45310302192446955
next_beta,hard_fail,82471,0.329884,5.811588866645286e-05,1.9183373860382284e-05,5.004051671752687e-05,0.0001254690881460957,78.64187411332469,0.42675215646700454,-0.03807747172254661,0.4193001176171018,0.4116896646497961,0.4270889575262707
nearest_beta,breakthrough_win,113265,0.45306,-6.588162289186054e-05,-0.00013567376899676018,-5.7388054711046864e-05,-2.310234042533177e-05,88.94771553436631,0.49266820908761527,0.02850034396003237,0.5070392442502096,0.3850258979678924,0.49507511790768255
nearest_beta,clean_win,21056,0.084224,-1.3143672383647006e-05,-1.9673768996760217e-05,-1.3388054711044332e-05,-8.245197568188295e-06,84.1577222644377,0.4646331503423617,0.0004652852147787878,0.4816323138297872,0.37642675088652483,0.4666054673488267
nearest_beta,micro_win,4539,0.018156,-4.6534687418269155e-06,-6.530911853903766e-06,-3.673768996762349e-06,-3.6737689967585706e-06,84.23815818462216,0.4601198282362909,-0.004048036891292017,0.4753910552985239,0.4167860027906294,0.4610887833394227
nearest_beta,tie,11134,0.044536,-2.668558093550864e-07,-1.9594832824759992e-06,-2.4519756818912924e-07,1.4690881460978738e-06,83.02739356924735,0.45778794104557835,-0.006379924082004551,0.47459583258487514,0.3762499251541824,0.4596111513388011
nearest_beta,fine_loss_branch_alive,6879,0.027516,5.472660093846601e-06,3.18337386038093e-06,6.040516717523326e-06,7.75480243181235e-06,82.76769879342928,0.45473686181392486,-0.009431003313658037,0.47076609972379707,0.38813781072830356,0.45622603314254656
nearest_beta,branch_loss,12521,0.050084,1.1744260142856353e-05,9.46908814609556e-06,1.1183373860383143e-05,1.4611945288954402e-05,81.73572398370737,0.4514029310466809,-0.012764934080902013,0.469219710885712,0.3644510555599925,0.45334719658551276
nearest_beta,hard_fail,80606,0.322424,5.5965201515891556e-05,1.9183373860383253e-05,4.718337386038303e-05,0.00011746908814609642,78.1751358459668,0.4278954439862883,-0.036272421141294586,0.44515792869017196,0.37958557675607274,0.4289756646200066
both_equal_beta,breakthrough_win,114111,0.456444,-6.555690784527482e-05,-0.00013567376899675847,-5.73880547110464e-05,-2.3102340425331554e-05,88.6969792570392,0.49249559325179354,0.028065673446203143,0.5162425182497743,0.3741276768526552,0.4951423292706551
both_equal_beta,clean_win,21347,0.085388,-1.2993459284455713e-05,-1.967376899676063e-05,-1.1673768996761885e-05,-8.245197568188632e-06,83.90204712605987,0.4645532982999605,0.00012337849437010773,0.4932238722068675,0.36453795224934027,0.46678966628618446
both_equal_beta,micro_win,3954,0.015816,-4.792057890466793e-06,-6.530911853904532e-06,-4.8166261396166356e-06,-3.6737689967590293e-06,83.81790591805766,0.46019350108262125,-0.0042364187229691486,0.49047799696509864,0.39559096273815547,0.46163802989032254
both_equal_beta,tie,11655,0.04662,-1.5062135932731115e-07,-1.9594832824760606e-06,-2.451975681890341e-07,1.4690881460977286e-06,82.95358215358215,0.4577261517723253,-0.006703768033265112,0.486036036036036,0.37313027313027314,0.4596177366363702
both_equal_beta,fine_loss_branch_alive,6653,0.026612,5.203343369304053e-06,3.1833738603806925e-06,4.897659574667943e-06,7.754802431811948e-06,82.27130617766421,0.45488002835947455,-0.009549891446115844,0.4851044641515106,0.36264968184778795,0.4569423218218466
both_equal_beta,branch_loss,13355,0.05342,1.1864509871506896e-05,9.469088146095537e-06,1.1183373860383365e-05,1.4611945288954182e-05,81.6366154998128,0.4513390072844881,-0.013090912521102283,0.48138524897042306,0.36010857356795206,0.4533789424483351
both_equal_beta,hard_fail,78925,0.3157,5.5691212224108695e-05,2.089765957466624e-05,4.7183373860382565e-05,0.00011575480243181197,77.97213810579665,0.42804109442997607,-0.03638882537561433,0.4595901171998733,0.36845950797170307,0.42937335350606065
both_distance_beta,breakthrough_win,118742,0.474968,-6.981395287681645e-05,-0.00014253091185390286,-6.081662613961754e-05,-2.3102340425334393e-05,89.98378838153307,0.4947586032169205,0.028709030920443412,0.486653416651227,0.41894717117784774,0.4964537656724517
both_distance_beta,clean_win,19813,0.079252,-1.3361780475514947e-05,-1.9673768996758493e-05,-1.3388054711045649e-05,-7.102340425333483e-06,84.97123100994297,0.4647490948018905,-0.0013004774945865605,0.4579997981123505,0.4153691179192113,0.4658532433533037
both_distance_beta,micro_win,5684,0.022736,-4.495021635746725e-06,-6.530911853902115e-06,-3.673768996761782e-06,-3.673768996758232e-06,84.98856439127375,0.4600355990638606,-0.006013973232616487,0.45355383532723437,0.45425023457658925,0.46016496125115286
both_distance_beta,tie,9100,0.0364,-4.6931059801598236e-07,-1.9594832824758917e-06,-2.4519756818930865e-07,1.4690881460981083e-06,83.230989010989,0.45789556433845696,-0.008154007958020126,0.4535769230769231,0.3853617216117216,0.45951743908265646
both_distance_beta,fine_loss_branch_alive,7905,0.03162,5.793367535272056e-06,2.611945288956295e-06,6.040516717525559e-06,7.754802431812792e-06,83.95420619860847,0.45456637638789377,-0.011483195908583321,0.44722960151802654,0.4476755218216319,0.45472045760800817
both_distance_beta,branch_loss,9936,0.039744,1.1443323250766829e-05,9.46908814609563e-06,1.1183373860382745e-05,1.4611945288954185e-05,82.16716988727859,0.4515629066120383,-0.014486665684438793,0.4452697262479871,0.3843095813204509,0.45306670767445817
both_distance_beta,hard_fail,78820,0.31528,5.674787163107142e-05,1.9183373860381952e-05,4.8611945288953124e-05,0.00012204051671752606,78.79351687388987,0.42747938301983496,-0.03857018927664213,0.4223889875666075,0.4132554131777045,0.4277974345194097
edge_endpoint_beta,breakthrough_win,112782,0.451128,-6.599232033600607e-05,-0.00013567376899676018,-5.738805471104737e-05,-2.310234042533161e-05,88.95498395133976,0.4927270549342904,0.028630415809137555,0.5072032771186892,0.3849073877037116,0.4951379294810601
edge_endpoint_beta,clean_win,20986,0.083944,-1.3130658623858678e-05,-1.9673768996760282e-05,-1.3388054711044116e-05,-8.245197568188383e-06,84.14833698656247,0.4646262323351839,0.000529593210031043,0.48040360240160107,0.3760225070682042,0.46660743364550045
edge_endpoint_beta,micro_win,4529,0.018116,-4.695375784761479e-06,-6.530911853903947e-06,-3.6737689967633178e-06,-3.673768996758677e-06,84.2183705012144,0.4601421056740598,-0.00395453345109309,0.4758997571207772,0.4156362699639361,0.4611372672178878
edge_endpoint_beta,tie,11177,0.044708,-2.716805242595256e-07,-1.9594832824759438e-06,-2.451975681890896e-07,1.4690881460978482e-06,83.03319316453431,0.45779050582415753,-0.006306133300995331,0.47439384450210254,0.37651352479794814,0.45960787931294134
edge_endpoint_beta,fine_loss_branch_alive,7016,0.028064,5.420464591771906e-06,3.183373860380972e-06,4.897659574670055e-06,7.754802431812224e-06,82.68101482326112,0.4547646085115648,-0.00933203061358806,0.4704389965792474,0.3836647187381224,0.45635441971146695
edge_endpoint_beta,branch_loss,12663,0.050652,1.1724116857415305e-05,9.469088146095595e-06,1.1183373860383147e-05,1.4611945288954276e-05,81.75795625049356,0.4514136390507884,-0.012683000074364459,0.4679854694780068,0.36545447366342887,0.45333570734516315
edge_endpoint_beta,hard_fail,80847,0.323388,5.5939129441029084e-05,1.918337386038331e-05,4.7183373860383026e-05,0.00011861194528895203,78.17518275260677,0.4279093036858658,-0.03618733543928704,0.4454512845250906,0.37947604734869567,0.4289922833306713
nearest_hard085,breakthrough_win,128676,0.514704,-6.176511692266945e-05,-0.00012424519756818668,-5.567376899676056e-05,-2.3102340425331313e-05,88.04847834872082,0.49047990852683626,0.02131277608455079,0.5564934408902981,0.3586022257452827,0.49342872627847223
nearest_hard085,clean_win,25512,0.102048,-1.3220940075916822e-05,-1.967376899676128e-05,-1.1673768996762391e-05,-8.245197568188688e-06,83.55115239887112,0.4646742252091515,-0.004492907233133947,0.5313675917215428,0.3463615161492631,0.46731972677819134
nearest_hard085,micro_win,4716,0.018864,-5.130814919455611e-06,-6.530911853905146e-06,-5.3880547110450205e-06,-3.673768996758852e-06,82.78350296861747,0.4603735815202672,-0.008793550922018278,0.5269508057675997,0.3434319338422392,0.4629884258161722
nearest_hard085,tie,11958,0.047832,-3.297861136443301e-08,-1.9594832824763457e-06,-2.4519756818891515e-07,1.4690881460976653e-06,82.87431008529855,0.45766361385952603,-0.011503518582759442,0.5224703127613314,0.36974898255003624,0.45962940685774956
nearest_hard085,fine_loss_branch_alive,7925,0.0317,4.918209371873573e-06,3.183373860380288e-06,4.8976595746666385e-06,7.754802431811497e-06,81.56681388012618,0.45503160323660186,-0.014135529205683617,0.5218864353312302,0.3268927444794953,0.45789681995415094
nearest_hard085,branch_loss,13614,0.054456,1.209886001958766e-05,9.469088146095253e-06,1.2897659574665376e-05,1.4611945288954168e-05,81.47553988541208,0.45121442868207584,-0.017952703760209632,0.5172212428382548,0.3532178884481661,0.45340565566867136
nearest_hard085,hard_fail,57599,0.230396,4.666220409800962e-05,1.9183373860380448e-05,3.9183373860382926e-05,9.4611945288954e-05,78.38429486623032,0.4328408405480421,-0.03632629189424336,0.4978688866126148,0.34993590745209696,0.43469461544956517
conflict_flat,breakthrough_win,125935,0.50374,-7.235245471331389e-05,-0.00014881662613961728,-6.42451975681864e-05,-2.481662613961525e-05,90.20042879263112,0.4961080498189468,0.027525354800720048,0.4847099694286735,0.41867861727610806,0.49783939116772996
conflict_flat,clean_win,19604,0.078416,-1.3376162094378432e-05,-1.967376899675846e-05,-1.3388054711045474e-05,-7.102340425334181e-06,84.94016527239339,0.464756739951651,-0.003825955066575737,0.4559707202611712,0.41378460178194926,0.46589648962500996
conflict_flat,micro_win,5371,0.021484,-4.515219112460653e-06,-6.530911853902292e-06,-3.6737689967617266e-06,-3.673768996758104e-06,84.91900949543846,0.460046335875601,-0.008536359142625738,0.4530720536212996,0.4507540495252281,0.4602541137070372
conflict_flat,tie,8960,0.03584,-5.106950171681582e-07,-1.95948328247578e-06,-2.45197568189272e-07,1.4690881460981618e-06,83.25479910714286,0.4579175639537414,-0.010665131064485356,0.4518861607142857,0.38635137648809526,0.45951780168589174
conflict_flat,fine_loss_branch_alive,7642,0.030568,5.8401204113979046e-06,2.611945288956392e-06,6.04051671752584e-06,7.75480243181292e-06,83.94085317979587,0.45454152294523875,-0.014041172072987995,0.4455181889557707,0.4472214952455727,0.454705200583243
conflict_flat,branch_loss,9575,0.0383,1.1451631973027345e-05,9.469088146095719e-06,1.1183373860382944e-05,1.4611945288954356e-05,82.15185378590078,0.4515584897639351,-0.017024205254291658,0.4440469973890339,0.38359442993907744,0.4530781830270989
conflict_flat,hard_fail,72913,0.291652,5.630199860102248e-05,1.9183373860381773e-05,4.7183373860383656e-05,0.00012204051671752514,78.83476197660225,0.4277164054386033,-0.04086628957962346,0.42125409734889524,0.41336478634354185,0.42803731120718785
