file,scenarios,masks,mean_expected,p90_expected,mean_regret,p90_regret,p95_regret,max_regret,mean_delta_vs_prior,p90_delta_vs_prior,win_rate_vs_prior,scenario_robust_score
submission_hiddenblock_seqmotif_cellgate_625c172e.csv,6,12744,0.5764238695562974,0.5827553171671459,0.001856507500818773,0.002422998041110336,0.0025470144972840943,0.00392486937887826,0.0010584321200330213,0.0012367004417450534,0.0,0.5913203062675408
submission_hiddenblock_seqmotif_cellgate_b151e1b9.csv,6,12744,0.5764243694993012,0.5827621580192609,0.001857007443822505,0.0024216361814319524,0.0025469154365681977,0.003930811682537505,0.0010589320630367532,0.001238297579304748,0.0,0.5913205791854507
submission_hiddenblock_seqmotif_cellgate_203adfda.csv,6,12744,0.576425598476286,0.5827572386666664,0.001858236420807344,0.0024191420946049758,0.002544317592709605,0.00391955437803404,0.0010601610400215922,0.0012385073656400625,0.0,0.5913211435472472
submission_hiddenblock_rawaxis_stage2_raw10_s0p75_0cf1aeac.csv,6,12744,0.5764239123446288,0.5827625838864063,0.0018565502891500626,0.00242337582522294,0.0025495371818027857,0.003936745366164507,0.0010584749083643109,0.0012370939663916669,0.0,0.5913214824402416
submission_hiddenblock_seqmotif_cellgate_3707e503.csv,6,12744,0.5764239490172157,0.582757056798041,0.001856586961736999,0.002424327526530568,0.002547802284179368,0.003935431341479223,0.001058511580951247,0.0012353488643502386,0.0,0.5913219359247002
submission_hiddenblock_seqmotif_cellgate_9bb11661.csv,6,12744,0.5764245326101182,0.5827591669351495,0.0018571705546395116,0.0024226718012783643,0.0025469353967512262,0.003925674127238099,0.0010590951738537599,0.0012369290549409163,0.0,0.5913219722753575
submission_hiddenblock_seqmotif_cellgate_2b388f60.csv,6,12744,0.5764262421487357,0.5827603457122691,0.0018588800932570879,0.0024181414189155094,0.002544371243728088,0.003921033719368472,0.0010608047124713359,0.0012387581120020697,0.0,0.5913221123762976
submission_hiddenblock_seqmotif_cellgate_98f7fad2.csv,6,12744,0.5764244768638116,0.5827563948686928,0.0018571148083329234,0.002423393784420803,0.002547205537685748,0.003925860784354751,0.0010590394275471716,0.0012373180764559955,0.0,0.5913226334569653
submission_hiddenblock_seqmotif_cellgate_7893067d.csv,6,12744,0.5764255852385921,0.5827548058344573,0.001858223183113414,0.0024214830522368285,0.00254366727243942,0.0039038535882552905,0.001060147802327662,0.0012369902447737391,0.0,0.591323130499643
submission_hiddenblock_paretomix_w0.4_cadc6af8.csv,6,12744,0.5764240270319205,0.5827617285524131,0.001856664976441827,0.002424682711711024,0.002550438598977667,0.003927469206751133,0.001058589595656075,0.0012356833704524563,0.0,0.591323217683305
