task,feature_view,split,n_rows,n_pos,auc,avg_precision,logloss,topk_precision,topk_recall,exact_e95_e101_mean_prob,skipped_rows,n_groups,skipped_positive_rows
e72_frontier_neighbor,all_axis_free_abs,loo_new_file,132,6,1.0,1.0,0.007606357325850898,1.0,1.0,0.07025332994203229,0,12,
e72_frontier_neighbor,all_axis_free_abs,loo_base_file,132,6,1.0,1.0,0.007606357325850898,1.0,1.0,0.07025332994203229,0,12,
e72_frontier_neighbor,all_axis_free_abs,loo_any_file,242,6,0.943502824858757,0.7101449275362319,0.13444868682851108,0.6666666666666666,0.6666666666666666,0.9717634500573633,22,12,6.0
e72_frontier_neighbor,all_abs,loo_pair_id,132,6,0.9312169312169313,0.7291666666666666,0.12789820652667835,0.6666666666666666,0.6666666666666666,0.9573690240143834,0,66,
e72_frontier_neighbor,all_abs,loo_pair_context,132,6,0.9312169312169313,0.7291666666666666,0.12791593048586983,0.6666666666666666,0.6666666666666666,0.9573690240143834,0,56,
e72_frontier_neighbor,all_abs,loo_new_file,132,6,1.0,1.0,0.00760635732584986,1.0,1.0,0.07025332994203473,0,12,
e72_frontier_neighbor,all_abs,loo_base_file,132,6,1.0,1.0,0.00760635732584986,1.0,1.0,0.07025332994203473,0,12,
e72_frontier_neighbor,all_abs,loo_any_file,242,6,0.943502824858757,0.7101449275362319,0.1344486868285122,0.6666666666666666,0.6666666666666666,0.9717634500573633,22,12,6.0
support_needed_e95_edge,shape_target_context_abs,loo_pair_id,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,shape_target_context_abs,loo_pair_context,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,shape_target_context_abs,loo_heldout,4,0,,,,,,0.051377410095219844,6,3,
support_needed_e95_edge,support_abs,loo_pair_id,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,support_abs,loo_pair_context,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,support_abs,loo_heldout,4,0,,,,,,0.018213455260050387,6,3,
support_needed_e95_edge,shape_target_context_support_abs,loo_pair_id,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,shape_target_context_support_abs,loo_pair_context,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,shape_target_context_support_abs,loo_heldout,4,0,,,,,,0.015200378878800488,6,3,
support_needed_e95_edge,all_axis_free_abs,loo_pair_id,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,all_axis_free_abs,loo_pair_context,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,all_axis_free_abs,loo_heldout,4,0,,,,,,0.015200378878800488,6,3,
support_needed_e95_edge,all_abs,loo_pair_id,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,all_abs,loo_pair_context,6,6,,,,1.0,1.0,,4,4,
support_needed_e95_edge,all_abs,loo_heldout,4,0,,,,,,0.01520037887879917,6,3,
