prior,bucket,n_worlds,world_rate,delta_mean,delta_p05,delta_p50,delta_p95,abs_error_mean,support_cells_mean,support_cells_p05,support_cells_p95,support_flip_share_mean,support_flip_share_p05,support_flip_share_p95,top10_support_rate,top22_support_rate,top23_support_rate,s3_support_rate,q2_support_rate,edge_like_support_rate,interior_support_rate,conflict_support_rate
next_beta,beats_mixmin,205972,0.6865733333333334,-1.9037584256196414e-06,-2.3624003809056318e-05,-1.9354455963690611e-07,1.3643015832306303e-05,1.2154006383913547e-05,30.49435845648923,27.0,34.0,0.6926438523048092,0.6422254917170491,0.7630828479207932,0.8620404715204009,0.7690005967271809,0.777625325181388,0.636626362458029,0.5150845746023731,0.6336086708935696,0.5711836662520302,0.5473883181532765
next_beta,fails_mixmin,94028,0.3134266666666667,2.7061022601529813e-05,1.6115424851087183e-05,2.4730536639605954e-05,4.5985101304157114e-05,1.8024822601495457e-05,26.440209299357637,23.0,30.0,0.5987107476012516,0.5373397514067331,0.6342074419685122,0.7469636703960523,0.6666167137835152,0.6784167898183889,0.5433880578943752,0.4770977310433643,0.5589827738340124,0.47956543739490815,0.4519832744856142
nearest_beta,all,300000,1.0,5.801783918865972e-06,-2.0208573881686764e-05,5.372016286892949e-06,3.320439944839421e-05,1.3301154772842434e-05,29.581546666666668,25.0,34.0,0.6676546933961394,0.5787877086509821,0.7520065709527559,0.843475,0.7430171212121213,0.752982463768116,0.5993665811965811,0.5642045454545455,0.5951505376344086,0.5858884210526316,0.4489375
nearest_beta,exact_observed_pm1e-6,13886,0.04628666666666666,9.033383520324094e-06,8.13376057135822e-06,9.032703364764607e-06,9.936955219367683e-06,5.041289243256736e-07,29.07806423736137,27.0,31.0,0.6571745802049087,0.6542442872075652,0.6600920673621469,0.8330548754140862,0.7334103675382662,0.7437926219088353,0.5880466213895568,0.5585678184698781,0.5847407228445453,0.5763737804831826,0.4302594939747467
nearest_beta,exact_observed_pm2e-6,27963,0.09321,9.01631006012931e-06,7.237695720297238e-06,9.008798865973753e-06,1.0827180467019998e-05,1.00266001185113e-06,29.07238136108429,27.0,31.0,0.6572299496248474,0.6513572768994574,0.6629980155685908,0.8335014125809105,0.7333391852220305,0.7436705957717419,0.5880948909593905,0.5578800557880056,0.5846458396060231,0.5762294912261879,0.43114711106342907
nearest_beta,small_loss_preband,110405,0.36801666666666666,1.094622905680578e-05,3.7590920787600753e-06,1.0705765817278668e-05,1.8904634294818462e-05,4.317705096746142e-06,28.8040577872379,26.0,31.0,0.6509712010082335,0.6251620049437133,0.6742791655892459,0.8247488791268511,0.7266337575290974,0.7372145637701506,0.5819503715341766,0.5552721179459099,0.5799471447500478,0.5697734894729691,0.4244312606615039
nearest_beta,beats_e95,110970,0.3699,-1.065109125699913e-05,-2.6601821143984238e-05,-8.924714758745107e-06,-7.86421406219219e-07,1.9687291257033485e-05,31.912066324231773,29.0,35.0,0.7210115492660488,0.6890203160131271,0.7727399424193732,0.9130891231864467,0.7991705374917054,0.807204845806348,0.6526337679622352,0.5872135794276914,0.6392009464923679,0.6366756306825457,0.5150295875762217
nearest_beta,beats_mixmin,217533,0.72511,-1.7842156312305402e-06,-2.2445040745238644e-05,-3.0545850430230284e-07,1.35720640734124e-05,1.198380835407639e-05,30.627559956420406,27.0,34.0,0.6922561737025997,0.6424555890545998,0.7592594576865838,0.8775721384801386,0.7695613998795585,0.7786446793979684,0.623500802177141,0.5737298792283553,0.614725863617578,0.6090030623302889,0.477217632880222
nearest_beta,fails_mixmin,82467,0.27489,2.5812275874813743e-05,1.6013939153108936e-05,2.3637671145764673e-05,4.3094577631428554e-05,1.6776075874779384e-05,26.82235318369772,24.0,30.0,0.6027604470247999,0.5467137515948935,0.6345365612076724,0.7535329283228442,0.6729981248697826,0.6852901898572341,0.5357048802426954,0.539078441293873,0.5435143754471485,0.5249161865703219,0.37433963484383653
both_equal_beta,all,300000,1.0,4.734199424290569e-06,-2.0882135685761222e-05,4.347531296208962e-06,3.159673693236666e-05,1.3275245882672232e-05,30.070566666666668,26.0,34.0,0.6711168817004407,0.5840013759424579,0.7541909393209175,0.8437486666666667,0.7554565151515151,0.7648859420289855,0.5986152991452991,0.6113245454545455,0.6084853763440861,0.5898694736842105,0.5040127777777778
both_equal_beta,exact_observed_pm1e-6,14086,0.04695333333333333,9.02632625640572e-06,8.133669309150632e-06,9.02016418327176e-06,9.939389014600146e-06,5.011446291510448e-07,29.41090444412892,27.0,32.0,0.6571974669897229,0.6542363943827523,0.660092363326494,0.8291992048842822,0.7421133814361133,0.7522239164387705,0.5840605511200428,0.6029584500406593,0.5962245743886632,0.5751548756884401,0.4801161910170855
both_equal_beta,exact_observed_pm2e-6,28178,0.09392666666666667,9.009712910611612e-06,7.233349154950967e-06,8.99107659480792e-06,1.0829456456357616e-05,1.0012264883631474e-06,29.410533039960253,27.0,32.0,0.6572513442535798,0.6513498958409036,0.6630121115280047,0.829672084605011,0.7425506036301692,0.7524865220168679,0.5838561088756277,0.6036495267100704,0.5961766099839958,0.5752135858134939,0.48077992287127075
both_equal_beta,small_loss_preband,109433,0.3647766666666667,1.0827782244836483e-05,3.711078659521592e-06,1.0539312798015868e-05,1.8870379658295142e-05,4.2682251100632165e-06,29.16557162830225,27.0,32.0,0.6513553253273536,0.6252730931082023,0.6744348736380061,0.8206747507607395,0.7359006714776912,0.7460006301254808,0.5782653102108842,0.6012022300070695,0.5915824765956368,0.5698165712546057,0.47271542100341457
both_equal_beta,beats_e95,117595,0.39198333333333335,-1.0804657270379318e-05,-2.682158449239279e-05,-9.04136964103573e-06,-8.08170543931562e-07,1.9840857270413673e-05,32.29389855010842,29.0,36.0,0.7215095655431347,0.6890908487068849,0.7734526373849147,0.9087588758025427,0.8080843727895048,0.8157378770540746,0.6490392383244971,0.6346698414048216,0.650206216250691,0.6388160971756318,0.5752767266181952
both_equal_beta,beats_mixmin,224991,0.74997,-2.1319818158155312e-06,-2.2842344744835302e-05,-6.979809300344174e-07,1.3464056577925354e-05,1.2269084286015546e-05,31.03247241000751,28.0,35.0,0.6933839832792841,0.6428058585550959,0.7605479189443536,0.8742318581632155,0.7794192575783839,0.7880500727275468,0.6204593482884615,0.6213234387961377,0.6266401193682156,0.6108751952417278,0.5338287605578297
both_equal_beta,fails_mixmin,75009,0.25003,2.53294477730582e-05,1.5973069366780882e-05,2.3196465509492156e-05,4.194989723448361e-05,1.6293247773023844e-05,27.18531109600181,24.0,30.0,0.6043262638902377,0.5504259627618813,0.6346691023760234,0.7523137223533176,0.6835797886071853,0.6954046673819432,0.5330936356013347,0.5813326643227055,0.5540298605027612,0.5268623905482219,0.41457913939216184
both_distance_beta,all,300000,1.0,9.544868331404846e-06,-1.800546883796254e-05,9.146230024048352e-06,3.8343886418113785e-05,1.3660750026005065e-05,28.8055,24.0,33.0,0.6555158293146983,0.5621202956573629,0.7448618769690136,0.829239,0.7330272727272727,0.7431892753623188,0.5941594871794872,0.5121163636363636,0.5912911827956989,0.551340701754386,0.4651708333333333
both_distance_beta,exact_observed_pm1e-6,13926,0.04642,9.035769771503584e-06,8.135244985698509e-06,9.033283113588752e-06,9.93389671862658e-06,4.974108729295318e-07,28.848341232227487,27.0,31.0,0.6571668415659843,0.6542542059592412,0.660087253390051,0.8358681602757432,0.736013734936613,0.7462300732442912,0.5948143483688507,0.5136892405311191,0.5918032179307213,0.552760077703954,0.46553808224424337
both_distance_beta,exact_observed_pm2e-6,27762,0.09254,9.035965961776149e-06,7.234750220464439e-06,9.033761265817445e-06,1.0836239189133909e-05,9.988648600574662e-07,28.844283553058137,26.0,31.0,0.6571662053187639,0.651327899363614,0.6630075678570733,0.8356458468410057,0.736107563641603,0.7462922418194404,0.5948529534006085,0.5131834882213097,0.5927062055118275,0.5510732201153413,0.46507216098744086
both_distance_beta,small_loss_preband,112758,0.37586,1.124333695813876e-05,3.833172340150788e-06,1.1132043673104654e-05,1.8999104154498813e-05,4.433779200218853e-06,28.51795881445219,26.0,31.0,0.6500076768035103,0.6248556381456224,0.6740389224835527,0.8263644264708491,0.7284316855566789,0.738817721985599,0.5877183766823526,0.5088129203491306,0.5864554921787969,0.544096766153131,0.4549514594677687
both_distance_beta,beats_e95,88158,0.29386,-1.0280339276538582e-05,-2.612174695000389e-05,-8.41305529648457e-06,-7.349072635730932e-07,1.9316539276572938e-05,31.63400939222759,29.0,35.0,0.7198091964995282,0.6888532550797003,0.7711830565072592,0.9065677533519363,0.8019867221868174,0.8097935820764497,0.6589311382069839,0.5396086365595656,0.6422738792300334,0.6170273229524502,0.5409066675741283
both_distance_beta,beats_mixmin,191762,0.6392066666666667,-5.659338242995275e-07,-2.122335128145564e-05,1.243653613340009e-06,1.3834664932102899e-05,1.0973499035097977e-05,30.220158321252384,27.0,34.0,0.6883052723503119,0.6416039715701966,0.7552975052654972,0.8711746852869703,0.7689714333392434,0.7779471201394119,0.6266277188149092,0.5256070261337207,0.6171435290587022,0.5836162589701379,0.5019716280250172
both_distance_beta,fails_mixmin,108238,0.36079333333333335,2.745787155561614e-05,1.615048716221777e-05,2.5162520137366037e-05,4.654675437024768e-05,1.8421671555581786e-05,26.299192520186995,23.0,29.0,0.5974237620610969,0.5355183043115627,0.6340937345063534,0.7549428112123284,0.6693460874940577,0.6816098501129154,0.536636500475448,0.48821536378586583,0.5454893606621967,0.49415907050836316,0.3999719753382977
edge_endpoint_beta,all,300000,1.0,3.0394530343608224e-06,-2.203146280555447e-05,2.58053137669836e-06,2.974660468253244e-05,1.3580605256070229e-05,29.584913333333333,25.0,34.0,0.6766129629565714,0.5900013752580476,0.7579182198614122,0.8766573333333333,0.7581987878787879,0.7675091304347826,0.608053076923077,0.5337130303030303,0.5952268817204301,0.5859410526315789,0.44920666666666664
edge_endpoint_beta,exact_observed_pm1e-6,13714,0.045713333333333335,9.024473286363146e-06,8.126583713203127e-06,9.028464762099976e-06,9.929422887643236e-06,5.023398882284702e-07,28.701108356424093,26.0,31.0,0.6572034761920318,0.6542687146425207,0.6601153419923915,0.8569709785620534,0.739201479576279,0.7492026554901053,0.5874008593127742,0.5265886221114455,0.5792150239689133,0.5655496112309357,0.4246937436196587
edge_endpoint_beta,exact_observed_pm2e-6,27315,0.09105,9.003985796934765e-06,7.226301484929852e-06,8.996908746710267e-06,1.0832888679348096e-05,1.0004485240591411e-06,28.686692293611568,26.0,31.0,0.6572699173464732,0.6513387651038465,0.6630349671997038,0.857386051619989,0.7394804719351672,0.7494464739074724,0.5874812843511361,0.524992927628842,0.5784237657437423,0.5660818713450292,0.4242815302947099
edge_endpoint_beta,small_loss_preband,104551,0.34850333333333333,1.0621215560244746e-05,3.690076018420355e-06,1.022994336250901e-05,1.8735700002997274e-05,4.184843595183179e-06,28.45057436083825,26.0,31.0,0.6520252233664181,0.6257098607174819,0.6745029854350111,0.8502262053925835,0.7338454221123923,0.7439893074858827,0.5825332698628984,0.5210706214713828,0.5743302928868486,0.5603334358603129,0.4185262057114072
edge_endpoint_beta,beats_e95,130463,0.4348766666666667,-1.1122286441602506e-05,-2.7159036687052964e-05,-9.433398924650069e-06,-8.539768777999919e-07,2.015848644163686e-05,31.627089672934087,29.0,35.0,0.7225396404527099,0.6892393991534188,0.7745469985783848,0.9317055410346229,0.805695519384458,0.8134506901673605,0.6544570943289354,0.5548420903732372,0.632654716341526,0.6323575508603568,0.501879204576521
edge_endpoint_beta,beats_mixmin,235772,0.7859066666666666,-2.9290236779003978e-06,-2.3643950397974245e-05,-1.662599764971898e-06,1.3211985807859995e-05,1.294530711674455e-05,30.421025397417843,27.0,34.0,0.6959687988390549,0.6436233268458124,0.7631475349289063,0.9019722443716811,0.7788354465716494,0.7874776220799903,0.6271602247629935,0.5419796937873724,0.6104165423895037,0.6051638201759595,0.46992256643423874
edge_endpoint_beta,fails_mixmin,64228,0.21409333333333333,2.494889582260353e-05,1.5910244777502184e-05,2.282719434567078e-05,4.119658965692257e-05,1.5912695822569173e-05,26.515662950737998,23.0,29.0,0.6055603980676613,0.5528689475540229,0.6348728432127709,0.7837298374540699,0.6824445016900021,0.694207591975327,0.5379134110372823,0.5033672654803626,0.5394677630296906,0.5153769629903994,0.37316149758153244
nearest_hard085,all,300000,1.0,1.840176447272633e-05,-9.437210275601582e-06,1.775614873524102e-05,4.846800303577945e-05,1.5756482946772295e-05,28.49396,24.0,33.0,0.6267928173295061,0.5292876736745898,0.7170749198395597,0.779413,0.6906498484848484,0.6976028985507247,0.5626609401709401,0.5954712121212121,0.5336496774193549,0.6289905263157894,0.38329555555555556
nearest_hard085,exact_observed_pm1e-6,12494,0.041646666666666665,9.040843958284407e-06,8.139905123848186e-06,9.034453792124119e-06,9.944336744716135e-06,5.002129364186771e-07,29.64671042100208,28.0,32.0,0.6571503859222244,0.6542203488393525,0.6600721405105735,0.824155594685449,0.726788858652153,0.7335729845978244,0.5902135589185373,0.6025801475617387,0.555840997227056,0.6534547108928075,0.39990528787151164
nearest_hard085,exact_observed_pm2e-6,24795,0.08265,9.069795156382154e-06,7.2470034615666015e-06,9.075969243697008e-06,1.0851991251550492e-05,9.97123803443992e-07,29.6360153256705,28.0,32.0,0.6570564968671109,0.6512768152512614,0.6629678304608777,0.8239524097600323,0.7270069112174375,0.7337278729056524,0.5899824716521631,0.6024271755669215,0.5557207813750171,0.6530879527918405,0.3993446259326477
nearest_hard085,small_loss_preband,107227,0.3574233333333333,1.1876610913072008e-05,4.041457859576314e-06,1.2066851097605176e-05,1.9205993654778816e-05,4.7015490633691865e-06,29.26979212325254,27.0,31.0,0.6479539623749766,0.6241846932117172,0.673363450244143,0.8121909593665775,0.7165605338546855,0.7233913749011139,0.5814477457720297,0.5993936398312162,0.5485435330593492,0.6455232946533007,0.392172680388335
nearest_hard085,beats_e95,43944,0.14648,-8.134290867934675e-06,-2.171796802712748e-05,-6.394226951137553e-06,-5.277475551087518e-07,1.717049086796903e-05,31.961724012379392,30.0,35.0,0.7128495378135075,0.6881814338576692,0.7569015528333276,0.8854018751137812,0.7910574201876769,0.7969540284472728,0.6453586616066136,0.6175214736110421,0.6041273938091295,0.6965144633840199,0.4415790551611141
nearest_hard085,beats_mixmin,133389,0.44463,2.834820149156508e-06,-1.5054269673627872e-05,4.689518582855363e-06,1.432213078671282e-05,8.172185752163604e-06,30.475826342502007,28.0,33.0,0.6772765896628695,0.6400231144210419,0.7352911054915889,0.8461447345733156,0.7503474117737663,0.7568109879342766,0.6100895183953007,0.6074850113713888,0.5733328109707745,0.6685531159162102,0.41365292490385264
nearest_hard085,fails_mixmin,166611,0.55537,3.0864681905408775e-05,1.65328033815795e-05,2.8354664558111364e-05,5.386697072406327e-05,2.1828481905374423e-05,26.907275029859974,24.0,30.0,0.5863754384783199,0.5117787618454506,0.6328538787853832,0.7259874798182593,0.6428558956873414,0.6502008192475417,0.5246895540033448,0.5858529476117751,0.5018793051072606,0.5973166616597312,0.35899140312864497
conflict_flat,all,300000,1.0,9.527871737755036e-06,-1.845878786730438e-05,9.184311774475778e-06,3.863585005451806e-05,1.3870173908412972e-05,29.22263,25.0,34.0,0.655570949455583,0.5611734543606071,0.7463319955867711,0.8053946666666667,0.7299913636363636,0.7402985507246377,0.595507094017094,0.5452593939393939,0.6003722580645161,0.5584784210526316,0.4999025
conflict_flat,exact_observed_pm1e-6,13668,0.04556,9.028532917940743e-06,8.125671489454856e-06,9.02456326176144e-06,9.935148674178833e-06,5.05111345819367e-07,29.25087796312555,27.0,32.0,0.6571903107619987,0.6542501458535611,0.6601183003440804,0.8095771144278607,0.7328364860191023,0.7431544324413737,0.5963827168831559,0.5447229095165882,0.600130278399275,0.560359964881475,0.49568944493220174
conflict_flat,exact_observed_pm2e-6,27572,0.09190666666666666,9.027149743193202e-06,7.229643483759784e-06,9.019942463375182e-06,1.0837687252544622e-05,1.0066289910570126e-06,29.250108806035108,27.0,32.0,0.6571947964129782,0.651323203277984,0.6630241290605959,0.8094044683011751,0.7330707700829564,0.7433486397668713,0.5963993572074233,0.544593988631418,0.6005847446919034,0.5595779852940054,0.49608902751583733
conflict_flat,small_loss_preband,111157,0.3705233333333333,1.1277227244417269e-05,3.8409143349142125e-06,1.117581280437593e-05,1.9033558621574087e-05,4.4400484435510884e-06,28.938825265165487,26.0,32.0,0.6498977702308887,0.6247439019284478,0.6740138151090468,0.8003058736741726,0.7249868531569189,0.7355037586867927,0.5892476407243809,0.5416515706286031,0.5951628429071697,0.5520409018443804,0.4891174944747819
conflict_flat,beats_e95,89207,0.29735666666666666,-1.0503288611346472e-05,-2.675984133435288e-05,-8.624685377570884e-06,-7.347064162283718e-07,1.9539488611380828e-05,32.06063425515935,29.0,35.0,0.720532223654143,0.6888526037295437,0.7732524036416161,0.8867084421626106,0.8000972202548312,0.8079985924286504,0.6603897072582265,0.5732214247353193,0.652684206396359,0.6224959924669589,0.5805607556955545
conflict_flat,beats_mixmin,191088,0.63696,-7.831249781355485e-07,-2.177744011237003e-05,1.0480304182639486e-06,1.3826425160838857e-05,1.1184352129799662e-05,30.66152243992297,27.0,34.0,0.6890096256604521,0.6416306932393908,0.7570944214624665,0.8485927949426443,0.7667454975527696,0.7758273902486085,0.6285089216513482,0.5590613177745808,0.6269864180124408,0.5907864990282791,0.5392293079628234
