task,heldout_experiment,n_valid,positive_rate,auc,average_precision,pred_mean,mae,spearman
null_rare,e301,1,0.0,,,0.41326728882373726,,
null_rare,e303,12,0.0,,,0.01494665176541792,,
null_rare,e305,14,0.0,,,0.00641892642549755,,
null_rare,e306,20,0.0,,,0.014609726747547394,,
null_rare,e307,22,0.0,,,0.00639886608747205,,
null_rare,__global_oof__,1304,0.7039877300613497,0.9827937507760733,0.98758050653296,0.6618526912246755,,
null_common,e279,66,0.24242424242424243,0.9099999999999999,0.6447067740462717,0.2073136253368741,,
null_common,e284,9,0.0,,,0.009353978360928213,,
null_common,e285,158,0.0,,,0.02828842996316362,,
null_common,e286,533,0.0,,,0.02932327304655812,,
null_common,e287,3,0.0,,,0.02687335926405289,,
null_common,e289,28,0.42857142857142855,1.0,1.0,0.12029402355350709,,
null_common,e290,48,0.7083333333333334,1.0,1.0,0.7062317561857135,,
null_common,e291,40,0.45,1.0,1.0,0.45269488569141225,,
null_common,e292,56,0.2857142857142857,0.9812500000000001,0.9522893772893772,0.2784567444621162,,
null_common,e293,64,0.75,1.0,1.0000000000000002,0.7515445200483498,,
null_common,e297,39,0.5128205128205128,1.0,1.0000000000000002,0.6035293470636848,,
null_common,e299,71,0.6619718309859155,0.999113475177305,0.9995567375886527,0.7582257075196979,,
null_common,e300,120,0.7,0.8951719576719576,0.9012854301858004,0.8385822781925043,,
null_common,e301,1,0.0,,,0.40979401675739147,,
null_common,e303,12,0.9166666666666666,0.5454545454545454,0.9536042240587697,0.9872118489928386,,
null_common,e305,14,1.0,,,0.9854936014560529,,
null_common,e306,20,1.0,,,0.9757281586409727,,
null_common,e307,22,1.0,,,0.999519389879898,,
null_common,__global_oof__,1304,0.2776073619631902,0.9864664344113264,0.9686619995489238,0.3056539421073831,,
visible_null_common,e279,66,0.19696969696969696,0.9433962264150944,0.6429086938702323,0.2062698283972161,,
visible_null_common,e284,9,0.0,,,0.0038126072657631896,,
visible_null_common,e285,158,0.0,,,0.01174682427573809,,
visible_null_common,e286,533,0.0,,,0.017569214355302128,,
visible_null_common,e287,3,0.0,,,0.014062644307121197,,
visible_null_common,e289,28,0.42857142857142855,1.0,1.0,0.08071104605265401,,
visible_null_common,e290,48,0.6875,1.0,1.0,0.6722637331785396,,
visible_null_common,e291,40,0.45,1.0,1.0,0.4500030721472287,,
visible_null_common,e292,56,0.2857142857142857,0.9796874999999999,0.9466075591075591,0.27839113386822506,,
visible_null_common,e293,64,0.75,1.0,1.0000000000000002,0.752215816928079,,
visible_null_common,e297,39,0.5128205128205128,1.0,1.0000000000000002,0.6145721255744759,,
visible_null_common,e299,71,0.6619718309859155,1.0,1.0000000000000002,0.7145615394032426,,
visible_null_common,e300,120,0.6916666666666667,0.9019863236730706,0.8933965256418358,0.8357823817142316,,
visible_null_common,e301,1,0.0,,,0.17694695984058117,,
visible_null_common,e303,12,0.9166666666666666,0.45454545454545453,0.9406172110717566,0.9908898734013892,,
visible_null_common,e305,14,1.0,,,0.9807979977659024,,
visible_null_common,e306,20,1.0,,,0.948539333978761,,
visible_null_common,e307,22,1.0,,,0.9997491699884395,,
visible_null_common,__global_oof__,1304,0.2737730061349693,0.9891415911665615,0.9659098775768773,0.29365892679207556,,
edge_ok,e279,66,0.19696969696969696,1.0,1.0,0.16033248805220343,,
edge_ok,e284,9,0.0,,,0.0038695822185567832,,
edge_ok,e285,158,0.0,,,0.011450738430886046,,
edge_ok,e286,533,0.0,,,0.01689829050313932,,
edge_ok,e287,3,0.0,,,0.030309891285114715,,
edge_ok,e289,28,0.42857142857142855,1.0,1.0,0.24127296384617755,,
edge_ok,e290,48,0.6875,1.0,1.0,0.7086414213072033,,
edge_ok,e291,40,0.45,1.0,1.0,0.45298194432964045,,
edge_ok,e292,56,0.32142857142857145,1.0,1.0,0.2947940338125598,,
edge_ok,e293,64,0.75,1.0,1.0000000000000002,0.7553859713342207,,
edge_ok,e297,39,0.5128205128205128,1.0,1.0000000000000002,0.6013975320553102,,
edge_ok,e299,71,0.704225352112676,1.0,1.0,0.7258038720175938,,
edge_ok,e300,120,0.725,1.0,0.9999999999999999,0.9220471520703086,,
edge_ok,e301,1,1.0,,,0.14062525165584236,,
edge_ok,e303,12,1.0,,,0.993308709488519,,
edge_ok,e305,14,1.0,,,0.9899399363594952,,
edge_ok,e306,20,1.0,,,0.9769487355589584,,
edge_ok,e307,22,1.0,,,0.99910765235324,,
edge_ok,__global_oof__,1304,0.2822085889570552,0.9978226031215162,0.9946631633290097,0.3054736591467666,,
null_strict_rate,e279,66,,,,-0.6632937424350858,1.0240202318671698,0.6196912017120672
null_strict_rate,e284,9,,,,0.032048701118949495,0.032048701118949495,
null_strict_rate,e285,158,,,,0.057699974081860096,0.057699974081860096,
null_strict_rate,e286,533,,,,0.06473686633209325,0.06473686633209325,
null_strict_rate,e287,3,,,,0.18681431891942749,0.1709413030464116,0.8660254037844387
null_strict_rate,e289,28,,,,0.3826650548395416,0.12930551633946635,0.8536319972897539
null_strict_rate,e290,48,,,,0.5917817472086618,0.14239691814494668,0.8413679753237068
null_strict_rate,e291,40,,,,0.4384906919349338,0.06945659673990469,0.8682993305142032
null_strict_rate,e292,56,,,,0.18761573789900293,0.16061150029100965,0.8032227774893828
null_strict_rate,e293,64,,,,0.7518540196683194,0.0925701959225611,0.8143351313456855
null_strict_rate,e297,39,,,,0.8594817143989477,0.3416983783360074,0.8465133680530342
null_strict_rate,e299,71,,,,0.8352819679491371,0.17465151858629333,0.826497065328426
null_strict_rate,e300,120,,,,0.7558602932379962,0.14655170043905733,0.5294653637856477
null_strict_rate,e301,1,,,,0.2370989574490121,0.0730364574490121,
null_strict_rate,e303,12,,,,0.7142218395273373,0.1581857379471663,-0.09876927247871256
null_strict_rate,e305,14,,,,0.700047917544502,0.053007624877505446,0.6720766373419595
null_strict_rate,e306,20,,,,0.6347305920412418,0.08558190795875813,0.7134815009450935
null_strict_rate,e307,22,,,,0.7886771253371716,0.04275385474400666,
null_strict_rate,__global_oof__,1304,,,,0.26699366091736165,0.1448150642544809,0.7758684565574657
actual_p90,e279,66,,,,0.0003170876497636203,3.6023770700250144e-05,0.9995407481629927
actual_p90,e284,9,,,,0.0001026716533752353,7.488100345157466e-06,0.9666666666666667
actual_p90,e285,158,,,,3.0047313370985305e-05,1.8885110936046227e-05,0.988374693280232
actual_p90,e286,533,,,,4.046707003865219e-05,2.9446549218153777e-05,0.978177863445637
actual_p90,e287,3,,,,8.88797006994779e-05,5.713032097414381e-05,1.0
actual_p90,e289,28,,,,-9.072636192860798e-06,7.740545548446049e-05,0.9863163656267103
actual_p90,e290,48,,,,-3.6098411028491874e-05,5.984929918578943e-05,0.9924012158054711
actual_p90,e291,40,,,,2.8772134525945493e-05,4.6503194576360997e-05,0.9859287054409007
actual_p90,e292,56,,,,0.00010653603807592219,8.488441214251893e-05,0.918752564628642
actual_p90,e293,64,,,,-0.00012461245265648762,1.2875523723841358e-05,0.974535711832192
actual_p90,e297,39,,,,-0.00016527450174972912,4.069972203007173e-05,0.9759109311740892
actual_p90,e299,71,,,,-0.00020202283756538754,1.9126660232531928e-05,0.9726942714482631
actual_p90,e300,120,,,,-6.60470709720289e-05,1.0686779539465467e-05,0.7537858926233691
actual_p90,e301,1,,,,-4.9994098246910264e-05,1.3133525164233523e-06,
actual_p90,e303,12,,,,-6.876394969914629e-05,2.0068983229055344e-06,0.9300699300699302
actual_p90,e305,14,,,,-7.684610624984379e-05,6.012554477374201e-06,0.9780219780219781
actual_p90,e306,20,,,,-6.938140633438562e-05,3.827165059909113e-06,0.9789473684210527
actual_p90,e307,22,,,,-0.0001311115796953158,1.244099752516147e-05,0.9683794466403164
actual_p90,__global_oof__,1304,,,,8.168540104642463e-06,2.949427240146123e-05,0.9445677096567515
