feature,coef_null_common,abs_coef
human_absw__story_deepnight_phone_awake,-0.25566368473890294,0.25566368473890294
human_absw__diary_jepa_prednorm_subject_cognitive_money,-0.2544381253974107,0.2544381253974107
human_signed__story_deepnight_phone_awake,0.25433446273861615,0.25433446273861615
human_absw__cash_payeom_near3_money_rumination_active,0.2532262967246089,0.2532262967246089
human_signed__diary_sensor_measurement_energy,-0.25126002662570623,0.25126002662570623
human_signed__cash_pay20_post3_spend_outing_subj_z,-0.2508479650211965,0.2508479650211965
human_signed__story_media_binge_late,-0.2508443216372839,0.2508443216372839
human_signed__diary_jepa_prednorm_dateblock_sensor_measurement,-0.24888502101361915,0.24888502101361915
human_q_minus_s__cash_monthstart_spending_reset_subj_z,-0.24878161313699587,0.24878161313699587
human_absw__diary_jepa_resid_dateblock_social_comm,0.2470861687970227,0.2470861687970227
human_absw__story_public_social_evening,-0.2465814465998189,0.2465814465998189
human_signed__story_sedentary_screen_day_subj_z,-0.24477588443719214,0.24477588443719214
human_signed__cash_pay20_near3_money_rumination_subj_z,0.24435167428079613,0.24435167428079613
human_signed__cash_monthstart_spending_reset_subj_z,0.24165358997410072,0.24165358997410072
human_active__cash_pay25_pre7_budget_squeeze_subj_z,-0.24138660878505433,0.24138660878505433
human_absw__diary_social_comm_pc3,-0.2374755442914223,0.2374755442914223
human_active__diary_diary_state_k6_4,-0.23521114922853467,0.23521114922853467
human_absw__story_high_sensor_wear_day,-0.23507139932668433,0.23507139932668433
human_signed__cash_pay10_post7_spend_outing_subj_z,-0.23452719004751804,0.23452719004751804
human_signed__diary_jepa_prednorm_subject_media_game,-0.23358222602407974,0.23358222602407974
