sensor,outcome,n_scenarios,rate,delta_mean,delta_p05,delta_p50,delta_p95,best_followup_id,best_followup_label,best_followup_family,best_followup_mean_vs_e95,best_followup_p95_vs_e95,best_followup_beat_e95_rate
control_e90,large_loss,651,0.18858632676709153,2.772838191730289e-05,2.0433387350287295e-05,2.5673776471709435e-05,4.0733596577887545e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-3.6934483443397106e-05,-6.579384834816655e-06,0.9861751152073732
control_e86,strong_win,0,0.0,,,,,,,,,,
control_e86,edge_win,0,0.0,,,,,,,,,,
control_e86,small_win,0,0.0,,,,,,,,,,
control_e86,tie,34,0.009849362688296639,1.95915209172446e-06,6.910859459597202e-07,2.155298739544811e-06,2.8609330149124994e-06,,,,,,
control_e86,small_loss,2029,0.5877752027809965,1.1068991174737817e-05,5.0495880378272755e-06,1.0243618367699032e-05,1.8707054410406033e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-2.6253017849683744e-05,-1.7585015917363235e-06,0.972400197141449
control_e86,large_loss,1389,0.40237543453070684,3.434421882328274e-05,2.089128844642869e-05,3.441105109945521e-05,5.072034005396206e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-3.5786057927796545e-05,-5.1882411236100305e-06,0.986321094312455
control_mixmin,strong_win,0,0.0,,,,,,,,,,
control_mixmin,edge_win,0,0.0,,,,,,,,,,
control_mixmin,small_win,0,0.0,,,,,,,,,,
control_mixmin,tie,0,0.0,,,,,,,,,,
control_mixmin,small_loss,3452,1.0,1.5310700000048527e-05,1.5310700000048527e-05,1.5310700000048527e-05,1.5310700000048527e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-2.9942366768144978e-05,-2.496942970351932e-06,0.9779837775202781
control_mixmin,large_loss,0,0.0,,,,,,,,,,
