basename,source_path,family,tag,nonzero_rows,pos_rows,neg_rows,mean_abs_s4_delta,max_abs_s4_delta,active_latent_mean,inactive_latent_mean,active_current_logit_mean,active_mismatch_mean,active_overconf_mean,active_underconf_mean,delta_latent_alignment,delta_current_alignment,active_minus_inactive_latent,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,selection_score,actual_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,worst_mode_mean_dominance,public_free_ready,decision,dateblock_p90_dominance,dateblock_mean_dominance,dateblock_null_strict_rate,row_p90_dominance,row_mean_dominance,row_null_strict_rate,sign_p90_dominance,sign_mean_dominance,sign_null_strict_rate,subject_p90_dominance,subject_mean_dominance,subject_null_strict_rate
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_12_cap0_0700_6c77aa36.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_12_cap0_0700_6c77aa36.csv,control_sharpen,control_sharpen_overconf_top64_s0.12_cap0.0700,64,60,4,0.016298194105144763,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.13963224848734057,0.6001702687736995,-0.6744013911361292,promote_candidate,True,False,-0.0004264350447816012,-0.0007766211177451991,-0.00013683326222703118,0.9117647058823529,0.004105033451388684,-0.00034894841901261364,True,-0.0004264350447816012,-0.0007766211177451991,-0.00013683326222703118,0.9117647058823529,128,0.75,0.296875,0.265625,0.0,0.0,False,do_not_submit,0.09375,0.0625,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.09375,0.0,1.0
submission_e307_s4latentcensor_control_up_overconf_top64_a0_0520_625bdcf9.csv,analysis_outputs/submission_e307_s4latentcensor_control_up_overconf_top64_a0_0520_625bdcf9.csv,control_wrong_overconf,control_up_overconf_top64_a0.0520,64,64,0,0.013312000000000001,0.052,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.29432347868846537,0.5396694545053851,-0.6744013911361292,promote_candidate,True,False,-0.0004150464503139502,-0.0007581334666366945,-0.00012886693091411302,0.9117647058823529,0.0050878524089382204,-0.0003352522120465694,True,-0.0004150464503139502,-0.0007581334666366945,-0.00012886693091411302,0.9117647058823529,128,0.75,0.5625,0.2578125,0.03125,0.0,False,do_not_submit,0.5,0.03125,1.0,0.03125,0.0,1.0,1.0,1.0,0.0,0.71875,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_16_cap0_0900_366032ce.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_16_cap0_0900_366032ce.csv,control_sharpen,control_sharpen_overconf_top50_s0.16_cap0.0900,50,47,3,0.016582008644805968,0.09,-0.5378087662275248,0.1344521915568812,1.354301136800357,1.590672975799686,1.772679795475942,-1.4086661561234295,-0.1323246876587063,0.5821579287266192,-0.6722609577844061,promote_candidate,True,False,-0.00038262715874542454,-0.0007019246270057102,-0.00011861426890779246,0.9117647058823529,0.003605042781483131,-0.0003125247993884966,True,-0.00038262715874542454,-0.0007019246270057102,-0.00011861426890779246,0.9117647058823529,128,0.75,0.421875,0.2578125,0.0,0.0,False,do_not_submit,0.4375,0.03125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0900_50a04c8a.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0900_50a04c8a.csv,control_sharpen,control_sharpen_overconf_top64_s0.22_cap0.0900,64,60,4,0.021637354562444863,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14537355408835267,0.5888570909661967,-0.6744013911361292,promote_candidate,True,False,-0.0005507145138535299,-0.0010042988754619582,-0.00017659312419899121,0.9117647058823529,0.005429631890358194,-0.00044452091028886653,True,-0.0005507145138535299,-0.0010042988754619582,-0.00017659312419899121,0.9117647058823529,128,0.75,0.3828125,0.2578125,0.0,0.0,False,do_not_submit,0.34375,0.03125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1875,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_12_cap0_0900_d1965608.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_12_cap0_0900_d1965608.csv,control_sharpen,control_sharpen_overconf_top64_s0.12_cap0.0900,64,60,4,0.020161745913319314,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.1343703408068687,0.6123177386995367,-0.6744013911361292,promote_candidate,True,False,-0.0005183415905738687,-0.0009442235080488811,-0.00016662389319642778,0.9117647058823529,0.004984815806893916,-0.000420218470287789,True,-0.0005183415905738687,-0.0009442235080488811,-0.00016662389319642778,0.9117647058823529,128,0.75,0.4296875,0.2578125,0.0,0.0,False,do_not_submit,0.34375,0.03125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.375,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_08_cap0_0900_64b1dc05.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_08_cap0_0900_64b1dc05.csv,control_sharpen,control_sharpen_overconf_top64_s0.08_cap0.0900,64,60,4,0.018172977471591998,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.11569183015850049,0.6374426705991874,-0.6744013911361292,promote_candidate,True,False,-0.0004577622884441328,-0.0008335072006671229,-0.00014708585680106624,0.9117647058823529,0.004116129078618108,-0.0003736709972530427,True,-0.0004577622884441328,-0.0008335072006671229,-0.00014708585680106624,0.9117647058823529,128,0.75,0.3515625,0.2578125,0.0,0.0,False,do_not_submit,0.1875,0.03125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.21875,0.0,1.0
submission_e307_s4latentcensor_control_up_overconf_top64_a0_0700_6e2d1164.csv,analysis_outputs/submission_e307_s4latentcensor_control_up_overconf_top64_a0_0700_6e2d1164.csv,control_wrong_overconf,control_up_overconf_top64_a0.0700,64,64,0,0.017920000000000002,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.29432347868846526,0.5396694545053853,-0.6744013911361292,promote_candidate,True,False,-0.0005488592692365984,-0.0010004076710161602,-0.00017598343887871692,0.9117647058823529,0.00684903208895532,-0.00044258448852636497,True,-0.0005488592692365984,-0.0010004076710161602,-0.00017598343887871692,0.9117647058823529,128,0.75,0.390625,0.2578125,0.0,0.0,False,do_not_submit,0.15625,0.03125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.40625,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0700_8a7d369f.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0700_8a7d369f.csv,control_sharpen,control_sharpen_overconf_top64_s0.22_cap0.0700,64,60,4,0.017070068546368992,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14296414736065202,0.5834200211288707,-0.6744013911361292,promote_candidate,True,False,-0.0004374037836194774,-0.0007961253180496138,-0.000140488952560829,0.9117647058823529,0.004187876801742874,-0.00035737253934700744,True,-0.0004374037836194774,-0.0007961253180496138,-0.000140488952560829,0.9117647058823529,128,0.75,0.3125,0.2578125,0.0,0.0,False,do_not_submit,0.125,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.125,0.03125,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_08_cap0_0700_5018ac6e.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_08_cap0_0700_5018ac6e.csv,control_sharpen,control_sharpen_overconf_top64_s0.08_cap0.0700,64,60,4,0.015191996632011609,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.12841222967352364,0.6209687728172901,-0.6744013911361292,promote_candidate,True,False,-0.0003969760924180999,-0.0007233470574547092,-0.0001273201299785325,0.9117647058823529,0.0036652525024286065,-0.00032638674324097524,True,-0.0003969760924180999,-0.0007233470574547092,-0.0001273201299785325,0.9117647058823529,128,0.75,0.3125,0.2578125,0.0,0.0,False,do_not_submit,0.125,0.03125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.125,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_22_cap0_0900_43cb228e.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_22_cap0_0900_43cb228e.csv,control_sharpen,control_sharpen_overconf_top50_s0.22_cap0.0900,50,47,3,0.01710673806253901,0.09,-0.5378087662275248,0.1344521915568812,1.354301136800357,1.590672975799686,1.772679795475942,-1.4086661561234295,-0.1386541534724559,0.570616017680928,-0.6722609577844061,promote_candidate,True,False,-0.00039599226027794374,-0.0007281651110841597,-0.00012181483735262986,0.9117647058823529,0.003711692498883923,-0.0003216242444125107,True,-0.00039599226027794374,-0.0007281651110841597,-0.00012181483735262986,0.9117647058823529,128,0.75,0.421875,0.25,0.0,0.0,False,do_not_submit,0.53125,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15625,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0900_c117bd48.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0900_c117bd48.csv,control_sharpen,control_sharpen_overconf_top64_s0.16_cap0.0900,64,60,4,0.021025651387493523,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14036128469993409,0.5991434833761938,-0.6744013911361292,promote_candidate,True,False,-0.0005380891882717031,-0.000980811395209829,-0.0001730809541190009,0.9117647058823529,0.005299771606391057,-0.0004354302076211541,True,-0.0005380891882717031,-0.000980811395209829,-0.0001730809541190009,0.9117647058823529,128,0.75,0.34375,0.25,0.0,0.0,False,do_not_submit,0.21875,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15625,0.0,1.0
submission_e307_s4latentcensor_control_up_overconf_top50_a0_0700_efaacf17.csv,analysis_outputs/submission_e307_s4latentcensor_control_up_overconf_top50_a0_0700_efaacf17.csv,control_wrong_overconf,control_up_overconf_top50_a0.0700,50,50,0,0.014,0.07,-0.5378087662275248,0.1344521915568812,1.354301136800357,1.590672975799686,1.772679795475942,-1.4086661561234295,-0.2689043831137623,0.5264321047860803,-0.6722609577844061,promote_candidate,True,False,-0.0003964628661035194,-0.0007217064958262902,-0.00012726876367222,0.9117647058823529,0.005300500161721622,-0.0003268481042246614,True,-0.0003964628661035194,-0.0007217064958262902,-0.00012726876367222,0.9117647058823529,128,0.75,0.3125,0.25,0.0,0.0,False,do_not_submit,0.125,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.125,0.0,1.0
