band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,translator,base_anchor_delta,translator_anchor_delta,anchor_minus_base,mean_anchor_minus_base,max_set_minus_base,min_set_minus_base,hidden_core_minus_base,hidden_all_minus_base,q2_hidden_minus_base,s3_hidden_minus_base,mean_move_minus_base,beats_base,tail_neutral_vs_base
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_soft_max_m1.00,-3.2854648646107876e-06,-3.4755498296012988e-06,-1.900849649905112e-07,-2.711056867887862e-07,5.604930519709228e-09,-5.145545755036451e-07,-3.7265831205057776e-06,-2.8945684955911815e-06,-1.723055195781975e-05,-8.85552988548477e-06,3.44353782127417e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_soft_p90_m0.50,-3.2854648646107876e-06,-3.4410814409024937e-06,-1.556165762917061e-07,-2.064321451555884e-07,-3.624374000921193e-08,-3.570854630874365e-07,-3.0532013763906463e-06,-2.418350706737539e-06,-1.4824466256141422e-05,-6.547943378468202e-06,2.78896715962785e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_max_nonpos_m1.00,-3.2854648646107876e-06,-3.4390209613377465e-06,-1.535560967269589e-07,-1.7267360574724222e-07,-8.726833011785118e-08,-2.331138516664666e-07,-8.649538835170389e-07,-5.94713795527271e-07,0.0,-6.054677184397228e-06,1.6360160388796197e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_soft_max_m0.50,-3.2854648646107876e-06,-3.3813613414812593e-06,-9.589647687047176e-08,-1.3636694784491254e-07,1.8835475401601798e-09,-2.5813120130280254e-07,-1.864108900934136e-06,-1.4481015884510611e-06,-8.619067202730868e-06,-4.429695103502773e-06,1.7217689106371935e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_max_nonpos_m0.50,-3.2854648646107876e-06,-3.3630691305130966e-06,-7.760426590230907e-08,-8.705257004137934e-08,-4.4373527297025817e-08,-1.1727344295664466e-07,-4.331426758652501e-07,-2.9802263181089765e-07,0.0,-3.0319987305432727e-06,8.180080194396906e-06,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q20.05_s30.05,-3.2854648646107876e-06,-3.270169473656992e-06,1.5295390953795618e-08,-4.920834772992322e-08,1.83813045451231e-07,-2.8595741186077106e-07,-3.293235456058863e-06,-2.9320689684610743e-06,-1.4768335651199616e-05,-8.284312540934868e-06,3.1594586274283484e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q20.20_s30.00,-3.2854648646107876e-06,-3.2666815957815842e-06,1.8783268829203337e-08,-2.580649649530642e-08,1.8486876895984494e-07,-2.978938279385446e-07,-8.432385505158235e-06,-6.55893212887982e-06,-5.9026698535996625e-05,0.0,7.392194376916006e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q20.10_s30.10,-3.2854648646107876e-06,-3.2529910833911657e-06,3.2473781219621856e-08,-9.661274646965978e-08,3.6955109661285235e-07,-5.701269237823325e-07,-6.584606787901626e-06,-5.862273812702037e-06,-2.9528897646013963e-05,-1.6563349869436195e-05,6.318917254858345e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q20.00_s30.20,-3.2854648646107876e-06,-3.232605478187267e-06,5.2859386423520505e-08,-1.6020290716234342e-07,5.619359236819221e-07,-8.377200889642111e-07,-4.72937127163342e-06,-5.158158697457147e-06,0.0,-3.310559890143394e-05,5.245640132800792e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q20.20_s30.20,-3.2854648646107876e-06,-3.2129783120726785e-06,7.24865525381091e-08,-1.8600940365764984e-07,7.468025893242469e-07,-1.13308194538142e-06,-1.3161756776791655e-05,-1.1717090826336913e-05,-5.9026698535996625e-05,-3.310559890143394e-05,0.00012637834509716798,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q20.35_s30.35,-3.2854648646107876e-06,-3.1417477257544846e-06,1.43717138856303e-07,-3.0657293870195446e-07,1.3271197190078965e-06,-1.9640553644562075e-06,-2.301349894029414e-05,-2.0485333526942817e-05,-0.00010321508413971281,-5.787940844130535e-05,0.00022116210392005248,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,uniform_q21.00_s31.00,-3.2854648646107876e-06,-2.6717996688407908e-06,6.136651957699968e-07,-6.413332815924377e-07,4.042120725911147e-06,-5.378342239459322e-06,-6.551043965913328e-05,-5.82871099068516e-05,-0.0002938891124737719,-0.00016468396513967531,0.0006318917254858724,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_meanneg_m1.00,-3.046832432906932e-06,-3.980274364989711e-06,-9.334419320827791e-07,-1.751655311021949e-06,1.0585092243831085e-06,-4.3779543735800175e-06,-3.442728109512294e-05,-3.0025431912613786e-05,-0.00014916147713819883,-9.182949052752298e-05,0.0003237591199553209,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_meanneg_m0.50,-3.046832432906932e-06,-3.553310635062701e-06,-5.06478202155769e-07,-9.183199700668609e-07,4.825363201232946e-07,-2.2220396518335406e-06,-1.725728445262087e-05,-1.5056359861384126e-05,-7.475163617270963e-05,-4.604935499576135e-05,0.00016187955997765558,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_p90_nonpos_m1.00,-3.046832432906932e-06,-3.5478833699809087e-06,-5.010509370739769e-07,-6.151498008755141e-07,-3.2327921573038765e-07,-8.289004788109011e-07,-7.660756174060479e-06,-6.160944196602938e-06,-3.435533187773343e-05,-1.926996134077319e-05,7.694583297752173e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_soft_p90_m1.00,-3.046832432906932e-06,-3.327324806567944e-06,-2.804923736610121e-07,-3.7297425869997625e-07,-6.358618853674614e-08,-6.465503081809487e-07,-5.541176300943862e-06,-4.385180271349043e-06,-2.684267041139221e-05,-1.1945563695117678e-05,5.083832320053219e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_p90_nonpos_m0.50,-3.046832432906932e-06,-3.3048470048369083e-06,-2.5801457192997646e-07,-3.159860170187656e-07,-1.6852570428049773e-07,-4.231933216081174e-07,-3.839757225482243e-06,-3.0898512367752786e-06,-1.721477271526828e-05,-9.663527863149057e-06,3.847291648875913e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_soft_max_m1.00,-3.046832432906932e-06,-3.2196638293235935e-06,-1.7283139641666168e-07,-2.4690464839327575e-07,4.254180452356593e-09,-4.665307916651429e-07,-3.385151160328892e-06,-2.628692831169974e-06,-1.5598357332724522e-05,-8.097700789633233e-06,3.138271714164527e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_soft_p90_m0.50,-3.046832432906932e-06,-3.188596735648197e-06,-1.4176430274126517e-07,-1.879609650146108e-07,-3.33729025525642e-08,-3.2477261724395134e-07,-2.7720463146030383e-06,-2.19404829977191e-06,-1.3428295936701584e-05,-5.9760282651588614e-06,2.541916160026382e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_max_nonpos_m1.00,-3.046832432906932e-06,-3.1797944703981784e-06,-1.3296203749124658e-07,-1.5777333650657255e-07,-8.03434464513586e-08,-2.1266595640057062e-07,-7.981937313883414e-07,-5.588258420611083e-07,0.0,-5.5873561196628785e-06,1.492462517472203e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_soft_max_m0.50,-3.046832432906932e-06,-3.1339506302296982e-06,-8.711819732276638e-08,-1.2412175431908423e-07,1.3713582491803322e-09,-2.3396636883443733e-07,-1.693247617950977e-06,-1.3150184532882377e-06,-7.802299897080589e-06,-4.050433428062772e-06,1.569135857081537e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,tail_max_nonpos_m0.50,-3.046832432906932e-06,-3.114046798424752e-06,-6.721436551782034e-08,-7.947387825613106e-08,-4.077873738683735e-08,-1.0692024077219031e-07,-3.996432313135845e-07,-2.7995928662618327e-07,0.0,-2.7975026190563135e-06,7.462312587359823e-06,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q20.05_s30.05,-3.046832432906932e-06,-3.0326872886288214e-06,1.4145144278110422e-08,-4.4584842040507056e-08,1.6646622491567342e-07,-2.582995114464026e-07,-2.9960782739479885e-06,-2.6675892720318117e-06,-1.34045337425448e-05,-7.568014174744175e-06,2.8804137107235183e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q20.20_s30.00,-3.046832432906932e-06,-3.0311452083875423e-06,1.568722451938953e-08,-2.4272147736148497e-08,1.656783835679576e-07,-2.7007515623900247e-07,-7.654258642353362e-06,-5.950094854664388e-06,-5.357981049636251e-05,0.0,6.725953348722018e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q20.10_s30.10,-3.046832432906932e-06,-3.0169918031619503e-06,2.9840629744981584e-08,-8.76866516064112e-08,3.3451460546007894e-07,-5.151222058907834e-07,-5.990623738183487e-06,-5.333645734422501e-06,-2.6802680336224238e-05,-1.5131685831018538e-05,5.760827421448511e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q20.00_s30.20,-3.046832432906932e-06,-2.9977653839274865e-06,4.906704897944536e-08,-1.4516880719739333e-07,5.096814299498931e-07,-7.576477579762653e-07,-4.320857371231668e-06,-4.71106515136693e-06,0.0,-3.0246001598788208e-05,4.795701494174874e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q20.20_s30.20,-3.046832432906932e-06,-2.981308436900143e-06,6.552399600678882e-08,-1.6944095493354183e-07,6.7535811232311e-07,-1.0254135340836967e-06,-1.197511601358503e-05,-1.0661160006015488e-05,-5.357981049636251e-05,-3.0246001598788208e-05,0.0001152165484289687,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q20.35_s30.35,-3.046832432906932e-06,-2.918766857984423e-06,1.2806557492250903e-07,-2.8094830606395504e-07,1.198491285436809e-06,-1.7811545733881218e-06,-2.0940356954102235e-05,-1.8640933940883286e-05,-9.369759224855945e-05,-5.288490643044763e-05,0.00020162895975069637,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.08,uniform_q21.00_s31.00,-3.046832432906932e-06,-2.516049374401419e-06,5.307830585055129e-07,-6.098588111180803e-07,3.6300147316925546e-06,-4.9025857102869e-06,-5.9630267965543604e-05,-5.306048792771571e-05,-0.0002668766671320155,-0.00015053520862651215,0.0005760827421448702,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_meanneg_m1.00,-4.085854705127012e-06,-5.366551989238744e-06,-1.2806972841117314e-06,-2.4878412505646708e-06,1.7311678268683295e-06,-6.391774242220372e-06,-5.129511610832416e-05,-4.4741055066339344e-05,-0.00022266951137281388,-0.00013639630138537195,0.00048184534684278394,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_meanneg_m0.50,-4.085854705127012e-06,-4.80947011238797e-06,-7.23615407260958e-07,-1.3391699547060654e-06,7.608396630498504e-07,-3.2903455134958293e-06,-2.5745362537382688e-05,-2.246833201640416e-05,-0.00011171747171159763,-6.850006605003955e-05,0.00024092267342138741,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_p90_nonpos_m1.00,-4.085854705127012e-06,-4.803942373010628e-06,-7.180876678836157e-07,-8.907159532167697e-07,-4.6284720756073483e-07,-1.188716253097688e-06,-1.1409213327484569e-05,-9.153106298596741e-06,-5.142160351928604e-05,-2.844288977316145e-05,0.00011434476159231672,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_soft_p90_m1.00,-4.085854705127012e-06,-4.4996599467550524e-06,-4.138052416280402e-07,-5.519632422235077e-07,-8.939361717530403e-08,-9.607841612302437e-07,-8.278996875332734e-06,-6.555830771962502e-06,-4.019839359345467e-05,-1.7754584534110385e-05,7.57005371899034e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_p90_nonpos_m0.50,-4.085854705127012e-06,-4.4616853237533505e-06,-3.7583061862633826e-07,-4.6422385402422606e-07,-2.4685794541845496e-07,-6.139440434926868e-07,-5.725626192221167e-06,-4.597572677820865e-06,-2.5794333620959842e-05,-1.428504972482425e-05,5.7172380796153156e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_soft_max_m1.00,-4.085854705127012e-06,-4.3422006160698245e-06,-2.5634591094281234e-07,-3.66350593417053e-07,9.403565259802349e-09,-6.966724820367531e-07,-5.055920829388771e-06,-3.926758124154074e-06,-2.3376969316230012e-05,-1.2014476489158321e-05,4.6733727574433184e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_soft_p90_m0.50,-4.085854705127012e-06,-4.296164283768e-06,-2.103095786409881e-07,-2.792879313373575e-07,-4.823963262179376e-08,-4.837608563734719e-07,-4.142769687548453e-06,-3.281186635871252e-06,-2.0114810251797843e-05,-8.884577560652751e-06,3.785026859494866e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_max_nonpos_m1.00,-4.085854705127012e-06,-4.29174361182838e-06,-2.0588890670136806e-07,-2.3295396944789104e-07,-1.1693597423700908e-07,-3.1138630807170387e-07,-1.172574320473796e-06,-8.058199153663311e-07,0.0,-8.208020243122283e-06,2.2203074813373965e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_soft_max_m0.50,-4.085854705127012e-06,-4.215602712798194e-06,-1.297480076711821e-07,-1.8467485540796247e-07,3.009359650363308e-09,-3.499152034791564e-07,-2.529465937955999e-06,-1.9648845853386505e-06,-1.1695467987682395e-05,-6.010793578106743e-06,2.3366863787214857e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,tail_max_nonpos_m0.50,-4.085854705127012e-06,-4.190188399810779e-06,-1.0433369468376696e-07,-1.1779594588645637e-07,-5.983020678890227e-08,-1.5700019029285528e-07,-5.875139008626462e-07,-4.041366983128982e-07,0.0,-4.112597305858112e-06,1.110153740668373e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q20.05_s30.05,-4.085854705127012e-06,-4.06461159485616e-06,2.1243110270852128e-08,-6.634557991880285e-08,2.4992282587898984e-07,-3.8761936260733876e-07,-4.468939215213075e-06,-3.978784696315597e-06,-2.0040857346831364e-05,-1.1241717159549136e-05,4.2878367086531845e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q20.20_s30.00,-4.085854705127012e-06,-4.055036933903189e-06,3.081777122382334e-08,-3.0775813009142894e-08,2.5511282975010374e-07,-3.965492301194473e-07,-1.1439645017902178e-05,-8.897101150119808e-06,-8.007751512531525e-05,0.0,0.00010032263797243217,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q20.10_s30.10,-4.085854705127012e-06,-4.039896228436035e-06,4.595847669097708e-08,-1.293685321090976e-07,5.033909935558967e-07,-7.719335822775619e-07,-8.93444496827267e-06,-7.954135930497502e-06,-4.006739653725222e-05,-2.2473718240864637e-05,8.575673417307323e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q20.00_s30.20,-4.085854705127012e-06,-4.011017784022464e-06,7.483692110454854e-08,-2.146700067706675e-07,7.658554960210395e-07,-1.1341061995073787e-06,-6.415510314633499e-06,-6.997436106865587e-06,0.0,-4.490857220240674e-05,7.11908303737286e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q20.20_s30.20,-4.085854705127012e-06,-3.982298876104018e-06,1.0355582902299432e-07,-2.454458197798104e-07,1.0209642924419171e-06,-1.5306471918830056e-06,-1.785515533250792e-05,-1.5894537256937798e-05,-8.007751512531525e-05,-4.490857220240674e-05,0.00017151346834616077,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q20.35_s30.35,-4.085854705127012e-06,-3.894265145576448e-06,1.9158955955056456e-07,-3.9463746404067024e-07,1.823920209087504e-06,-2.643932718426889e-06,-3.121046519652393e-05,-2.7779383564209765e-05,-0.00013998527358785595,-7.848798278742297e-05,0.000300148569605791,False,False
all,all,grad_all_4of6,all,core_gain,0.095,0.12,uniform_q21.00_s31.00,-4.085854705127012e-06,-3.1234905164545523e-06,9.623641886724599e-07,-6.954043521023578e-07,5.541344310411311e-06,-7.1245704593714265e-06,-8.872621229885636e-05,-7.89231219208629e-05,-0.0003980951846335179,-0.00022298830145829618,0.0008575673417308329,False,False
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_meanneg_m1.00,-3.851437630819632e-06,-5.0577334433921095e-06,-1.2062958125724776e-06,-2.3112921085921556e-06,1.542761854045338e-06,-5.888606393278373e-06,-4.702298250808257e-05,-4.099939941629556e-05,-0.00020377092908127614,-0.0001253899484758847,0.0004430387957283302,True,False
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_meanneg_m0.50,-3.851437630819632e-06,-4.52571505582533e-06,-6.742774250056982e-07,-1.235227396811922e-06,6.838924259122692e-07,-3.023241534005905e-06,-2.3593229929980142e-05,-2.0581438384126294e-05,-0.00010220556657994373,-6.294704293023645e-05,0.0002215193978641651,True,False
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_p90_nonpos_m1.00,-3.851437630819632e-06,-4.518058299707306e-06,-6.666206688876741e-07,-8.248153141598991e-07,-4.2843975556206004e-07,-1.1054680826294572e-06,-1.046421818293175e-05,-8.411843897992988e-06,-4.693768593411196e-05,-2.6311841346202125e-05,0.00010529429775871235,True,True
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_soft_p90_m1.00,-3.851437630819632e-06,-4.232812419346921e-06,-3.813747885272889e-07,-5.074133427873662e-07,-8.379884475218091e-08,-8.83544578278439e-07,-7.579721420014618e-06,-5.997832116379426e-06,-3.6718036381305774e-05,-1.6340013558852062e-05,6.956823174809152e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_p90_nonpos_m0.50,-3.851437630819632e-06,-4.198768688512544e-06,-3.473310576929123e-07,-4.2816201106798957e-07,-2.2711489788829198e-07,-5.690904288924159e-07,-5.249676783142254e-06,-4.223489640670867e-06,-2.3538353760538255e-05,-1.3209383721332624e-05,5.264714887935704e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_soft_max_m1.00,-3.851437630819632e-06,-4.087435493405067e-06,-2.3599786258543531e-07,-3.365193861348814e-07,7.359292508724025e-09,-6.396544617315314e-07,-4.630956717432966e-06,-3.5958032143750657e-06,-2.133882554583577e-05,-1.1077871476222745e-05,4.294477082540833e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_soft_p90_m0.50,-3.851437630819632e-06,-4.044970278060944e-06,-1.9353264724131236e-07,-2.564667287430211e-07,-4.485743543281018e-08,-4.445836425670535e-07,-3.7925914241898617e-06,-3.0016467723444832e-06,-1.83720537331733e-05,-8.176086236030833e-06,3.478411587404381e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.13,0.08,tail_max_nonpos_m1.00,-3.851437630819632e-06,-4.0413358942670286e-06,-1.898982634473967e-07,-2.1471534061845432e-07,-1.086625288637677e-07,-2.8653676698020547e-07,-1.0911625481779819e-06,-7.63606489087988e-07,0.0,-7.638137837107095e-06,2.0423171291722008e-05,True,True
