selector,rows,selected_cells,selected_s3_cells,selected_q2_cells,pass_rows,dominates_e101,mean_better_rows,mean_p95_better_but_beat_worse_rows,scale1_mean_vs_e95,scale1_p95_vs_e95,scale1_beat,best_mean_scale,best_mean_vs_e95,best_mean_p95_vs_e95,best_mean_beat,best_pass_scale,best_pass_mean_vs_e95,best_pass_p95_vs_e95,best_pass_beat,edge_support_mean,edge_expected_delta_basis
flip_benefit_best_top30,7,30,30,0,0,0,3,0,-1.3278889632142295e-05,1.9441723968541637e-07,0.9414831981460023,2.0,-2.4696438572960347e-05,8.697391596766484e-07,0.9290266512166859,,,,,0.6924269195496043,-2.8672474051337145e-06
flip_benefit_best_top25,7,25,25,0,0,0,2,0,-1.1314882293196748e-05,6.008733255037206e-07,0.9017960602549246,2.0,-2.0864845514150612e-05,1.8836530502060903e-06,0.8835457705677868,,,,,0.7462017836270544,-4.475976634493314e-06
near_edge_first_top35,7,35,29,6,0,0,1,0,-1.008655004320815e-05,2.2692649329030992e-07,0.9377172653534183,2.0,-1.8583746469852434e-05,8.937889808349862e-07,0.918018539976825,,,,,0.5990253152981403,3.1675986781005297e-06
flip_benefit_best_top23,7,23,23,0,0,0,1,0,-9.940392970427047e-06,9.567799550368547e-07,0.8621089223638471,2.0,-1.8294435002763643e-05,2.7200788498687795e-06,0.8406720741599073,,,,,0.7676106343772331,-5.017741459871429e-06
flip_x_edge_support_best_top40,7,40,33,7,0,0,1,0,-9.779528965222533e-06,2.7258147225784103e-07,0.936268829663963,2.0,-1.7522792955555353e-05,1.2878657060011842e-06,0.9197566628041715,,,,,0.6973516603513853,-2.523110342780316e-06
interior,7,19,14,5,0,0,0,0,-8.565190162208481e-06,6.698133508671237e-07,0.8638470451911935,2.0,-1.6158789816289112e-05,1.871121136629258e-06,0.8455967555040557,,,,,0.5861183346838273,-2.3993637823987873e-06
flip_benefit_best_top20,7,20,20,0,0,0,0,0,-8.307047281544904e-06,1.1743651386189256e-06,0.8198146002317497,2.0,-1.5064408283915035e-05,3.3645692294661646e-06,0.794611819235226,,,,,0.7874716172889198,-5.6255654092836e-06
edge_or_near,7,31,25,6,0,0,0,0,-7.702840913095664e-06,5.89417336051647e-07,0.8942641946697567,2.0,-1.4214313608217816e-05,1.8834057928773261e-06,0.8736964078794901,,,,,0.59526705676354,5.413810317971102e-06
near_edge_first_top30,7,30,25,5,0,0,0,0,-7.666863061140718e-06,6.178415678213422e-07,0.8899188876013905,2.0,-1.414572507958197e-05,1.8951316606616313e-06,0.8705098493626883,,,,,0.5930820015406482,5.5148914672408165e-06
edge_expected_best_top40,7,40,30,10,0,0,0,0,-7.338922975838071e-06,8.432837345432613e-07,0.8931054461181923,2.0,-1.308980287213334e-05,2.6733565272131673e-06,0.8684820393974507,,,,,0.6750576874757372,-7.3704286993487165e-06
edge_support_best_top40,7,40,30,10,0,0,0,0,-6.7588147904980664e-06,9.372778677397268e-07,0.891946697566628,2.0,-1.1604680918373013e-05,3.3355239382883985e-06,0.8571842410196987,,,,,0.7068670010405065,-3.4420032905416307e-06
flip_x_edge_support_best_top35,7,35,30,5,0,0,0,0,-6.565299152687987e-06,1.0664476273033394e-06,0.8792004634994206,2.0,-1.1234456159196512e-05,3.626134468541867e-06,0.8421205098493627,,,,,0.743526909343891,-4.225981616273231e-06
both_flanks,7,30,24,6,0,0,0,0,-6.1815265019013e-06,9.65686066833151e-07,0.8716685979142526,2.0,-1.100138556121983e-05,2.922010464262264e-06,0.8377752027809965,,,,,0.6024135112091283,3.2771231678034288e-06
flip_x_edge_support_best_top30,7,30,28,2,0,0,0,0,-6.046968971058958e-06,1.3356824879101054e-06,0.8525492468134415,2.0,-1.037668180297225e-05,4.2135705135053516e-06,0.8198146002317497,,,,,0.7865072528927289,-6.510659717014285e-06
subject_expected_best_top35,7,35,28,7,0,0,0,0,-5.570491680047175e-06,1.273477888190509e-06,0.8554461181923523,2.0,-9.317894036165205e-06,4.217443929459279e-06,0.8105446118192352,,,,,0.697586756723929,-4.984764559519771e-06
edge_support_best_top35,7,35,27,8,0,0,0,0,-5.179630183712872e-06,1.513643489575084e-06,0.8337195828505214,2.0,-8.746179096131079e-06,4.653999029940209e-06,0.7949015063731171,,,,,0.7648864305960008,-7.594685847623286e-06
flip_x_edge_support_best_top25,7,25,24,1,0,0,0,0,-5.214517597793045e-06,1.7708432347306277e-06,0.7995365005793743,2.0,-8.697421075552483e-06,5.19228649951421e-06,0.7624565469293163,,,,,0.8350635722449404,-7.879799413173027e-06
edge_expected_best_top35,7,35,25,10,0,0,0,0,-5.0103035035437255e-06,1.6167267467244655e-06,0.8201042873696408,2.0,-8.470873512707515e-06,4.823273415941704e-06,0.7812862108922364,,,,,0.7518136194899969,-1.0298840603761632e-05
edge_expected_best_top10,7,10,10,0,0,0,0,0,-4.484536879679354e-06,1.1144634000607648e-06,0.7117612977983777,2.0,-8.071402096547254e-06,3.2082382762468262e-06,0.7007531865585168,,,,,0.7402735272348329,-8.606368147789257e-06
edge_expected_best_top8,7,8,8,0,0,0,0,0,-4.398378547842984e-06,1.0306724532325714e-06,0.6729432213209734,2.0,-8.003122163750037e-06,3.0022400597429004e-06,0.6697566628041715,,,,,0.698900667358397,-7.838871135583657e-06
edge_expected_best_top12,7,12,12,0,0,0,0,0,-4.496683029973554e-06,1.2280861908108822e-06,0.7320393974507532,2.0,-7.946508942109092e-06,3.570362228847741e-06,0.7117612977983777,,,,,0.7731163765800663,-9.260002360187086e-06
flank_conflict,7,12,7,5,0,0,0,0,-4.219861195804904e-06,4.956552393603977e-07,0.6993047508690614,2.0,-7.892869968029927e-06,1.673282149371802e-06,0.6952491309385863,,,,,0.4494284954811271,1.4048916812839997e-06
near_edge_first_top25,7,25,20,5,0,0,0,0,-4.370302584193203e-06,1.3378549820939598e-06,0.7925840092699884,2.0,-7.7162663971309e-06,3.879676610481044e-06,0.7641946697566628,,,,,0.6050766645787736,5.480877964249728e-06
flip_x_edge_support_best_top23,7,23,23,0,0,0,0,0,-4.6492555889575825e-06,2.0435148455428e-06,0.768539976825029,2.0,-7.684816960687594e-06,5.831717226185448e-06,0.7282734646581692,,,,,0.8537055794748013,-9.1471714468476e-06
near_edge_first_top23,7,23,19,4,0,0,0,0,-4.1546827782488e-06,1.3745028311701364e-06,0.7757821552723059,2.0,-7.277612594795025e-06,3.95957628658778e-06,0.7471031286210892,,,,,0.6023098294574308,5.93209303317686e-06
subject_expected_best_top30,7,30,23,7,0,0,0,0,-4.392883471241608e-06,1.7231101820044268e-06,0.787369640787949,2.0,-7.265661677027645e-06,5.231647216834989e-06,0.7358053302433372,,,,,0.7312273585540595,-7.139361722522857e-06
near_edge_first_top20,7,20,16,4,0,0,0,0,-4.080404842979956e-06,1.1956942322522717e-06,0.7627462340672074,2.0,-7.253928615673416e-06,3.4813560245191596e-06,0.7320393974507532,,,,,0.5841245578442993,5.89231633534783e-06
edge_expected_best_top15,7,15,15,0,0,0,0,0,-4.2100421575516555e-06,1.6321751775848014e-06,0.7372537659327926,2.0,-7.2287081361597875e-06,4.52151333692307e-06,0.705388180764774,,,,,0.8101597679307198,-1.0151308032883715e-05
conflict_flat_prior_help,7,20,19,1,0,0,0,0,-4.3169731698624116e-06,1.8166934510775573e-06,0.7334878331402086,2.0,-7.228496221140207e-06,5.264018569555202e-06,0.6938006952491309,,,,,0.8078813699595839,-7.035335404721771e-06
edge_expected_best_top20,7,20,19,1,0,0,0,0,-4.195079873149733e-06,1.8303445093276966e-06,0.7560834298957126,2.0,-7.00449658586691e-06,5.16534487091791e-06,0.7166859791425261,,,,,0.8364231654656653,-1.1256373670570516e-05
edge_expected_best_top23,7,23,21,2,0,0,0,0,-4.137550975467551e-06,1.984244902675749e-06,0.7595596755504056,2.0,-6.813685378026986e-06,5.5891936595503535e-06,0.7158169177288528,,,,,0.8387436970725789,-1.1783363439591487e-05
edge_support_ge_0p50,7,31,24,7,0,0,0,0,-4.1453207643077875e-06,2.1897425438086118e-06,0.7702780996523755,2.0,-6.79574899246743e-06,5.956852473647279e-06,0.7265353418308227,,,,,0.8156567790640188,-1.1711704416971348e-05
edge_support_beats_subject,7,30,24,6,0,0,0,0,-4.1170497350746925e-06,2.1966078127452414e-06,0.7665121668597914,2.0,-6.746604625007769e-06,6.082518708424206e-06,0.7230590961761297,,,,,0.8253850209058353,-1.2092207269029919e-05
edge_expected_negative,7,27,24,3,0,0,0,0,-3.994712439862235e-06,2.250460509039382e-06,0.7592699884125145,2.0,-6.517206744595053e-06,6.12235939008466e-06,0.7117612977983777,,,,,0.844646633320554,-1.231413280349463e-05
edge_expected_best_top25,7,25,23,2,0,0,0,0,-3.9780237006768546e-06,2.225530251076947e-06,0.7514484356894554,2.0,-6.423272721303263e-06,6.116142490468024e-06,0.705388180764774,,,,,0.8494219790845503,-1.2083623581453031e-05
near_edge_first_top15,7,15,11,4,0,0,0,0,-3.2783686495426804e-06,1.0819631670671918e-06,0.6804750869061413,2.0,-5.812064892770909e-06,3.233308522188306e-06,0.65324449594438,,,,,0.5287053708427264,6.759107489984686e-06
flip_benefit_best_top15,7,15,15,0,0,0,0,0,-3.53607259694641e-06,2.0938172643856593e-06,0.649188876013905,2.0,-5.764845086565875e-06,5.8524763251606185e-06,0.6135573580533025,,,,,0.8567145567787418,-6.121519673535314e-06
subject_expected_best_top23,7,23,18,5,0,0,0,0,-3.0354431294586563e-06,2.2649158705132553e-06,0.6691772885283893,2.0,-4.767975932521174e-06,6.286907513575692e-06,0.6184820393974507,,,,,0.7930176029746272,-7.196828830790171e-06
subject_expected_best_top25,7,25,20,5,0,0,0,0,-3.094256698060465e-06,2.350411151552791e-06,0.6856894553881807,2.0,-4.718874836614616e-06,6.6960521040414115e-06,0.6239860950173812,,,,,0.8020373920759031,-7.863537149288457e-06
near_edge_first_top12,7,12,8,4,0,0,0,0,-2.56949706772768e-06,8.832412450830038e-07,0.6060254924681344,2.0,-4.68698362798825e-06,2.5027231753388925e-06,0.5814020857473928,,,,,0.5317610630110631,5.8649197238993135e-06
near_edge_first_top8,7,8,6,2,0,0,0,0,-2.4815533972212813e-06,7.857002063810334e-07,0.5396871378910776,2.0,-4.589017516721934e-06,2.1833695187144264e-06,0.52954808806489,,,,,0.45338250930356194,5.500995307249086e-06
near_edge_first_top10,7,10,8,2,0,0,0,0,-2.486118386586119e-06,8.681718725441121e-07,0.5640208574739282,2.0,-4.527940588489343e-06,2.4623087421787196e-06,0.5457705677867902,,,,,0.5529837852206274,5.132057854112172e-06
subject_expected_best_top20,7,20,16,4,0,0,0,0,-2.863592207914242e-06,2.219655777842903e-06,0.634125144843569,2.0,-4.513631308901857e-06,6.172602578697872e-06,0.5828505214368482,,,,,0.8171968516079557,-6.719973687519542e-06
subject_expected_best_top15,7,15,13,2,0,0,0,0,-2.750472958583951e-06,2.154414928450793e-06,0.5912514484356894,2.0,-4.390244000606325e-06,5.967944260576879e-06,0.5504055619930475,,,,,0.8368816755576339,-6.248352893667143e-06
flip_benefit_best_top10,7,10,10,0,0,0,0,0,-2.6106374116914143e-06,2.0171151866379665e-06,0.5443221320973349,2.0,-4.220389245859878e-06,5.543928006649029e-06,0.5156431054461182,,,,,0.8769185760039419,-6.548547087866114e-06
flip_benefit_best_top12,7,12,12,0,0,0,0,0,-2.6447062547857076e-06,2.1356674254504683e-06,0.5802433371958285,2.0,-4.208214788314252e-06,5.867791937863461e-06,0.5437427578215527,,,,,0.8835150283321016,-7.14430176268137e-06
flip_x_edge_support_best_top20,7,20,20,0,0,0,0,0,-2.5414208710119694e-06,2.79608502587139e-06,0.6216685979142526,2.0,-3.708718818044511e-06,7.5146285018461825e-06,0.570683661645423,,,,,0.9008470091658248,-9.238212270541656e-06
subject_expected_negative,7,12,10,2,0,0,0,0,-2.1632112911267435e-06,2.14452007303586e-06,0.4927578215527231,2.0,-3.491047861499259e-06,5.682971593016053e-06,0.4591541135573581,,,,,0.8671193224764656,-5.689252334932343e-06
flank_agree,7,18,17,1,0,0,0,0,-1.953744778419951e-06,2.054495624540751e-06,0.6292004634994206,2.0,-3.1320261788603777e-06,5.328614043175624e-06,0.6025492468134415,,,,,0.7044035216944624,1.8722314865194285e-06
subject_expected_best_top8,7,8,6,2,0,0,0,0,-1.2129368244672334e-06,1.62264589426422e-06,0.38760139049826187,2.0,-1.9179180197226696e-06,4.168933346715434e-06,0.3609501738122827,,,,,0.8514996907854051,-3.6063573089657718e-06
flip_benefit_best_top8,7,8,8,0,0,0,0,0,-1.3170718889623827e-06,2.2011347133776645e-06,0.4130938586326767,2.0,-1.8753014327489349e-06,5.748206185611542e-06,0.38673232908458866,,,,,0.8987473823601873,-4.5243064488650855e-06
edge_support_q0.50,7,25,20,5,0,0,0,0,-1.490944613448644e-06,3.1354533614273667e-06,0.5883545770567786,1.5,-1.7645572127086712e-06,5.432059259989963e-06,0.5599652375434531,,,,,0.8622536252996551,-8.132863988539473e-06
edge_support_best_top23,7,23,20,3,0,0,0,0,-1.4195091822755595e-06,3.125188272777579e-06,0.5756083429895713,1.5,-1.657506048569778e-06,5.410675767493544e-06,0.5475086906141368,,,,,0.8798527278841268,-8.005465172115485e-06
subject_expected_best_top10,7,10,8,2,0,0,0,0,-1.0794280751632697e-06,1.9496563250377006e-06,0.38412514484356897,2.0,-1.5661983465758306e-06,4.9790406805205825e-06,0.3563151796060255,,,,,0.8756441970727685,-3.9230281427784565e-06
edge_support_q0.60,7,21,20,1,0,0,0,0,-1.3422167880245923e-06,3.165140258825361e-06,0.5640208574739282,1.5,-1.545070511015344e-06,5.487558574362773e-06,0.5370799536500579,,,,,0.9007585753479236,-8.026342904787599e-06
s3_edge_support_q0.50,7,20,20,0,0,0,0,0,-1.319777358345901e-06,3.1445146890754795e-06,0.5622827346465817,1.5,-1.5184079242137287e-06,5.453505523546571e-06,0.5344727694090382,,,,,0.9018571101759258,-7.822320007637828e-06
active_q2_all,7,11,0,11,0,0,0,0,-4.701514625321017e-07,1.1341091021007461e-07,0.4130938586326767,2.0,-8.811832676193629e-07,3.418298378345523e-07,0.4130938586326767,,,,,0.5339832757809518,1.940772802655055e-06
edge_support_high_and_near_edge,7,18,15,3,0,0,0,0,-3.904858373972967e-07,2.7500207320709676e-06,0.4756662804171495,1.0,-3.904858373972967e-07,2.7500207320709676e-06,0.4756662804171495,,,,,0.8433185882678518,-4.863532980363757e-06
q2_edge_support_q0.50,7,6,0,6,0,0,0,0,-2.087020613396281e-07,1.0737183191406003e-07,0.2656431054461182,2.0,-3.875455410696905e-07,2.7330997819025374e-07,0.2656431054461182,,,,,0.6925936775560837,-2.555898576025448e-07
q2_edge_support_q0.60,7,5,0,5,0,0,0,0,-1.745630952570771e-07,1.0241324560544481e-07,0.2358053302433372,2.0,-3.2083908218323044e-07,2.604655695134965e-07,0.2358053302433372,,,,,0.7038396857945731,-3.105439809016446e-07
edge_support_best_top20,7,20,19,1,0,0,0,0,-1.203194472436092e-07,3.547275555519843e-06,0.4536500579374276,0.5,-1.952565327434752e-07,1.5317488013757675e-06,0.48638470451911936,,,,,0.9119581202769359,-6.4261467615745135e-06
q2_edge_support_q0.90,7,2,0,2,0,0,0,0,-5.927196030388572e-08,4.9834618802820296e-08,0.10196987253765932,2.0,-1.0195479034216467e-07,1.326910698811861e-07,0.10196987253765932,,,,,0.7698032961190857,-3.0510404641948567e-07
flip_x_edge_support_best_top15,7,15,15,0,0,0,0,0,1.0256449256686849e-07,3.0887254760461182e-06,0.38847045191193513,0.5,-6.427116199394535e-08,1.332360293025758e-06,0.4116454229432213,,,,,0.9277922329316062,-5.068244673732058e-06
flip_x_edge_support_best_top10,7,10,10,0,0,0,0,0,7.210117909360116e-08,2.210984900575025e-06,0.3235805330243337,0.5,-5.361491432509135e-08,9.360612462495885e-07,0.3484936268829664,,,,,0.9338630204483864,-3.4936191264210288e-06
flip_x_edge_support_best_top12,7,12,12,0,0,0,0,0,1.618412364676952e-07,2.63885138592898e-06,0.33748551564310547,0.25,-3.9080389401713705e-08,5.105556138068593e-07,0.3864426419466976,,,,,0.9344409542580276,-4.126102196558685e-06
flip_x_edge_support_best_top8,7,8,8,0,0,0,0,0,1.1400854272544877e-07,1.966185240110542e-06,0.27983777520278097,0.25,-3.048983938189058e-08,3.7811595090071263e-07,0.3018539976825029,,,,,0.9382044530672581,-2.7970757578984575e-06
s3_edge_support_q0.60,7,17,17,0,0,0,0,0,4.373345695069665e-07,3.0204774607531894e-06,0.3455967555040556,0.25,2.729845239563565e-08,6.014316533967657e-07,0.38354577056778677,,,,,0.9340428706589806,-4.612817740930914e-06
edge_support_q0.70,7,15,15,0,0,0,0,0,4.918733798151149e-07,2.5395728852963167e-06,0.28939745075318657,0.25,5.207113288537037e-08,5.001017936837699e-07,0.34183082271147164,,,,,0.9433891763160059,-3.763643118011258e-06
s3_edge_support_q0.70,7,13,13,0,0,0,0,0,5.99287977896569e-07,2.3394604939417964e-06,0.2343568945538818,0.25,9.18186676975544e-08,4.721241045987448e-07,0.27925840092699883,,,,,0.9496891996892001,-3.016342820142686e-06
edge_support_q0.90,7,7,7,0,0,0,0,0,5.435883542810658e-07,1.455193286028345e-06,0.1332560834298957,0.25,9.860644140516193e-08,2.89327500234704e-07,0.15701042873696408,,,,,0.9722222222222224,-1.6211681611788e-06
edge_support_best_top12,7,12,12,0,0,0,0,0,6.095784834671064e-07,2.1430992331889e-06,0.21263035921205098,0.25,9.919891299282578e-08,4.3199576866548293e-07,0.25347624565469296,,,,,0.9530723905723909,-2.672890303725029e-06
edge_support_q0.80,7,11,11,0,0,0,0,0,5.931315811873506e-07,1.9940268113261897e-06,0.20162224797219003,0.25,9.925271396736222e-08,4.021257856765746e-07,0.23406720741599074,,,,,0.9570707070707075,-2.543462230953143e-06
edge_support_best_top10,7,10,10,0,0,0,0,0,6.104251784020436e-07,1.934375726511509e-06,0.18713789107763615,0.25,1.0515471392798911e-07,3.899834244047998e-07,0.21958285052143686,,,,,0.9597222222222225,-2.345819291638857e-06
edge_support_best_top8,7,8,8,0,0,0,0,0,6.283916261789067e-07,1.784318244484303e-06,0.156720741599073,0.25,1.1365484720717106e-07,3.597340593704877e-07,0.17641946697566627,,,,,0.9670138888888891,-1.9011807364229715e-06
