strategy,gate_class,mask_name,ranker,top_n,keep_factor,rollback_s3_cells,source_tag,source_family,source_projection_mode,all_minus_base,all_four,e154_submit,beats_e144_local,relaxed_structural_tol1e12,budget_ok,post101_ok,gate_strict_actionable,gate_cos95_resid025,gate_active_q2s3_not_more_than_e101,q2s3_delta95_l1,e101_active_delta95_l1,tail_equal_law_cosine,tail_equal_law_resid_ratio,post101_p95_vs_e95_e101_sensor,e72_plausible_gap_vs_e95,tag
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_14f03eec,e138,e144_plus_orth_top100,-1.280321492236336e-05,False,False,True,True,True,True,False,False,False,0.001172251089146411,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.662452736043309e-06,2.8189256484623115e-18,e154_14f03eec
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_c7c68547,e138,e144_plus_orth_top100,-1.2794387207248903e-05,False,False,True,True,True,True,False,False,False,0.0011719103345630743,0.0009200000000002201,0.9690868326882336,0.2561983873088072,-5.654021686392988e-06,2.8189256484623115e-18,e154_c7c68547
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_4acbdc73,e138,e144_plus_orth_top100,-1.276121475712877e-05,False,False,True,True,True,True,False,False,False,0.0011753229975666776,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.6038294315344254e-06,2.8189256484623115e-18,e154_4acbdc73
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2756347300246773e-05,False,False,True,True,True,True,False,False,False,0.0011751337333666483,0.0009200000000002201,0.9692232520773756,0.2555783137321639,-5.599422708315639e-06,2.8189256484623115e-18,e154_2ac8771f
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2727818026081472e-05,False,False,True,True,True,True,False,False,False,0.0011551337333666487,0.0007200000000002199,0.9692232520773756,0.2555783137321636,-5.590533256889624e-06,2.8189256484623115e-18,e154_590d5ff3
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_14f03eec,e138,e144_plus_orth_top100,-1.2689512889019205e-05,False,False,True,True,True,True,False,False,False,0.0011522510891464116,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.627024260134823e-06,2.8189256484623115e-18,e154_2b78660e
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_c7c68547,e138,e144_plus_orth_top100,-1.268068477178197e-05,False,False,True,True,True,True,False,False,False,0.0011519103345630746,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.618593085186852e-06,2.8189256484623115e-18,e154_2c7c3917
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_4acbdc73,e138,e144_plus_orth_top100,-1.264676995416103e-05,False,False,True,True,True,True,False,False,False,0.0011524218796469593,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.568169515651287e-06,2.8189256484623115e-18,e154_b1b5483b
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2641912363275942e-05,False,False,True,True,True,True,False,False,False,0.0011522354924533545,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.5637658665836265e-06,2.8189256484623115e-18,e154_23f1db9e
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.25,1,e152_14f03eec,e138,e144_plus_orth_top100,-1.2627233503037516e-05,False,False,True,True,True,True,False,False,False,0.0011422510891464118,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.607618593754439e-06,2.8189256484623115e-18,e154_3b95be6e
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.25,1,e152_c7c68547,e138,e144_plus_orth_top100,-1.2618405188957738e-05,False,False,True,True,True,True,False,False,False,0.001141910334563075,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.599187357472203e-06,2.8189256484623115e-18,e154_88622038
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.1,1,e152_14f03eec,e138,e144_plus_orth_top100,-1.2588125799628536e-05,False,False,True,True,True,True,False,False,False,0.0011362510891464116,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.59543300403972e-06,2.8189256484623115e-18,e154_13c0dc1e
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.5,5,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2587819718468118e-05,False,False,True,True,True,True,False,False,False,0.0011064218796469599,0.0004600000000002241,0.9692141422429951,0.2556197743369941,-5.549801180946802e-06,2.8189256484623115e-18,e154_6cddbe9c
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.5,2,e152_14f03eec,e138,e144_plus_orth_top100,-1.2582959979523523e-05,False,False,True,True,True,True,False,False,False,0.0011322510891464115,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.593823383457262e-06,2.8189256484623115e-18,e154_696cae53
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.5,5,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2582927243487418e-05,False,False,True,True,True,True,False,False,False,0.0011062354924533547,0.0004600000000002241,0.9692232520773756,0.2555783137321636,-5.5453866623255855e-06,2.8189256484623115e-18,e154_39338dbe
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.25,1,e152_4acbdc73,e138,e144_plus_orth_top100,-1.258057725495032e-05,False,False,True,True,True,True,False,False,False,0.0011409713206871005,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.547544497959597e-06,2.8189256484623115e-18,e154_94ac660a
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.1,1,e152_c7c68547,e138,e144_plus_orth_top100,-1.2579297368642273e-05,False,False,True,True,True,True,False,False,False,0.0011359103345630747,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.587001731330527e-06,2.8189256484623115e-18,e154_855a3ab4
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.25,1,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2575691681893097e-05,False,False,True,True,True,True,False,False,False,0.001140786371996708,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.543132129912318e-06,2.8189256484623115e-18,e154_7dcb1e1a
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.5,2,e152_c7c68547,e138,e144_plus_orth_top100,-1.2574028588674402e-05,False,False,True,True,True,True,False,False,False,0.0011319103345630746,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.585360029430671e-06,2.8189256484623115e-18,e154_2110cabd
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.0,1,e152_14f03eec,e138,e144_plus_orth_top100,-1.2561328249782733e-05,False,False,True,True,True,True,False,False,False,0.0011322510891464115,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.587083141498169e-06,2.8189256484623115e-18,e154_36d2b1ee
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.0,1,e152_c7c68547,e138,e144_plus_orth_top100,-1.2552499741524947e-05,False,False,True,True,True,True,False,False,False,0.0011319103345630746,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.578651844711903e-06,2.8189256484623115e-18,e154_eb4f4531
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.2537018065139627e-05,False,False,True,True,True,True,False,False,False,0.0011752935737221546,0.0009200000000002201,0.9697616121171029,0.2531130874333927,-5.239519426265465e-06,2.8189256484623115e-18,e154_f1bf70c9
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.1,1,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2536111118732762e-05,False,False,True,True,True,True,False,False,False,0.0011341009853111858,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.533689271369597e-06,2.8189256484623115e-18,e154_82537a1c
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.5,2,e152_4acbdc73,e138,e144_plus_orth_top100,-1.253304399528865e-05,False,False,True,True,True,True,False,False,False,0.0011324218796469596,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.532733584774974e-06,2.8189256484623115e-18,e154_aeb526cf
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.1,1,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2531329228404609e-05,False,False,True,True,True,True,False,False,False,0.00113391689972272,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.529309209877978e-06,2.8189256484623115e-18,e154_420de9de
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.5,2,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2528186188132118e-05,False,False,True,True,True,True,False,False,False,0.0011322354924533547,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.528329868319181e-06,2.8189256484623115e-18,e154_6b8b0244
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_9d5d8200,e138,e144_plus_orth_top100,-1.2524378177114492e-05,False,False,True,True,True,True,False,False,False,0.0011745935814661149,0.0009200000000002201,0.9698671951781322,0.25264114785741826,-5.019922861874949e-06,2.8189256484623115e-18,e154_9d5d8200
s3_active_boundary_repair,missing_actionable,top_s3_abs_3,s3_abs,3,0.5,3,e152_14f03eec,e138,e144_plus_orth_top100,-1.250925085394261e-05,False,False,True,True,True,True,False,False,False,0.0011122510891464106,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.570856318550208e-06,2.8189256484623115e-18,e154_c670cd0f
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.0,1,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2509103698765678e-05,False,False,True,True,True,True,False,False,False,0.0011295207617272424,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.525274015287425e-06,2.8189256484623115e-18,e154_38fc3fc2
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_0a49b46b,e138,e144_plus_orth_top100,-1.2508869034477677e-05,False,False,True,True,True,True,False,False,False,0.0011851871486856357,0.0009200000000002201,0.9699811029850897,0.2521966982250468,-4.726388170207096e-06,2.8189256484623115e-18,e154_0a49b46b
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.0,1,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2504249379707844e-05,False,False,True,True,True,True,False,False,False,0.0011293372515400605,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.5208713856901275e-06,2.8189256484623115e-18,e154_cf329528
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.250334669544717e-05,False,False,True,True,True,True,False,False,False,0.0011552935737221554,0.0007200000000002199,0.969761612117103,0.25311308743339284,-5.229027746610588e-06,2.8189256484623115e-18,e154_9a2af714
s3_active_boundary_repair,missing_actionable,top_s3_abs_3,s3_abs,3,0.5,3,e152_c7c68547,e138,e144_plus_orth_top100,-1.250027645471885e-05,False,False,True,True,True,True,False,False,False,0.0011119103345630739,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.562379563521719e-06,2.8189256484623115e-18,e154_5a46d8e8
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_3cc21d18,e138,e144_plus_orth_top100,-1.2497097155450554e-05,False,False,True,True,True,True,False,False,False,0.0011880832323331455,0.0009200000000002201,0.9700506295462247,0.25141794447598886,-4.624497320106563e-06,2.8189256484623115e-18,e154_3cc21d18
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_9d5d8200,e138,e144_plus_orth_top100,-1.2490625956762536e-05,False,False,True,True,True,True,False,False,False,0.0011545935814661163,0.0007200000000002199,0.9698671951781322,0.25264114785741826,-5.013301604054043e-06,2.8189256484623115e-18,e154_2026d520
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_63dfca26,e138,e144_plus_orth_top100,-1.248810809506562e-05,False,False,True,True,True,True,False,False,False,0.0011728945843370573,0.0009200000000002201,0.9699362455259787,0.2519021092897713,-4.5944914279393775e-06,2.8189256484623115e-18,e154_63dfca26
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.25,1,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.2485135302164885e-05,False,False,True,True,True,True,False,False,False,0.0011452935737221556,0.000620000000000222,0.969761612117103,0.25311308743339284,-5.223353249073602e-06,2.8189256484623115e-18,e154_a8e50b17
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_cacfe566,e138,e144_plus_orth_top100,-1.2478667955062583e-05,False,False,True,True,True,True,False,False,False,0.0011878294116818393,0.0009200000000002201,0.9700912920566271,0.25123837074107924,-4.6172629533359015e-06,2.8189256484623115e-18,e154_cacfe566
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.25,5,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2476797438432108e-05,False,False,True,True,True,True,False,False,True,0.001071971320687101,0.00023000000000022395,0.9692141422429951,0.2556197743369941,-5.515207690770109e-06,2.8189256484623115e-18,e154_66eb5e62
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.25,5,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2471913126921308e-05,False,False,True,True,True,True,False,False,True,0.0010717863719967083,0.00023000000000022395,0.9692232520773756,0.2555783137321636,-5.510795715808738e-06,2.8189256484623115e-18,e154_f03604f1
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.1,1,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.2471100655164769e-05,False,False,True,True,True,True,False,False,False,0.0011392935737221572,0.0005600000000002375,0.969761612117103,0.25311308743339284,-5.218980186090438e-06,2.8189256484623115e-18,e154_b52e2e0e
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_c0838df9,e138,e144_plus_orth_top100,-1.247021312100749e-05,False,False,True,True,True,True,False,False,False,0.0011726946118199191,0.0009200000000002201,0.9699792802297764,0.25171256187576707,-4.587625900930471e-06,2.8189256484623115e-18,e154_c0838df9
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_3cc21d18,e138,e144_plus_orth_top100,-1.2462981697436426e-05,False,False,True,True,True,True,False,False,False,0.0011680832323331452,0.0007200000000002199,0.9700506295462247,0.25141794447598886,-4.6138672667397745e-06,2.8189256484623115e-18,e154_06617a00
s3_active_boundary_repair,missing_actionable,top_s3_abs_3,s3_abs,3,0.5,3,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2462952847180908e-05,False,False,True,True,True,True,False,False,False,0.001112421879646959,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.510893847356934e-06,2.8189256484623115e-18,e154_dbf1cb0a
s3_active_boundary_repair,missing_actionable,top_s3_abs_3,s3_abs,3,0.5,3,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2457992427106213e-05,False,False,True,True,True,True,False,False,False,0.001112235492453354,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.506458157688422e-06,2.8189256484623115e-18,e154_e72ef1db
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.25,2,e152_14f03eec,e138,e144_plus_orth_top100,-1.24569545841835e-05,False,False,True,True,True,True,False,False,False,0.001112251089146412,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.554561296563605e-06,2.8189256484623115e-18,e154_884b2c80
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_63dfca26,e138,e144_plus_orth_top100,-1.245482077938398e-05,False,False,True,True,True,True,False,False,False,0.0011528945843370568,0.0007200000000002199,0.9699362455259787,0.2519021092897713,-4.58411941587416e-06,2.8189256484623115e-18,e154_f34fcfe6
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.25,2,e152_c7c68547,e138,e144_plus_orth_top100,-1.2448022743916098e-05,False,False,True,True,True,True,False,False,False,0.001111910334563075,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.546097802502538e-06,2.8189256484623115e-18,e154_9758b00b
s3_active_boundary_repair,missing_actionable,top_s3_abs_5,s3_abs,5,0.5,5,e152_14f03eec,e138,e144_plus_orth_top100,-1.2445534120053559e-05,False,False,True,True,True,True,False,False,True,0.001072251089146411,0.0007200000000002199,0.9690684333831139,0.25628188937534274,-5.5510027881852514e-06,2.8189256484623115e-18,e154_31dd95a9
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_cacfe566,e138,e144_plus_orth_top100,-1.2444220529816974e-05,False,False,True,True,True,True,False,False,False,0.0011678294116818397,0.0007200000000002199,0.9700912920566271,0.25123837074107924,-4.606529462126211e-06,2.8189256484623115e-18,e154_cb5ca9de
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.25,1,e152_3cc21d18,e138,e144_plus_orth_top100,-1.244368052621958e-05,False,False,True,True,True,True,False,False,False,0.0011580832323331454,0.000620000000000222,0.9700506295462247,0.25141794447598886,-4.607853204727428e-06,2.8189256484623115e-18,e154_6663c46f
s3_active_boundary_repair,missing_actionable,top_s3_abs_5,s3_abs,5,0.5,5,e152_c7c68547,e138,e144_plus_orth_top100,-1.2436561160455994e-05,False,False,True,True,True,True,False,False,True,0.001071910334563074,0.0007200000000002199,0.9690868326882335,0.2561983873088075,-5.5425264817306385e-06,2.8189256484623115e-18,e154_54b1468c
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.25,1,e152_63dfca26,e138,e144_plus_orth_top100,-1.2436375963043034e-05,False,False,True,True,True,True,False,False,False,0.001142894584337057,0.000620000000000222,0.9699362455259787,0.2519021092897713,-4.57837218592451e-06,2.8189256484623115e-18,e154_246e374d
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_c0838df9,e138,e144_plus_orth_top100,-1.2436128090320686e-05,False,False,True,True,True,True,False,False,False,0.0011526946118199195,0.0007200000000002199,0.9699792802297764,0.25171256187576707,-4.5770053284304836e-06,2.8189256484623115e-18,e154_1afdbfe0
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.2426091569150977e-05,False,False,True,True,True,True,False,False,False,0.0011523274899875422,0.0009200000000002201,0.969761612117103,0.25311308743339284,-5.204955781490072e-06,2.8189256484623115e-18,e154_9a7eb214
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.1,1,e152_3cc21d18,e138,e144_plus_orth_top100,-1.2425004388805228e-05,False,False,True,True,True,True,False,False,False,0.001152083232333147,0.0005600000000002375,0.9700506295462247,0.25141794447598886,-4.602033897323792e-06,2.8189256484623115e-18,e154_3e30ac90
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.1,1,e152_63dfca26,e138,e144_plus_orth_top100,-1.2417698972533309e-05,False,False,True,True,True,True,False,False,False,0.0011368945843370586,0.0005600000000002375,0.9699362455259787,0.2519021092897713,-4.572552612704443e-06,2.8189256484623115e-18,e154_3b5807a9
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.25,1,e152_c0838df9,e138,e144_plus_orth_top100,-1.2417559111854715e-05,False,False,True,True,True,True,False,False,False,0.0011426946118199197,0.000620000000000222,0.9699792802297764,0.25171256187576707,-4.571219410739497e-06,2.8189256484623115e-18,e154_a0bd3cc1
control_nearmiss,missing_actionable,none,,0,1.0,0,e152_c6ed9e78,e139,e144_plus_orth_top100,-1.2415491779882437e-05,False,False,True,True,True,True,False,False,False,0.0011111360987042464,0.0009200000000002201,0.9673466929041524,0.2632219175274467,-4.708070119695559e-06,2.8189256484623115e-18,e154_c6ed9e78
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_9d5d8200,e138,e144_plus_orth_top100,-1.2413974482705648e-05,False,False,True,True,True,True,False,False,False,0.0011516191544006195,0.0009200000000002201,0.9698671951781322,0.25264114785741826,-4.998264691910457e-06,2.8189256484623115e-18,e154_a71dc097
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.0,1,e152_3cc21d18,e138,e144_plus_orth_top100,-1.2412231928826678e-05,False,False,True,True,True,True,False,False,False,0.0011480832323331456,0.0005200000000002242,0.9700506295462247,0.25141794447598886,-4.59805411985339e-06,2.8189256484623115e-18,e154_50054263
s3_active_boundary_repair,missing_actionable,top_s3_composite_8,s3_composite,8,0.5,8,e152_14f03eec,e138,e144_plus_orth_top100,-1.2409490361742215e-05,False,False,True,True,True,True,False,False,True,0.0010462510891464114,0.0004600000000002241,0.9690684333831139,0.25628188937534274,-5.539771894722512e-06,2.8189256484623115e-18,e154_6e3386f9
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.0,1,e152_63dfca26,e138,e144_plus_orth_top100,-1.2404908986130003e-05,False,False,True,True,True,True,False,False,False,0.0011328945843370572,0.0005200000000002242,0.9699362455259787,0.2519021092897713,-4.568567374166202e-06,2.8189256484623115e-18,e154_ee92dfdd
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.25,2,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2404543502264609e-05,False,False,True,True,True,True,False,False,False,0.001110971320687101,0.0009200000000002201,0.9692141422429951,0.2556197743369941,-5.492694049091816e-06,2.8189256484623115e-18,e154_9ff29fe8
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.1,5,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2402446627590713e-05,False,False,True,True,True,True,False,False,True,0.001051116899722723,9.200000000025187e-05,0.9692232520773756,0.2555783137321636,-5.48915061302916e-06,2.8189256484623115e-18,e154_6cccd70f
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_0a49b46b,e138,e144_plus_orth_top100,-1.2400833960479751e-05,False,False,True,True,True,True,False,False,False,0.0011619455425911688,0.0009200000000002201,0.9699811029850897,0.2521966982250468,-4.705194658456404e-06,2.8189256484623115e-18,e154_2cefe2d1
s3_active_boundary_repair,missing_actionable,top_s3_composite_8,s3_composite,8,0.5,8,e152_c7c68547,e138,e144_plus_orth_top100,-1.2400517651167675e-05,False,False,True,True,True,True,False,False,True,0.0010459103345630744,0.0004600000000002241,0.9690868326882335,0.2561983873088075,-5.531295665861114e-06,2.8189256484623115e-18,e154_5c99d34e
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.25,2,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2399657608574977e-05,False,False,True,True,True,True,False,False,False,0.0011107863719967085,0.0009200000000002201,0.9692232520773756,0.2555783137321636,-5.488281581138518e-06,2.8189256484623115e-18,e154_44c7a0ba
s3_active_boundary_repair,missing_actionable,top_s3_abs_8,s3_abs,8,0.5,8,e152_14f03eec,e138,e144_plus_orth_top100,-1.2399430717846549e-05,False,False,True,True,True,True,False,False,True,0.0010122510891464127,0.0007200000000002199,0.9690684333831139,0.25628188937534274,-5.536637405031137e-06,2.8189256484623115e-18,e154_129e93f6
s3_active_boundary_repair,missing_actionable,top_s3_abs_5,s3_abs,5,0.5,5,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2399236601678965e-05,False,False,True,True,True,True,False,False,True,0.0010724218796469593,0.0007200000000002199,0.9692141422429951,0.2556197743369941,-5.4910404691687685e-06,2.8189256484623115e-18,e154_2396a6bd
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.1,1,e152_c0838df9,e138,e144_plus_orth_top100,-1.2398883511344216e-05,False,False,True,True,True,True,False,False,False,0.0011366946118199213,0.0005600000000002375,0.9699792802297764,0.25171256187576707,-4.565400270630017e-06,2.8189256484623115e-18,e154_0c45e835
