method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,transition_residual_mse,family,context,base,k,alpha,strength,pseudo_support_mean,hidden_support_mean,pseudo_dist_median,hidden_dist_median,pseudo_residual_l2_mean,hidden_residual_l2_mean,delta_weighted_row_logloss_vs_subject,delta_weighted_row_logloss_vs_raw,delta_transition_residual_mse_vs_raw,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,s3_delta_vs_subject,s3_delta_vs_raw,row_beats_raw,transition_mse_beats_raw,fixes_s3_vs_subject,hidden_mixmin_negative,joint_gate
transition_topology_basesubject_k4_a4_w0.65,369,0.7150303209694281,0.39279827728924926,0.22170134681739115,1.0219891353289496,0.0,30.061803837961232,transition_residual,topology,subject,4.0,4.0,0.65,4.0,4.0,1.003983909504755,0.95468657847973,2.086806160535064,1.6848308377693855,0.10202854739285816,0.10976172106933668,-0.6666902255909442,36.0,2.4041713986364886e-05,-0.001077925875758317,0.0007114777424936174,0.5833333333333334,0.10221412410761,0.0944117601198442,False,True,False,False,False
transition_full_transition_baseedge_shrink025_k16_a4_w0.65,369,0.7152945249936324,0.39306248131345356,0.23426582305194335,1.0799083062638364,0.0,30.13569620865704,transition_residual,full_transition,edge_shrink025,16.0,4.0,0.65,16.0,16.0,1.1003228603024546,1.0628708356298235,1.7806322103210073,1.5900904575484367,0.10229275141706251,0.11002592509354103,-0.5927978548951351,36.0,-0.00011652209899830901,-0.0009062427449896353,0.0004428810017164826,0.5277777777777778,0.11826210809128423,0.11045974410351844,False,True,False,True,False
transition_raw_residual_baseraw_k8_a4_w1.00,369,0.716255132350781,0.39402308867060193,0.239283182733864,1.1030371106512264,0.0,31.83462617578319,transition_residual,raw_residual,raw,8.0,4.0,1.0,8.0,8.0,0.6946479310550522,0.6514844272287765,1.083846018648897,1.0252148057466344,0.10325335877421105,0.11098653245068957,1.1061321122310126,36.0,-0.0001036027382269955,-0.0003236222497459027,0.0007012049742503666,0.5,0.10192911180178454,0.09412674781401875,False,False,False,True,False
transition_full_transition_baseraw_k8_a4_w0.65,369,0.7192149230767846,0.3969828793966057,0.23813052047907185,1.0977236187937702,0.0,31.90955804607033,transition_residual,full_transition,raw,8.0,4.0,0.65,8.0,8.0,1.053270784937275,1.0180064534301758,1.7524590099933923,1.4705336764186587,0.10621314950021465,0.11394632317669318,1.181063982518154,36.0,0.0004816642804774968,-0.0006483361463886449,0.0003815689988570266,0.4444444444444444,0.12055396218928438,0.11275159820151859,False,False,False,False,False
transition_topology_baseedge_shrink025_k8_a12_w1.00,369,0.719232525806368,0.3970004821261891,0.2245799849243601,1.035258954895221,0.0,29.899846694021544,transition_residual,topology,edge_shrink025,8.0,12.0,1.0,8.0,8.0,1.0421498575026162,0.9895623153475519,1.319493088020236,1.143410059016918,0.10623075222979805,0.11396392590627658,-0.828647369530632,36.0,-9.584188623121628e-05,-0.0008714878826957148,0.0005272266312784427,0.5,0.10945768985602089,0.1016553258682551,False,True,False,True,False
transition_full_transition_basesubject_k16_a12_w1.00,369,0.7194237813802136,0.39719173770003463,0.23630659960206626,1.0893157884095253,0.0,30.765263500577973,transition_residual,full_transition,subject,16.0,12.0,1.0,16.0,16.0,1.1133081166509995,1.063900099970913,1.2616521957674962,1.1011258342831582,0.10642200780364364,0.11415518148012216,0.03676943702579649,36.0,0.000622808240093236,-0.0006157941666279364,0.0004554426979515552,0.5277777777777778,0.11797617931539095,0.11017381532762516,False,False,False,False,False
transition_raw_topology_baseedge_shrink025_k8_a4_w0.65,369,0.7208678353996055,0.3986357917194265,0.22892367163240937,1.055282291183545,0.0,30.164127813227978,transition_residual,raw_topology,edge_shrink025,8.0,4.0,0.65,8.0,8.0,1.0568040564134005,1.021158036968838,1.9499768080250868,1.6245574128621654,0.1078660618230356,0.11559923549951412,-0.5643662503241984,36.0,0.0002850850171403924,-0.0006089889990788738,0.00046695926435505664,0.4166666666666667,0.09659989093479937,0.08879752694703358,False,True,False,False,False
transition_raw_residual_basesubject_k8_a4_w1.00,369,0.7213541861060108,0.3991221424258318,0.23735785024482522,1.0941617974700475,0.0,30.642929277698354,transition_residual,raw_residual,subject,8.0,4.0,1.0,8.0,8.0,0.6191523017999272,0.5291272038142144,0.9734695407681919,1.043048814484123,0.10835241252944083,0.11608558620591936,-0.08556478585382266,36.0,0.00022297499798367204,-0.0004257674453503334,0.0008898284769516588,0.4722222222222222,0.04638971575164097,0.03858735176387518,False,True,False,False,False
transition_topology_baseedge_shrink025_k4_a4_w0.65,369,0.7219431280581563,0.3997110843779775,0.22420243846630772,1.0335185578081016,0.0,29.871580783313835,transition_residual,topology,edge_shrink025,4.0,4.0,0.65,4.0,4.0,1.003983909504755,0.95468657847973,2.055151553010891,1.678943748297979,0.10894135448158637,0.1166745281580649,-0.8569132802383415,36.0,-0.0003221695128431294,-0.0014245561176792817,0.0006803796244794997,0.5555555555555556,0.1139758023689994,0.10617343838123361,False,True,False,True,False
transition_raw_topology_baseedge_shrink025_k16_a4_w0.65,369,0.7252510265524913,0.4030189828723124,0.23470679030817318,1.0819410577620658,0.0,29.942336358404397,transition_residual,raw_topology,edge_shrink025,16.0,4.0,0.65,16.0,16.0,1.0936273456561316,1.0532807979498415,1.952781946897039,1.7719116778739386,0.11224925297592137,0.11998242665239989,-0.7861577051477795,36.0,-0.00010284679362130222,-0.0009048743518097437,0.000536612673384023,0.4722222222222222,0.12676786873674195,0.11896550474897616,False,True,False,True,False
transition_topology_basesubject_k8_a4_w0.65,369,0.726548058751401,0.40431601507122217,0.22638398111910077,1.0435749373539034,0.0,30.20871824939004,transition_residual,topology,subject,8.0,4.0,0.65,8.0,8.0,1.0421498575026162,0.9895623153475519,2.2467368093526043,1.9328142714261949,0.11354628517483112,0.12127945885130964,-0.5197758141621378,36.0,0.000260679272203732,-0.00054641021167859,0.0005468149987873433,0.4722222222222222,0.11297692690617012,0.10517456291840432,False,True,False,False,False
