combo,fold,delta_mean,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
q3_z_s4_rank,geom_r07,0.00019019689829968822,0.0,0.0,0.0004873901499005129,0.0,0.0,0.0,0.0008439881381979708
q3_rank_s4_rank,geom_r00,-0.0013829173300347053,0.0,0.0,-0.003999089520715149,0.0,0.0,0.0,-0.005681331789528454
q3_rank_s4_rank,geom_r01,-0.0006823724425069067,0.0,0.0,-0.003921612428305354,0.0,0.0,0.0,-0.0008549946692428811
q3_rank_s4_rank,geom_r02,-0.00185551884973989,0.0,0.0,-0.005168326327115169,0.0,0.0,0.0,-0.007820305621064505
q3_rank_s4_rank,geom_r03,-0.0014809080135872454,0.0,0.0,-0.005346065262712196,0.0,0.0,0.0,-0.005020290832398744
q3_rank_s4_rank,geom_r04,-0.0017847249330452675,0.0,0.0,-0.0072947491018939825,0.0,0.0,0.0,-0.005198325429422668
q3_rank_s4_rank,geom_r05,-0.0010341804837252777,0.0,0.0,-0.00059071200483507,0.0,0.0,0.0,-0.006648551381241208
q3_rank_s4_rank,geom_r06,-0.0018839560319832138,0.0,0.0,-0.007728886646580335,0.0,0.0,0.0,-0.005458805577301606
q3_rank_s4_rank,geom_r07,-0.0002949690508610159,0.0,0.0,-0.002908771494225304,0.0,0.0,0.0,0.0008439881381979708
q3_center_c010_s4_rank,geom_r00,-0.0007337141501870814,0.0,0.0,0.0005453327382187734,0.0,0.0,0.0,-0.005681331789528454
q3_center_c010_s4_rank,geom_r01,0.00014100682381645857,0.0,0.0,0.0018420424359580911,0.0,0.0,0.0,-0.0008549946692428811
q3_center_c010_s4_rank,geom_r02,-0.0015558685406182882,0.0,0.0,-0.0030707741632641783,0.0,0.0,0.0,-0.007820305621064505
q3_center_c010_s4_rank,geom_r03,-0.0009929555117198507,0.0,0.0,-0.0019303977496406555,0.0,0.0,0.0,-0.005020290832398744
q3_center_c010_s4_rank,geom_r04,-0.0014817035922308763,0.0,0.0,-0.005173599716193689,0.0,0.0,0.0,-0.005198325429422668
q3_center_c010_s4_rank,geom_r05,-0.0006136397348490696,0.0,0.0,0.0023530732372981644,0.0,0.0,0.0,-0.006648551381241208
q3_center_c010_s4_rank,geom_r06,-0.0022858323321223173,0.0,0.0,-0.01054202074755417,0.0,0.0,0.0,-0.005458805577301606
q3_center_c010_s4_rank,geom_r07,0.001165922372909689,0.0,0.0,0.00731746847217063,0.0,0.0,0.0,0.0008439881381979708
