route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,source_cells,h082_cells,h082_row,outside_h082_cells,route_source_action_sum,route_source_action_mean,route_source_posterior_sum,route_source_posterior_mean,route_source_count_mean,route_family_count_mean,route_source_consensus_mean,route_bad_same_mean,route_bad_opp_mean,route_h079_row,route_h080_score_mean,route_move_abs_mean,route_direction_consistency,route_h050_null_cells,route_action_score,candidate_id
r099_nonq2_full,99,id04,2024-10-20,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.6805795369139274,5.038165714285714,0.8396942857142857,0.8553496844213445,0.81964,0.1924380952380951,0.8012676190476191,0.850937142857143,0.0017620461759478,0.0105722770556869,2,5,1,1,1011111,"0,2,3,4,5,6",0.9972826086956522,0.7373188405797102,0.907608695652174,0.9378985507246378,6,6,1,0,-8.447590915109752e-06,-1.4079318191849588e-06,-0.009185561255643801,-0.0015309268759406336,20.5,3.6666666666666665,1.0,0.32399999999999995,0.7014285714285714,1.0,0.8339542857142859,0.1117523573700478,0.5,0,0.8832744565217391,h083_all_transport_c920_116eacaf
r128_s_stage,128,id06,2024-07-07,s_stage,"S1,S2,S3,S4",4,0,4,2.514015673718743,3.465491428571429,0.8663728571428573,0.8613580520019103,0.8557942857142857,0.0670999999999999,0.7877385714285714,0.7328571428571429,0.0036367740776731,0.0145470963106925,1,2,3,2,1111,"3,4,5,6",0.9873188405797102,0.3154438405797101,0.9936594202898552,0.8780570652173911,4,4,1,0,-1.2186017836488527e-05,-3.0465044591221317e-06,-0.014349013864642202,-0.0035872534661605506,21.0,3.0,1.0,0.1785714285714285,0.9128571428571429,0.0,0.8573214285714286,1.173907894122328,1.0,0,0.8775860507246377,h083_all_transport_c920_116eacaf
r132_full_state,132,id06,2024-07-11,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.5654858239380864,5.301114285714286,0.7573020408163266,0.7930785050050463,0.8047477551020409,0.2461183673469388,0.7184171428571428,0.7058171428571428,0.0014685172529572,0.0102796207707006,3,7,2,0,1111111,"0,1,2,3,4,5,6",0.9904891304347826,0.9026268115942028,0.8315217391304348,0.9464990942028984,7,6,1,1,-8.995984802940062e-06,-1.2851406861342945e-06,-0.0101265787293564,-0.0014466541041937716,14.142857142857142,2.142857142857143,1.0,0.3412244897959183,0.6715102040816326,0.0,0.7358444897959184,0.1553502863770779,0.7142857142857143,0,0.8772428183229812,h083_all_transport_c920_116eacaf
r026_nonq2_full,26,id01,2024-09-15,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.38113959312662,4.391500000000001,0.7319166666666668,0.7605192082308682,0.773457142857143,0.2768071428571428,0.6668714285714286,0.660397142857143,0.0017709344322761,0.0106256065936569,2,6,1,0,1011111,"0,2,3,4,5,6",0.9719202898550724,0.8054800724637681,0.7889492753623188,0.9124728260869563,6,6,1,0,-1.0299183700034079e-05,-1.7165306166723465e-06,-0.010590836043313099,-0.0017651393405521832,14.833333333333334,3.0,1.0,0.38785714285714284,0.596,0.0,0.7592709523809523,0.11770482065284876,0.6666666666666666,0,0.8766009963768115,h083_all_transport_c920_116eacaf
r137_full_state,137,id06,2024-07-17,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.271673799830527,4.671171428571429,0.6673102040816328,0.6910809539846381,0.7108555102040816,0.2311918367346938,0.5983453061224491,0.6002771428571431,0.00086934642542,0.0060854249779402,3,7,2,0,1111111,"0,1,2,3,4,5,6",0.9533514492753624,0.9026268115942028,0.8505434782608695,0.909429347826087,7,7,1,0,-7.839530638707856e-06,-1.1199329483868365e-06,-0.006061522143497934,-0.0008659317347854192,12.714285714285714,2.142857142857143,1.0,0.30971428571428566,0.7199183673469387,0.0,0.6946142857142859,0.5544769937769516,0.5714285714285714,0,0.8761189829192546,h083_all_transport_c920_116eacaf
r002_full_state,2,id01,2024-08-02,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.5502205982990827,5.2508485714285715,0.7501212244897959,0.7754883009234136,0.7781681632653061,0.2334979591836734,0.6462408163265306,0.7792171428571429,0.0014239117952786,0.0099673825669503,4,6,2,1,1111111,"0,1,2,3,4,5,6",0.988677536231884,0.9026268115942028,0.8469202898550725,0.9426856884057973,7,7,1,0,-7.508123941134259e-06,-1.0725891344477512e-06,-0.00993684957440846,-0.0014195499392012085,14.857142857142858,2.4285714285714284,1.0,0.27583673469387743,0.6428571428571429,0.0,0.7368085714285714,0.10881933463377126,0.7142857142857143,0,0.8704108436853001,h083_all_transport_c920_116eacaf
r054_q3_s_stage,54,id02,2024-10-12,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.4233772435268244,3.9372514285714297,0.7874502857142859,0.7974310569618176,0.789328,0.1632057142857143,0.7383737142857142,0.6424971428571429,0.00320805770492,0.0160402885246,1,4,1,1,11111,"2,3,4,5,6",0.9759963768115942,0.5849184782608695,0.9365942028985508,0.9057291666666666,5,5,1,0,-5.973033948473519e-06,-1.1946067896947037e-06,-0.015996877734527324,-0.003199375546905465,18.2,2.8,1.0,0.29965714285714273,0.8227428571428572,0.0,0.7940325714285714,1.3150160073141222,0.8,0,0.8683967391304349,h083_all_transport_c920_116eacaf
r219_full_state,219,id09,2024-09-10,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.3734683756751984,4.923571428571429,0.7033673469387756,0.7138034029642301,0.7789502040816326,0.2165102040816326,0.7084914285714287,0.4856171428571429,0.0019442559124415,0.0136097913870906,3,6,2,1,1111111,"0,1,2,3,4,5,6",0.9710144927536232,0.8591485507246377,0.8668478260869565,0.9351132246376812,6,6,1,1,-1.3488764982228188e-05,-1.9269664260325984e-06,-0.0132060150815361,-0.0018865735830765858,13.142857142857142,2.142857142857143,0.8571428571428571,0.31689795918367336,0.5994285714285713,0.0,0.5710424489795918,0.1358562294584039,0.6666666666666666,0,0.8660756340579709,h083_all_transport_c920_116eacaf
r071_full_state,71,id03,2024-09-17,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.558615335555039,5.271065714285715,0.7530093877551022,0.7849478927601484,0.79296,0.2338755102040815,0.70604,0.7208971428571429,0.0015277923151396,0.0106945462059776,3,5,3,2,1111111,"0,1,2,3,4,5,6",0.990036231884058,0.8054800724637681,0.8464673913043478,0.9328260869565218,7,7,1,0,-9.028869112457447e-06,-1.289838444636778e-06,-0.010533048013486871,-0.0015047211447838387,14.571428571428571,2.142857142857143,1.0,0.3188979591836733,0.6665306122448981,0.0,0.7384155102040816,0.11051080375814441,0.7142857142857143,0,0.8622994306418217,h083_all_transport_c920_116eacaf
r169_nonq2_full,169,id07,2024-08-17,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.3533399377912443,4.379440000000001,0.7299066666666668,0.7252382558499159,0.7627504761904761,0.192297619047619,0.6422914285714285,0.5428571428571428,0.0010263839257043,0.0061583035542259,2,6,0,0,1011111,"0,2,3,4,5,6",0.96875,0.8054800724637681,0.9080615942028986,0.9144791666666666,6,6,1,0,-6.068025848873765e-06,-1.011337641478961e-06,-0.006121724319847029,-0.0010202873866411715,20.833333333333332,3.0,1.0,0.24252380952380945,0.7442857142857142,0.0,0.7613852380952381,0.09534073340238412,0.5,0,0.8578464673913043,h083_all_transport_c920_116eacaf
r062_nonq2_full,62,id03,2024-08-20,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.472216408047335,4.62706,0.7711766666666667,0.7725382558499159,0.8121504761904762,0.1790833333333333,0.74236,0.557017142857143,0.0017549472500423,0.0105296835002543,2,4,2,2,1011111,"0,2,3,4,5,6",0.9814311594202898,0.6632699275362319,0.9239130434782608,0.9166440217391304,6,6,1,0,-7.248860646044973e-06,-1.2081434410074955e-06,-0.010488334959820836,-0.001748055826636806,16.333333333333332,2.6666666666666665,1.0,0.28871428571428553,0.6662857142857144,0.0,0.7674290476190476,0.13831099410247044,0.5,0,0.8574184782608695,h083_all_transport_c920_116eacaf
r014_nonq2_full,14,id01,2024-09-02,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.343669139806628,4.228680000000001,0.7047800000000001,0.7247982558499158,0.7403542857142859,0.2464928571428571,0.6621990476190477,0.605557142857143,0.001465590784039,0.0087935447042341,2,5,3,1,1011111,"0,2,3,4,5,6",0.9669384057971014,0.7373188405797102,0.8301630434782609,0.9003034420289855,6,6,1,0,-6.890380007262477e-06,-1.1483966678770795e-06,-0.0087266580323802,-0.0014544430053967,19.333333333333332,3.0,1.0,0.4186190476190475,0.6655238095238094,0.0,0.7446204761904762,0.11786225126996654,0.8333333333333334,0,0.857373188405797,h083_all_transport_c920_116eacaf
r124_q3_s_stage,124,id05,2024-11-17,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.405804874449501,3.986180000000001,0.7972360000000001,0.7876596283903888,0.8495497142857141,0.1164085714285713,0.7165382857142857,0.5087771428571428,0.0018624411039204,0.0093122055196022,1,4,1,1,11111,"2,3,4,5,6",0.9737318840579712,0.5849184782608695,0.970108695652174,0.9023641304347826,5,5,1,0,-5.5297185041560395e-06,-1.1059437008312078e-06,-0.0092658445649564,-0.0018531689129912799,19.6,3.0,1.0,0.1785714285714285,0.7955428571428571,0.0,0.8006005714285716,0.1378348194953969,0.6,0,0.8557314311594203,h083_all_transport_c920_116eacaf
r236_nonq2_full,236,id10,2024-08-19,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.6475930171335182,4.912411428571429,0.8187352380952381,0.8466925415642016,0.8380895238095238,0.2132904761904761,0.7395133333333334,0.8643771428571428,0.0016159951738218,0.0096959710429313,2,5,0,1,1011111,"0,2,3,4,5,6",0.9959239130434784,0.7373188405797102,0.8722826086956522,0.9285597826086958,6,6,1,0,-6.232910989645318e-06,-1.0388184982742196e-06,-0.00963495393147059,-0.0016058256552450984,17.666666666666668,2.6666666666666665,1.0,0.3312380952380951,0.7092380952380952,0.0,0.8006561904761905,0.1178531631806304,0.6666666666666666,0,0.854680706521739,h083_all_transport_c920_116eacaf
r145_full_state,145,id06,2024-08-15,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.555717879363445,5.327357142857143,0.7610510204081633,0.7968613621479033,0.7995020408163266,0.214538775510204,0.6762824489795918,0.7951771428571428,0.0011681877582889,0.0081773143080224,3,5,3,2,1111111,"0,1,2,3,4,5,6",0.9891304347826086,0.8054800724637681,0.8704710144927537,0.9288813405797102,7,7,1,0,-5.466061877007143e-06,-7.808659824295918e-07,-0.008144708214781365,-0.0011635297449687665,14.714285714285714,2.2857142857142856,1.0,0.3591836734693876,0.7660408163265305,0.0,0.7439048979591837,0.5953814878115329,0.5714285714285714,0,0.8535261387163561,h083_all_transport_c920_116eacaf
r040_q3_s_stage,40,id02,2024-09-08,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.1511654632421933,3.5189828571428574,0.7037965714285714,0.7094161998189603,0.6927291428571428,0.29928,0.7656617142857143,0.5563771428571428,0.001326544835091,0.0066327241754552,2,5,1,0,11111,"2,3,4,5,6",0.9284420289855072,0.7373188405797102,0.7549818840579711,0.8683740942028985,5,5,1,0,-1.5009305116965859e-05,-3.0018610233931717e-06,-0.006582841889433439,-0.0013165683778866878,16.4,2.8,1.0,0.4573714285714286,0.5348571428571429,0.0,0.7369834285714286,0.27284366485256983,0.6,0,0.8505321557971014,h083_all_transport_c920_116eacaf
r218_full_state,218,id09,2024-09-09,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.9597756187971405,3.9448657142857138,0.5635522448979591,0.55652340296423,0.6175608163265307,0.2581020408163265,0.5342840816326532,0.4294971428571429,0.0011134690958106,0.0077942836706743,5,6,3,1,1111111,"0,1,2,3,4,5,6",0.8722826086956522,0.9402173913043478,0.8170289855072463,0.8632019927536232,7,7,1,0,-8.928027165202023e-06,-1.2754324521717176e-06,-0.007716053347017115,-0.0011022933352881593,16.857142857142858,2.7142857142857144,1.0,0.29608163265306114,0.6074285714285715,0.0,0.6479200000000002,0.0838660184222173,0.5714285714285714,0,0.8488590191511386,h083_all_transport_c920_116eacaf
r205_s_stage,205,id09,2024-08-10,s_stage,"S1,S2,S3,S4",4,0,4,2.351947945147314,3.306782857142858,0.8266957142857145,0.8249923377161961,0.7997257142857144,0.1569142857142856,0.7014185714285714,0.8066571428571427,0.0033555351765755,0.0134221407063021,2,4,1,0,1111,"3,4,5,6",0.9682971014492754,0.6632699275362319,0.9442934782608696,0.9117164855072464,4,4,1,0,-5.1189053498728955e-06,-1.2797263374682239e-06,-0.013223726498712153,-0.0033059316246780383,18.0,3.0,1.0,0.3005714285714285,0.7021428571428572,0.0,0.7972614285714286,1.0361693287068174,0.75,0,0.8450158514492754,h083_all_transport_c920_116eacaf
r107_nonq2_full,107,id05,2024-09-29,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.3022832691636115,4.134488571428572,0.6890814285714287,0.7058287320403919,0.7430838095238096,0.2693952380952381,0.6638857142857143,0.582877142857143,0.0013273111081774,0.0079638666490646,2,4,2,2,1011111,"0,2,3,4,5,6",0.9578804347826086,0.6632699275362319,0.801177536231884,0.877685688405797,6,5,1,1,-8.48897034013094e-06,-1.4148283900218232e-06,-0.007919524101531098,-0.0013199206835885163,17.666666666666668,2.8333333333333335,1.0,0.39238095238095233,0.604,0.0,0.7079852380952381,0.11579656445938262,0.8333333333333334,0,0.8448324275362319,h083_all_transport_c920_116eacaf
r030_nonq2_full,30,id02,2024-08-29,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.2604995090540094,4.041517142857144,0.6735861904761906,0.6628277796594396,0.7484380952380952,0.2048785714285713,0.6071514285714287,0.4711771428571429,0.0013326081650982,0.0079956489905897,3,5,1,1,1011111,"0,2,3,4,5,6",0.9515398550724636,0.8054800724637681,0.8876811594202898,0.903677536231884,6,6,1,0,-4.750214307543237e-06,-7.917023845905396e-07,-0.007955574253271237,-0.0013259290422118729,17.333333333333332,2.6666666666666665,1.0,0.30595238095238086,0.7437142857142858,0.0,0.7060085714285714,0.12007172077575762,0.8333333333333334,0,0.8438971920289854,h083_all_transport_c920_116eacaf
r156_nonq2_full,156,id07,2024-07-18,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,1.953460346311245,3.4722342857142863,0.5787057142857144,0.5368925415642015,0.6274819047619048,0.2779190476190475,0.6431857142857144,0.2770971428571429,0.0015312049441951,0.0091872296651708,5,5,1,1,1011111,"0,2,3,4,5,6",0.8704710144927537,0.9026268115942028,0.7880434782608695,0.8651539855072464,6,6,1,0,-1.0736979865338905e-05,-1.7894966442231507e-06,-0.009130647163299173,-0.001521774527216529,17.166666666666668,2.6666666666666665,1.0,0.4117142857142857,0.5553333333333333,0.0,0.6539861904761906,0.11147932920849468,0.6666666666666666,0,0.8420629528985507,h083_all_transport_c920_116eacaf
r153_nonq2_full,153,id07,2024-07-15,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.326241388590955,4.261702857142858,0.7102838095238097,0.7183011129927729,0.7745466666666667,0.2106928571428571,0.6205923809523809,0.5406571428571428,0.0009890738700586,0.0059344432203518,2,6,2,0,1011111,"0,2,3,4,5,6",0.9637681159420288,0.8054800724637681,0.876358695652174,0.9047010869565216,6,6,1,0,-4.876038603053451e-06,-8.126731005089085e-07,-0.005909998246204201,-0.0009849997077007002,17.833333333333332,3.0,1.0,0.3034761904761904,0.6582857142857143,0.0,0.7346166666666666,0.08854593048698796,0.6666666666666666,0,0.8414560688405797,h083_all_transport_c920_116eacaf
r214_q3_s_stage,214,id09,2024-08-21,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.499423659884498,4.155417142857143,0.8310834285714286,0.8513201998189602,0.8674994285714288,0.1515485714285714,0.7528914285714285,0.7187171428571428,0.0020886704837356,0.0104433524186782,1,3,3,2,11111,"2,3,4,5,6",0.9846014492753624,0.46875,0.9470108695652174,0.8906521739130434,5,5,1,0,-6.958511868689227e-06,-1.3917023737378455e-06,-0.010390018080262799,-0.00207800361605256,18.2,2.8,1.0,0.26251428571428564,0.7134857142857143,0.0,0.8130280000000001,0.13300338581883317,0.6,0,0.8403985507246376,h083_all_transport_c920_116eacaf
r183_full_state,183,id08,2024-08-03,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.064281857427559,4.139134285714286,0.5913048979591837,0.6242164641887197,0.6268979591836734,0.3266959183673469,0.5654669387755101,0.5767371428571427,0.0014236583056492,0.0099656081395446,3,7,2,0,1111111,"0,1,2,3,4,5,6",0.9030797101449276,0.9026268115942028,0.7028985507246377,0.8671784420289854,7,6,1,1,-7.677771490440278e-06,-1.0968244986343254e-06,-0.009875820888364046,-0.001410831555480578,15.428571428571429,2.7142857142857144,1.0,0.39138775510204077,0.5866938775510204,0.0,0.6598575510204082,0.0947143194515899,0.7142857142857143,0,0.8394303183229813,h083_all_transport_c920_116eacaf
r249_nonq2_full,249,id10,2024-09-27,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.211943227564604,4.030828571428572,0.6718047619047619,0.6759925415642015,0.7212476190476189,0.2909357142857142,0.6748771428571428,0.5179971428571428,0.002997304236704,0.017983825420224,3,5,2,1,1011111,"0,2,3,4,5,6",0.9451992753623188,0.8054800724637681,0.7658514492753623,0.8978623188405798,5,5,1,1,-1.1962830301077031e-05,-1.993805050179505e-06,-0.01710865401829,-0.0028514423363816665,14.833333333333334,2.5,0.8333333333333334,0.42280952380952375,0.6018095238095239,0.0,0.5245595238095239,0.1517510320880407,0.8,0,0.8388677536231884,h083_all_transport_c920_116eacaf
r162_q3_s_stage,162,id07,2024-07-24,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.261787860438155,3.7220371428571433,0.7444074285714286,0.7584024855332461,0.7626285714285717,0.2611685714285714,0.7370708571428571,0.6345771428571428,0.0024011753093292,0.0120058765466462,1,4,2,1,11111,"2,3,4,5,6",0.9519927536231884,0.5849184782608695,0.8129528985507246,0.8737092391304346,5,4,1,1,-2.1962219533090184e-05,-4.392443906618037e-06,-0.011935264673430599,-0.00238705293468612,15.4,2.6,1.0,0.38268571428571424,0.6388571428571428,0.0,0.73588,0.13840063956092236,0.6,0,0.8377626811594202,h083_all_transport_c920_116eacaf
r032_q3_s_stage,32,id02,2024-08-31,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.9699971161243683,3.123328571428571,0.6246657142857142,0.5804447712475318,0.672256,0.1858,0.663025142857143,0.3422571428571428,0.001051718016876,0.0052585900843804,2,2,3,3,11111,"2,3,4,5,6",0.8790760869565217,0.46875,0.9171195652173914,0.8067663043478259,5,5,1,0,-8.032620608188977e-06,-1.6065241216377954e-06,-0.005227386525791005,-0.001045477305158201,21.0,3.0,1.0,0.27794285714285705,0.7316571428571429,0.0,0.6979714285714287,0.884743962160757,0.6,0,0.8361096014492754,h083_all_transport_c920_116eacaf
r147_full_state,147,id06,2024-08-21,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.4155092362337296,4.9848485714285715,0.712121224489796,0.7561470764336178,0.7432783673469388,0.2878510204081633,0.6889346938775509,0.9203771428571432,0.0017827605322041,0.0124793237254287,3,5,5,2,1111111,"0,1,2,3,4,5,6",0.9750905797101448,0.8054800724637681,0.7708333333333334,0.914596920289855,6,5,1,2,-8.149171336075281e-06,-1.16416733372504e-06,-0.012445463382410996,-0.001777923340344428,11.571428571428571,2.0,0.8571428571428571,0.400938775510204,0.670122448979592,0.0,0.5729820408163265,0.8629447348033118,0.6666666666666666,0,0.8339288949275362,h083_all_transport_c920_116eacaf
