row,target,target_i,public_gradient,gradient_abs_rank
56,S3,5,-1.2025888758881934e-05,1344.0
56,S4,6,-2.8873668045757594e-05,476.0
57,Q1,0,-9.231143679675879e-06,1464.0
57,Q2,1,-5.702893352890599e-06,1586.0
57,Q3,2,-1.8206936399032995e-05,1052.0
57,S1,3,-1.986019517921168e-05,987.0
57,S2,4,-2.1983131308652356e-05,869.0
57,S3,5,-2.116504219247362e-05,912.0
57,S4,6,-3.275321140242412e-05,293.0
58,Q1,0,-1.6386198998874456e-05,1142.0
58,Q2,1,-8.602295818317343e-06,1484.0
58,Q3,2,-2.6029825392336203e-05,639.0
58,S1,3,-2.5871272167645636e-05,652.0
58,S2,4,-3.729559040806381e-05,165.0
58,S3,5,-2.6611330381502436e-05,613.0
58,S4,6,-3.698209772346289e-05,175.0
59,Q1,0,-2.1721472224489856e-05,887.0
59,Q2,1,-1.826433974002243e-05,1048.0
59,Q3,2,-2.781095330890573e-05,535.0
59,S1,3,-2.857650973085948e-05,493.0
59,S2,4,-2.1771809288383495e-05,884.0
59,S3,5,-3.0297770627641437e-05,409.0
59,S4,6,-3.3304831289740974e-05,273.0
60,Q1,0,-2.1316314428028885e-05,904.0
60,Q2,1,-1.66583343663484e-05,1120.0
60,Q3,2,-2.976091251398852e-05,426.0
60,S1,3,-2.8147808811667875e-05,512.0
60,S2,4,-2.0671035951015652e-05,937.0
60,S3,5,-2.5998607536183915e-05,647.0
60,S4,6,-2.9724556336165187e-05,433.0
61,Q1,0,-6.20015081043479e-06,1563.0
61,Q2,1,-6.260752285611199e-07,1728.0
61,Q3,2,-1.6108439914567968e-05,1159.0
61,S1,3,-1.0679577087680426e-05,1405.0
61,S2,4,-1.3638001468653347e-05,1273.0
61,S3,5,-1.7170306109395796e-05,1098.0
61,S4,6,-2.0694314846407167e-05,936.0
62,Q1,0,-2.4203792220515428e-05,741.0
62,Q2,1,-1.3729607535103826e-05,1267.0
62,Q3,2,-2.792894425860082e-05,521.0
62,S1,3,-1.9224916534366723e-05,1013.0
62,S2,4,-2.0300422227860292e-05,964.0
62,S3,5,-3.166536912580119e-05,336.0
62,S4,6,-2.9514427725320822e-05,443.0
63,Q1,0,-1.8268121115709152e-05,1047.0
63,Q2,1,-2.4632712604597683e-05,721.0
63,Q3,2,-3.054398045729918e-05,393.0
63,S1,3,-3.1821407421712916e-05,326.0
63,S2,4,-3.270835570069312e-05,295.0
63,S3,5,-2.630665793009103e-05,625.0
63,S4,6,-3.167175002156545e-05,335.0
64,Q1,0,-3.817788869209027e-05,147.0
64,Q2,1,-1.565685626494938e-05,1181.0
64,Q3,2,-3.916673377053366e-05,130.0
64,S1,3,-2.3793651343232487e-05,769.0
64,S2,4,-3.090768466039438e-05,374.0
64,S3,5,-2.4706100141122506e-05,713.0
64,S4,6,-3.418569528355715e-05,242.0
65,Q1,0,-2.2125243270750257e-05,856.0
65,Q2,1,-2.01656103948573e-05,972.0
65,Q3,2,-3.918590557393159e-05,129.0
65,S1,3,-2.4641102574216458e-05,720.0
65,S2,4,-2.1289985554630465e-05,906.0
65,S3,5,-2.639086232008417e-05,621.0
65,S4,6,-3.2251626695412124e-05,309.0
66,Q1,0,-2.5744946583370938e-05,654.0
66,Q2,1,-1.2550631504615722e-05,1322.0
66,Q3,2,-2.8189091515937553e-05,511.0
66,S1,3,-2.889156826505911e-05,473.0
66,S2,4,-2.1835111020687828e-05,878.0
66,S3,5,-2.7517589532336604e-05,552.0
66,S4,6,-3.0314785839110586e-05,407.0
67,Q1,0,-1.578669534132007e-05,1176.0
67,Q2,1,-1.2997039288198655e-05,1306.0
67,Q3,2,-2.572092354459924e-05,657.0
67,S1,3,-2.3111965175541252e-05,805.0
67,S2,4,-1.9503210192395403e-05,1001.0
67,S3,5,-2.6155214765377638e-05,632.0
67,S4,6,-2.8364950388646052e-05,502.0
68,Q1,0,-2.164748385732101e-05,891.0
68,Q2,1,-1.6360053362029455e-05,1143.0
68,Q3,2,-2.8575922167822406e-05,494.0
68,S1,3,-3.403110309984682e-05,248.0
68,S2,4,-2.308652159565031e-05,808.0
68,S3,5,-2.703562438259065e-05,585.0
68,S4,6,-3.172201697594023e-05,333.0
69,Q1,0,-1.748886358951698e-05,1086.0
69,Q2,1,-1.1797942913427351e-05,1351.0
69,Q3,2,-2.4940766586352487e-05,702.0
69,S1,3,-2.532370258290926e-05,680.0
69,S2,4,-2.0028762188090794e-05,979.0
69,S3,5,-3.160084850187721e-05,340.0
69,S4,6,-2.847422979543597e-05,496.0
70,Q1,0,-3.384404724672337e-05,257.0
70,Q2,1,-1.1681289211589272e-05,1355.0
70,Q3,2,-2.0470768494665056e-05,953.0
70,S1,3,-1.990541881131878e-05,985.0
70,S2,4,-2.0732573434239838e-05,933.0
70,S3,5,-1.5258564849750896e-05,1198.0
70,S4,6,-2.0036004386320706e-05,977.0
71,Q1,0,-1.6943772804515605e-05,1106.0
71,Q2,1,-1.599857452467164e-05,1166.0
71,Q3,2,-2.7221167252690226e-05,571.0
71,S1,3,-2.2598927663811835e-05,831.0
71,S2,4,-2.2567036125226524e-05,834.0
71,S3,5,-3.1981036578357514e-05,324.0
71,S4,6,-2.965007800242052e-05,437.0
72,Q1,0,-2.026519561044652e-05,966.0
72,Q2,1,-1.761500423818817e-05,1078.0
72,Q3,2,-3.4283675163225346e-05,240.0
72,S1,3,-2.455794629153325e-05,725.0
72,S2,4,-2.671822922836737e-05,608.0
72,S3,5,-2.4964584315484612e-05,699.0
72,S4,6,-3.4001199130423056e-05,249.0
73,Q1,0,-1.6661772305704918e-05,1119.0
73,Q2,1,-1.4741474044270406e-05,1223.0
73,Q3,2,-2.7077107731693804e-05,581.0
73,S1,3,-2.7069980487488412e-05,582.0
73,S2,4,-2.1153326130104678e-05,913.0
73,S3,5,-2.2260789415463425e-05,851.0
73,S4,6,-3.323870228016397e-05,275.0
74,Q1,0,-1.7469647070268076e-05,1087.0
74,Q2,1,-9.86710883298803e-06,1438.0
74,Q3,2,-2.7442353241665386e-05,554.0
74,S1,3,-2.4183777070998685e-05,746.0
74,S2,4,-2.2013458145118364e-05,868.0
74,S3,5,-3.231854061920807e-05,306.0
74,S4,6,-3.339008974687417e-05,271.0
75,Q1,0,-1.7075362031319065e-05,1102.0
75,Q2,1,-1.3785237367609649e-05,1265.0
75,Q3,2,-3.642793362447601e-05,189.0
75,S1,3,-3.131399411040616e-05,353.0
75,S2,4,-2.5398631393880914e-05,675.0
75,S3,5,-2.764854979079927e-05,545.0
75,S4,6,-3.8862019902836223e-05,138.0
76,Q1,0,-1.721515113526969e-05,1095.0
76,Q2,1,-1.3112829942608337e-05,1301.0
76,Q3,2,-5.296608736219469e-05,26.0
76,S1,3,-2.4616655464078528e-05,723.0
76,S2,4,-2.3874590469158545e-05,766.0
76,S3,5,-2.8596448825284957e-05,489.0
76,S4,6,-3.979427860536319e-05,121.0
77,Q1,0,-1.8119036537952274e-05,1057.0
77,Q2,1,-1.6014026805867414e-05,1165.0
77,Q3,2,-2.9656088252591438e-05,436.0
77,S1,3,-2.897568411358463e-05,468.0
77,S2,4,-2.4196221342903573e-05,742.0
77,S3,5,-2.436374731865954e-05,731.0
77,S4,6,-3.322819407306232e-05,276.0
78,Q1,0,-2.297775828122018e-05,814.0
78,Q2,1,-1.866293851991115e-05,1031.0
78,Q3,2,-2.6813782008803086e-05,603.0
78,S1,3,-3.296242538935426e-05,285.0
78,S2,4,-2.2657092301926942e-05,827.0
78,S3,5,-2.7684595330073875e-05,543.0
78,S4,6,-3.437691612294966e-05,234.0
79,Q1,0,-2.1637364660116698e-05,892.0
79,Q2,1,-2.2813109795898068e-05,823.0
79,Q3,2,-3.0423197899738948e-05,399.0
79,S1,3,-2.9214393359434217e-05,457.0
79,S2,4,-2.2143674437355496e-05,854.0
79,S3,5,-2.6116172258954136e-05,634.0
79,S4,6,-2.973854837192879e-05,431.0
80,Q1,0,-7.460467708883208e-06,1522.0
80,Q2,1,-3.9731101120589615e-06,1643.0
80,Q3,2,-2.3171565466598807e-05,802.0
80,S1,3,-2.1199223921504394e-05,911.0
80,S2,4,-2.1141405181298808e-05,914.0
80,S3,5,-2.7000947730018625e-05,588.0
80,S4,6,-2.6851656172993197e-05,601.0
81,Q1,0,-8.960323337791556e-06,1474.0
81,Q2,1,-6.185884072238415e-06,1565.0
81,Q3,2,-2.3216606120871494e-05,799.0
81,S1,3,-2.941895959417614e-05,445.0
81,S2,4,-2.2907935211367088e-05,815.0
81,S3,5,-2.7123144447630104e-05,577.0
