source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
cc_chain_interactions__absolute_plus_deviation__c0.1_b0.2,0.6248123450536481,0.6660158624147733,0.7021671587938821,0.6802223288499909,0.5683676639700919,0.5752265653171466,0.5425003097023343,0.639186526327317
cc_opportunity__deviation__c0.3_b0.1,0.6248585923684801,0.664164231952133,0.7024778928129668,0.6776783394373206,0.5708205171547892,0.5757384095221938,0.5387705616931516,0.6443601940068058
best__absolute__c0.3_b0.1,0.6249111866265454,0.6698847948479304,0.6995458522566016,0.6740936711983416,0.5753749930363661,0.5775081864713353,0.5334034961742707,0.6445673124009722
cc_chain_interactions__deviation__c0.1_b0.2,0.6249490857651738,0.6684451830656113,0.6978620234774328,0.6778391599143897,0.5703599664404719,0.5766979089365325,0.5424356716299872,0.6410036868917918
best__deviation__c0.1_b0.2,0.6249596685358976,0.6693083850507102,0.6980632857197336,0.6714859185179932,0.5726232263945995,0.580821999862295,0.537460926778204,0.6449539374277473
cc_chain_interactions__deviation__c0.3_b0.1,0.6249991382185983,0.6682557672627556,0.7018073402852897,0.6773083178299587,0.5706076861860204,0.5764304753261609,0.5381704999842787,0.642413880655725
cc_opportunity__absolute_plus_deviation__c0.3_b0.1,0.6250217432990048,0.6640391611418045,0.7042898761084655,0.6792983478294875,0.5704710163510497,0.5753164609323754,0.5383177546997988,0.6434195860300526
best__deviation__c0.3_b0.1,0.6250272612527505,0.6700725952765982,0.7019563241492567,0.6737967235018937,0.5730418893912356,0.5785956079132961,0.5321986578591992,0.6455290306777747
cc_recovery__absolute_plus_deviation__c0.1_b0.2,0.6250386706702162,0.6724764848344759,0.6956446359948945,0.6712737543327241,0.5754693275121304,0.57789945243173,0.5406293240722152,0.6418777155133434
cc_chain_interactions__absolute_plus_deviation__c0.3_b0.2,0.6250803929599369,0.6641337803616989,0.7064375857940891,0.6810608542055351,0.566529022406432,0.5754725480259367,0.5439539595749204,0.6379750003509459
cc_recovery__deviation__c0.3_b0.2,0.6250822385409532,0.6729017356281894,0.6931788541618848,0.6680151709827794,0.5763220679359773,0.5787214678039858,0.5428684080903174,0.6435679651835388
cc_opportunity__deviation__c0.1_b0.1,0.6250912094534076,0.6654914447125969,0.7018591508509239,0.6774876226628198,0.5717355699399463,0.5761872582124048,0.5383068329431058,0.6445705868520559
best__absolute_plus_deviation__c0.03_b0.2,0.6251308923741101,0.6711863561957777,0.699155691025882,0.6737950473649815,0.5717664486284147,0.5791178682289152,0.536995556825799,0.6438992783490008
best__absolute_plus_deviation__c0.1_b0.1,0.6251313543349591,0.6710154207922362,0.7024244028175395,0.6752788531759149,0.5726215122367455,0.5782056607878319,0.5316874047001796,0.644686225834266
cc_chain_interactions__absolute_plus_deviation__c0.03_b0.2,0.6252607859953274,0.6693843217434535,0.6990262730933902,0.6784280786192699,0.5712026639398222,0.5759571930343496,0.5415366720937818,0.6412902994432248
cc_chain_interactions__absolute_plus_deviation__c0.3_b0.1,0.6252610876717851,0.6674937069383082,0.7046963230586774,0.6784357423038699,0.5699229435203539,0.5761325914437235,0.5385331567489604,0.6416131496886023
cc_opportunity__absolute_plus_deviation__c0.1_b0.1,0.6253064339530797,0.6650492592289011,0.7032506641252717,0.6787207070382955,0.5715433150700175,0.576135995802914,0.538482376118343,0.6439627202878154
