candidate_id,file,resolved_path,support_name,edge,mix,changed_cells_vs_h042,q2_changed_cells_vs_h042,selected_support_cells,same_direction_rate,extra_direction_rate,mean_support_posterior,min_support_posterior,mean_abs_prob_move_vs_h042,max_abs_prob_move_vs_h042,curvature_risk,edge_rate,effective_h042_factor,linear_expected_lb,linear_expected_gain_vs_h042,h052_binary_edge_priority
h052_post_top35_edge0p88_mix0p5_31c6a81a,submission_h052_post_top35_edge0p88_mix0p5_31c6a81a.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p88_mix0p5_31c6a81a.csv,post_top35,0.88,0.5,35,35,35,1.0,1.0,0.7228445714285713,0.48796,0.1585147335995999,0.3313267599745056,0.6102334188085606,0.0,7.581744594035512,0.566465671716034,-0.0014391530839660271,0.0007021060986103291
h052_post_high060_edge0p88_mix0p5_6da22e61,submission_h052_post_high060_edge0p88_mix0p5_6da22e61.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p88_mix0p5_6da22e61.csv,post_high060,0.88,0.5,31,31,31,1.0,1.0,0.7600154838709677,0.60232,0.17031278280517012,0.3313267599745056,0.6775084560471768,0.0,7.98524169411466,0.5663774437260758,-0.00152738107392425,0.0007011222608212266
h052_exact45_edge0p93_mix0p5_d57cf38a,submission_h052_exact45_edge0p93_mix0p5_d57cf38a.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p93_mix0p5_d57cf38a.csv,exact45,0.93,0.5,45,45,45,1.0,1.0,0.6885279999999998,0.37492,0.19172831156214618,0.35632675997450564,0.8508869911270348,0.022222222222222223,9.406208841965647,0.5660667374651708,-0.0018380873348292637,0.0007010950703609334
h052_post_top25_edge0p93_mix0p35_d5add60e,submission_h052_post_top25_edge0p93_mix0p35_d5add60e.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p93_mix0p35_d5add60e.csv,post_top25,0.93,0.35,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.1397360466320521,0.24942873198215398,0.4194728390673263,0.0,6.172932323531923,0.5667737202121215,-0.001131104587878573,0.0006928017292775835
h052_post_top35_edge0p93_mix0p5_5d90bf36,submission_h052_post_top35_edge0p93_mix0p5_5d90bf36.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p93_mix0p5_5d90bf36.csv,post_top35,0.93,0.5,35,35,35,1.0,1.0,0.7228445714285713,0.48796,0.18351473359959994,0.35632675997450564,0.8107669511924399,0.02857142857142857,8.941856450158589,0.5661682719697643,-0.0017365528302357713,0.0006887055463042544
h052_post_high060_edge0p93_mix0p5_49af73db,submission_h052_post_high060_edge0p93_mix0p5_49af73db.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p93_mix0p5_49af73db.csv,post_high060,0.93,0.5,31,31,31,1.0,1.0,0.7600154838709677,0.60232,0.19531278280517023,0.35632675997450564,0.8831070876601486,0.03225806451612903,9.387589210772347,0.5660708088020742,-0.0018340159979258752,0.0006880689148227489
h052_post_high060_edge0p88_mix0p25_b536c27e,submission_h052_post_high060_edge0p88_mix0p25_b536c27e.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p88_mix0p25_b536c27e.csv,post_high060,0.88,0.25,31,31,31,1.0,1.0,0.7600154838709677,0.60232,0.08515639140258507,0.16566337998725278,0.1711485668755086,0.0,4.42093663874358,0.5671568086101646,-0.0007480161898354432,0.0006812972104899221
h052_post_top25_edge0p93_mix0p25_93d75690,submission_h052_post_top25_edge0p93_mix0p25_93d75690.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p93_mix0p25_93d75690.csv,post_top25,0.93,0.25,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.09981146188003724,0.17816337998725285,0.21428145712174218,0.0,4.6553681390171775,0.5671055482168483,-0.000799276583151709,0.0006687607974690957
h052_post_top25_edge0p88_mix0p35_bbd84abf,submission_h052_post_top25_edge0p88_mix0p35_bbd84abf.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p88_mix0p35_bbd84abf.csv,post_top25,0.88,0.35,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.12223604663205212,0.2319287319821539,0.3281682876646847,0.0,5.390917433396951,0.5669447142585731,-0.0009601105414269728,0.0006587645099299458
h052_exact45_edge0p88_mix0p25_360dc752,submission_h052_exact45_edge0p88_mix0p25_360dc752.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p88_mix0p25_360dc752.csv,exact45,0.88,0.25,45,45,45,1.0,1.0,0.6885279999999998,0.37492,0.08336415578107308,0.16566337998725278,0.16187466364291284,0.0,4.429969563968725,0.5671548334860909,-0.0007499913139091818,0.0006542953184448126
h052_post_top35_edge0p88_mix0p25_002957c0,submission_h052_post_top35_edge0p88_mix0p25_002957c0.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p88_mix0p25_002957c0.csv,post_top35,0.88,0.25,35,35,35,1.0,1.0,0.7228445714285713,0.48796,0.07925736679979994,0.16566337998725278,0.15266287678087695,0.0,4.218329380525595,0.5672011103688143,-0.0007037144311857757,0.0006530232588716032
h052_exact45_edge0p82_mix0p5_d39f38c9,submission_h052_exact45_edge0p82_mix0p5_d39f38c9.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p82_mix0p5_d39f38c9.csv,exact45,0.82,0.5,45,45,45,0.9777777777777777,0.9777777777777777,0.6885279999999998,0.37492,0.13715698698291187,0.3013267599745056,0.4615083962740003,0.0,6.477017433184687,0.5667072294789894,-0.0011975953210106027,0.0006524487265996022
h052_post_high060_edge0p82_mix0p35_afe96ea2,submission_h052_post_high060_edge0p82_mix0p35_afe96ea2.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p82_mix0p35_afe96ea2.csv,post_high060,0.82,0.35,31,31,31,1.0,0.967741935483871,0.7600154838709677,0.60232,0.09865453750407462,0.2109287319821539,0.24297217231681276,0.0,4.777316520998477,0.5670788831909566,-0.000825941609043479,0.0006514872215360019
h052_post_high060_edge0p82_mix0p5_f20491ed,submission_h052_post_high060_edge0p82_mix0p5_f20491ed.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p82_mix0p5_f20491ed.csv,post_high060,0.82,0.5,31,31,31,0.967741935483871,0.967741935483871,0.7600154838709677,0.60232,0.14093505357724942,0.3013267599745056,0.48925091218422634,0.0,6.4301086758229005,0.5667174864681294,-0.0011873383318706798,0.0006434658345620823
h052_post_top35_edge0p82_mix0p5_b5b05932,submission_h052_post_top35_edge0p82_mix0p5_b5b05932.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p82_mix0p5_b5b05932.csv,post_top35,0.82,0.5,35,35,35,0.9714285714285714,0.9714285714285714,0.7228445714285713,0.48796,0.12906588771201297,0.3013267599745056,0.43136862201775444,0.0,6.075571165379983,0.566795009037449,-0.0011098157625510918,0.000641065972381603
h052_exact45_edge0p82_mix0p35_0fca88cf,submission_h052_exact45_edge0p82_mix0p35_0fca88cf.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p82_mix0p35_0fca88cf.csv,exact45,0.82,0.35,45,45,45,1.0,0.9777777777777777,0.6885279999999998,0.37492,0.09600989088803831,0.2109287319821539,0.22806752301059519,0.0,4.8052349803495416,0.5670727785880962,-0.000832046211903803,0.0006370609273879102
h052_post_top35_edge0p82_mix0p35_a6520590,submission_h052_post_top35_edge0p82_mix0p35_a6520590.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p82_mix0p35_a6520590.csv,post_top35,0.82,0.35,35,35,35,1.0,0.9714285714285714,0.7228445714285713,0.48796,0.09034612139840911,0.2109287319821539,0.21332907290016806,0.0,4.528858953026737,0.5671332105003914,-0.0007716142996085917,0.0006299238331154825
h052_post_top25_edge0p88_mix0p25_533d70a8,submission_h052_post_top25_edge0p88_mix0p25_533d70a8.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p88_mix0p25_533d70a8.csv,post_top25,0.88,0.25,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.08731146188003722,0.16566337998725278,0.16931890801309357,0.0,4.119869018945057,0.5672226395440948,-0.0006821852559052433,0.0006191132938856029
h052_post_top25_edge0p82_mix0p35_2744c172,submission_h052_post_top25_edge0p82_mix0p35_2744c172.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p82_mix0p35_2744c172.csv,post_top25,0.82,0.35,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.10123604663205209,0.2109287319821539,0.2397057420897567,0.0,4.489702931603172,0.5671417722894706,-0.0007630525105294383,0.0005944002973948034
h052_post_high060_edge0p82_mix0p25_55cded59,submission_h052_post_high060_edge0p82_mix0p25_55cded59.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_high060_edge0p82_mix0p25_55cded59.csv,post_high060,0.82,0.25,31,31,31,1.0,0.967741935483871,0.7600154838709677,0.60232,0.07046752678862471,0.15066337998725277,0.12721533021228731,0.0,3.702156590907051,0.5673139758334985,-0.0005908489665015226,0.0005900298421508336
h052_post_top25_edge0p88_mix0p5_6768c2f9,submission_h052_post_top25_edge0p88_mix0p5_6768c2f9.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p88_mix0p5_6768c2f9.csv,post_top25,0.88,0.5,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.17462292376007443,0.3313267599745056,0.6780570989859166,0.0,7.389252625982493,0.5665077616825321,-0.0013970631174679005,0.0005708838689890254
h052_exact45_edge0p82_mix0p25_01e62b57,submission_h052_exact45_edge0p82_mix0p25_01e62b57.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_exact45_edge0p82_mix0p25_01e62b57.csv,exact45,0.82,0.25,45,45,45,1.0,0.9777777777777777,0.6885279999999998,0.37492,0.06857849349145594,0.15066337998725277,0.1189087920947131,0.0,3.7192425684075916,0.5673102398427043,-0.0005945849572956963,0.0005633377691536267
h052_post_top35_edge0p82_mix0p25_1dad1250,submission_h052_post_top35_edge0p82_mix0p25_1dad1250.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top35_edge0p82_mix0p25_1dad1250.csv,post_top35,0.82,0.25,35,35,35,1.0,0.9714285714285714,0.7228445714285713,0.48796,0.0645329438560065,0.15066337998725277,0.11128860006322981,0.0,3.5231117608588574,0.5673531254716606,-0.0005516993283394278,0.0005630695711017259
h052_post_top25_edge0p82_mix0p5_8442ebb0,submission_h052_post_top25_edge0p82_mix0p5_8442ebb0.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p82_mix0p5_8442ebb0.csv,post_top25,0.82,0.5,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.1446229237600744,0.3013267599745056,0.4857400124672786,0.0,6.026335467292749,0.5668057748314921,-0.001099049968507959,0.0005613463498070411
h052_post_top25_edge0p82_mix0p25_d38c951a,submission_h052_post_top25_edge0p82_mix0p25_d38c951a.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p82_mix0p25_d38c951a.csv,post_top25,0.82,0.25,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.0723114618800372,0.15066337998725277,0.12486657850543131,0.0,3.492490592508743,0.5673598210442761,-0.0005450037557239718,0.0005486102879658248
h052_post_top25_edge0p93_mix0p5_803bef85,submission_h052_post_top25_edge0p93_mix0p5_803bef85.csv,/Users/kbsoo/Downloads/cl2/hitl/h052_q2_binary_edge_jepa/submission_h052_post_top25_edge0p93_mix0p5_803bef85.csv,post_top25,0.93,0.5,25,25,25,1.0,1.0,0.7732575999999999,0.48796,0.19962292376007448,0.35632675997450564,0.8848895771471362,0.0,8.6123996395115,0.5662403104359038,-0.0016645143640962035,0.0005280863983754989
