law_name,feature_view,group_mode,neighbors,weights,candidate_cells,mean_selection_score,max_selection_score
compact_episode_context__target_expert_family__knn13_uniform,compact_episode_context,target_expert_family,13,uniform,735,0.04742024549058964,0.26149019829880615
compact_episode_context__target_expert_family__knn21_distance,compact_episode_context,target_expert_family,21,distance,735,0.03735642381169036,0.20874707321789637
compact_episode_context__target_expert_family__knn21_uniform,compact_episode_context,target_expert_family,21,uniform,735,0.03636316712090347,0.20748022523754225
compact_episode_context__target_expert_family__knn35_distance,compact_episode_context,target_expert_family,35,distance,735,0.02566200019905605,0.155698736065921
compact_episode_context__target_expert_family__knn35_uniform,compact_episode_context,target_expert_family,35,uniform,735,0.024481006321698015,0.15549962557371957
compact_episode_context__target_expert_family__knn55_distance,compact_episode_context,target_expert_family,55,distance,735,0.016903021294114237,0.12538186901092999
compact_episode_context__target_expert_family__knn55_uniform,compact_episode_context,target_expert_family,55,uniform,735,0.01582396018633143,0.1242329637682239
compact_episode_context__target_expert_family__knn7_distance,compact_episode_context,target_expert_family,7,distance,735,0.06526240308751288,0.3771044042027087
compact_episode_context__target_expert_family__knn7_uniform,compact_episode_context,target_expert_family,7,uniform,735,0.06480832269701305,0.3793286234416507
human_episode_context__all__knn13_distance,human_episode_context,all,13,distance,735,0.03798366430548795,0.19460571473979327
human_episode_context__all__knn13_uniform,human_episode_context,all,13,uniform,735,0.0371428459793972,0.19504628121693413
human_episode_context__all__knn21_distance,human_episode_context,all,21,distance,735,0.02828314887627033,0.144222666397255
human_episode_context__all__knn21_uniform,human_episode_context,all,21,uniform,735,0.027688713705209988,0.15123449455656118
human_episode_context__all__knn35_distance,human_episode_context,all,35,distance,735,0.020389734164552534,0.16350514883822026
human_episode_context__all__knn35_uniform,human_episode_context,all,35,uniform,735,0.01994277614961405,0.1354558338611913
human_episode_context__all__knn55_distance,human_episode_context,all,55,distance,735,0.01459463314079166,0.1141951470336776
human_episode_context__all__knn55_uniform,human_episode_context,all,55,uniform,735,0.014292135284316517,0.09546218707370413
human_episode_context__all__knn7_distance,human_episode_context,all,7,distance,735,0.05293222020955554,0.3187450231690128
human_episode_context__all__knn7_uniform,human_episode_context,all,7,uniform,735,0.05182033367844227,0.3155582016293569
human_episode_context__expert_family__knn13_distance,human_episode_context,expert_family,13,distance,735,0.03614664220555574,0.22786030768021098
human_episode_context__expert_family__knn13_uniform,human_episode_context,expert_family,13,uniform,735,0.03536166905777955,0.22560057294984312
human_episode_context__expert_family__knn21_distance,human_episode_context,expert_family,21,distance,735,0.027257168786673697,0.14555951909645048
human_episode_context__expert_family__knn21_uniform,human_episode_context,expert_family,21,uniform,735,0.026898059725325406,0.14462876181368886
human_episode_context__expert_family__knn35_distance,human_episode_context,expert_family,35,distance,735,0.019837825496517296,0.11831325675092039
human_episode_context__expert_family__knn35_uniform,human_episode_context,expert_family,35,uniform,735,0.01977381841023469,0.11728989336294027
human_episode_context__expert_family__knn55_distance,human_episode_context,expert_family,55,distance,735,0.013963802658006341,0.10218073021652849
human_episode_context__expert_family__knn55_uniform,human_episode_context,expert_family,55,uniform,735,0.01365921970611017,0.10054737053352937
human_episode_context__expert_family__knn7_distance,human_episode_context,expert_family,7,distance,735,0.05172791669345412,0.28821665659437823
human_episode_context__expert_family__knn7_uniform,human_episode_context,expert_family,7,uniform,735,0.05093927394461346,0.2677899390605386
human_episode_context__target__knn13_distance,human_episode_context,target,13,distance,735,0.03928303905105933,0.25133819955779546
human_episode_context__target__knn13_uniform,human_episode_context,target,13,uniform,735,0.038967354953413975,0.2307485244790353
human_episode_context__target__knn21_distance,human_episode_context,target,21,distance,735,0.031485736978092226,0.18935489623855986
human_episode_context__target__knn21_uniform,human_episode_context,target,21,uniform,735,0.03122728181220274,0.188757246604593
human_episode_context__target__knn35_distance,human_episode_context,target,35,distance,735,0.023420789935120413,0.13499135012500058
human_episode_context__target__knn35_uniform,human_episode_context,target,35,uniform,735,0.02292545073370645,0.11061939029389098
human_episode_context__target__knn55_distance,human_episode_context,target,55,distance,735,0.016028901147093443,0.12055212078799395
human_episode_context__target__knn55_uniform,human_episode_context,target,55,uniform,735,0.015627330633753708,0.09984012332744091
human_episode_context__target__knn7_distance,human_episode_context,target,7,distance,735,0.05470543689905283,0.3413631168290621
human_episode_context__target__knn7_uniform,human_episode_context,target,7,uniform,735,0.053032148751832674,0.32818295169033185
human_episode_context__target_episode_family__knn13_distance,human_episode_context,target_episode_family,13,distance,735,0.04402117632823972,0.25022109119230335
human_episode_context__target_episode_family__knn13_uniform,human_episode_context,target_episode_family,13,uniform,735,0.04412744454332515,0.23821128022825372
human_episode_context__target_episode_family__knn21_distance,human_episode_context,target_episode_family,21,distance,735,0.038371424965637245,0.21365736800061175
human_episode_context__target_episode_family__knn21_uniform,human_episode_context,target_episode_family,21,uniform,735,0.03896151665548139,0.18625393480657224
human_episode_context__target_episode_family__knn35_distance,human_episode_context,target_episode_family,35,distance,735,0.028783070772442115,0.20114155270301046
human_episode_context__target_episode_family__knn35_uniform,human_episode_context,target_episode_family,35,uniform,735,0.028266314875246175,0.16281337986249467
human_episode_context__target_episode_family__knn55_distance,human_episode_context,target_episode_family,55,distance,735,0.02001785718840242,0.15376701669145493
human_episode_context__target_episode_family__knn55_uniform,human_episode_context,target_episode_family,55,uniform,735,0.019499777443427204,0.15704164009605792
human_episode_context__target_episode_family__knn7_distance,human_episode_context,target_episode_family,7,distance,735,0.0555547246849686,0.40659316377125543
human_episode_context__target_episode_family__knn7_uniform,human_episode_context,target_episode_family,7,uniform,735,0.05437032643175198,0.4064766636885603
human_episode_context__target_expert_family__knn13_distance,human_episode_context,target_expert_family,13,distance,735,0.03686157258125631,0.25389940196605987
human_episode_context__target_expert_family__knn13_uniform,human_episode_context,target_expert_family,13,uniform,735,0.03667021408569505,0.2528393407161257
human_episode_context__target_expert_family__knn21_distance,human_episode_context,target_expert_family,21,distance,735,0.029006036980979078,0.1738904373463499
human_episode_context__target_expert_family__knn21_uniform,human_episode_context,target_expert_family,21,uniform,735,0.02848451505346657,0.16751174444334144
human_episode_context__target_expert_family__knn35_distance,human_episode_context,target_expert_family,35,distance,735,0.02102748485243082,0.11073780552750201
human_episode_context__target_expert_family__knn35_uniform,human_episode_context,target_expert_family,35,uniform,735,0.020591312488651876,0.10863719804259601
human_episode_context__target_expert_family__knn55_distance,human_episode_context,target_expert_family,55,distance,735,0.014372117863760286,0.09707706961851573
human_episode_context__target_expert_family__knn55_uniform,human_episode_context,target_expert_family,55,uniform,735,0.014216249183114146,0.10049788334093107
human_episode_context__target_expert_family__knn7_distance,human_episode_context,target_expert_family,7,distance,735,0.052270502618043044,0.3254179404064014
human_episode_context__target_expert_family__knn7_uniform,human_episode_context,target_expert_family,7,uniform,735,0.050845115156152726,0.30813241486419074
route_episode_context__all__knn13_distance,route_episode_context,all,13,distance,735,0.047091259279888276,0.2797718637327285
route_episode_context__all__knn13_uniform,route_episode_context,all,13,uniform,735,0.046181088251782604,0.26058675251309765
route_episode_context__all__knn21_distance,route_episode_context,all,21,distance,735,0.037106922336127175,0.22416288268710047
route_episode_context__all__knn21_uniform,route_episode_context,all,21,uniform,735,0.03597949791559601,0.2402442619515889
route_episode_context__all__knn35_distance,route_episode_context,all,35,distance,735,0.028377431191238218,0.15469387524247005
route_episode_context__all__knn35_uniform,route_episode_context,all,35,uniform,735,0.027401311904073297,0.1605433189510944
route_episode_context__all__knn55_distance,route_episode_context,all,55,distance,735,0.02179464474905291,0.14216765010333055
route_episode_context__all__knn55_uniform,route_episode_context,all,55,uniform,735,0.02066035955494518,0.14128743821278683
route_episode_context__all__knn7_distance,route_episode_context,all,7,distance,735,0.06270187049462941,0.528357366108278
route_episode_context__all__knn7_uniform,route_episode_context,all,7,uniform,735,0.06151440234861963,0.5502450984703741
route_episode_context__expert_family__knn13_distance,route_episode_context,expert_family,13,distance,735,0.048471852715038385,0.2670110352775226
route_episode_context__expert_family__knn13_uniform,route_episode_context,expert_family,13,uniform,735,0.04753472321491078,0.2958248716430305
route_episode_context__expert_family__knn21_distance,route_episode_context,expert_family,21,distance,735,0.037246959138757564,0.21738315398088504
route_episode_context__expert_family__knn21_uniform,route_episode_context,expert_family,21,uniform,735,0.036242654114009995,0.21412431789839803
route_episode_context__expert_family__knn35_distance,route_episode_context,expert_family,35,distance,735,0.029292181345186814,0.17641988261527267
route_episode_context__expert_family__knn35_uniform,route_episode_context,expert_family,35,uniform,735,0.028465295216205208,0.17411617999642387
route_episode_context__expert_family__knn55_distance,route_episode_context,expert_family,55,distance,735,0.022215584532227065,0.1421198690025603
route_episode_context__expert_family__knn55_uniform,route_episode_context,expert_family,55,uniform,735,0.02094696996742264,0.14177604128596347
route_episode_context__expert_family__knn7_distance,route_episode_context,expert_family,7,distance,735,0.06235413922590738,0.5365013963061587
route_episode_context__expert_family__knn7_uniform,route_episode_context,expert_family,7,uniform,735,0.06108340721961166,0.5502450984703741
route_episode_context__target__knn13_distance,route_episode_context,target,13,distance,735,0.051277830945255155,0.29370369051160833
route_episode_context__target__knn13_uniform,route_episode_context,target,13,uniform,735,0.05019314548499697,0.29205349086821947
route_episode_context__target__knn21_distance,route_episode_context,target,21,distance,735,0.04255593938989072,0.22049736731848643
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,735,0.041529423746565146,0.2172292013926577
route_episode_context__target__knn35_distance,route_episode_context,target,35,distance,735,0.03336931125291125,0.1776041111494629
route_episode_context__target__knn35_uniform,route_episode_context,target,35,uniform,735,0.03209984010180324,0.17324308129347027
route_episode_context__target__knn55_distance,route_episode_context,target,55,distance,735,0.025503762022043942,0.1478770162114066
route_episode_context__target__knn55_uniform,route_episode_context,target,55,uniform,735,0.023783811288187278,0.14738628492326591
route_episode_context__target__knn7_distance,route_episode_context,target,7,distance,735,0.0652310702294919,0.31946916557327115
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,735,0.0641539099934842,0.32275793765197996
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,735,0.04963165675878884,0.25717816046681574
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,735,0.04835228811571405,0.2536737228555244
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,735,0.03981113539987031,0.19551895799512914
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,735,0.03874529991017236,0.1919257966956344
route_episode_context__target_episode_family__knn35_distance,route_episode_context,target_episode_family,35,distance,735,0.03386784308347058,0.17554548000248604
route_episode_context__target_episode_family__knn35_uniform,route_episode_context,target_episode_family,35,uniform,735,0.03311750542819967,0.17531354888829379
route_episode_context__target_episode_family__knn55_distance,route_episode_context,target_episode_family,55,distance,735,0.025883442900070414,0.16983554121456435
route_episode_context__target_episode_family__knn55_uniform,route_episode_context,target_episode_family,55,uniform,735,0.02468086062415881,0.1695469885955174
route_episode_context__target_episode_family__knn7_distance,route_episode_context,target_episode_family,7,distance,735,0.06319075345162505,0.3127635051007848
route_episode_context__target_episode_family__knn7_uniform,route_episode_context,target_episode_family,7,uniform,735,0.06168450210238601,0.3227579376519799
route_episode_context__target_expert_family__knn13_distance,route_episode_context,target_expert_family,13,distance,735,0.049437834226742826,0.286840153100537
route_episode_context__target_expert_family__knn13_uniform,route_episode_context,target_expert_family,13,uniform,735,0.04827076527004265,0.283685272619926
route_episode_context__target_expert_family__knn21_distance,route_episode_context,target_expert_family,21,distance,735,0.038147992581972726,0.21126274776235393
route_episode_context__target_expert_family__knn21_uniform,route_episode_context,target_expert_family,21,uniform,735,0.0364345997559992,0.20172848520090914
route_episode_context__target_expert_family__knn35_distance,route_episode_context,target_expert_family,35,distance,735,0.02698354596032196,0.14752835029556935
route_episode_context__target_expert_family__knn35_uniform,route_episode_context,target_expert_family,35,uniform,735,0.025281443201883178,0.1371089323955378
route_episode_context__target_expert_family__knn55_distance,route_episode_context,target_expert_family,55,distance,735,0.019261524680110456,0.13181216228595155
route_episode_context__target_expert_family__knn55_uniform,route_episode_context,target_expert_family,55,uniform,735,0.017237697884299127,0.1311967283253492
route_episode_context__target_expert_family__knn7_distance,route_episode_context,target_expert_family,7,distance,735,0.06358539515968482,0.30555890691201243
route_episode_context__target_expert_family__knn7_uniform,route_episode_context,target_expert_family,7,uniform,735,0.06276260380903022,0.3144947844617058
