law_name,feature_view,group_mode,neighbors,weights,policy,param,switched_cells,active_subjects,mean_true_gain,gain_sum,positive_true_gain_rate
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,0.01,580,10,-0.01225399565197567,-7.107317478145888,0.4982758620689655
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,0.02,463,10,-0.014884239769127814,-6.891403013106178,0.48596112311015116
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,0.04,299,10,-0.01141382614383253,-3.4127340170059264,0.5250836120401338
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,threshold,0.08,157,10,-0.03618921538398796,-5.68170681528611,0.46496815286624205
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.01,7,2,-0.2432373587743216,-1.7026615114202512,0.0
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.02,15,4,-0.1411766403954908,-2.117649605932362,0.2
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.03,22,4,-0.17125638184898295,-3.767640400677625,0.18181818181818182
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.04,29,6,-0.1254567289762249,-3.638245140310522,0.2413793103448276
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.06,44,7,-0.0641012909059871,-2.8204567998634325,0.3409090909090909
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.08,59,8,-0.04803410122118328,-2.834011972049814,0.3898305084745763
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.1,74,8,-0.03444464501863067,-2.5489037313786693,0.43243243243243246
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.15,110,10,-0.0252579565535841,-2.778375220894251,0.4727272727272727
compact_episode_context__all__knn13_uniform,compact_episode_context,all,13,uniform,topfrac,0.2,147,10,-0.03541270055891246,-5.205666982160132,0.4557823129251701
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,-0.02,731,10,-0.020167642812547806,-14.742546895972445,0.4746922024623803
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,-0.01,719,10,-0.02035761476254045,-14.637125014266584,0.4756606397774687
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,0.0,667,10,-0.020281714437922673,-13.527903530094422,0.4782608695652174
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,0.005,601,10,-0.02310227625916713,-13.884468031759445,0.47254575707154745
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,0.01,532,10,-0.025620623869082305,-13.630171898351787,0.47368421052631576
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,0.02,405,10,-0.027488184275834757,-11.132714631713077,0.48148148148148145
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,0.04,250,10,-0.02321144381003042,-5.802860952507605,0.484
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,threshold,0.08,106,10,-0.048547514296315486,-5.146036515409442,0.44339622641509435
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.01,7,1,-0.08594032036662112,-0.6015822425663478,0.2857142857142857
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.02,15,3,-0.07694736935627174,-1.154210540344076,0.3333333333333333
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.03,22,4,-0.06971805910977631,-1.533797300415079,0.4090909090909091
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.04,29,4,-0.05093795925835304,-1.477200818492238,0.4482758620689655
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.06,44,6,-0.076922318651706,-3.384582020675064,0.38636363636363635
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.08,59,7,-0.04097273725765082,-2.417391498201398,0.4576271186440678
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.1,74,8,-0.028883081312621822,-2.137348017134015,0.4594594594594595
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.15,110,10,-0.05065799764629907,-5.572379741092898,0.43636363636363634
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.2,147,10,-0.025481924855666336,-3.7458429537829514,0.48299319727891155
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,-0.02,730,10,-0.01700282548788211,-12.41206260615394,0.4794520547945205
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,-0.01,718,10,-0.01717978160668153,-12.335083193597338,0.4805013927576602
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,0.0,671,10,-0.017995052761873628,-12.074680403217204,0.4843517138599106
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,0.005,604,10,-0.020849866114834144,-12.593319133359824,0.48013245033112584
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,0.01,536,10,-0.022444718871078292,-12.030369314897964,0.47761194029850745
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,0.02,405,10,-0.025438153694690723,-10.302452246349743,0.48148148148148145
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,0.04,249,10,-0.02316892049171597,-5.7690612024372765,0.4899598393574297
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,threshold,0.08,96,9,-0.04102405080286956,-3.938308877075478,0.4583333333333333
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.01,7,2,0.020372495235537524,0.14260746664876267,0.42857142857142855
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.02,15,2,-0.06413639822174431,-0.9620459733261647,0.3333333333333333
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.03,22,3,-0.1229623602305034,-2.705171925071075,0.36363636363636365
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.04,29,4,-0.05855203565055764,-1.6980090338661715,0.4482758620689655
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.06,44,6,-0.06151556676288616,-2.706684937566991,0.4318181818181818
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.08,59,8,-0.019116823245684113,-1.1278925714953627,0.5084745762711864
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.1,74,9,-0.007498654415437908,-0.5549004267424051,0.5135135135135135
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.15,110,9,-0.010909709926588984,-1.2000680919247884,0.4818181818181818
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.2,147,10,-0.00847569099436,-1.24592657617092,0.4897959183673469
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,-0.02,730,10,-0.017185202966178138,-12.54519816531004,0.48356164383561645
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,-0.01,709,10,-0.017938696846844113,-12.718536064412476,0.4823695345557123
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.0,645,10,-0.021955297752741423,-14.161167050518218,0.4744186046511628
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.005,569,10,-0.026451146384961367,-15.050702293043017,0.46748681898066785
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.01,482,10,-0.02845151697173732,-13.713631180377387,0.46265560165975106
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.02,333,10,-0.031060672342837096,-10.343203890164753,0.46546546546546547
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.04,188,10,-0.02722873405456643,-5.119002002258489,0.5053191489361702
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.08,59,9,-0.023051638895393897,-1.36004669482824,0.5423728813559322
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.01,7,3,-0.0676212048289646,-0.4733484338027522,0.7142857142857143
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.02,15,4,-0.08198552252384775,-1.2297828378577162,0.5333333333333333
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.03,22,5,0.007416867618753719,0.1631710876125818,0.6818181818181818
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.04,29,6,0.0072123955470068495,0.20915947086319864,0.6551724137931034
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.06,44,9,-0.0009471519335957433,-0.0416746850782127,0.6136363636363636
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.08,59,9,-0.023051638895393897,-1.36004669482824,0.5423728813559322
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.1,74,9,-0.02361020619749264,-1.7471552586144552,0.527027027027027
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.15,110,10,-0.04343500603166073,-4.77785066348268,0.4818181818181818
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.2,147,10,-0.0287359080745167,-4.224178486953955,0.5102040816326531
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,-0.02,729,10,-0.015857996242225142,-11.560479260582127,0.48010973936899864
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,-0.01,711,10,-0.01614404069094983,-11.478412931265328,0.4810126582278481
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,0.0,641,10,-0.022143818298839175,-14.194187529555911,0.4711388455538221
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,0.005,569,10,-0.023872721807027857,-13.58357870819885,0.4710017574692443
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,0.01,484,10,-0.03098509582084584,-14.996786377289386,0.45867768595041325
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,0.02,337,10,-0.030536021713827837,-10.29063931755998,0.4658753709198813
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,0.04,189,10,-0.031167532971889202,-5.890663731687059,0.4973544973544973
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,threshold,0.08,52,9,-0.004790382272080878,-0.24909987814820567,0.5961538461538461
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.01,7,3,-0.08815739590916587,-0.6171017713641611,0.7142857142857143
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.02,15,4,-0.08198552252384775,-1.2297828378577162,0.5333333333333333
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.03,22,5,0.007395348410067378,0.1626976650214823,0.6818181818181818
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.04,29,7,0.02449874148082861,0.7104635029440297,0.6896551724137931
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.06,44,9,0.012785513980377373,0.5625626151366044,0.6363636363636364
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.08,59,9,-0.011655288056780339,-0.68766199535004,0.559322033898305
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.1,74,10,-0.04241377727560093,-3.138619518394469,0.5135135135135135
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.15,110,10,-0.03518333870168994,-3.8701672571858934,0.509090909090909
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.2,147,10,-0.03493331882477613,-5.13519786724209,0.5102040816326531
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,-0.02,732,10,-0.019236310142436316,-14.080979024263383,0.49043715846994534
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,-0.01,720,10,-0.018922671058821155,-13.624323162351232,0.49027777777777776
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,0.0,629,10,-0.020519451216916777,-12.906734815440652,0.48807631160572335
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,0.005,545,10,-0.02504240677439382,-13.648111692044631,0.47889908256880737
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,0.01,434,10,-0.029596919588939855,-12.845063101599896,0.4838709677419355
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,0.02,283,10,-0.029920337407453174,-8.467455486309248,0.4911660777385159
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,0.04,119,10,-0.01917663557397708,-2.2820196333032725,0.5378151260504201
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,threshold,0.08,23,5,0.01760592702311313,0.404936321531602,0.6956521739130435
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.01,7,3,-0.05654469552270404,-0.3958128686589283,0.7142857142857143
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.02,15,5,-0.018936763144465643,-0.28405144716698466,0.6666666666666666
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.03,22,5,0.04132585590127042,0.9091688298279492,0.7272727272727273
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.04,29,7,0.010022666839475138,0.290657338344779,0.6551724137931034
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.06,44,8,-0.010567949093534555,-0.4649897601155204,0.5909090909090909
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.08,59,10,-0.013409777388942135,-0.791176865947586,0.576271186440678
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.1,74,10,-0.04388545194468607,-3.2475234439067693,0.5135135135135135
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.15,110,10,-0.024741914033968977,-2.7216105437365874,0.5363636363636364
compact_episode_context__all__knn55_distance,compact_episode_context,all,55,distance,topfrac,0.2,147,10,-0.027445711298368994,-4.034519560860242,0.5238095238095238
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,-0.02,731,10,-0.021470716989668015,-15.695094119447319,0.4911080711354309
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,-0.01,717,10,-0.02011501852714257,-14.422468283961223,0.49511854951185497
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,0.0,629,10,-0.020388804185121335,-12.82455783244132,0.4960254372019078
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,0.005,542,10,-0.023392276776145773,-12.678614012671009,0.48523985239852396
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,0.01,435,10,-0.032492364885027936,-14.134178724987152,0.4781609195402299
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,0.02,279,10,-0.03171906962721165,-8.849620425992052,0.5089605734767025
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,0.04,112,10,-0.027851627608229092,-3.1193822921216583,0.5357142857142857
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,threshold,0.08,21,5,-0.007298553194941863,-0.15326961709377912,0.6666666666666666
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.01,7,2,-0.09868577620360439,-0.6908004334252307,0.7142857142857143
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.02,15,5,-0.018936763144465643,-0.28405144716698466,0.6666666666666666
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.03,22,5,-0.029886460245005738,-0.6575021253901262,0.6363636363636364
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.04,29,7,0.004513317994732286,0.1308862218472363,0.6551724137931034
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.06,44,8,-0.0080662264313567,-0.3549139629796948,0.5909090909090909
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.08,59,9,-0.023672694050519055,-1.3966889489806242,0.559322033898305
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.1,74,10,-0.014189897016115064,-1.0500523791925147,0.5675675675675675
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.15,110,10,-0.027232196316395094,-2.9955415948034605,0.5363636363636364
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.2,147,10,-0.03291848493028044,-4.8390172847512245,0.5306122448979592
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,-0.02,729,10,-0.024720512316892172,-18.021253479014394,0.49108367626886146
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,-0.01,717,10,-0.024740741830892445,-17.739111892749882,0.4909344490934449
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,0.0,686,10,-0.026343242953422545,-18.071464666047866,0.4868804664723032
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,0.005,661,10,-0.026777648036247652,-17.7000253519597,0.491679273827534
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,0.01,629,10,-0.02710864022938101,-17.051334704280656,0.48807631160572335
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,0.02,537,10,-0.029306986080876705,-15.737851525430791,0.48044692737430167
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,0.04,369,10,-0.03703946314677625,-13.667561901160438,0.4715447154471545
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,threshold,0.08,209,10,-0.03989423049639831,-8.337894173747246,0.47368421052631576
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.01,7,1,-0.25438290509976463,-1.7806803356983523,0.0
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.02,15,2,-0.17656348605060632,-2.648452290759095,0.13333333333333333
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.03,22,3,-0.20672432422677894,-4.547935132989137,0.09090909090909091
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.04,29,4,-0.17969991733415028,-5.211297602690358,0.13793103448275862
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.06,44,6,-0.12268613431332266,-5.398189909786197,0.22727272727272727
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.08,59,8,-0.09123959092579859,-5.383135864622116,0.3050847457627119
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.1,74,9,-0.09247032892825079,-6.8428043406905585,0.32432432432432434
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.15,110,10,-0.08469339446718377,-9.316273391390215,0.36363636363636365
compact_episode_context__all__knn7_distance,compact_episode_context,all,7,distance,topfrac,0.2,147,10,-0.06396369423848307,-9.402663053057012,0.40816326530612246
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,-0.02,729,10,-0.024994909161902775,-18.221288779027123,0.48559670781893005
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,-0.01,719,10,-0.025302119254803662,-18.192223744203833,0.48678720445062584
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,0.0,689,10,-0.026206269591599794,-18.056119748612257,0.4862119013062409
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,0.005,660,10,-0.027125744696625296,-17.902991499772696,0.4893939393939394
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,0.01,636,10,-0.027052905711228484,-17.205648032341315,0.4858490566037736
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,0.02,536,10,-0.028685196605837484,-15.37526538072889,0.48507462686567165
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,0.04,368,10,-0.04094037792869563,-15.06605907775999,0.47282608695652173
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,threshold,0.08,203,10,-0.04318037040754536,-8.765615192731708,0.46798029556650245
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.01,7,1,-0.26074920060538515,-1.8252444042376958,0.0
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.02,15,2,-0.17656348605060632,-2.648452290759095,0.13333333333333333
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.03,22,3,-0.15779218679627174,-3.4714281095179786,0.13636363636363635
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.04,29,4,-0.1410183766139622,-4.089532921804904,0.1724137931034483
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.06,44,7,-0.10076509145415334,-4.433664023982747,0.2727272727272727
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.08,59,8,-0.08798549160357333,-5.191144004610827,0.3050847457627119
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.1,74,10,-0.08876993840362521,-6.5689754418682655,0.32432432432432434
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.15,110,10,-0.08270462344999467,-9.097508579499413,0.37272727272727274
compact_episode_context__all__knn7_uniform,compact_episode_context,all,7,uniform,topfrac,0.2,147,10,-0.05885114708166198,-8.651118621004311,0.41496598639455784
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,-0.02,733,10,-0.019451344192160002,-14.257835292853281,0.4979536152796726
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,-0.01,711,10,-0.02118327463868091,-15.061308268102126,0.4908579465541491
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,0.0,670,10,-0.02257204382909255,-15.123269365492009,0.49402985074626865
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,0.005,631,10,-0.023879617118607702,-15.068038401841461,0.4960380348652932
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,0.01,571,10,-0.026581432710136077,-15.1779980774877,0.4903677758318739
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,0.02,455,10,-0.02879855876028455,-13.10334423592947,0.4835164835164835
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,0.04,308,10,-0.044594670580926005,-13.735158538925209,0.4707792207792208
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,threshold,0.08,149,10,-0.05170717460962126,-7.704369016833567,0.46308724832214765
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.01,7,1,-0.1576887264089886,-1.1038210848629202,0.14285714285714285
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.02,15,3,-0.13019427146924606,-1.9529140720386908,0.2
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.03,22,5,-0.11974460836324793,-2.6343813839914545,0.22727272727272727
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.04,29,5,-0.12357152069495392,-3.5835741001536636,0.2413793103448276
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.06,44,6,-0.11166634291891354,-4.913319088432196,0.3409090909090909
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.08,59,8,-0.09620627068560486,-5.676169970450687,0.3559322033898305
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.1,74,10,-0.06805740214565396,-5.036247758778393,0.40540540540540543
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.15,110,10,-0.05569205709694145,-6.126126280663559,0.43636363636363634
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.2,147,10,-0.05275458439008637,-7.754923905342697,0.46258503401360546
