law_name,feature_view,group_mode,neighbors,weights,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,active_subjects,positive_active_subjects,negative_active_subjects,active_subject_rate,std_subject_gain_per_cell,min_active_gain_per_cell,robust_transport_score
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.06,0.6324212795719009,44,0.004575802579093951,0.07643670217350122,0.6363636363636364,6,4,2,0.6,0.012758140396050194,-0.006794359101064148,0.000262081519686422
compact_episode_context__target__knn21_uniform,compact_episode_context,target,21,uniform,topfrac,0.1,0.6324573217352469,74,0.004539760415747801,0.045090863588846404,0.6081081081081081,6,3,3,0.6,0.020171641148141593,-0.01677770250860072,-0.0023859857564734383
route_episode_context__target__knn7_distance,route_episode_context,target,7,distance,topfrac,0.1,0.6324889918822548,74,0.004508090268740017,0.04477630199356639,0.4864864864864865,7,5,2,0.7,0.018176297443347023,-0.032145997352475246,-0.0005183543477620362
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,topfrac,0.15,0.6326126347291167,110,0.004384447421878215,0.029296080500731705,0.509090909090909,9,7,2,0.9,0.01783536095402251,-0.03336269677747203,-0.00039085672122516105
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,topfrac,0.04,0.6326547837812739,29,0.004342298369720943,0.11005480350844456,0.6896551724137931,6,3,3,0.6,0.013788163423626975,-0.005721905606959488,-0.0016259261438231042
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,topfrac,0.1,0.6326882851049533,74,0.00430879704604155,0.042796835524872165,0.4864864864864865,7,4,3,0.7,0.017677023815822243,-0.029868895518681732,-0.0021427565263317863
compact_episode_context__target_episode_family__knn7_distance,compact_episode_context,target_episode_family,7,distance,topfrac,0.2,0.6327738439844027,147,0.004223238166592121,0.02111619083296061,0.564625850340136,10,5,5,1.0,0.016201043946154407,-0.013004329170566193,-0.0047069184253310395
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,topfrac,0.06,0.6327778061299757,44,0.004219276021019144,0.07048108807838795,0.6136363636363636,8,4,4,0.8,0.01321076909524559,-0.010213661112975595,-0.0029623393432676947
compact_episode_context__target_expert_family__knn13_uniform,compact_episode_context,target_expert_family,13,uniform,topfrac,0.1,0.6327969642557918,74,0.004200117895203001,0.041717387202354135,0.5945945945945946,8,3,5,0.8,0.01857502805772234,-0.012029713469622607,-0.00528613631345535
route_episode_context__target__knn21_distance,route_episode_context,target,21,distance,topfrac,0.03,0.6327997434353548,22,0.004197338715639953,0.14022927072706207,0.6818181818181818,4,4,0,0.4,0.006004058828387665,0.004527274915338826,0.003696729891381803
route_episode_context__target_episode_family__knn7_uniform,route_episode_context,target_episode_family,7,uniform,topfrac,0.15,0.6328017572850744,110,0.00419532486592056,0.028032397967741925,0.5545454545454546,10,6,4,1.0,0.018445964201395208,-0.020873210173623077,-0.003571569764288721
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,topfrac,0.02,0.6328305769024337,15,0.004166505248561037,0.2041587571794908,0.6666666666666666,5,4,1,0.5,0.007736735055051696,-0.0006230760173544095,0.0020059949903032826
route_episode_context__target_episode_family__knn7_uniform,route_episode_context,target_episode_family,7,uniform,topfrac,0.06,0.6328403544627865,44,0.004156727688208311,0.06943624660984339,0.5681818181818182,7,5,2,0.7,0.010168824904083208,-0.011808879197644161,0.0003314039525958303
route_episode_context__target__knn7_distance,route_episode_context,target,7,distance,topfrac,0.08,0.6328783323067033,59,0.004118749844291539,0.05130984975515733,0.4915254237288136,7,4,3,0.7,0.017263639840203297,-0.03221108716940369,-0.0022707961317389555
route_episode_context__target__knn35_uniform,route_episode_context,target,35,uniform,topfrac,0.2,0.632901815309463,147,0.004095266841531899,0.020476334207659496,0.6122448979591837,10,6,4,1.0,0.025259613974235755,-0.02049308925157276,-0.004693675254603464
compact_episode_context__target_episode_family__knn7_uniform,compact_episode_context,target_episode_family,7,uniform,topfrac,0.2,0.6329390209231025,147,0.004058061227892321,0.0202903061394616,0.564625850340136,10,6,4,1.0,0.016189861501681904,-0.013004329170566193,-0.0033704179973599643
compact_episode_context__target_episode_family__knn13_uniform,compact_episode_context,target_episode_family,13,uniform,topfrac,0.06,0.6330105985618234,44,0.003986483589171346,0.06659239631911228,0.6363636363636364,6,5,1,0.6,0.00867331580237913,-0.002941673210432993,0.0017854862188144767
compact_episode_context__target_episode_family__knn13_uniform,compact_episode_context,target_episode_family,13,uniform,topfrac,0.08,0.6330930757248672,59,0.0039040064261276707,0.04863465632548879,0.6440677966101694,9,7,2,0.9,0.010696954498015837,-0.017608248748508856,0.0001994632514252954
route_episode_context__target_expert_family__knn7_distance,route_episode_context,target_expert_family,7,distance,topfrac,0.08,0.6331151856919127,59,0.003881896459082062,0.04835921860042908,0.5254237288135594,7,3,4,0.7,0.016462746189678662,-0.01816384204051247,-0.0038875154693697378
compact_episode_context__target__knn21_distance,compact_episode_context,target,21,distance,topfrac,0.1,0.6331385981298189,74,0.003858484021176049,0.03832413183195128,0.5945945945945946,6,3,3,0.6,0.01963362603658444,-0.016462228941012645,-0.002986559884311618
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.15,0.6331524725548258,110,0.003844609596169045,0.025688982301674976,0.5454545454545454,10,5,5,1.0,0.01616010666107272,-0.015416241096198862,-0.005079406402991863
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.04,0.6332268882437576,29,0.0037701939072372326,0.09555491454549539,0.6551724137931034,6,3,3,0.6,0.010730310934343953,-0.006415933955241048,-0.0017393527329143607
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,topfrac,0.03,0.6332293785647922,22,0.003767703586202634,0.12587555162995165,0.6818181818181818,4,3,1,0.4,0.006574666243548186,-0.000552582267234564,0.0016815036496704062
compact_episode_context__target__knn21_uniform,compact_episode_context,target,21,uniform,topfrac,0.15,0.6332345006658352,110,0.0037625814851595697,0.02514088537811168,0.5909090909090909,9,4,5,0.9,0.02156153942868851,-0.027409662624204745,-0.006071649429143707
route_episode_context__target__knn13_distance,route_episode_context,target,13,distance,topfrac,0.04,0.6332972230119527,29,0.003699859139042107,0.09377229197227412,0.6551724137931034,4,3,1,0.4,0.009770581941590898,-0.00799291588062925,0.0011342718478034727
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,topfrac,0.03,0.6333296497629253,22,0.00366743238806957,0.12252558205596059,0.5454545454545454,5,4,1,0.5,0.010782292180156014,-0.01382774999804888,0.001050088561046168
route_episode_context__target_episode_family__knn7_distance,route_episode_context,target_episode_family,7,distance,topfrac,0.15,0.6333357192019351,110,0.003661362949059764,0.02446456152326297,0.5454545454545454,10,6,4,1.0,0.01943380515698792,-0.02451878342776787,-0.004253707824488424
route_episode_context__target__knn21_distance,route_episode_context,target,21,distance,topfrac,0.04,0.6333429172065683,29,0.003654164944426422,0.09261418048804895,0.6551724137931034,5,3,2,0.5,0.010362949416146178,-0.011975848305449054,-0.00040027746799550486
compact_episode_context__target_episode_family__knn21_distance,compact_episode_context,target_episode_family,21,distance,topfrac,0.08,0.6333559360091371,59,0.0036411461418577383,0.04536004091975319,0.6271186440677966,8,7,1,0.8,0.007372026070139073,-0.008138596081416705,0.0018353422313368774
compact_episode_context__target_episode_family__knn13_distance,compact_episode_context,target_episode_family,13,distance,topfrac,0.08,0.6333673679627269,59,0.0036297141882678996,0.045217625904693325,0.6101694915254238,8,6,2,0.8,0.008023346060865681,-0.006174718049901218,0.00022621227913804736
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,topfrac,0.02,0.6334168091038247,15,0.003580273047170167,0.17543337931133818,0.7333333333333333,4,2,2,0.4,0.01202591294880469,-0.0022758537400729617,-0.0008236138951505363
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.04,0.6334575138161403,29,0.0035395683348545108,0.08970974917648498,0.6896551724137931,6,5,1,0.6,0.01319113901400185,-0.014353092789986128,0.0006608974827542335
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.08,0.6335110623161192,59,0.003486019834875658,0.043427535231078104,0.6101694915254238,8,5,3,0.8,0.009610452242274144,-0.007139480097423451,-0.0016555480014654642
route_episode_context__target_expert_family__knn7_distance,route_episode_context,target_expert_family,7,distance,topfrac,0.15,0.633513087151529,110,0.003483994999465848,0.023279421132794523,0.5,10,7,3,1.0,0.01640899376057277,-0.022507477563720756,-0.002477354064620068
route_episode_context__target__knn13_distance,route_episode_context,target,13,distance,topfrac,0.06,0.6335346255115195,44,0.003462456639475383,0.057838764318509234,0.6136363636363636,5,4,1,0.5,0.008452945177793323,-0.001584512785469645,0.0011945148628063843
compact_episode_context__target_episode_family__knn21_uniform,compact_episode_context,target_episode_family,21,uniform,topfrac,0.06,0.6335561914160457,44,0.0034408907349491604,0.05747851568608256,0.6590909090909091,8,7,1,0.8,0.007514945321430054,-0.010213661112975595,0.0016136489367346522
compact_episode_context__target_expert_family__knn21_distance,compact_episode_context,target_expert_family,21,distance,topfrac,0.1,0.6335791438175269,74,0.0034179383334678884,0.03394844155539051,0.6081081081081081,8,3,5,0.8,0.016893088409695514,-0.017608248748508856,-0.005816024927986438
route_episode_context__target_expert_family__knn7_uniform,route_episode_context,target_expert_family,7,uniform,topfrac,0.1,0.6335841973596273,74,0.0034128847913674223,0.033898247589933185,0.5,8,6,2,0.8,0.017204248851216127,-0.03252788386484221,-0.001367752536314997
compact_episode_context__target_expert_family__knn21_uniform,compact_episode_context,target_expert_family,21,uniform,topfrac,0.1,0.6336116453307803,74,0.0033854368202145216,0.033625622471049645,0.6081081081081081,8,3,5,0.8,0.018088404176264693,-0.016991718223961266,-0.006027823806225182
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.02,0.6336189424352151,15,0.0033781397157796184,0.1655288460732013,0.7333333333333333,5,4,1,0.5,0.008063572337628416,-0.0022758537400729617,0.001168603865135356
compact_episode_context__target__knn21_distance,compact_episode_context,target,21,distance,topfrac,0.15,0.633619269950501,110,0.003377812200493809,0.022569926976026798,0.5818181818181818,9,3,6,0.9,0.01962697017305172,-0.01807951493268965,-0.007666233325463951
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.01,0.6336201953572587,7,0.0033768867937361505,0.3545731133422958,1.0,2,2,0,0.2,0.007389166888145514,0.013085946211006944,0.0024685117605143234
route_episode_context__target_episode_family__knn21_distance,route_episode_context,target_episode_family,21,distance,topfrac,0.01,0.6336201953572587,7,0.0033768867937361505,0.3545731133422958,1.0,2,2,0,0.2,0.007389166888145514,0.013085946211006944,0.0024685117605143234
compact_episode_context__target_episode_family__knn35_uniform,compact_episode_context,target_episode_family,35,uniform,topfrac,0.06,0.6336612404730364,44,0.003335841677958383,0.055723718938622976,0.6590909090909091,9,6,3,0.9,0.012798194679053982,-0.015281814000155854,-0.0021838875238997147
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.02,0.6336708641783605,15,0.003326217972634189,0.16298468065907526,0.7333333333333333,5,4,1,0.5,0.006174476976755747,-0.0022758537400729617,0.0014000464261208273
compact_episode_context__target_expert_family__knn7_uniform,compact_episode_context,target_expert_family,7,uniform,topfrac,0.08,0.6336907272044926,59,0.0033063549465022703,0.04118933704540963,0.5084745762711864,8,4,4,0.8,0.014718461687813593,-0.02314095681333241,-0.004101414306669769
compact_episode_context__target__knn21_uniform,compact_episode_context,target,21,uniform,topfrac,0.03,0.6336928318016593,22,0.0033042503493355656,0.1103920003073473,0.6363636363636364,5,3,2,0.5,0.00713528633451616,-0.005541016574685133,-0.00026604260084185866
route_episode_context__target_expert_family__knn13_distance,route_episode_context,target_expert_family,13,distance,topfrac,0.04,0.6337061822557397,29,0.0032908998952550154,0.08340729044870471,0.5862068965517241,4,2,2,0.4,0.008682539240120283,-0.0022758537400729617,-0.0006114809907630267
route_episode_context__target_episode_family__knn13_uniform,route_episode_context,target_episode_family,13,uniform,topfrac,0.08,0.6337383713033554,59,0.003258710847639476,0.04059580462737313,0.576271186440678,7,3,4,0.7,0.016166167199914462,-0.021928635016399457,-0.004466214232347694
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,topfrac,0.06,0.6337937008026698,44,0.0032033813483249907,0.05351102934133791,0.6136363636363636,5,3,2,0.5,0.013274560013905952,-0.012787239203904366,-0.001287802653760902
compact_episode_context__target_expert_family__knn7_uniform,compact_episode_context,target_expert_family,7,uniform,topfrac,0.1,0.6338007475899575,74,0.003196334561037218,0.031747377058950754,0.5,8,4,4,0.8,0.01567038276591874,-0.015479807066860744,-0.004354222853850593
compact_episode_context__target_episode_family__knn21_distance,compact_episode_context,target_episode_family,21,distance,topfrac,0.03,0.633809790607178,22,0.0031872915438167343,0.10648451294114997,0.7272727272727273,4,3,1,0.4,0.007437305860791635,-0.007816870314758095,0.000971695664697989
route_episode_context__target__knn13_uniform,route_episode_context,target,13,uniform,topfrac,0.03,0.6338695717653113,22,0.0031275103856833963,0.10448727879442256,0.6818181818181818,4,3,1,0.4,0.0072278688939951645,-0.004320483623104111,0.0009433300515841218
route_episode_context__target__knn35_distance,route_episode_context,target,35,distance,topfrac,0.06,0.6339056529487285,44,0.003091429202266393,0.051640919628768156,0.6363636363636364,6,3,3,0.6,0.017933554664497513,-0.020118449004773175,-0.0034986039974082344
route_episode_context__target_episode_family__knn35_distance,route_episode_context,target_episode_family,35,distance,topfrac,0.02,0.6339153793958184,15,0.0030817027551763524,0.15100343500364125,0.8,6,3,3,0.6,0.011401548709459487,-0.0036455732541447903,-0.0025285295512425714
compact_episode_context__target_episode_family__knn13_distance,compact_episode_context,target_episode_family,13,distance,topfrac,0.06,0.6339303540257004,44,0.0030667281252943607,0.051228299365712625,0.6136363636363636,6,4,2,0.6,0.009271565539397477,-0.007332055265451434,-0.0007240067056152609
route_episode_context__target__knn35_uniform,route_episode_context,target,35,uniform,topfrac,0.1,0.6339394464662725,74,0.0030576356847222376,0.030369759841497902,0.6621621621621622,8,4,4,0.8,0.020966398872689196,-0.017608248748508856,-0.005287324146181141
route_episode_context__target__knn7_distance,route_episode_context,target,7,distance,topfrac,0.15,0.633939614037396,110,0.0030574681135988276,0.020429446031773973,0.5,9,6,3,0.9,0.01767326822329338,-0.03521129868900798,-0.003193522119895179
compact_episode_context__target__knn21_uniform,compact_episode_context,target,21,uniform,threshold,0.08,0.633964486522534,123,0.003032595628460897,0.018121608023729745,0.5853658536585366,9,3,6,0.9,0.02186917714996501,-0.027409662624204745,-0.008347780944033855
compact_episode_context__target__knn35_uniform,compact_episode_context,target,35,uniform,threshold,0.08,0.6339663921858085,82,0.003030689965186294,0.027165330785511282,0.6341463414634146,9,4,5,0.9,0.02306280342070283,-0.025594446224571264,-0.007028730547919131
compact_episode_context__target_episode_family__knn13_distance,compact_episode_context,target_episode_family,13,distance,topfrac,0.15,0.633984621442495,110,0.003012460708499803,0.02012871473406687,0.5636363636363636,10,7,3,1.0,0.01057745909237156,-0.019488914210080054,-0.0020741581553559317
route_episode_context__target__knn13_distance,route_episode_context,target,13,distance,topfrac,0.02,0.6339870047409936,15,0.0030100774100012347,0.1474937930900605,0.7333333333333333,4,3,1,0.4,0.006638796962581352,-0.0023126693111232255,0.000914257865614032
compact_episode_context__target__knn13_uniform,compact_episode_context,target,13,uniform,topfrac,0.03,0.6340290934176175,22,0.0029679887333773545,0.09915780541056161,0.5909090909090909,4,3,1,0.4,0.008502694797990437,-0.007969314946836916,0.0005925845136787889
route_episode_context__target_episode_family__knn21_uniform,route_episode_context,target_episode_family,21,uniform,topfrac,0.1,0.6340380356011067,74,0.002959046549888059,0.02939052992118544,0.6351351351351351,9,5,4,0.9,0.013234804039886344,-0.01775602078095,-0.0041261740560948924
route_episode_context__target__knn21_distance,route_episode_context,target,21,distance,topfrac,0.1,0.6340990460436841,74,0.0028980361073107216,0.02878454782261325,0.5540540540540541,6,3,3,0.6,0.015857247595763152,-0.007698899646896085,-0.003380551032053752
compact_episode_context__target_expert_family__knn13_distance,compact_episode_context,target_expert_family,13,distance,topfrac,0.08,0.6341579446739012,59,0.002839137477093569,0.035368916028199526,0.6101694915254238,6,3,3,0.6,0.0139237235553705,-0.01638282801754854,-0.0031494210562120067
compact_episode_context__target_episode_family__knn13_uniform,compact_episode_context,target_episode_family,13,uniform,topfrac,0.15,0.6341714907307026,110,0.0028255914202922894,0.01888008812649848,0.5818181818181818,10,6,4,1.0,0.011314840507773316,-0.014394255031422241,-0.0038716346558737083
compact_episode_context__target__knn35_distance,compact_episode_context,target,35,distance,threshold,0.08,0.6341797724565791,91,0.0028173096944156895,0.022755193685665174,0.6153846153846154,9,5,4,0.9,0.020686806897101388,-0.023107375943298165,-0.005385711340149519
route_episode_context__target_episode_family__knn55_distance,route_episode_context,target_episode_family,55,distance,topfrac,0.06,0.6341893569164706,44,0.0028077252345242703,0.04690177380398496,0.7045454545454546,9,5,4,0.9,0.008347561737704625,-0.009924204901159953,-0.003544409026131423
route_episode_context__target__knn13_uniform,route_episode_context,target,13,uniform,topfrac,0.04,0.634193293097833,29,0.002803789053161824,0.07106155014048071,0.6206896551724138,4,3,1,0.4,0.00871770139759605,-0.009791411133358737,0.0003961338435224166
route_episode_context__target_expert_family__knn13_uniform,route_episode_context,target_expert_family,13,uniform,topfrac,0.08,0.6342086110745347,59,0.002788471076460062,0.03473773290166348,0.576271186440678,7,4,3,0.7,0.011736545666368165,-0.009363330669357081,-0.002772010773495163
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,topfrac,0.04,0.6342092666051489,29,0.002787815545845898,0.07065670435161156,0.6551724137931034,5,3,2,0.5,0.007472207622658798,-0.007267380748506239,-0.0008330155975529217
route_episode_context__target_episode_family__knn35_distance,route_episode_context,target_episode_family,35,distance,topfrac,0.01,0.6342134515848014,7,0.0027836305661934715,0.29228120945031455,1.0,2,2,0,0.2,0.007950522693124904,0.00233520034555631,0.001791052162224736
compact_episode_context__target_episode_family__knn21_uniform,compact_episode_context,target_episode_family,21,uniform,topfrac,0.04,0.6342223856002961,29,0.0027746965506986864,0.07032420568150118,0.6896551724137931,4,3,1,0.4,0.007930410519049243,-0.010213661112975595,0.0004851349728412999
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,topfrac,0.08,0.6342258991268032,59,0.0027711830241917003,0.034522364792896616,0.4745762711864407,6,4,2,0.6,0.017946297654999083,-0.03775194658854426,-0.002320761624058162
route_episode_context__target__knn7_uniform,route_episode_context,target,7,uniform,topfrac,0.01,0.6342283532439301,7,0.0027687289070648146,0.2907165352418056,0.5714285714285714,3,2,1,0.3,0.007249434625122053,-0.0026724063777240144,0.0004813137132965067
route_episode_context__target_expert_family__knn13_uniform,route_episode_context,target_expert_family,13,uniform,topfrac,0.06,0.6342294220459624,44,0.0027676601050322827,0.04623250402724381,0.5454545454545454,5,2,3,0.5,0.011933498033328535,-0.00941948473565524,-0.003022364599966998
route_episode_context__target__knn21_distance,route_episode_context,target,21,distance,topfrac,0.06,0.634249391818829,44,0.0027476903321657802,0.04589891804867836,0.5909090909090909,6,3,3,0.6,0.013655515972602145,-0.015063092943977327,-0.0032006370637245422
route_episode_context__target_episode_family__knn7_distance,route_episode_context,target_episode_family,7,distance,topfrac,0.06,0.6342840905258504,44,0.002712991625144332,0.045319291920024624,0.5,8,4,4,0.8,0.013105135348812198,-0.010052648897352976,-0.004452778677177497
compact_episode_context__target_expert_family__knn21_distance,compact_episode_context,target_expert_family,21,distance,topfrac,0.08,0.6342924447720271,59,0.002704637378967675,0.03369336395832614,0.576271186440678,6,2,4,0.6,0.013156740535451125,-0.008142878480975668,-0.004668873701349994
route_episode_context__target_episode_family__knn13_distance,route_episode_context,target_episode_family,13,distance,topfrac,0.03,0.6343105366662463,22,0.0026865454847484764,0.08975504233136956,0.6363636363636364,6,3,3,0.6,0.008351923626958014,-0.00406690577762465,-0.0024662430592952266
route_episode_context__target_expert_family__knn7_uniform,route_episode_context,target_expert_family,7,uniform,topfrac,0.08,0.634324610914584,59,0.0026724712364108727,0.03329265014850833,0.4745762711864407,6,4,2,0.6,0.018044387615277453,-0.03608844500102657,-0.0024341869058807455
route_episode_context__target__knn21_uniform,route_episode_context,target,21,uniform,topfrac,0.02,0.6343394835878249,15,0.00265759856316997,0.13022232959532853,0.6666666666666666,3,3,0,0.3,0.004820107794448344,0.0029219901331928168,0.0022345823940027186
route_episode_context__target__knn13_distance,route_episode_context,target,13,distance,topfrac,0.08,0.6343554163753923,59,0.0026416657756025887,0.03290888720454072,0.559322033898305,6,4,2,0.6,0.009121827504954282,-0.007492979672290603,-0.0011266083501405536
