hidden_human_state,n,high,survives,weak,reversed,best_avg_delta,best_worst_delta,median_avg_delta,best_null_dominance
cognitive_rumination,10,5,5,4,1,-4.3854642695944265e-05,-3.602384458037309e-05,-2.7078122020395477e-05,1.0
valid_awake_measurement,10,6,5,4,1,-4.008683373348671e-05,-3.291021426568925e-05,-2.0562490952342264e-05,1.0
weekend_home_rest,10,5,5,2,1,-3.206840312221702e-05,-3.1074917388195474e-05,-1.8360142679844448e-05,1.0
late_spending_arousal,10,0,5,3,0,-3.905070113194982e-05,-2.8653703425522957e-05,-2.23123458655884e-05,1.0
bedtime_social_arousal,10,5,5,3,0,-3.156923335414373e-05,-2.7767948363199363e-05,-2.939567145061626e-05,0.8888888888888888
dopamine_bedtime_arousal,10,5,5,4,1,-3.3742908758106435e-05,-2.7589135353918808e-05,-2.8592041507537618e-05,1.0
safe_social_home_recovery,10,5,5,3,0,-3.543470375285859e-05,-2.5891487104388407e-05,-1.763119969807821e-05,1.0
social_relief_for_isolated_subject,10,0,5,3,0,-3.543470375285859e-05,-2.5891487104388407e-05,-1.763119969807821e-05,1.0
compressed_day_after_commute,10,5,4,6,0,-6.160572647159053e-05,-4.719045345001589e-05,-2.3540372458861267e-05,0.8888888888888888
domestic_reset_recovery,10,5,4,4,0,-4.97625456438975e-05,-4.1415510677853374e-05,-2.7100209027550854e-05,1.0
afterhours_work_social_overload,10,5,4,5,0,-4.994480346082935e-05,-3.909089312403441e-05,-1.532306683307458e-05,1.0
context_switching_fatigue,10,0,4,5,0,-4.060486766388188e-05,-3.602547376958945e-05,-3.092350014728005e-05,1.0
low_mood_sedentary_state,10,0,4,5,0,-4.191040026416294e-05,-3.224497659501672e-05,-2.552080881652481e-05,1.0
withdrawal_after_badnight,10,5,4,5,0,-3.562768584158307e-05,-2.9644699872883845e-05,-2.3508532627324386e-05,1.0
compulsive_ritual_arousal,10,0,4,5,0,-4.113469807187574e-05,-2.2006965077545194e-05,-1.4836008763247958e-05,0.8888888888888888
cashflow_relief_home_recovery,10,0,4,0,5,-2.6502814766866366e-05,-2.200487921217343e-05,1.8993131199803444e-07,1.0
late_return_commute_pressure,10,5,3,7,0,-5.4596107632755116e-05,-4.6196038024863195e-05,-2.356986270003659e-05,0.8888888888888888
digital_shutdown_anchor,10,5,3,1,1,-5.089784926075944e-05,-4.469521123163791e-05,-2.628650845220194e-06,1.0
commute_pressure,10,5,3,6,0,-4.7363065697084356e-05,-4.3554364955489274e-05,-2.271641296076345e-05,1.0
weekend_schedule_drift,10,5,3,1,0,-4.493837421172783e-05,-4.238173610307397e-05,-3.4494770317416163e-06,1.0
hedonic_media_arousal,10,5,3,6,0,-3.731294602503885e-05,-3.263710206141066e-05,-2.6088990686137517e-05,1.0
moderate_activity_recovery,10,5,3,5,0,-3.048743905031776e-05,-2.6832872436803492e-05,-1.632496422657549e-05,1.0
middle_of_night_arousal,10,5,3,5,1,-2.6943942120825824e-05,-2.4346647816466042e-05,-1.1431905735156558e-05,1.0
social_obligation_bedtime_drag,10,5,3,1,0,-3.185647948790758e-05,-2.092573129977755e-05,-8.335109001551711e-07,1.0
daylight_activity_recovery,10,0,3,5,1,-3.575083464212709e-05,-2.0493720427040772e-05,-2.1322310209943016e-05,1.0
cashflow_relief_spend_outing,10,0,3,6,0,-1.785918284217114e-05,-1.6882177220105004e-05,-1.2325501745201505e-05,1.0
overtraining_arousal,10,0,3,1,1,-2.2385701879129967e-05,-1.6588223940471782e-05,-1.7663421368787784e-06,0.7777777777777778
impulse_reward_after_stress,10,0,2,6,2,-5.1940289369472686e-05,-4.457398685452391e-05,-4.047376445811408e-05,1.0
end_month_admin_overload,10,0,2,7,1,-4.9412895514535065e-05,-4.101779473188031e-05,-3.3089313682251724e-05,1.0
calm_monotony_anchor,10,0,2,7,0,-3.879871846415218e-05,-3.773283338232906e-05,-1.839689409021441e-05,1.0
cashflow_stress,10,0,2,6,2,-4.450057242337622e-05,-3.6300621171967306e-05,-1.9567614386607827e-05,1.0
screen_light_arousal,10,5,2,5,1,-3.745378189430124e-05,-3.137923228251828e-05,-2.8243941460735868e-05,1.0
monthstart_reset_relief,10,0,2,5,0,-3.0208070170962085e-05,-2.896365582427182e-05,-1.0986118425150184e-06,1.0
irritability_after_badnight,10,5,2,5,1,-3.304063359138996e-05,-2.8455606838905624e-05,-1.7214289163952238e-05,0.8888888888888888
morning_social_repair_after_badnight,10,5,2,5,1,-3.304063359138996e-05,-2.8455606838905624e-05,-1.7214289163952238e-05,1.0
financial_admin_closure,10,0,2,5,0,-2.934078600701582e-05,-2.7943966638491825e-05,-2.480703476634405e-06,0.8888888888888888
household_management_anchor,10,0,2,2,2,-2.550696995083366e-05,-2.4615963114992808e-05,4.990958940062847e-08,1.0
social_overload,10,5,2,1,5,-3.1997049809264886e-05,-2.2418843453521173e-05,4.910912851682869e-07,1.0
post_pay_relief_home,10,0,2,3,2,-2.6502814766866366e-05,-2.200487921217343e-05,-2.493699891859636e-06,0.8888888888888888
social_isolation_media,10,5,2,6,0,-2.292413430379037e-05,-2.0130352822830748e-05,-8.259640279800997e-06,0.7777777777777778
compensatory_recovery_after_badnight,10,5,2,5,2,-3.1984155878284656e-05,-2.011221744824465e-05,-1.542526231007763e-05,1.0
no_commute_home_workday,10,0,2,5,0,-2.637219045050994e-05,-1.5157401764859153e-05,-1.7074949787011205e-05,0.8888888888888888
money_worry_after_badnight,10,0,1,6,2,-5.0363407455288536e-05,-5.021244754643299e-05,-2.244262780100971e-06,1.0
low_home_after_commute,10,5,1,9,0,-6.232386413457052e-05,-4.9661555544470674e-05,-2.85736102021961e-05,1.0
deadline_arousal,10,5,1,9,0,-5.245493441061709e-05,-4.911459740092415e-05,-2.5184197094468467e-05,1.0
bed_anchor_home_recovery,10,5,1,3,2,-2.9170495065501282e-05,-2.5375195083565486e-05,-1.1944653052854687e-06,1.0
circadian_anchor_drift,10,5,1,1,4,-3.0062085350350103e-05,-2.0998849561458307e-05,-1.1136995417545682e-06,0.8888888888888888
caregiving_obligation_stress,10,0,1,4,0,-2.545738488745664e-05,-1.8729319090058924e-05,-2.685927431958883e-06,0.7777777777777778
illness_like_strain,10,0,1,2,6,-2.0685748257401483e-05,-1.7127210850814724e-05,3.570387519125186e-06,0.8888888888888888
measurement_wear_confidence,10,6,1,1,7,-1.8368204551527468e-05,-1.7012277762534662e-05,3.4121400149377633e-06,1.0
relationship_rumination,10,0,1,6,3,-2.3352949318883658e-05,-1.5231860606326915e-05,-2.352824289984686e-06,1.0
nocturnal_awake_trace,10,5,1,5,0,-1.9552529260357107e-05,-1.4208809321608754e-05,-8.300279918677694e-06,0.7777777777777778
low_stimulation_home_cocoon,10,5,1,7,2,-2.0020031859442284e-05,-1.2375797989511461e-05,-1.2535006105043731e-05,1.0
ritual_anchor_recovery,10,5,1,2,1,-1.2313293802918401e-05,-1.0636744591377317e-05,-5.643838121815728e-08,0.7777777777777778
end_month_bill_anxiety,10,0,0,3,2,-2.53573558089946e-05,-1.6659140563031678e-05,-5.722655442204692e-07,0.8888888888888888
presleep_predictability,10,5,0,4,4,-1.1832715543905389e-05,-9.826906655735156e-06,-2.1060446303326757e-06,1.0
sleep_inertia_after_badnight,10,5,0,1,9,-7.459799602767534e-06,-4.637986589288862e-06,3.153640609562457e-06,0.8888888888888888
sympathetic_arousal_strain,10,5,0,3,1,-1.363169832673094e-05,-4.103212544558145e-06,7.8837264723276e-09,0.6666666666666666
active_commute_recovery,10,0,0,2,4,-1.9189764167542116e-05,-3.100308172932665e-06,1.408267444830126e-06,0.8888888888888888
weather_like_indoor_recovery,10,0,0,0,8,3.277991730874162e-07,5.376051522055375e-07,2.9535052833027113e-06,0.6666666666666666
dataset_rhythm_fragmentation_artifact,10,5,0,0,0,,,,0.0
low_measurement_confidence,10,6,0,0,0,,,,0.0
night_phone_placement_uncertainty,10,6,0,0,0,,,,0.0
outdoor_dropout_uncertainty,10,0,0,0,0,,,,0.0
personal_payday_mismatch,10,5,0,0,0,,,,0.0
