fold,source,target,loss
2,best__absolute_plus_deviation__c0.3_b0.2,S4,
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,0.5646462020793432
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
2,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,Q1,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,Q2,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,Q3,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S1,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S2,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S3,
2,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S4,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,Q1,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,Q2,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,Q3,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S1,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S2,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S3,
2,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S4,
2,ef_recovery_slope__absolute__c0.3_b0.2,Q1,
2,ef_recovery_slope__absolute__c0.3_b0.2,Q2,
2,ef_recovery_slope__absolute__c0.3_b0.2,Q3,
2,ef_recovery_slope__absolute__c0.3_b0.2,S1,
2,ef_recovery_slope__absolute__c0.3_b0.2,S2,
2,ef_recovery_slope__absolute__c0.3_b0.2,S3,
2,ef_recovery_slope__absolute__c0.3_b0.2,S4,
2,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
2,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.6361948459191377
2,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
2,ef_recovery_slope__deviation__c0.3_b0.2,S1,
2,ef_recovery_slope__deviation__c0.3_b0.2,S2,
2,ef_recovery_slope__deviation__c0.3_b0.2,S3,
2,ef_recovery_slope__deviation__c0.3_b0.2,S4,
2,routine_regularity__deviation__c0.1_b0.2,Q1,
2,routine_regularity__deviation__c0.1_b0.2,Q2,
2,routine_regularity__deviation__c0.1_b0.2,Q3,
2,routine_regularity__deviation__c0.1_b0.2,S1,
2,routine_regularity__deviation__c0.1_b0.2,S2,
2,routine_regularity__deviation__c0.1_b0.2,S3,
2,routine_regularity__deviation__c0.1_b0.2,S4,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,0.7011162641816879
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
2,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,0.5859653017422919
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
2,db_prebed__deviation__c0.1_b0.2,Q1,0.6710763844220573
2,db_prebed__deviation__c0.1_b0.2,Q2,
2,db_prebed__deviation__c0.1_b0.2,Q3,
2,db_prebed__deviation__c0.1_b0.2,S1,
2,db_prebed__deviation__c0.1_b0.2,S2,
2,db_prebed__deviation__c0.1_b0.2,S3,
2,db_prebed__deviation__c0.1_b0.2,S4,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q1,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q2,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q3,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S1,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S2,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S3,
2,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S4,
3,best_plus_routine_regularity__absolute__c0.3_b0.2,Q1,
3,best_plus_routine_regularity__absolute__c0.3_b0.2,Q2,
3,best_plus_routine_regularity__absolute__c0.3_b0.2,Q3,
3,best_plus_routine_regularity__absolute__c0.3_b0.2,S1,0.5898613556455551
3,best_plus_routine_regularity__absolute__c0.3_b0.2,S2,
3,best_plus_routine_regularity__absolute__c0.3_b0.2,S3,
3,best_plus_routine_regularity__absolute__c0.3_b0.2,S4,
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q1,
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q2,
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q3,
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S1,
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S2,0.5539371793610148
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S3,
3,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S4,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,0.6608343969253802
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S4,
3,db_prebed__deviation__c0.3_b0.2,Q1,
3,db_prebed__deviation__c0.3_b0.2,Q2,
3,db_prebed__deviation__c0.3_b0.2,Q3,
