fold,source,target,loss
3,td_trajectory__deviation__c0.03_b0.2,S4,
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q1,
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q2,0.7427094265674822
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q3,
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,S1,
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,S2,
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,S3,
3,best_plus_trajectory_proto__absolute__c0.03_b0.2,S4,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q1,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q2,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q3,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,S1,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,S2,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,S3,
3,best_plus_trajectory_proto__deviation__c0.03_b0.2,S4,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q1,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q2,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q3,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S1,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S2,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S3,
3,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S4,
3,best__absolute_plus_deviation__c0.3_b0.2,Q1,0.6832968584568578
3,best__absolute_plus_deviation__c0.3_b0.2,Q2,
3,best__absolute_plus_deviation__c0.3_b0.2,Q3,
3,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5866456755747026
3,best__absolute_plus_deviation__c0.3_b0.2,S2,0.545294080730821
3,best__absolute_plus_deviation__c0.3_b0.2,S3,0.5328035721536187
3,best__absolute_plus_deviation__c0.3_b0.2,S4,
3,td_trajectory__deviation__c0.3_b0.2,Q1,
3,td_trajectory__deviation__c0.3_b0.2,Q2,
3,td_trajectory__deviation__c0.3_b0.2,Q3,
3,td_trajectory__deviation__c0.3_b0.2,S1,
3,td_trajectory__deviation__c0.3_b0.2,S2,
3,td_trajectory__deviation__c0.3_b0.2,S3,
3,td_trajectory__deviation__c0.3_b0.2,S4,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q1,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q2,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q3,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,S1,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,S2,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,S3,
3,best_plus_trajectory_proto__absolute__c0.3_b0.2,S4,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,Q1,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,Q2,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,Q3,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,S1,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,S2,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,S3,
3,best_plus_event_rhythm__deviation__c0.3_b0.2,S4,0.6314309135905648
4,td_trajectory__deviation__c0.03_b0.2,Q1,
4,td_trajectory__deviation__c0.03_b0.2,Q2,
4,td_trajectory__deviation__c0.03_b0.2,Q3,0.6258220554923307
4,td_trajectory__deviation__c0.03_b0.2,S1,
4,td_trajectory__deviation__c0.03_b0.2,S2,
4,td_trajectory__deviation__c0.03_b0.2,S3,
4,td_trajectory__deviation__c0.03_b0.2,S4,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q1,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q2,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q3,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,S1,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,S2,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,S3,
4,best_plus_trajectory_proto__absolute__c0.03_b0.2,S4,
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q1,
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q2,0.681982454369961
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q3,
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,S1,
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,S2,
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,S3,
4,best_plus_trajectory_proto__deviation__c0.03_b0.2,S4,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q1,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q2,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q3,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S1,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S2,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S3,
4,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S4,0.6743725679661314
