candidate_id,file,resolved_path,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,world_cell_delta_vs_h012,posterior_delta_vs_h012,memory_delta_vs_h012,family,source_vector,projection_mode,forbid_basis,forbid_pcs,route_mask,k,cap,cosine_to_world,cosine_to_h012_ray,forbidden_cosine,first_order_gain_sum
h039_transition_world_double_null_world_bad_pc24_transition_high_support_k48_cap0.022_d4ea10ca,submission_h039_transition_world_double_null_world_bad_pc24_transition_high_support_k48_cap0.022_d4ea10ca.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_transition_world_double_null_world_bad_pc24_transition_high_support_k48_cap0.022_d4ea10ca.csv,48,43,7.280916835470381e-05,0.005962083924688777,0.015031657741374061,0.03876774168985951,-1.7198181602667908e-05,-2.7493586939266416e-06,2.3519630966164397e-06,transition_world_double_null,transition_world,double_null,world_bad,24,transition_high_support,48,0.022,0.10524802765077475,0.02984117516910629,0.3338009764468009,0.040453047689643584
h039_world_allow_cone_world_bad_pc24_transition_high_support_k48_cap0.022_99a0c03a,submission_h039_world_allow_cone_world_bad_pc24_transition_high_support_k48_cap0.022_99a0c03a.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_world_allow_cone_world_bad_pc24_transition_high_support_k48_cap0.022_99a0c03a.csv,48,43,4.080475375815635e-05,0.0082209765487542,0.008756428639314494,0.042830537868354224,-8.14680413385222e-06,-4.447123459668195e-06,1.5604399733989675e-05,world_allow_cone,world,allow_cone,world_bad,24,transition_high_support,48,0.022,0.039738165976746065,0.028436304724362108,0.25207113016779925,0.0037274799954788037
h039_posterior_world_mix_remove_only_world_bad_pc24_exception_k48_cap0.022_b29f410a,submission_h039_posterior_world_mix_remove_only_world_bad_pc24_exception_k48_cap0.022_b29f410a.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_posterior_world_mix_remove_only_world_bad_pc24_exception_k48_cap0.022_b29f410a.csv,48,42,7.52536543340848e-05,0.007244784466001242,0.014668597320521665,0.034767868844425884,-1.058267988859246e-05,-5.872902397295063e-06,5.361685492171079e-05,posterior_world_mix_remove_only,posterior_world_mix,remove_only,world_bad,24,exception,48,0.022,0.08504967182472055,0.039336383139967915,0.30500731000415776,0.0259018913108115
h039_posterior_world_mix_remove_only_world_bad_pc24_transition_high_support_k48_cap0.022_7f3624bf,submission_h039_posterior_world_mix_remove_only_world_bad_pc24_transition_high_support_k48_cap0.022_7f3624bf.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_posterior_world_mix_remove_only_world_bad_pc24_transition_high_support_k48_cap0.022_7f3624bf.csv,48,43,7.422975810777794e-05,0.005897247169302289,0.014664979980183063,0.03706199355488317,-1.1819141037623215e-05,-6.4561642992400605e-06,4.90225444295542e-05,posterior_world_mix_remove_only,posterior_world_mix,remove_only,world_bad,24,transition_high_support,48,0.022,0.08848069458678962,0.040857364427197354,0.3105869262626954,0.02702592775970178
h039_world_allow_cone_all_bad_pc24_exception_k212_cap0.022_b17cc62f,submission_h039_world_allow_cone_all_bad_pc24_exception_k212_cap0.022_b17cc62f.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_world_allow_cone_all_bad_pc24_exception_k212_cap0.022_b17cc62f.csv,211,145,0.00010669448114449552,0.009836226300838358,0.006223018227821182,0.044,-1.1725746609144709e-05,-7.902094700535298e-06,0.00011416843964993344,world_allow_cone,world,allow_cone,all_bad,24,exception,212,0.022,0.3040752751483287,0.3248529732457324,0.6464529353135644,0.005267814494683083
h039_world_allow_cone_all_bad_pc24_transition_high_support_k48_cap0.022_ac6ad205,submission_h039_world_allow_cone_all_bad_pc24_transition_high_support_k48_cap0.022_ac6ad205.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_world_allow_cone_all_bad_pc24_transition_high_support_k48_cap0.022_ac6ad205.csv,48,42,4.4453160189408785e-05,0.008245185960066737,0.009164071378702955,0.044,-9.09326274702764e-06,-5.663918795398361e-06,2.011807354204152e-05,world_allow_cone,world,allow_cone,all_bad,24,transition_high_support,48,0.022,0.039264722312288884,0.029591320139354067,0.2874525411638834,0.005608219232949242
h039_world_allow_cone_all_bad_pc24_support_k48_cap0.022_e3645095,submission_h039_world_allow_cone_all_bad_pc24_support_k48_cap0.022_e3645095.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_world_allow_cone_all_bad_pc24_support_k48_cap0.022_e3645095.csv,48,46,6.484805024714982e-05,0.007832444121387283,0.011048693912295939,0.04177412271185157,-1.0142210143199156e-05,-5.778928162411192e-06,1.5371609458006203e-05,world_allow_cone,world,allow_cone,all_bad,24,support,48,0.022,0.03387073651035675,0.022240303713293236,0.27973439439528575,0.007234126674678924
h039_posterior_world_mix_allow_cone_world_bad_pc24_exception_k271_cap0.022_a3148fe8,submission_h039_posterior_world_mix_allow_cone_world_bad_pc24_exception_k271_cap0.022_a3148fe8.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_posterior_world_mix_allow_cone_world_bad_pc24_exception_k271_cap0.022_a3148fe8.csv,270,164,0.00011505138887065098,0.010705987953798846,0.005083988808908286,0.044,-1.1784945071244735e-05,-7.618514352653322e-06,0.00012168777979348608,posterior_world_mix_allow_cone,posterior_world_mix,allow_cone,world_bad,24,exception,271,0.022,0.30145983678164784,0.3214279800567525,0.5749728826417411,0.004481800149204723
h039_posterior_world_mix_allow_cone_world_bad_pc24_exception_k48_cap0.022_427c243b,submission_h039_posterior_world_mix_allow_cone_world_bad_pc24_exception_k48_cap0.022_427c243b.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_posterior_world_mix_allow_cone_world_bad_pc24_exception_k48_cap0.022_427c243b.csv,48,45,5.3728536458669226e-05,0.008245185960066737,0.009450172414994554,0.044,-6.152563380154483e-06,-4.13155513887187e-06,2.5299030445603967e-05,posterior_world_mix_allow_cone,posterior_world_mix,allow_cone,world_bad,24,exception,48,0.022,0.036328527242604006,0.024290329024376653,0.20546576969814567,0.003944748903775263
h039_transition_world_allow_cone_all_bad_pc24_exception_k214_cap0.022_56d4b45d,submission_h039_transition_world_allow_cone_all_bad_pc24_exception_k214_cap0.022_56d4b45d.csv,/Users/kbsoo/Downloads/cl2/hitl/h039_failed_translator_nullspace_jepa/submission_h039_transition_world_allow_cone_all_bad_pc24_exception_k214_cap0.022_56d4b45d.csv,213,144,0.00010062882756057604,0.008720253904450415,0.006484711657228902,0.044,-1.2448705175674095e-05,-8.970663333843744e-06,0.00013015660631455692,transition_world_allow_cone,transition_world,allow_cone,all_bad,24,exception,214,0.022,0.3679835507118711,0.40034849880572176,0.7305229488534366,0.0025735007473051104
