atom_id,kind,row,targets,frac,gamma,bundle_score,roles,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin,h139_atom_score
forward_r164_S1S4_f0p5,forward,164,"S1,S4",0.5,0.0,0.6166966711260954,,-2.2744458034265787e-05,1.8910964567288475e-06,-7.5694529612369e-07,0.0,0.0,0.0031897937117853145,-0.007305505348021268,-0.26435978197761045
anti025_r164_S1S4_f0p5,anti025,164,"S1,S4",0.5,0.25,0.6166966711260954,locked_core_unwind,5.686160460322519e-06,-4.7276845538564687e-07,1.8822524606998403e-07,0.0,0.0,-0.0007971609447681369,0.001810092284154241,0.04438084494255817
anti05_r164_S1S4_f0p5,anti05,164,"S1,S4",0.5,0.5,0.6166966711260954,locked_core_unwind,1.137233930134738e-05,-9.4553464725347e-07,3.746394858289079e-07,0.0,0.0,-0.0015904722490824377,0.0036040967012804515,0.08837310159129207
anti1_r164_S1S4_f0p5,anti1,164,"S1,S4",0.5,1.0,0.6166966711260954,locked_core_unwind,2.274475212550456e-05,-1.89106024043326e-06,7.387393947597392e-07,0.0,0.0,-0.0031567071920085635,0.007121423895840556,0.17461910445883722
forward_r131_S1S2_f0p25,forward,131,"S1,S2",0.25,0.0,0.6015460740425604,stress_decoy,2.5037173979314785e-06,6.192506156640605e-07,6.267242220099351e-07,0.0,0.0,-0.0005219610564118141,-0.0005857806392809972,-0.017988023952736173
anti025_r131_S1S2_f0p25,anti025,131,"S1,S2",0.25,0.25,0.6015460740425604,,2.4124315509703367e-06,3.5007869830664187e-07,1.083586837005452e-06,0.0,0.0,0.00020254784427312794,-3.680130037048146e-05,-0.0026866219895644696
anti05_r131_S1S2_f0p25,anti05,131,"S1,S2",0.25,0.5,0.6015460740425604,,2.442844858526307e-06,5.980573663797503e-07,1.2033046358876642e-06,0.0,0.0,0.0004334580698392085,-0.00014705249255284047,-0.0068481996706177784
anti1_r131_S1S2_f0p25,anti1,131,"S1,S2",0.25,1.0,0.6015460740425604,,2.5037173979314785e-06,1.0940203579406886e-06,1.425883445407318e-06,0.0,0.0,0.0009785073696908786,-0.0005857806392809972,-0.023027507674881674
forward_r131_S1S2_f0p5,forward,131,"S1,S2",0.5,0.0,0.6015460740425604,stress_decoy,2.6256461739151797e-06,1.136429478165702e-06,1.9853778201518214e-07,0.0,0.0,-0.0005859418939734365,-0.002305127794308748,-0.0797371500136343
anti1_r131_S1S2_f0p5,anti1,131,"S1,S2",0.5,1.0,0.6015460740425604,,2.6256461739151797e-06,2.085968962718958e-06,1.800374243039922e-06,0.0,0.0,0.00238251475001814,-0.002305127794308748,-0.08569429548827356
forward_r207_Q3_f0p25,forward,207,Q3,0.25,0.0,0.5644921137415705,,1.289156438923902e-06,-7.116739315054642e-07,2.9200100349962774e-07,0.0,0.0,0.001150020857803101,-0.000753384579236932,-0.027714856814434547
anti025_r207_Q3_f0p25,anti025,207,Q3,0.25,0.25,0.5644921137415705,,1.2155221126245591e-06,4.715881986043415e-07,2.43310397479669e-07,0.0,0.0,-0.0001965892392640639,-4.7401241774325253e-05,-0.000835825225301557
anti05_r207_Q3_f0p25,anti05,207,Q3,0.25,0.5,0.5644921137415705,,1.2400471687754044e-06,8.921278678823566e-07,3.2542353272302024e-07,0.0,0.0,-0.00035595049079208824,-0.0001893517087360186,-0.004825860859879858
anti1_r207_Q3_f0p25,anti1,207,Q3,0.25,1.0,0.5644921137415705,stress_decoy,1.289156438923902e-06,1.7332144915183697e-06,4.750880015379124e-07,0.0,0.0,-0.000562847214518998,-0.000753384579236932,-0.02389714631765679
forward_r207_Q3_f0p5,forward,207,Q3,0.5,0.0,0.5644921137415705,,1.387611610608342e-06,-1.4743599669392923e-06,2.939452521555797e-07,0.0,0.0,0.0028391366122374403,-0.00295103381287104,-0.10687551860423727
anti1_r207_Q3_f0p5,anti1,207,Q3,0.5,1.0,0.5644921137415705,stress_decoy,1.387611610608342e-06,3.4154168791083756e-06,6.54980599457209e-07,0.0,0.0,-0.0005391568633645386,-0.00295103381287104,-0.10448220698691446
forward_r135_S4Q3_f0p25,forward,135,"S4,Q3",0.25,0.0,0.5522151291348857,,7.446837973980498e-07,-1.5637595046891738e-06,-1.207561335567469e-07,0.0,0.0,0.0012598422223241354,-0.0015623602523845426,-0.05658752363264664
anti025_r135_S4Q3_f0p25,anti025,135,"S4,Q3",0.25,0.25,0.5522151291348857,,1.3743976320669798e-06,6.612848931537721e-07,2.672791909374885e-07,0.0,0.0,-8.276340000427235e-05,-0.00021622842095436745,-0.008147700588140305
anti05_r135_S4Q3_f0p25,anti05,135,"S4,Q3",0.25,0.5,0.5522151291348857,,1.55783068649302e-06,1.271525256634474e-06,3.568196799280665e-07,0.0,0.0,-6.746256099413733e-05,-0.0006845985191394621,-0.02567048394063701
anti1_r135_S4Q3_f0p25,anti1,135,"S4,Q3",0.25,1.0,0.5522151291348857,,1.9248533896900136e-06,2.4920252676360628e-06,4.4479474315046487e-07,0.0,0.0,0.0002570067742269158,-0.0023688164730948924,-0.0879570837833715
forward_r135_S4Q3_f0p5,forward,135,"S4,Q3",0.5,0.0,0.5522151291348857,,2.942901608806413e-07,-2.8714992496742557e-06,-8.440835237589345e-07,0.0,0.0,0.003499627659512089,-0.005869578918268392,-0.21144021453166723
anti025_r135_S4Q3_f0p5,anti025,135,"S4,Q3",0.5,0.25,0.5522151291348857,,1.5590281144566617e-06,1.194780022382774e-06,3.709843514744342e-07,0.0,0.0,-3.7675967863103066e-05,-0.0007339312607003989,-0.027659836223212095
anti05_r135_S4Q3_f0p5,anti05,135,"S4,Q3",0.5,0.5,0.5522151291348857,,1.9272376340024114e-06,2.338533492349422e-06,4.797704533064662e-07,0.0,0.0,0.00029584700653496193,-0.0024138882365296044,-0.08947024994119845
anti1_r135_S4Q3_f0p5,anti1,135,"S4,Q3",0.5,1.0,0.5522151291348857,,2.664251215629774e-06,4.626113648092218e-06,3.6321542287720554e-07,0.0,0.0,0.002000999849522081,-0.008362329178290273,-0.3056002078042659
forward_r135_S4Q3_f0p6,forward,135,"S4,Q3",0.6,0.0,0.5522151291348857,,7.568662279315921e-07,-2.3311862141620933e-06,-1.0724205647236369e-07,0.0,0.0,0.0018829450982310592,-0.0029264992028775194,-0.10570212976843923
anti025_r135_S4Q3_f0p6,anti025,135,"S4,Q3",0.6,0.25,0.5522151291348857,,1.37140049094207e-06,8.531475390009683e-07,2.343685008214351e-07,0.0,0.0,-0.00016422038006706774,-7.440222175930655e-05,-0.0024456070166454756
anti05_r135_S4Q3_f0p6,anti05,135,"S4,Q3",0.6,0.5,0.5522151291348857,,1.5518557908464174e-06,1.6552529357204745e-06,2.7890809840337184e-07,0.0,0.0,-0.00019414408767406272,-0.000495227504258039,-0.017986529141730934
anti1_r135_S4Q3_f0p6,anti1,135,"S4,Q3",0.6,1.0,0.5522151291348857,,1.9129811448101094e-06,3.2594901753742796e-06,2.424028671889518e-07,0.0,0.0,0.00015288839934505388,-0.002373409499658946,-0.08866954624060419
forward_r131_S1_f0p25,forward,131,S1,0.25,0.0,0.5479873421530015,,1.2575382339048789e-06,5.112192858247643e-07,-1.3406201025386102e-07,0.0,0.0,0.000555917214148452,-0.0003478278015680014,-0.013468346329838125
anti025_r131_S1_f0p25,anti025,131,S1,0.25,0.25,0.5479873421530015,,1.2076335363063462e-06,1.4433003064516416e-07,2.4009811754196163e-07,0.0,0.0,-9.681073334084217e-05,-2.1806108450400652e-05,-0.0005731523529122814
anti05_r131_S1_f0p25,anti05,131,S1,0.25,0.5,0.5479873421530015,,1.2242593661810665e-06,2.3761022046036185e-07,3.2665505387391956e-07,0.0,0.0,-0.00017656074716213693,-8.717079092740443e-05,-0.002283340416102078
anti1_r131_S1_f0p25,anti1,131,S1,0.25,1.0,0.5479873421530015,,1.2575382339048789e-06,4.241739506558083e-07,4.799866950512457e-07,0.0,0.0,-0.0002848268267011331,-0.0003478278015680014,-0.010842232248206279
forward_r131_S1_f0p5,forward,131,S1,0.5,0.0,0.5479873421530015,,1.3242048012484728e-06,9.714054836476365e-07,-4.5462235431846347e-07,0.0,0.0,0.0013722203876579617,-0.001377809760116755,-0.05090969752100377
