candidate_id,family,target_subset,alpha,k,file,posterior_delta_mean_vs_h012,posterior_delta_p10_vs_h012,posterior_delta_p90_vs_h012,posterior_delta_max_vs_h012,posterior_beats_h012_rate,expected_public_if_posterior,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_cell_score_changed,min_consistency_changed,mean_consistency_changed,h015_decision,decision_rank
top_S_k400_a0.45,top,S,0.45,400,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k400_a0.45_83474cb0.csv,-0.0008213151402824394,-0.0009675260460366661,-0.0005905137796352341,-0.00014874233421724076,1.0,0.5673021679597177,211,400,0.0031812380897199544,0.03586966063182284,0.7270712170691914,0.6,0.9743333333333334,post_h012_big_bet,0
top_all_k200_a0.7,top,all,0.7,200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k200_a0.7_22b50f30.csv,-0.0008303892353690709,-0.001039178556353633,-0.00040813931716411687,-0.00014553666147802,1.0,0.567293093864631,123,200,0.002282186935068941,0.05164167766874983,1.3966902751824577,0.6,0.9660000000000001,post_h012_big_bet,0
stable_all_k200_a0.9,stable_top,all,0.9,200,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k200_a0.9_94d06989.csv,-0.0008719474876955124,-0.0010935642052709524,-0.0003855197990739876,2.968647721741231e-05,0.9666666666666667,0.5672515356123046,126,200,0.0029996851944249186,0.06544843369149089,1.2579664134636241,0.8,0.9818333333333333,post_h012_big_bet,0
top_all_k200_a1,top,all,1.0,200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k200_a1_e79c4894.csv,-0.0008876668729031008,-0.0011859373314523896,-0.000284452704038903,9.069394694136161e-05,0.9666666666666667,0.567235816227097,123,200,0.003118145458218148,0.07222008365524257,1.3966902751824577,0.6,0.9660000000000001,post_h012_big_bet,0
top_all_k1600_a0.25,top,all,0.25,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1600_a0.25_8565e1a2.csv,-0.0007944795866044609,-0.0009033417482783589,-0.0006386330205327457,-0.00021172920475051753,1.0,0.5673290035133955,250,1600,0.004502859425385166,0.021200429022458667,0.25849036585563384,0.6,0.9617708333333335,post_h012_sensor,1
top_all_k1200_a0.25,top,all,0.25,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k1200_a0.25_7eb69d0c.csv,-0.0007839502745904027,-0.0008916131091728735,-0.0006284062604261817,-0.0002098167271061845,1.0,0.5673395328254096,250,1200,0.004112906390731823,0.021200429022458667,0.33534691318237236,0.6,0.9716111111111112,post_h012_sensor,1
stable_S_k800_a0.35,stable_top,S,0.35,800,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k800_a0.35_a85d4e19.csv,-0.0007837333841274739,-0.0008937501039094847,-0.0006268061373518784,-0.00015161052559047177,1.0,0.5673397497158725,249,800,0.004055879548464895,0.028776433055539452,0.37474523691298833,0.7666666666666667,0.9741666666666667,post_h012_sensor,1
top_all_k800_a0.25,top,all,0.25,800,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k800_a0.25_0d9ec6e9.csv,-0.0007354383747259225,-0.000839333928533671,-0.0005766263066781108,-0.0002082106439291316,1.0,0.5673880447252742,246,800,0.0032676951983940886,0.021200429022458667,0.4701115942377055,0.6,0.97625,post_h012_sensor,1
stable_all_k400_a0.35,stable_top,all,0.35,400,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k400_a0.35_f695fdc6.csv,-0.0007520434895019275,-0.0008618543964881245,-0.0005491226748900028,-0.00020343725811207053,1.0,0.5673714396104981,206,400,0.0026435215685414494,0.028776433055539452,0.7406221615390352,0.8,0.9828333333333333,post_h012_sensor,1
stable_S_k400_a0.35,stable_top,S,0.35,400,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k400_a0.35_bea63dfa.csv,-0.0006696201430673755,-0.0007685625945566968,-0.0005164562661065903,-0.00014966420777872173,1.0,0.5674538629569327,212,400,0.0025599572840563217,0.028776433055539452,0.6598800095939833,0.8,0.98225,post_h012_sensor,1
top_S_k1200_a0.25,top,S,0.25,1200,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k1200_a0.25_e5fdf22b.csv,-0.0006249016166836641,-0.000714795390991447,-0.0004934202926190513,-0.00016443871375043686,1.0,0.5674985814833163,250,998,0.003067304140006944,0.021200429022458667,0.332643829605378,0.5666666666666667,0.9545758183032733,post_h012_sensor,1
top_S_k1600_a0.25,top,S,0.25,1600,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k1600_a0.25_e5fdf22b.csv,-0.0006249016166836641,-0.000714795390991447,-0.0004934202926190513,-0.00016443871375043686,1.0,0.5674985814833163,250,998,0.003067304140006944,0.021200429022458667,0.332643829605378,0.5666666666666667,0.9545758183032733,post_h012_sensor,1
top_S_k800_a0.25,top,S,0.25,800,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k800_a0.25_9c8c1a72.csv,-0.0006213795921023771,-0.0007107898789012153,-0.000491029062685239,-0.0001631499980812439,1.0,0.5675021035078976,249,800,0.0029152327333717885,0.021200429022458667,0.4097198847356455,0.6,0.9707916666666668,post_h012_sensor,1
direct_all_a0.18,direct,all,0.18,0,hitl/h015_public_equation_self_feedback/submission_h015_direct_all_a0.18_636e4a86.csv,-0.0006023307110739406,-0.0006807549180636486,-0.0004900425484740608,-0.000182605176542499,1.0,0.5675211523889261,250,1750,0.0032875319693422013,0.015597753244609658,0.2368302937372508,0.5,0.9482285714285715,post_h012_sensor,1
stable_all_k200_a0.6,stable_top,all,0.6,200,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k200_a0.6_88e03211.csv,-0.0007552401533921036,-0.0009029846317756803,-0.00043095502764441395,-0.00015415084345020327,1.0,0.5673682429466079,126,200,0.0021129464495442604,0.045654676145048256,1.2579664134636241,0.8,0.9818333333333333,post_h012_sensor,1
top_all_k400_a0.25,top,all,0.25,400,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k400_a0.25_6db31103.csv,-0.0005887046425945609,-0.0006799141092903914,-0.0004266873005409939,-0.00019766996547437241,1.0,0.5675347784574055,206,400,0.001875175638665008,0.021200429022458667,0.813221496100848,0.6,0.9743333333333334,post_h012_sensor,1
stable_S_k200_a0.6,stable_top,S,0.6,200,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k200_a0.6_30daaca2.csv,-0.0006740828475945825,-0.0008131360667147769,-0.0004228460738876886,-9.275375468048759e-05,1.0,0.5674494002524054,131,200,0.002128860544635539,0.045654676145048256,1.1175655415448875,0.8,0.9848333333333333,post_h012_sensor,1
top_S_k200_a0.7,top,S,0.7,200,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a0.7_4f7b0dee.csv,-0.0007489007484395968,-0.0009392603399820536,-0.00040415780994484355,-7.52118211816492e-05,1.0,0.5673745823515605,124,200,0.002313706721857999,0.05164167766874983,1.2454052742300497,0.6,0.9683333333333334,post_h012_sensor,1
