h076_policy,route_id,row,subject_id,sleep_date,route_name,n_cells,targets,sum_h076_public_contrib,sum_h076_value_gain,h076_route_score,mean_h074_bad_opp_rank,mean_h074_bad_same_rank,outside_h069_cells,mean_shortcut_energy,candidate_id
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_conflict_cell_top16_123f6665
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r080_q2_hardtail,80,id04,2024-09-10,q2_hardtail,1,Q2,-0.0005375175260896,-0.0144554525692623,0.0738133152173913,0.2251428571428571,0.4474285714285714,0,0.5451428571428572,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r086_q2_hardtail,86,id04,2024-09-19,q2_hardtail,1,Q2,-0.0003296010682318,-0.0173457368374625,0.0425539855072463,0.1971428571428571,0.524,1,0.5747428571428571,h077_conflict_cell_top16_123f6665
objective_stage_edge,r177_s_stage,177,id07,2024-08-28,s_stage,4,"S1,S2,S3,S4",-0.0002709921780565,-0.0345843365493044,0.0915721920289855,0.4001428571428571,0.5605,4,0.4394607142857143,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r122_q2_hardtail,122,id05,2024-11-14,q2_hardtail,1,Q2,-0.0002660340488499,-0.009232163175464,0.0312963768115941,0.1691428571428571,0.6731428571428572,1,0.6003428571428572,h077_conflict_cell_top16_123f6665
recovery_full_vector,r060_recovery_route,60,id03,2024-08-18,recovery_route,4,"Q1,S2,S3,S4",-0.0002171525813064,-0.0272755201291792,0.1918290760869566,0.5882857142857143,0.398,3,0.3280857142857142,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r082_q2_hardtail,82,id04,2024-09-13,q2_hardtail,1,Q2,-0.0001851612182732,-0.0176402802498252,0.0407380434782608,0.228,0.528,1,0.5900857142857143,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r158_q2_s3_tail,158,id07,2024-07-20,q2_s3_tail,2,"Q2,S3",-0.0001793355393445,-0.0076323492968954,0.2340257246376811,0.5694285714285714,0.381,2,0.4492642857142856,h077_conflict_cell_top16_123f6665
recovery_full_vector,r012_recovery_route,12,id01,2024-08-15,recovery_route,4,"Q1,S2,S3,S4",-0.0001775209876881,-0.0271368793611835,0.1240308876811594,0.2984285714285714,0.6173571428571429,4,0.4411178571428572,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r200_q2_hardtail,200,id08,2024-09-20,q2_hardtail,1,Q2,-0.0001628055875916,-0.0122099596713349,0.0335989130434782,0.1628571428571428,0.5994285714285714,1,0.5831142857142857,h077_conflict_cell_top16_123f6665
objective_stage_edge,r100_s_stage,100,id04,2024-10-22,s_stage,4,"S1,S2,S3,S4",-0.0001530218751021,-0.0322431035260566,0.105500634057971,0.399,0.5381428571428571,3,0.3622642857142857,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r094_q2_hardtail,94,id04,2024-10-15,q2_hardtail,1,Q2,-0.00014459556844,-0.01426126966738,0.0482739130434782,0.2342857142857143,0.5217142857142857,1,0.5910857142857144,h077_conflict_cell_top16_123f6665
q2_tail_stage_soft,r080_q2_s3_tail,80,id04,2024-09-10,q2_s3_tail,2,"Q2,S3",-0.0008098790112829,-0.0221297781787281,0.0719653985507245,0.1931428571428571,0.4762857142857143,1,0.5144285714285715,h077_conflict_cell_outside_top24_27b46357
recovery_full_vector,r069_recovery_route,69,id03,2024-08-29,recovery_route,4,"Q1,S2,S3,S4",-0.0005415976034255,-0.0378016536537065,0.1188374094202898,0.5602857142857143,0.5225,3,0.4377178571428571,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r164_q2_s3_tail,164,id07,2024-07-26,q2_s3_tail,2,"Q2,S3",-0.0004191219145467,-0.0040675604371724,0.2928876811594202,0.658,0.305,2,0.3701928571428571,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r004_q2_hardtail,4,id01,2024-08-04,q2_hardtail,1,Q2,-0.0003458064146142,-0.0132998591685589,-0.0811554347826086,0.0777142857142857,0.7811428571428571,1,0.6445714285714286,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r086_q2_hardtail,86,id04,2024-09-19,q2_hardtail,1,Q2,-0.0003296010682318,-0.0173457368374625,0.0425539855072463,0.1971428571428571,0.524,1,0.5747428571428571,h077_conflict_cell_outside_top24_27b46357
objective_stage_edge,r060_s_stage,60,id03,2024-08-18,s_stage,4,"S1,S2,S3,S4",-0.0002861887314597,-0.0265413511203283,0.1974054347826088,0.5,0.4202857142857142,3,0.3414571428571428,h077_conflict_cell_outside_top24_27b46357
objective_stage_edge,r177_s_stage,177,id07,2024-08-28,s_stage,4,"S1,S2,S3,S4",-0.0002709921780565,-0.0345843365493044,0.0915721920289855,0.4001428571428571,0.5605,4,0.4394607142857143,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r122_q2_hardtail,122,id05,2024-11-14,q2_hardtail,1,Q2,-0.0002660340488499,-0.009232163175464,0.0312963768115941,0.1691428571428571,0.6731428571428572,1,0.6003428571428572,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r082_q2_hardtail,82,id04,2024-09-13,q2_hardtail,1,Q2,-0.0001851612182732,-0.0176402802498252,0.0407380434782608,0.228,0.528,1,0.5900857142857143,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r158_q2_s3_tail,158,id07,2024-07-20,q2_s3_tail,2,"Q2,S3",-0.0001793355393445,-0.0076323492968954,0.2340257246376811,0.5694285714285714,0.381,2,0.4492642857142856,h077_conflict_cell_outside_top24_27b46357
recovery_full_vector,r012_recovery_route,12,id01,2024-08-15,recovery_route,4,"Q1,S2,S3,S4",-0.0001775209876881,-0.0271368793611835,0.1240308876811594,0.2984285714285714,0.6173571428571429,4,0.4411178571428572,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r200_q2_hardtail,200,id08,2024-09-20,q2_hardtail,1,Q2,-0.0001628055875916,-0.0122099596713349,0.0335989130434782,0.1628571428571428,0.5994285714285714,1,0.5831142857142857,h077_conflict_cell_outside_top24_27b46357
objective_stage_edge,r100_s_stage,100,id04,2024-10-22,s_stage,4,"S1,S2,S3,S4",-0.0001530218751021,-0.0322431035260566,0.105500634057971,0.399,0.5381428571428571,3,0.3622642857142857,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r094_q2_hardtail,94,id04,2024-10-15,q2_hardtail,1,Q2,-0.00014459556844,-0.01426126966738,0.0482739130434782,0.2342857142857143,0.5217142857142857,1,0.5910857142857144,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r192_q2_hardtail,192,id08,2024-09-05,q2_hardtail,1,Q2,-0.0001217587752223,-0.0067710136225491,0.0443519927536232,0.2262857142857142,0.6137142857142858,1,0.6241714285714286,h077_conflict_cell_outside_top24_27b46357
objective_stage_edge,r181_s_stage,181,id07,2024-09-02,s_stage,4,"S1,S2,S3,S4",-8.116874626204624e-05,-0.0248883032207343,0.1925495471014493,0.4768571428571428,0.448,3,0.3780071428571429,h077_conflict_cell_outside_top24_27b46357
objective_stage_edge,r092_s_stage,92,id04,2024-09-26,s_stage,4,"S1,S2,S3,S4",-6.376844487149438e-05,-0.0197685172946306,0.1560162137681159,0.3997142857142857,0.5440714285714285,3,0.3393607142857142,h077_conflict_cell_outside_top24_27b46357
q2_tail_stage_soft,r055_q2_hardtail,55,id02,2024-10-13,q2_hardtail,1,Q2,-6.032828400989988e-05,-0.0055907610740906,-0.0857206521739128,0.0777142857142857,0.8348571428571429,1,0.755,h077_conflict_cell_outside_top24_27b46357
recovery_full_vector,r104_recovery_route,104,id04,2024-10-28,recovery_route,4,"Q1,S2,S3,S4",-5.765522337383344e-05,-0.0337379553667562,0.1064487318840579,0.2952857142857142,0.5562857142857143,4,0.4118642857142857,h077_conflict_cell_outside_top24_27b46357
recovery_full_vector,r082_recovery_route,82,id04,2024-09-13,recovery_route,4,"Q1,S2,S3,S4",-5.5988737144753685e-05,-0.0304251323154298,0.139006884057971,0.4021428571428571,0.4988571428571428,4,0.3924857142857142,h077_conflict_cell_outside_top24_27b46357
objective_stage_edge,r172_s_stage,172,id07,2024-08-21,s_stage,4,"S1,S2,S3,S4",-5.487332592412203e-05,-0.0240103732105646,0.0887632246376811,0.2451428571428571,0.6125714285714285,4,0.4608,h077_conflict_cell_outside_top24_27b46357
