candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012
h043_h042core0.58_tail35_b0.18_c80_8ad65966,submission_h043_h042core0.58_tail35_b0.18_c80_8ad65966.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail35_b0.18_c80_8ad65966.csv,h042core0.58_tail35_b0.18,h042core0.58_tail35_b0.18,2,80,80,0.004202529561726359,0.04305671614590323,0.018919236258290867,0.25965423087007267,-0.00016460326200180326,0.0006781822567149397,-3.6527870755431675e-07,-1.6873286243508638e-05
h043_h042core0.58_tail55_b0.04_c100_b1814614,submission_h043_h042core0.58_tail55_b0.04_c100_b1814614.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail55_b0.04_c100_b1814614.csv,h042core0.58_tail55_b0.04,h042core0.58_tail55_b0.04,2,100,100,0.003947491210583645,0.04305671614590323,0.01780199545559673,0.25965423087007267,-0.0001599044294008538,0.0006738054134912146,1.0592828899566721e-07,-1.651316633515805e-05
h043_h042core0.58_tail55_b0.08_c100_471e7917,submission_h043_h042core0.58_tail55_b0.08_c100_471e7917.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail55_b0.08_c100_471e7917.csv,h042core0.58_tail55_b0.08,h042core0.58_tail55_b0.08,2,100,100,0.004068327891536684,0.04305671614590323,0.01833926935299837,0.25965423087007267,-0.00016149291370048393,0.0006790430166516018,-2.0799118710982263e-07,-1.8004716170895112e-05
h043_h042core0.58_tail55_b0.12_c100_2fa432b5,submission_h043_h042core0.58_tail55_b0.12_c100_2fa432b5.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail55_b0.12_c100_2fa432b5.csv,h042core0.58_tail55_b0.12,h042core0.58_tail55_b0.12,2,100,100,0.004189111003460846,0.04305671614590323,0.01887654325040003,0.25965423087007267,-0.0001630253623276401,0.000681105082369658,-5.011747910763927e-07,-1.9462471496414785e-05
h043_h042core0.58_tail55_b0.18_c100_f6972360,submission_h043_h042core0.58_tail55_b0.18_c100_f6972360.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.58_tail55_b0.18_c100_f6972360.csv,h042core0.58_tail55_b0.18,h042core0.58_tail55_b0.18,2,100,100,0.004370183562225813,0.04305671614590323,0.0196824540965025,0.25965423087007267,-0.00016521904280453894,0.0006831028695082378,-9.02097407438317e-07,-2.1585759279671428e-05
h043_h042core0.66_tail10_b0.04_c55_9e8a9768,submission_h043_h042core0.66_tail10_b0.04_c55_9e8a9768.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail10_b0.04_c55_9e8a9768.csv,h042core0.66_tail10_b0.04,h042core0.66_tail10_b0.04,2,55,55,0.004376870163576594,0.048488496918805524,0.019766076178866394,0.2954686075418076,-0.0001749508403330233,0.0007653233874699676,2.446692168474154e-06,-1.4846959184919842e-05
h043_h042core0.66_tail10_b0.08_c55_5a6c284a,submission_h043_h042core0.66_tail10_b0.08_c55_5a6c284a.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail10_b0.08_c55_5a6c284a.csv,h042core0.66_tail10_b0.08,h042core0.66_tail10_b0.08,2,55,55,0.004403991422663478,0.048488496918805524,0.019886089894959078,0.2954686075418076,-0.00017537524163451456,0.0007690690222068974,2.3047356340312386e-06,-1.5152300726550092e-05
h043_h042core0.66_tail10_b0.12_c55_eaac4f01,submission_h043_h042core0.66_tail10_b0.12_c55_eaac4f01.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail10_b0.12_c55_eaac4f01.csv,h042core0.66_tail10_b0.12,h042core0.66_tail10_b0.12,2,55,55,0.004431086593120368,0.048488496918805524,0.020006103611051766,0.2954686075418076,-0.00017578346366571703,0.0007705024384802673,2.1698194653138966e-06,-1.544927446818891e-05
h043_h042core0.66_tail10_b0.18_c55_012659a6,submission_h043_h042core0.66_tail10_b0.18_c55_012659a6.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail10_b0.18_c55_012659a6.csv,h042core0.66_tail10_b0.18,h042core0.66_tail10_b0.18,2,55,55,0.004471679927533044,0.048488496918805524,0.020186124185190786,0.2954686075418076,-0.00017636550153411277,0.0007708592440514697,1.980628123884532e-06,-1.587906879425039e-05
h043_h042core0.66_tail20_b0.04_c65_81570b51,submission_h043_h042core0.66_tail20_b0.04_c65_81570b51.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail20_b0.04_c65_81570b51.csv,h042core0.66_tail20_b0.04,h042core0.66_tail20_b0.04,2,65,65,0.004407084642427234,0.048488496918805524,0.01989576327005201,0.2954686075418076,-0.00017559341753982705,0.0007638238266998943,2.434092455852774e-06,-1.4894263445993295e-05
