candidate_id,alpha_row207,beta_row135,changed_cells_vs_h136,delta_route_vs_h136,delta_h098_vs_h136,delta_h088_vs_h136,delta_margin_vs_h136,delta_route_vs_h141,delta_h098_vs_h141,delta_h088_vs_h141,delta_margin_vs_h141,route,h098,h088,margin,h102_cum_h088_axis_cos,h102_cum_good_bad_margin,h142_branch_saddle_pass,h142_coactivation_route_barrier,h142_balanced_barrier_probe_pass,h142_branch_saddle_score
h142_a0p65_b1p15_cd728f36,0.65,1.15,5,3.6352218002494874e-06,2.2384304878810208e-06,-0.0022003138358015276,0.0004358214495800983,2.4424248609286256e-06,1.2382603948851018e-06,-0.0007743749402306099,0.00016965885253478197,-0.0007586583757879048,-2.5119597753644313e-05,-0.06433297825507178,0.15987687189787267,-0.06433297825507178,0.15987687189787267,False,False,False,0.044075854766658845
h142_a0p5_b0p8_a69eae32,0.5,0.8,5,3.6188866783094884e-06,1.9214161537341916e-06,-0.002027989847780416,0.0004180640238588551,2.4260897389886266e-06,9.212460607382726e-07,-0.0006020509522094986,0.0001519014268135388,-0.0007586747109098448,-2.5436612087791142e-05,-0.06416065426705067,0.15985911447215143,-0.06416065426705067,0.15985911447215143,False,True,False,0.04378716829671237
h142_a0p8_b0p5_aac5bbb4,0.8,0.5,5,3.623292169631278e-06,1.9075360527656465e-06,-0.0022925574072491448,0.0003041337139185196,2.430495230310416e-06,9.073659597697275e-07,-0.0008666185116782271,3.7971116873203314e-05,-0.000758670305418523,-2.5450492188759687e-05,-0.0644252218265194,0.1597451841622111,-0.0644252218265194,0.1597451841622111,False,True,False,0.04366395121714341
h142_a0p65_b1p0_6a0b33d3,0.65,1.0,5,3.6309806792271873e-06,2.1412439990842755e-06,-0.0021910656627259703,0.0004201885201979283,2.4381837399063255e-06,1.1410739060883565e-06,-0.0007651267671550527,0.000154025923152612,-0.000758662616908927,-2.521678424244106e-05,-0.06432373008199622,0.1598612389684905,-0.06432373008199622,0.1598612389684905,False,False,False,0.043569444047718266
h142_a1p15_b0p65_4417a52f,1.15,0.65,5,3.6425667669565988e-06,2.2152972918141776e-06,-0.0026357992431845986,0.0002334621213731236,2.449769827635737e-06,1.2151271988182586e-06,-0.001209860347613681,-3.27004756721927e-05,-0.0007586510308211976,-2.5142730949711156e-05,-0.06476846366245485,0.1596745125696657,-0.06476846366245485,0.1596745125696657,False,False,False,0.04333946605905557
h142_a1p0_b0p65_764a528c,1.0,0.65,5,3.63612163487622e-06,2.1250506976725793e-06,-0.0024970585898080253,0.0002811198852638308,2.4433246955553583e-06,1.1248806046766603e-06,-0.0010711196942371076,1.4957288218514497e-05,-0.000758657475953278,-2.5232977543852755e-05,-0.06462972300907828,0.1597221703335564,-0.06462972300907828,0.1597221703335564,False,False,False,0.04316425367508971
h142_a0p5_b0p65_eb72dc9a,0.5,0.65,5,3.61464769093006e-06,1.8242299276883134e-06,-0.0020146995635012196,0.0003921171164021353,2.421850751609198e-06,8.240598346923944e-07,-0.000588760667930302,0.000125954519356819,-0.0007586789498972242,-2.553379831383702e-05,-0.06414736398277147,0.1598331675646947,-0.06414736398277147,0.1598331675646947,False,True,False,0.042848821139699046
h142_a0p65_b0p5_5cf1a08b,0.65,0.5,5,3.616850213285531e-06,1.8172898497045538e-06,-0.002147470789871618,0.0003362827944626001,2.4240532739646693e-06,8.171197567086348e-07,-0.0007215318943007004,7.012019741728381e-05,-0.0007586767473748687,-2.554073839182078e-05,-0.06428013520914187,0.15977733324275517,-0.06428013520914187,0.15977733324275517,False,True,False,0.04283523445175675
h142_a0p5_b1p15_ceeb713a,0.5,1.15,5,3.6287812049330855e-06,2.1481844524260914e-06,-0.002052141927129679,0.000461484852993882,2.4359842656122236e-06,1.1480143594301724e-06,-0.0006262030315587613,0.00019532225594856567,-0.0007586648163832212,-2.5209843789099243e-05,-0.06418480634639993,0.15990253530128645,-0.06418480634639993,0.15990253530128645,False,False,False,0.04275737326048294
h142_a0p5_b1p0_2ec5503b,0.5,1.0,5,3.6245400839107853e-06,2.0509979636292378e-06,-0.0020429705867000755,0.00044582026842571176,2.4317431445899235e-06,1.0508278706333187e-06,-0.0006170316911291579,0.00017965767138039546,-0.0007586690575042435,-2.5307030277896096e-05,-0.06417563500597033,0.15988687071671828,-0.06417563500597033,0.15988687071671828,False,False,False,0.04225097544453575
h142_a0p35_b0p8_12dbc3eb,0.35,0.8,5,3.6124474440219975e-06,1.831170285884992e-06,-0.0018772827584919785,0.00043698355125626476,2.4196505047011357e-06,8.310001928890729e-07,-0.0004513438629210609,0.00017082095421094845,-0.0007586811501441322,-2.5526857955640342e-05,-0.06400994717776223,0.15987803399954884,-0.06400994717776223,0.15987803399954884,False,True,False,0.04218787855001508
h142_a0p8_b0p35_6030a368,0.8,0.35,5,3.6190550110886278e-06,1.8103500519345804e-06,-0.0022755912574006845,0.0002695460944864281,2.426258071767766e-06,8.101799589386614e-07,-0.0008496523618297669,3.3834974411117713e-06,-0.0007586745425770656,-2.5547678189590754e-05,-0.06440825567667094,0.159710596542779,-0.06440825567667094,0.159710596542779,False,True,False,0.042149399108905604
h142_a1p15_b0p5_a240d62b,1.15,0.5,5,3.638328693995451e-06,2.1181111783753802e-06,-0.0026204046498551695,0.00020337796657676765,2.4455317546745892e-06,1.1179410853794612e-06,-0.0011944657542842518,-6.278463046854865e-05,-0.0007586552688941588,-2.5239917063149954e-05,-0.06475306906912542,0.15964442841486934,-0.06475306906912542,0.15964442841486934,False,False,False,0.04201061269377616
h142_a1p0_b0p5_1c5a329a,1.0,0.5,5,3.6318835619150724e-06,2.0278645842338903e-06,-0.0024817380115103246,0.0002509640593000573,2.4390866225942106e-06,1.0276944912379713e-06,-0.001055799115939407,-1.5198537745259033e-05,-0.0007586617140262392,-2.5330163657291444e-05,-0.06461440243078058,0.15969201450759263,-0.06461440243078058,0.15969201450759263,False,False,False,0.04183393037325908
h142_a0p65_b0p35_a1b66b52,0.65,0.35,5,3.6126130547433147e-06,1.7201038488735962e-06,-0.002130591863539262,0.00030164413938435497,2.419816115422453e-06,7.199337558776771e-07,-0.0007046529679683444,3.548154233903866e-05,-0.0007586809845334109,-2.5637924392651738e-05,-0.06426325628280952,0.15974269458767693,-0.06426325628280952,0.15974269458767693,False,True,False,0.04132015341299862
h142_a0p35_b0p65_36cbde1e,0.35,0.65,5,3.608208456643003e-06,1.7339840598392222e-06,-0.0018640813634760792,0.0004110096691915255,2.415411517322141e-06,7.338139668433032e-07,-0.00043814246790516154,0.00014484707214620918,-0.0007586853891315112,-2.5624044181686112e-05,-0.06399674578274633,0.1598520601174841,-0.06399674578274633,0.1598520601174841,False,True,False,0.041249893646062144
h142_a0p35_b1p15_c1eb63bc,0.35,1.15,5,3.6223419706458114e-06,2.0579385845768917e-06,-0.0019012416694831821,0.0004804614005644581,2.4295450313249495e-06,1.0577684915809727e-06,-0.0004753027739122645,0.00021429880351914177,-0.0007586712556175084,-2.5300089656948442e-05,-0.06403390608875344,0.15992151184885703,-0.06403390608875344,0.15992151184885703,False,False,False,0.041157238714648624
h142_a0p35_b1p0_cc372dfd,0.35,1.0,5,3.6181008496232944e-06,1.9607520957799296e-06,-0.001892150664671348,0.0004647733998697223,2.4253039103024326e-06,9.605820027840106e-07,-0.0004662117691004303,0.00019861080282440602,-0.000758675496738531,-2.5397276145745404e-05,-0.0640248150839416,0.1599058238481623,-0.0640248150839416,0.1599058238481623,False,False,False,0.04065120295241184
h142_a1p15_b0p35_b22d4c68,1.15,0.35,5,3.6340915354530177e-06,2.0209251775438804e-06,-0.002603252505055574,0.00016895012162854162,2.441294596132156e-06,1.0207550845479614e-06,-0.0011773136094846565,-9.721247541677469e-05,-0.0007586595060527012,-2.5337103063981454e-05,-0.06473591692432583,0.1596100005699211,-0.06473591692432583,0.1596100005699211,False,False,False,0.04049902254269075
h142_a1p0_b0p35_c22ac2ec,1.0,0.35,5,3.627646403372856e-06,1.9306785834026074e-06,-0.0024646625627746596,0.00021646078671189173,2.434849464051994e-06,9.305084904066884e-07,-0.001038723667203742,-4.970181033342458e-05,-0.0007586659511847814,-2.5427349658122727e-05,-0.06459732698204491,0.15965751123500446,-0.06459732698204491,0.15965751123500446,False,False,False,0.04032077526809449
h142_a0p5_b0p35_ea3b6ef0,0.5,0.35,5,3.606172459426696e-06,1.6298578134182331e-06,-0.001982869473790942,0.0003271149750510849,2.413375520105834e-06,6.296877204223141e-07,-0.0005569305782200246,6.095237800576858e-05,-0.0007586874251287275,-2.57281704281071e-05,-0.0641155338930612,0.15976816542334366,-0.0641155338930612,0.15976816542334366,False,True,False,0.04021148225178223
h142_a0p35_b0p5_f3e3dacf,0.35,0.5,5,3.603970383681855e-06,1.6367979464006416e-06,-0.0018491310286313165,0.0003806582210268694,2.4111734443609933e-06,6.366278534047226e-07,-0.0004231921330603988,0.00011449562398155311,-0.0007586896272044724,-2.5721230295124692e-05,-0.06398179544790157,0.15982170866931944,-0.06398179544790157,0.15982170866931944,False,True,False,0.040128081596793715
h142_a0p2_b1p15_e897ccda,0.2,1.15,5,3.6159040973876653e-06,1.9676928843334216e-06,-0.001747630092106038,0.0004927439438848769,2.4231071580668034e-06,9.675227913375026e-07,-0.00032169119653512046,0.00022658134683956055,-0.0007586776934907666,-2.5390335357191912e-05,-0.06388029451137629,0.15993379439217745,-0.06388029451137629,0.15993379439217745,False,False,False,0.03927544922516571
