candidate_id,file,resolved_path,family,route_public,public_rows,public_mode,alpha_public,route_private,private_rows,private_mode,alpha_private,target_group,row_route_score,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,world_cell_delta_vs_h012,posterior_delta_vs_h012,memory_delta_vs_h012,route_delta_vs_h012,row_route_complete_rate,pre_h024_proxy_score
h040_transition_exception_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_8f57e573,submission_h040_transition_exception_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_8f57e573.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_8f57e573.csv,transition_exception,posterior_world,110,all,0.7,h012,0,support,0.0,all,0.00251463654479182,769,110,0.004491149477089741,0.08603670206716796,0.08393609712943956,2.595314649748481,-0.001260685712613043,-0.0015493565805530514,0.01486395010238678,-0.0006674762192771736,1.0,-0.13249449944994499
h040_public_route_posterior_world_p140_all_a0.45_h012_v0_support_b0_all_af7044d2,submission_h040_public_route_posterior_world_p140_all_a0.45_h012_v0_support_b0_all_af7044d2.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p140_all_a0.45_h012_v0_support_b0_all_af7044d2.csv,public_route,posterior_world,140,all,0.45,h012,0,support,0.0,all,0.0025327101441293153,979,140,0.003736873900740228,0.05699698035608014,0.0628234045669642,1.6684165605285113,-0.0011299082662151842,-0.0017802712395218346,0.010141972662129965,-0.000662502288899754,1.0,-0.1277915291529153
h040_transition_exception_world_p80_all_a0.7_h012_v0_support_b0_all_5ba7e19c,submission_h040_transition_exception_world_p80_all_a0.7_h012_v0_support_b0_all_5ba7e19c.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p80_all_a0.7_h012_v0_support_b0_all_5ba7e19c.csv,transition_exception,world,80,all,0.7,h012,0,support,0.0,all,0.0024043208627362615,560,80,0.005019001340397415,0.09801523244461341,0.08448424155979069,4.965785154541477,-0.0013618248965201407,-0.0012688231085792774,0.01454133007111734,-0.0005510437825583613,1.0,-0.11778052805280528
h040_transition_exception_world_p110_all_a0.45_h012_v0_support_b0_all_6501b78d,submission_h040_transition_exception_world_p110_all_a0.45_h012_v0_support_b0_all_6501b78d.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p110_all_a0.45_h012_v0_support_b0_all_6501b78d.csv,transition_exception,world,110,all,0.45,h012,0,support,0.0,all,0.0023409008644860673,770,110,0.004494779817113568,0.06530081712701685,0.06568445729402685,3.192290456492996,-0.0012855412583232205,-0.0012637690040196358,0.010245426450840313,-0.0006156390142003334,1.0,-0.11519526952695269
h040_transition_exception_posterior_world_p140_all_a0.45_h012_v0_support_b0_all_0df1ade8,submission_h040_transition_exception_posterior_world_p140_all_a0.45_h012_v0_support_b0_all_0df1ade8.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p140_all_a0.45_h012_v0_support_b0_all_0df1ade8.csv,transition_exception,posterior_world,140,all,0.45,h012,0,support,0.0,all,0.0022216972339772927,979,140,0.0037080943373894518,0.05699698035608014,0.0615195538832678,1.6684165605285113,-0.0010766630630014201,-0.0014035429719312883,0.010295829663627553,-0.0006109249568821401,1.0,-0.10675192519251925
h040_public_route_posterior_p140_all_a0.7_h012_v0_support_b0_all_44d31553,submission_h040_public_route_posterior_p140_all_a0.7_h012_v0_support_b0_all_44d31553.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_p140_all_a0.7_h012_v0_support_b0_all_44d31553.csv,public_route,posterior,140,all,0.7,h012,0,support,0.0,all,0.0026435210132750224,980,140,0.004683391124221631,0.07640475567865557,0.08996854066264545,2.595314649748481,-0.0009683245541746296,-0.0022070064985252446,0.016052040251758246,-0.0006425689402359341,1.0,-0.10559680968096809
h040_transition_exception_posterior_world_p80_all_a0.7_h012_v0_support_b0_all_b8531039,submission_h040_transition_exception_posterior_world_p80_all_a0.7_h012_v0_support_b0_all_b8531039.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p80_all_a0.7_h012_v0_support_b0_all_b8531039.csv,transition_exception,posterior_world,80,all,0.7,h012,0,support,0.0,all,0.0022118433625024927,560,80,0.0033160851724365796,0.08603670206716796,0.07030250343087482,2.595314649748481,-0.0010592150173539166,-0.0014394429361930222,0.01326599264540164,-0.0005479617464924452,1.0,-0.10226897689768977
h040_uncertain_public_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_b50c5338,submission_h040_uncertain_public_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_b50c5338.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_uncertain_public_posterior_world_p140_all_a0.7_h012_v0_support_b0_all_b50c5338.csv,uncertain_public,posterior_world,140,all,0.7,h012,0,support,0.0,all,0.0021950259058748068,979,140,0.005646094776590764,0.04207679937535591,0.08845679925130993,2.595314649748481,-0.0013369520804053818,-0.0009305803957124789,0.014583715387636337,-0.0006927862730252537,1.0,-0.09723597359735973
h040_public_route_world_p140_support_a0.7_h012_v0_support_b0_all_d24ab400,submission_h040_public_route_world_p140_support_a0.7_h012_v0_support_b0_all_d24ab400.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_support_a0.7_h012_v0_support_b0_all_d24ab400.csv,public_route,world,140,support,0.7,h012,0,support,0.0,all,0.0033704328127854956,758,140,0.006865284319426576,0.09801523244461341,0.10987576817150706,4.965785154541477,-0.0018293333479514338,-0.0019353516847761124,0.0170653788326617,-0.0008239120503469254,0.9642857142857143,-0.09242299229922993
h040_public_route_posterior_world_p110_all_a0.45_h012_v0_support_b0_all_a59013d3,submission_h040_public_route_posterior_world_p110_all_a0.45_h012_v0_support_b0_all_a59013d3.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p110_all_a0.45_h012_v0_support_b0_all_a59013d3.csv,public_route,posterior_world,110,all,0.45,h012,0,support,0.0,all,0.0021213925839433604,770,110,0.0029591734886461746,0.05699698035608014,0.057644601104667736,1.6684165605285113,-0.000992371589487863,-0.0013982124185226658,0.010126779392527423,-0.0005607316896630578,1.0,-0.08802255225522553
h040_public_route_posterior_world_p140_support_a0.7_h012_v0_support_b0_all_074da088,submission_h040_public_route_posterior_world_p140_support_a0.7_h012_v0_support_b0_all_074da088.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p140_support_a0.7_h012_v0_support_b0_all_074da088.csv,public_route,posterior_world,140,support,0.7,h012,0,support,0.0,all,0.0031486650520232812,757,140,0.004753007021269722,0.08603670206716796,0.0926011616380491,2.595314649748481,-0.0014336242974034704,-0.0022045682465027224,0.015884811096086828,-0.0008197141490007367,0.9642857142857143,-0.08397964796479648
h040_transition_exception_world_p80_all_a0.45_h012_v0_support_b0_all_4f7eb7f5,submission_h040_transition_exception_world_p80_all_a0.45_h012_v0_support_b0_all_4f7eb7f5.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p80_all_a0.45_h012_v0_support_b0_all_4f7eb7f5.csv,transition_exception,world,80,all,0.45,h012,0,support,0.0,all,0.002047750451175806,560,80,0.0032531850236356525,0.06530081712701685,0.05431129814559285,3.192290456492996,-0.001070311094478132,-0.0011863186454546177,0.009242092799027312,-0.0005053289486086888,1.0,-0.08158690869086908
h040_transition_exception_posterior_p140_all_a0.7_h012_v0_support_b0_all_a909f2cf,submission_h040_transition_exception_posterior_p140_all_a0.7_h012_v0_support_b0_all_a909f2cf.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_p140_all_a0.7_h012_v0_support_b0_all_a909f2cf.csv,transition_exception,posterior,140,all,0.7,h012,0,support,0.0,all,0.002247177258111631,980,140,0.004553783426132454,0.07640475567865557,0.08754964365774605,2.595314649748481,-0.0009035684586642385,-0.0017218267479781298,0.016179095732137577,-0.0005776856530464309,1.0,-0.08155940594059405
h040_transition_exception_world_p110_support_a0.7_h012_v0_support_b0_all_1a07f23a,submission_h040_transition_exception_world_p110_support_a0.7_h012_v0_support_b0_all_1a07f23a.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p110_support_a0.7_h012_v0_support_b0_all_1a07f23a.csv,transition_exception,world,110,support,0.7,h012,0,support,0.0,all,0.002595294668214686,600,110,0.005427409588764265,0.09801523244461341,0.0946840213061618,4.965785154541477,-0.0014916224080206584,-0.0013318842160414952,0.016024649661903295,-0.0006405173517954954,0.9727272727272728,-0.08106435643564358
h040_public_route_world_p140_all_a0.25_h012_v0_support_b0_all_b0d58aef,submission_h040_public_route_world_p140_all_a0.25_h012_v0_support_b0_all_b0d58aef.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_all_a0.25_h012_v0_support_b0_all_b0d58aef.csv,public_route,world,140,all,0.25,h012,0,support,0.0,all,0.002026164200891224,980,140,0.003164832535553059,0.03723934544830465,0.04265666759664211,1.7734946980516995,-0.0010101535857662644,-0.0012306847393871454,0.0059346980214007965,-0.0005442621380932581,1.0,-0.08043179317931792
h040_public_route_world_p140_support_a0.45_h012_v0_support_b0_all_ce9ecf28,submission_h040_public_route_world_p140_support_a0.45_h012_v0_support_b0_all_ce9ecf28.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p140_support_a0.45_h012_v0_support_b0_all_ce9ecf28.csv,public_route,world,140,support,0.45,h012,0,support,0.0,all,0.0028450556927484385,758,140,0.0044404905119508455,0.06530081712701685,0.0706344223960177,3.192290456492996,-0.0014315909354445516,-0.0017691248921601025,0.010797939030780966,-0.0007455628810278532,0.9642857142857143,-0.07836908690869088
h040_transition_exception_world_p140_support_a0.7_h012_v0_support_b0_all_73b5afaf,submission_h040_transition_exception_world_p140_support_a0.7_h012_v0_support_b0_all_73b5afaf.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p140_support_a0.7_h012_v0_support_b0_all_73b5afaf.csv,transition_exception,world,140,support,0.7,h012,0,support,0.0,all,0.0029764762154810293,749,140,0.006882353382593614,0.09801523244461341,0.10816322658674433,4.965785154541477,-0.0017557223328009287,-0.001468970814121802,0.01732754947745624,-0.0007574056997180036,0.9571428571428572,-0.07424367436743676
h040_transition_exception_posterior_world_p140_support_a0.7_h012_v0_support_b0_all_b0bf71ef,submission_h040_transition_exception_posterior_world_p140_support_a0.7_h012_v0_support_b0_all_b0bf71ef.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p140_support_a0.7_h012_v0_support_b0_all_b0bf71ef.csv,transition_exception,posterior_world,140,support,0.7,h012,0,support,0.0,all,0.002748046423385591,748,140,0.004665225150264171,0.08603670206716796,0.09044485881947031,2.595314649748481,-0.0013653112089901931,-0.0017199252943102758,0.016071554202213317,-0.0007528493780891613,0.9571428571428572,-0.0709708470847085
h040_transition_exception_posterior_world_p110_support_a0.7_h012_v0_support_b0_all_63a97a30,submission_h040_transition_exception_posterior_world_p110_support_a0.7_h012_v0_support_b0_all_63a97a30.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p110_support_a0.7_h012_v0_support_b0_all_63a97a30.csv,transition_exception,posterior_world,110,support,0.7,h012,0,support,0.0,all,0.0024090576217348845,599,110,0.0036809719393001185,0.08603670206716796,0.07996228516822952,2.595314649748481,-0.001164757533678361,-0.0015493565805530514,0.014795405437042166,-0.0006376005155154331,0.9727272727272728,-0.07042079207920793
h040_public_route_world_p110_support_a0.7_h012_v0_support_b0_all_b098fba6,submission_h040_public_route_world_p110_support_a0.7_h012_v0_support_b0_all_b098fba6.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p110_support_a0.7_h012_v0_support_b0_all_b098fba6.csv,public_route,world,110,support,0.7,h012,0,support,0.0,all,0.002830021625866159,607,110,0.005515797088116808,0.09801523244461341,0.100767691414097,4.965785154541477,-0.0016123251704457159,-0.0014859419429144225,0.017058696987308636,-0.0007018822246497293,0.9545454545454546,-0.0686881188118812
h040_uncertain_public_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_c7017f51,submission_h040_uncertain_public_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_c7017f51.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_uncertain_public_posterior_world_p110_all_a0.7_h012_v0_support_b0_all_c7017f51.csv,uncertain_public,posterior_world,110,all,0.7,h012,0,support,0.0,all,0.0019152392353897942,769,110,0.004502456321111658,0.04207679937535591,0.07612185015265163,2.5843121355361163,-0.0011335706055441992,-0.0008554979385287733,0.013381040346064943,-0.0005823798792075701,1.0,-0.06833058305830583
h040_public_route_world_p80_all_a0.7_h012_v0_support_b0_all_5cd15b9f,submission_h040_public_route_world_p80_all_a0.7_h012_v0_support_b0_all_5cd15b9f.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_world_p80_all_a0.7_h012_v0_support_b0_all_5cd15b9f.csv,public_route,world,80,all,0.7,h012,0,support,0.0,all,0.002060645847015615,560,80,0.0047295384846218124,0.05861992834596624,0.09031844217038423,4.965785154541477,-0.0013493338689318144,-0.0007629363941668574,0.015142539790185964,-0.0005416132875013722,1.0,-0.06802805280528053
h040_uncertain_public_world_p140_all_a0.45_h012_v0_support_b0_all_6f677ef1,submission_h040_uncertain_public_world_p140_all_a0.45_h012_v0_support_b0_all_6f677ef1.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_uncertain_public_world_p140_all_a0.45_h012_v0_support_b0_all_6f677ef1.csv,uncertain_public,world,140,all,0.45,h012,0,support,0.0,all,0.0021026835774963686,980,140,0.005782149712450621,0.04177670640317668,0.07149343533213734,3.192290456492996,-0.00139766098131584,-0.0007123464915539233,0.009984421668479286,-0.000647989506681913,1.0,-0.06618536853685368
h040_public_route_posterior_p110_all_a0.7_h012_v0_support_b0_all_5b973abc,submission_h040_public_route_posterior_p110_all_a0.7_h012_v0_support_b0_all_5b973abc.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_p110_all_a0.7_h012_v0_support_b0_all_5b973abc.csv,public_route,posterior,110,all,0.7,h012,0,support,0.0,all,0.002199303743392771,770,110,0.0036832328304597967,0.07640475567865557,0.08305582581633734,2.595314649748481,-0.000867709242222507,-0.0017162526054208063,0.015906204404860923,-0.0005441212305869593,1.0,-0.06538778877887788
h040_public_route_posterior_world_p80_all_a0.7_h012_v0_support_b0_all_4888e69c,submission_h040_public_route_posterior_world_p80_all_a0.7_h012_v0_support_b0_all_4888e69c.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p80_all_a0.7_h012_v0_support_b0_all_4888e69c.csv,public_route,posterior_world,80,all,0.7,h012,0,support,0.0,all,0.0018893583472206837,560,80,0.003210846238001503,0.042244149214227034,0.07657880973658164,2.595314649748481,-0.001051555768579599,-0.0009588015561697129,0.01404087696535946,-0.0005383262685230846,1.0,-0.06475522552255225
h040_uncertain_public_world_p140_all_a0.7_h012_v0_support_b0_all_2c1ec87f,submission_h040_uncertain_public_world_p140_all_a0.7_h012_v0_support_b0_all_2c1ec87f.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_uncertain_public_world_p140_all_a0.7_h012_v0_support_b0_all_2c1ec87f.csv,uncertain_public,world,140,all,0.7,h012,0,support,0.0,all,0.002469436660522757,980,140,0.008953424586558715,0.06286825861065251,0.11121201051660014,4.965785154541477,-0.001788768384251786,-0.0006610365553007066,0.015795799127439943,-0.0006839780613020445,1.0,-0.06283003300330033
h040_transition_exception_world_p80_support_a0.7_h012_v0_support_b0_all_379b5b9b,submission_h040_transition_exception_world_p80_support_a0.7_h012_v0_support_b0_all_379b5b9b.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p80_support_a0.7_h012_v0_support_b0_all_379b5b9b.csv,transition_exception,world,80,support,0.7,h012,0,support,0.0,all,0.0022876390357480696,452,80,0.004009682561046379,0.09801523244461341,0.07949867946380167,4.965785154541477,-0.0012522411234754459,-0.0012688231085792774,0.014463989808884315,-0.0005306515667843735,0.975,-0.05939218921892189
h040_public_route_posterior_world_p110_support_a0.7_h012_v0_support_b0_all_b5b9c941,submission_h040_public_route_posterior_world_p110_support_a0.7_h012_v0_support_b0_all_b5b9c941.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p110_support_a0.7_h012_v0_support_b0_all_b5b9c941.csv,public_route,posterior_world,110,support,0.7,h012,0,support,0.0,all,0.002634427615859784,607,110,0.0038134896233035843,0.08603670206716796,0.08585007885006227,2.595314649748481,-0.0012679983270326104,-0.0017172707991477576,0.01584752357882164,-0.000695358532069979,0.9545454545454546,-0.057907040704070406
h040_transition_exception_world_p140_support_a0.45_h012_v0_support_b0_all_b61d79a6,submission_h040_transition_exception_world_p140_support_a0.45_h012_v0_support_b0_all_b61d79a6.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p140_support_a0.45_h012_v0_support_b0_all_b61d79a6.csv,transition_exception,world,140,support,0.45,h012,0,support,0.0,all,0.002531796872296798,749,140,0.004454568909182323,0.06530081712701685,0.0695335028058129,3.192290456492996,-0.001375315943788272,-0.0013947167900386392,0.010975010961572104,-0.0006933743456479288,0.9571428571428572,-0.05595434543454347
h040_transition_exception_posterior_world_p110_all_a0.45_h012_v0_support_b0_all_15a91144,submission_h040_transition_exception_posterior_world_p110_all_a0.45_h012_v0_support_b0_all_15a91144.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_posterior_world_p110_all_a0.45_h012_v0_support_b0_all_15a91144.csv,transition_exception,posterior_world,110,all,0.45,h012,0,support,0.0,all,0.0019498056987848676,769,110,0.0029040128900640117,0.05699698035608014,0.053958919583235454,1.6684165605285113,-0.0009181028021846973,-0.0012652009110385007,0.009489016654795724,-0.0005172892177005797,1.0,-0.055926842684268424
h040_transition_exception_world_p110_support_a0.45_h012_v0_support_b0_all_1551288a,submission_h040_transition_exception_world_p110_support_a0.45_h012_v0_support_b0_all_1551288a.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p110_support_a0.45_h012_v0_support_b0_all_1551288a.csv,transition_exception,world,110,support,0.45,h012,0,support,0.0,all,0.00221607130184556,600,110,0.0035172020941605505,0.06530081712701685,0.060868299411129353,3.192290456492996,-0.0011704003820769092,-0.0012637690040196358,0.010167504801633483,-0.000585611541350822,0.9727272727272728,-0.0509763476347635
h040_transition_exception_world_p140_all_a0.25_h012_v0_support_b0_all_224fb858,submission_h040_transition_exception_world_p140_all_a0.25_h012_v0_support_b0_all_224fb858.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_transition_exception_world_p140_all_a0.25_h012_v0_support_b0_all_224fb858.csv,transition_exception,world,140,all,0.25,h012,0,support,0.0,all,0.0018245871327520298,980,140,0.003201135887166031,0.03723934544830465,0.04213379650673552,1.7734946980516995,-0.0009737211791685822,-0.0009894427906860614,0.0060635398962873965,-0.0005109125585500303,1.0,-0.050206270627062705
h040_public_route_posterior_world_p140_support_a0.45_h012_v0_support_b0_all_816e57de,submission_h040_public_route_posterior_world_p140_support_a0.45_h012_v0_support_b0_all_816e57de.csv,/Users/kbsoo/Downloads/cl2/hitl/h040_discrete_route_assignment_jepa/submission_h040_public_route_posterior_world_p140_support_a0.45_h012_v0_support_b0_all_816e57de.csv,public_route,posterior_world,140,support,0.45,h012,0,support,0.0,all,0.0024405539228150334,757,140,0.0030730242691851257,0.05699698035608014,0.05952931819593654,1.6684165605285113,-0.0010475879229582537,-0.0017802712395218346,0.010126352039455538,-0.0006345873480989193,0.9642857142857143,-0.0411853685368537
