group_mode,neighbors,weights,threshold,oof_original_cells,oof_original_gain_sum,oof_original_positive_gain_rate,oof_kept_cells,oof_kept_gain_sum,oof_kept_positive_gain_rate,oof_removed_cells,oof_removed_gain_sum,oof_gain_delta,active_subjects,positive_subjects,negative_subjects,min_subject_improvement,mean_predicted_gain,policy_key
target,11,distance,-0.1,44,5.0270437845670415,0.6818181818181818,37,2.866866296879538,0.6216216216216216,7,2.1601774876875024,-2.1601774876875033,7,0,2,-1.8043603745637375,0.1401795941852779,target__knn11__distance__thr-0.10
target,11,distance,-0.05,44,5.0270437845670415,0.6818181818181818,37,2.866866296879538,0.6216216216216216,7,2.1601774876875024,-2.1601774876875033,7,0,2,-1.8043603745637375,0.1401795941852779,target__knn11__distance__thr-0.05
target_expert,5,uniform,0.0,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10005363298376352,target_expert__knn5__uniform__thr0.00
target_expert,5,distance,0.0,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.1014006085873096,target_expert__knn5__distance__thr0.00
target_expert,7,uniform,0.0,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10588243966132777,target_expert__knn7__uniform__thr0.00
target_expert,7,distance,0.0,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10473591150296287,target_expert__knn7__distance__thr0.00
target_expert,7,distance,0.05,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10473591150296287,target_expert__knn7__distance__thr0.05
target_expert,11,uniform,0.0,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10862711494470716,target_expert__knn11__uniform__thr0.00
target_expert,11,uniform,0.05,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10862711494470716,target_expert__knn11__uniform__thr0.05
target_expert,11,distance,0.0,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10617707019050265,target_expert__knn11__distance__thr0.00
target_expert,11,distance,0.05,44,5.0270437845670415,0.6818181818181818,28,2.826949992284527,0.6785714285714286,16,2.200093792282514,-2.2000937922825146,6,2,3,-1.6151685060162564,0.10617707019050265,target_expert__knn11__distance__thr0.05
target_family,1,uniform,0.0,44,5.0270437845670415,0.6818181818181818,28,2.7708041142606903,0.6785714285714286,16,2.2562396703063508,-2.256239670306351,6,1,5,-1.2357867021353437,0.12114676255240338,target_family__knn1__uniform__thr0.00
target_family,1,uniform,0.05,44,5.0270437845670415,0.6818181818181818,28,2.7708041142606903,0.6785714285714286,16,2.2562396703063508,-2.256239670306351,6,1,5,-1.2357867021353437,0.12114676255240338,target_family__knn1__uniform__thr0.05
target_family,1,uniform,0.1,44,5.0270437845670415,0.6818181818181818,28,2.7708041142606903,0.6785714285714286,16,2.2562396703063508,-2.256239670306351,6,1,5,-1.2357867021353437,0.12114676255240338,target_family__knn1__uniform__thr0.10
target_family,1,distance,0.0,44,5.0270437845670415,0.6818181818181818,28,2.7708041142606903,0.6785714285714286,16,2.2562396703063508,-2.256239670306351,6,1,5,-1.2357867021353437,0.12114676255240338,target_family__knn1__distance__thr0.00
target_family,1,distance,0.05,44,5.0270437845670415,0.6818181818181818,28,2.7708041142606903,0.6785714285714286,16,2.2562396703063508,-2.256239670306351,6,1,5,-1.2357867021353437,0.12114676255240338,target_family__knn1__distance__thr0.05
target_family,1,distance,0.1,44,5.0270437845670415,0.6818181818181818,28,2.7708041142606903,0.6785714285714286,16,2.2562396703063508,-2.256239670306351,6,1,5,-1.2357867021353437,0.12114676255240338,target_family__knn1__distance__thr0.10
target_expert,3,uniform,0.0,44,5.0270437845670415,0.6818181818181818,27,2.52873366642623,0.6666666666666666,17,2.498310118140811,-2.4983101181408114,6,2,3,-1.6151685060162564,0.11287161146016614,target_expert__knn3__uniform__thr0.00
target_expert,3,distance,0.0,44,5.0270437845670415,0.6818181818181818,27,2.52873366642623,0.6666666666666666,17,2.498310118140811,-2.4983101181408114,6,2,3,-1.6151685060162564,0.11346807272157804,target_expert__knn3__distance__thr0.00
target_expert,11,uniform,0.1,44,5.0270437845670415,0.6818181818181818,27,2.52873366642623,0.6666666666666666,17,2.498310118140811,-2.4983101181408114,6,2,3,-1.6151685060162564,0.10862711494470716,target_expert__knn11__uniform__thr0.10
target_expert,11,distance,0.1,44,5.0270437845670415,0.6818181818181818,27,2.52873366642623,0.6666666666666666,17,2.498310118140811,-2.4983101181408114,6,2,3,-1.6151685060162564,0.10617707019050265,target_expert__knn11__distance__thr0.10
target_expert,5,uniform,0.05,44,5.0270437845670415,0.6818181818181818,27,2.494288999243461,0.6666666666666666,17,2.53275478532358,-2.5327547853235806,6,2,3,-1.6151685060162564,0.10005363298376352,target_expert__knn5__uniform__thr0.05
target_expert,5,distance,0.05,44,5.0270437845670415,0.6818181818181818,27,2.494288999243461,0.6666666666666666,17,2.53275478532358,-2.5327547853235806,6,2,3,-1.6151685060162564,0.1014006085873096,target_expert__knn5__distance__thr0.05
target_expert,7,uniform,0.05,44,5.0270437845670415,0.6818181818181818,27,2.4616907509722923,0.6666666666666666,17,2.5653530335947483,-2.565353033594749,6,2,3,-1.6151685060162564,0.10588243966132777,target_expert__knn7__uniform__thr0.05
target_expert,3,uniform,0.05,44,5.0270437845670415,0.6818181818181818,26,2.196072673385164,0.6538461538461539,18,2.830971111181877,-2.8309711111818774,6,2,3,-1.6151685060162564,0.11287161146016614,target_expert__knn3__uniform__thr0.05
target_expert,3,distance,0.05,44,5.0270437845670415,0.6818181818181818,26,2.196072673385164,0.6538461538461539,18,2.830971111181877,-2.8309711111818774,6,2,3,-1.6151685060162564,0.11346807272157804,target_expert__knn3__distance__thr0.05
target_expert,5,uniform,0.1,44,5.0270437845670415,0.6818181818181818,26,2.196072673385164,0.6538461538461539,18,2.830971111181877,-2.8309711111818774,6,2,3,-1.6151685060162564,0.10005363298376352,target_expert__knn5__uniform__thr0.10
target_expert,5,distance,0.1,44,5.0270437845670415,0.6818181818181818,26,2.196072673385164,0.6538461538461539,18,2.830971111181877,-2.8309711111818774,6,2,3,-1.6151685060162564,0.1014006085873096,target_expert__knn5__distance__thr0.10
target_expert,7,uniform,0.1,44,5.0270437845670415,0.6818181818181818,26,2.1634744251139955,0.6538461538461539,18,2.863569359453045,-2.863569359453046,6,2,3,-1.6151685060162564,0.10588243966132777,target_expert__knn7__uniform__thr0.10
target_expert,7,distance,0.1,44,5.0270437845670415,0.6818181818181818,26,2.1634744251139955,0.6538461538461539,18,2.863569359453045,-2.863569359453046,6,2,3,-1.6151685060162564,0.10473591150296287,target_expert__knn7__distance__thr0.10
target,5,uniform,-0.05,44,5.0270437845670415,0.6818181818181818,34,1.9273618061124314,0.6176470588235294,10,3.0996819784546097,-3.09968197845461,6,1,3,-1.630085647676664,0.12994516311954482,target__knn5__uniform__thr-0.05
target,5,distance,-0.05,44,5.0270437845670415,0.6818181818181818,34,1.9273618061124314,0.6176470588235294,10,3.0996819784546097,-3.09968197845461,6,1,3,-1.630085647676664,0.12731081736550617,target__knn5__distance__thr-0.05
target_expert,3,distance,0.1,44,5.0270437845670415,0.6818181818181818,25,1.784321960863224,0.64,19,3.242721823703817,-3.2427218237038176,6,2,3,-1.6151685060162564,0.11346807272157804,target_expert__knn3__distance__thr0.10
