q_source,row_prior,subset_size,label_mode,best_mae,median_mae,best_spearman,n_particles
h017joint,h030_score_public_row_subset,190,sample,0.0004301212339175499,0.0016205983825485124,0.9804511278181984,36
h017joint,h013_body_calendar,230,sample,0.00043031092283599256,0.00145132174557336,0.9593984962392801,36
h017joint,h030_score_public_row_subset,230,temperature_sample,0.00043129930471057763,0.0017743670084863375,0.9323308270663853,24
h012,uniform,125,temperature_sample,0.00043151726737243005,0.005213802758528058,0.9458646616528327,24
joint_hard_mid,h030_score_joint_vector_row,155,sample,0.0004320423897220912,0.0017481181463154618,0.9639097744347627,36
h012posterior,h013_calendar_pay_weekend,230,sample,0.00043242920760781583,0.0015914122167227903,0.9744360902242218,36
h012posterior,h030_score_identity_combo,230,temperature_sample,0.00043297306381009633,0.0024965595324106227,0.9368421052618676,24
h018hard,h013_calendar_pay_weekend,230,temperature_sample,0.0004330639400377266,0.0029614381325771986,0.9744360902242218,24
h020vector,h035_private_safe_score,155,sample,0.0004331235668812687,0.0021076716340065783,0.9458646616528326,36
h012posterior,h035_score_public_row_subset,190,sample,0.00043312942572789676,0.0017302320149563764,0.9684210526302452,36
h015feedback,h035_score_public_row_subset,125,sample,0.0004332852472802661,0.0025303791653987218,0.9518796992468094,36
h020vector,h030_score_memory_public_combo,190,temperature_sample,0.00043435163757068914,0.0022215193885476475,0.9428571428558443,24
posterior_vector_mid,h035_score_public_row_subset,190,sample,0.0004348157285966753,0.00186981593688564,0.9699248120287395,36
joint_hard_mid,h013_calendar_pay_weekend,230,sample,0.000435144778492978,0.0015997648995166272,0.9714285714272335,36
h015feedback,h035_score_public_row_subset,230,sample,0.0004352239614444058,0.0014554610083721076,0.9819548872166927,36
h018hard,h013_body_calendar,230,temperature_sample,0.00043578262565443224,0.003445590147365848,0.9563909774422916,24
h020vector,h030_score_joint_vector_row,190,sample,0.00043628151886101666,0.001718072294082616,0.9669172932317511,36
h012,h030_score_joint_vector_row,230,temperature_sample,0.00043665832394595126,0.004934793338085666,0.9714285714272335,24
h015feedback,h019_row_weight,230,sample,0.0004368572712187439,0.0019410799542748096,0.9654135338332569,36
h012posterior,h035_score_public_row_subset,230,sample,0.00043887243536940414,0.0014557147565802842,0.9654135338332568,36
h015feedback,h013_calendar_pay_weekend,190,sample,0.00043951336685710464,0.0015550203846366889,0.9744360902242218,36
h012,h019_row_weight,155,sample,0.0004403851203622144,0.003962888567863036,0.9593984962392802,36
h012posterior,h013_calendar_pay_weekend,230,temperature_sample,0.00044137444670957766,0.002840814495201874,0.9278195488709027,24
h012posterior,h035_route_translator_score,190,temperature_sample,0.00044316413601595654,0.0028468955392612003,0.9338345864648794,24
h012posterior,h019_row_score,230,sample,0.00044357331166072826,0.0018439475115617355,0.9684210526302452,36
h020vector,h035_score_public_row_subset,155,sample,0.0004448537052670386,0.001626707817285052,0.9473684210513268,36
h017joint,h019_row_weight,230,temperature_sample,0.00044487184216647897,0.0020008578493818175,0.94135338345735,24
joint_hard_mid,h030_score_no_h012_combo,230,temperature_sample,0.0004450079627853143,0.002128510296121504,0.9308270676678909,24
h020vector,h019_mean_abs_logit_move_to_proxy,230,sample,0.0004451002028201674,0.0011482781417283244,0.9548872180437976,36
posterior_vector_mid,h030_score_identity_combo,230,temperature_sample,0.00044537811777956785,0.0018930884278337441,0.9593984962392802,24
h020vector,h030_score_identity_combo,125,sample,0.00044575965296157587,0.002004646046521309,0.9473684210513267,36
