fold,source,target,loss
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
2,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
2,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
2,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,0.5859653017422919
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
2,best_plus_mobility_constriction__absolute__c0.1_b0.2,S4,
2,db_prebed__deviation__c0.1_b0.2,Q1,0.6710763844220573
2,db_prebed__deviation__c0.1_b0.2,Q2,
2,db_prebed__deviation__c0.1_b0.2,Q3,
2,db_prebed__deviation__c0.1_b0.2,S1,
2,db_prebed__deviation__c0.1_b0.2,S2,
2,db_prebed__deviation__c0.1_b0.2,S3,
2,db_prebed__deviation__c0.1_b0.2,S4,
3,best__absolute_plus_deviation__c0.3_b0.2,Q1,
3,best__absolute_plus_deviation__c0.3_b0.2,Q2,
3,best__absolute_plus_deviation__c0.3_b0.2,Q3,
3,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5866456755747026
3,best__absolute_plus_deviation__c0.3_b0.2,S2,
3,best__absolute_plus_deviation__c0.3_b0.2,S3,0.5328035721536187
3,best__absolute_plus_deviation__c0.3_b0.2,S4,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
3,routine_regularity__deviation__c0.1_b0.2,Q1,
3,routine_regularity__deviation__c0.1_b0.2,Q2,
3,routine_regularity__deviation__c0.1_b0.2,Q3,
3,routine_regularity__deviation__c0.1_b0.2,S1,
3,routine_regularity__deviation__c0.1_b0.2,S2,
3,routine_regularity__deviation__c0.1_b0.2,S3,
3,routine_regularity__deviation__c0.1_b0.2,S4,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
3,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
3,ef_recovery_slope__deviation__c0.3_b0.2,Q2,
3,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
3,ef_recovery_slope__deviation__c0.3_b0.2,S1,
3,ef_recovery_slope__deviation__c0.3_b0.2,S2,
3,ef_recovery_slope__deviation__c0.3_b0.2,S3,
3,ef_recovery_slope__deviation__c0.3_b0.2,S4,
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q1,
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q2,
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q3,
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S1,
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S2,0.5412706023053292
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S3,
3,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S4,
3,db_prebed__deviation__c0.3_b0.2,Q1,
3,db_prebed__deviation__c0.3_b0.2,Q2,
3,db_prebed__deviation__c0.3_b0.2,Q3,
3,db_prebed__deviation__c0.3_b0.2,S1,
3,db_prebed__deviation__c0.3_b0.2,S2,
3,db_prebed__deviation__c0.3_b0.2,S3,
3,db_prebed__deviation__c0.3_b0.2,S4,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,0.7507255064728415
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,0.6369668595205068
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,0.6608343969253802
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
3,best_plus_mobility_constriction__absolute__c0.1_b0.2,S4,
