held_fold,target,rank,source,source_family,selector_loss,held_loss
1,S1,4,best__deviation__c0.3_b0.2,best_late_fusion,0.5753212947086876,0.5600679852928967
1,S1,5,best__absolute_plus_deviation__c0.03_b0.2,best_late_fusion,0.5753213801475513,0.5577025966852159
1,S2,1,best_plus_routine_digital__absolute__c0.3_b0.1,routine_digital,0.57115127413767,0.5739600698656799
1,S2,2,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.1,routine_digital,0.5715283564790975,0.5739230679014262
1,S2,3,best_plus_routine_digital__absolute_plus_deviation__c0.3_b0.1,routine_digital,0.5717623444141715,0.5782292954356122
1,S2,4,best_plus_routine_digital__deviation__c0.3_b0.1,routine_digital,0.5717930016860754,0.5763485664058338
1,S2,5,best_plus_routine_digital__absolute__c0.1_b0.1,routine_digital,0.5718036221240911,0.5734983974728761
1,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5374680051668604,0.4757292551240594
1,S3,2,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5407725582187567,0.4838918268516036
1,S3,3,best__absolute_plus_deviation__c0.3_b0.05,best_late_fusion,0.5431319100531465,0.4887430392059224
1,S3,4,best__deviation__c0.3_b0.2,best_late_fusion,0.5437788592575875,0.4892711241137413
1,S3,5,best__deviation__c0.3_b0.1,best_late_fusion,0.5438075941343788,0.4905554168458357
1,S4,1,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.6380156575638214,0.6715881401487505
1,S4,2,best_plus_routine_digital__deviation__c0.03_b0.1,routine_digital,0.6381417269078264,0.6545993706064656
1,S4,3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.6381512286617883,0.6636272252405176
1,S4,4,best_plus_routine_digital__deviation__c0.03_b0.05,routine_digital,0.6381725678905852,0.6668286684899317
1,S4,5,best__absolute_plus_deviation__c0.1_b0.1,best_late_fusion,0.6382289307645285,0.6709860041144513
2,Q1,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6605152194650576,0.67545111303191
2,Q1,2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6625160318069288,0.6825657236344062
2,Q1,3,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.663038101896783,0.6808117130431095
2,Q1,4,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.6631127246082504,0.6774321960676261
2,Q1,5,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6645911719051808,0.6759145904033058
2,Q2,1,best__absolute__c0.03_b0.2,best_late_fusion,0.70797310982932,0.6482717103321152
2,Q2,2,best__absolute__c0.1_b0.2,best_late_fusion,0.7079914795400352,0.6464897803534424
2,Q2,3,best__absolute__c0.3_b0.2,best_late_fusion,0.7082188060448507,0.6459046622403256
2,Q2,4,best__deviation__c0.03_b0.2,best_late_fusion,0.7086185961781367,0.6479066633278877
2,Q2,5,best__deviation__c0.1_b0.2,best_late_fusion,0.7109091810287211,0.644654913802731
2,Q3,1,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6609659757171844,0.7058456296904729
2,Q3,2,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6626068701749399,0.6960627220006014
2,Q3,3,best__absolute__c0.3_b0.2,best_late_fusion,0.6640532646756154,0.7005345017771023
2,Q3,4,best_plus_routine_digital__deviation__c0.03_b0.1,routine_digital,0.6640858777006877,0.7045623032689102
2,Q3,5,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.6641563396072344,0.7123575211191485
2,S1,1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5686585880480443,0.5590770136228731
2,S1,2,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5688436414722762,0.5618909873480009
2,S1,3,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.1,routine_digital,0.5696945239613693,0.5665841518960967
2,S1,4,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.5699872527121227,0.5577878460811966
2,S1,5,best_plus_routine_digital__absolute__c0.3_b0.1,routine_digital,0.5700784403767412,0.5639103104867036
2,S2,1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5784376796590002,0.5275194000866306
2,S2,2,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.5788946812391773,0.5376631399433556
2,S2,3,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.5789279060736625,0.5355776815912634
2,S2,4,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,0.5792842229874658,0.5356094966900539
2,S2,5,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.5796531990877098,0.5272536802571333
2,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5265472200273725,0.519412395682011
2,S3,2,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5312068319944774,0.5221547317487207
2,S3,3,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5332030266992751,0.5256152495103769
2,S3,4,best__absolute_plus_deviation__c0.3_b0.05,best_late_fusion,0.5343596092107898,0.5238322425753494
2,S3,5,best__absolute_plus_deviation__c0.1_b0.1,best_late_fusion,0.5346446006605979,0.5252470706012443
2,S4,1,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6475911973118181,0.6047166964436442
2,S4,2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6500472886992286,0.6019997730319457
2,S4,3,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.6504993646193526,0.6036659164483467
2,S4,4,best_plus_routine_digital__deviation__c0.03_b0.1,routine_digital,0.6512284672846245,0.6022524090992732
2,S4,5,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6519562874409063,0.607640214613622
3,Q1,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6589099302659593,0.6818722698283031
3,Q1,2,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.6606235251778477,0.6873889937892369
3,Q1,3,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6623721829179307,0.6831411191903984
3,Q1,4,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,0.6628098299390239,0.6924871528653918
3,Q1,5,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6634666581641975,0.6804126453672392
3,Q2,1,best__absolute__c0.1_b0.2,best_late_fusion,0.682967968114196,0.7465838260567991
3,Q2,2,best__absolute__c0.3_b0.2,best_late_fusion,0.6832030739652268,0.7459675905588208
3,Q2,3,best__absolute__c0.03_b0.2,best_late_fusion,0.6833319752464725,0.7468362486635053
3,Q2,4,best__absolute_plus_deviation__c0.03_b0.2,best_late_fusion,0.6850715969718069,0.7536271717166958
3,Q2,5,best__absolute__c0.3_b0.1,best_late_fusion,0.685179108133575,0.7549600920774642
3,Q3,1,best__deviation__c0.3_b0.2,best_late_fusion,0.6719118456433799,0.6660327950084107
