held_fold,target,selected_source,source_family,raw_best_source,raw_best_selector_loss,train_base_loss,selector_loss,selection_action,held_loss,base_loss,delta_vs_base
3,Q2,best__absolute__c0.1_b0.2,best_late_fusion,best__absolute__c0.1_b0.2,0.682967968114196,0.6866298015156377,0.682967968114196,switch,0.7465838260567991,0.7619456737896239,-0.015361847732824785
3,Q3,best__deviation__c0.3_b0.2,best_late_fusion,best__deviation__c0.3_b0.2,0.6719118456433799,0.6751867890778018,0.6719118456433799,switch,0.6660327950084107,0.6686971372379973,-0.002664342229586558
3,S1,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.3_b0.2,0.5601496536292936,0.5669579045881455,0.5601496536292936,switch,0.5983181409976772,0.5866456755747026,0.01167246542297462
3,S2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,0.5745373289753702,0.5865710489801774,0.5745373289753702,switch,0.5431208028211503,0.545294080730821,-0.002173277909670701
3,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5231994259094707,0.5231994259094707,0.5231994259094707,base,0.5328035721536187,0.5328035721536187,0.0
3,S4,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.03_b0.2,0.6376733842653535,0.6435396027353252,0.6376733842653535,switch,0.6443879486295029,0.6420737289463703,0.0023142196831326123
4,Q1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.6645705020121364,0.6710429822008572,0.6645705020121364,switch,0.6592299828435948,0.6617366600645,-0.0025066772209052512
4,Q2,best__deviation__c0.03_b0.2,best_late_fusion,best__deviation__c0.03_b0.2,0.7006460113744124,0.7087666453920428,0.7006460113744124,switch,0.6797970025427851,0.6733982982840032,0.006398704258781862
4,Q3,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.6826682536456772,0.6883369680715584,0.6826682536456772,switch,0.6158171881176524,0.6160964212629707,-0.0002792331453183028
4,S1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,0.5583052162608685,0.5640614367730471,0.5583052162608685,switch,0.6004905007715761,0.5982315468350962,0.0022589539364799016
4,S2,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.03_b0.2,0.5665537696170415,0.5768027305945124,0.5665537696170415,switch,0.5796513981398063,0.5843673542734815,-0.004715956133675259
4,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.5312763392846667,0.5312763392846667,0.5312763392846667,base,0.5004959186528348,0.5004959186528348,0.0
4,S4,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.03_b0.2,0.6289560140307128,0.6343539701105175,0.6289560140307128,switch,0.6792574295680657,0.6788162594456009,0.0004411701224648068
5,Q1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.6612588795579718,0.6668127220618751,0.6612588795579718,switch,0.6724764726602533,0.6786577006204288,-0.006181227960175506
5,Q2,best__absolute__c0.3_b0.2,best_late_fusion,best__absolute__c0.3_b0.2,0.695999452559501,0.7021852586357112,0.695999452559501,switch,0.6947820761817243,0.6997238453093294,-0.004941769127605133
5,Q3,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute__c0.03_b0.2,0.662593536993061,0.6668877121683834,0.662593536993061,switch,0.6961160547281168,0.7018934448756707,-0.005777390147553962
5,S1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,0.5698065757801862,0.5786738828862444,0.5698065757801862,switch,0.5544850626943053,0.5397817623823069,0.014703300311998402
5,S2,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.1_b0.2,0.54872745789342,0.5634659018585553,0.54872745789342,switch,0.6530576499588849,0.6377146692173097,0.015342980741575252
5,S3,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,best__absolute_plus_deviation__c0.3_b0.2,0.507110285403131,0.507110285403131,0.507110285403131,base,0.5971601341789773,0.5971601341789773,0.0
5,S4,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,best_plus_routine_digital__deviation__c0.03_b0.2,0.6407159991850727,0.6450462130680763,0.6407159991850727,switch,0.6322174889506258,0.6360472876153658,-0.0038297986647399807
