row,subject_id,sleep_date,h055_gain,h055_aux,h036_score,h036_agree,h021_score,h021_conf,h020_score,h019_row_score,h019_inclusion_prob,h055_gain_rank,h055_aux_rank,h036_score_rank,h036_agree_rank,h021_score_rank,h021_conf_rank,h020_score_rank,h019_row_score_rank,route_consensus
164,id07,2024-07-26,0.006602423983511629,0.48783333333333334,0.5907249130766298,0.6666666666666666,0.5524922982178578,0.4347462529940505,0.6513866666666667,0.7361599999999999,0.5381777030378773,0.5555555555555556,0.3333333333333333,0.35555555555555557,0.45555555555555555,0.7777777777777778,0.5111111111111111,0.8888888888888888,0.5777777777777777,0.5623015873015873
235,id10,2024-08-18,0.013521741189358505,0.5200714285714286,0.3292334765853664,0.5,0.5177243781203258,0.1868466525063908,0.7343657142857145,0.842,0.6342864920006089,0.8444444444444444,0.4222222222222222,0.044444444444444446,0.24444444444444444,0.5777777777777777,0.08888888888888889,0.9777777777777777,0.8444444444444444,0.5404761904761904
167,id07,2024-08-15,0.0078082564460417725,0.4816,0.5150315335633219,0.8333333333333334,0.5094637764483696,0.259474120337086,0.5876876190476191,0.50544,0.4685952732817373,0.6888888888888889,0.28888888888888886,0.2222222222222222,0.7222222222222222,0.5333333333333333,0.26666666666666666,0.7555555555555555,0.3333333333333333,0.5345238095238095
93,id04,2024-09-27,0.011506925387016642,0.5531571428571429,2.242636906221443,0.6666666666666666,0.43237081303348684,0.2343283508817199,0.47705904761904766,0.34064,0.409563062250366,0.7777777777777778,0.5777777777777777,0.7111111111111111,0.45555555555555555,0.17777777777777778,0.17777777777777778,0.4222222222222222,0.15555555555555556,0.5222222222222224
44,id02,2024-09-30,0.0049141201851864574,0.5641714285714285,1.4734298698108141,1.0,0.5065582273068264,0.517502565105561,0.3991123809523809,0.43504,0.468931101412237,0.35555555555555557,0.6666666666666666,0.6222222222222222,0.9333333333333333,0.4888888888888889,0.6888888888888889,0.2,0.26666666666666666,0.49880952380952387
10,id01,2024-08-13,0.006173446926664827,0.541747619047619,0.6719679107221718,1.0,0.4595120819819261,0.2893604099096309,0.4783428571428572,0.4844,0.481334883953699,0.4666666666666667,0.5333333333333333,0.4444444444444444,0.9333333333333333,0.26666666666666666,0.28888888888888886,0.4444444444444444,0.28888888888888886,0.47976190476190467
216,id09,2024-09-07,0.0064089123428524575,0.5320523809523809,0.36270762608606627,1.0,0.4539522552568617,0.39332699057002257,0.5107961904761905,0.77528,0.5415729467623228,0.4888888888888889,0.4666666666666667,0.08888888888888889,0.9333333333333333,0.2,0.4444444444444444,0.4666666666666667,0.6666666666666666,0.4579365079365079
152,id07,2024-07-14,0.008018841501820917,0.592252380952381,0.39029173758620844,0.3333333333333333,0.48609387964591555,0.3770179696581492,0.5256609523809525,0.7807200000000001,0.5161687383873468,0.7111111111111111,0.7333333333333333,0.13333333333333333,0.08888888888888889,0.35555555555555557,0.35555555555555557,0.5777777777777777,0.6888888888888889,0.4329365079365079
194,id08,2024-09-09,0.00482570996460302,0.5623714285714286,0.4105249858463476,1.0,0.5097058887516089,0.3363875389961399,0.5138514285714285,0.61608,0.5268464367432528,0.3111111111111111,0.6222222222222222,0.15555555555555556,0.9333333333333333,0.5555555555555556,0.3333333333333333,0.4888888888888889,0.4444444444444444,0.42698412698412697
174,id07,2024-08-25,0.006942115742522348,0.42808095238095234,0.3671899292854934,0.3333333333333333,0.520000780441582,0.4587591403031482,0.5955161904761905,0.49032,0.5633464434036206,0.5777777777777777,0.13333333333333333,0.1111111111111111,0.08888888888888889,0.6222222222222222,0.5777777777777777,0.7777777777777778,0.3111111111111111,0.42142857142857143
98,id04,2024-10-19,0.005688065270668008,0.48186190476190466,0.8451286319350138,0.6666666666666666,0.38514941892679166,0.1570785232053871,0.5250590476190475,0.65024,0.5100732908800619,0.4444444444444444,0.3111111111111111,0.4888888888888889,0.45555555555555555,0.06666666666666667,0.06666666666666667,0.5555555555555556,0.4888888888888889,0.41190476190476194
168,id07,2024-08-16,0.004888866886683385,0.5332857142857144,0.45123356929476904,0.5,0.5196858926141227,0.49020184402299366,0.5194133333333334,0.80624,0.5362446489443322,0.3333333333333333,0.4888888888888889,0.17777777777777778,0.24444444444444444,0.6,0.6666666666666666,0.5111111111111111,0.7555555555555555,0.3976190476190477
203,id09,2024-08-08,0.007615353059679364,0.4383714285714286,0.14250363262203566,0.3333333333333333,0.4864574363065895,0.1534290862948524,0.5968152380952382,0.65296,0.5225303176506877,0.6444444444444445,0.17777777777777778,0.022222222222222223,0.08888888888888889,0.37777777777777777,0.044444444444444446,0.8,0.5111111111111111,0.3837301587301588
0,id01,2024-07-31,0.004823069347743347,0.4614952380952381,0.5663933066671107,0.8333333333333334,0.4575633429579709,0.2469224290755688,0.5227466666666667,0.57024,0.4835026266544198,0.28888888888888886,0.24444444444444444,0.28888888888888886,0.7222222222222222,0.24444444444444444,0.2222222222222222,0.5333333333333333,0.4,0.38253968253968257
61,id03,2024-08-19,0.001071446896015419,0.428447619047619,3.5199597043527446,0.6666666666666666,0.4220778942848315,0.48973994761463385,0.352087619047619,0.67712,0.6004643488369027,0.06666666666666667,0.15555555555555556,0.8444444444444444,0.45555555555555555,0.08888888888888889,0.6444444444444445,0.13333333333333333,0.5333333333333333,0.3682539682539683
56,id02,2024-10-14,0.003629068470425212,0.49989999999999996,1.282499841351787,0.6666666666666666,0.49266604026840216,0.6351606775324865,0.35673142857142853,0.2084,0.4453876703632592,0.17777777777777778,0.37777777777777777,0.5555555555555556,0.45555555555555555,0.4666666666666667,0.9555555555555556,0.15555555555555556,0.1111111111111111,0.3642857142857143
