family,candidate_id,file,path,weight,score_rank,score,route_basis_pred_delta_vs_h057,model_pred_delta_vs_h057,selected_cells,changed_rows_vs_h057,h109_source_weight
h105,h105_broad_coeff_transport_c180_s58_7971b5d7,submission_h105_broad_coeff_transport_c180_s58_7971b5d7.csv,/Users/kbsoo/Downloads/cl2/hitl/h105_signed_route_coefficient_solver_hsjepa/submission_h105_broad_coeff_transport_c180_s58_7971b5d7.csv,1.0321395840000003,0.25,1.2924733438597171,-0.0021606809218956,-6.943593686160323e-05,20,5,1.0321395840000003
h106,h106_broad_conflict_consensus_c96_a065_f315d99a,submission_h106_broad_conflict_consensus_c96_a065_f315d99a.csv,/Users/kbsoo/Downloads/cl2/hitl/h106_route_consensus_kernel_expansion_hsjepa/submission_h106_broad_conflict_consensus_c96_a065_f315d99a.csv,1.5732000000000002,1.0,1.340160350389289,-0.0007959506073688,-3.9827492627161486e-05,48,22,1.5732000000000002
h106,h106_objective_consensus_q2zero_c88_a070_9be1339a,submission_h106_objective_consensus_q2zero_c88_a070_9be1339a.csv,/Users/kbsoo/Downloads/cl2/hitl/h106_route_consensus_kernel_expansion_hsjepa/submission_h106_objective_consensus_q2zero_c88_a070_9be1339a.csv,1.3566,0.75,1.2593673675447077,-0.0008883803939873,-3.951157735521593e-05,46,27,1.3566
h106,h106_kernel_seed_expand_c44_a090_64df3d49,submission_h106_kernel_seed_expand_c44_a090_64df3d49.csv,/Users/kbsoo/Downloads/cl2/hitl/h106_route_consensus_kernel_expansion_hsjepa/submission_h106_kernel_seed_expand_c44_a090_64df3d49.csv,1.1400000000000001,0.5,1.1007896232557852,-0.0010559261432963,-1.488130635478801e-05,19,7,1.1400000000000001
h106,h106_strict_conflict_core_c24_a100_f6acb108,submission_h106_strict_conflict_core_c24_a100_f6acb108.csv,/Users/kbsoo/Downloads/cl2/hitl/h106_route_consensus_kernel_expansion_hsjepa/submission_h106_strict_conflict_core_c24_a100_f6acb108.csv,0.9197064000000001,0.25,1.0550534211937497,-0.0010957046581039,-1.7736958152536988e-05,23,8,0.9197064000000001
h107,h107_strict_antitoxic_core_c44_a045_a0ea1eec,submission_h107_strict_antitoxic_core_c44_a045_a0ea1eec.csv,/Users/kbsoo/Downloads/cl2/hitl/h107_h088_antipode_toxicity_solver_hsjepa/submission_h107_strict_antitoxic_core_c44_a045_a0ea1eec.csv,1.281744,1.0,0.7457610555774151,-7.853618908431205e-05,3.5050360314229636e-06,26,19,1.281744
h107,h107_kernel_antipode_transfer_c64_a050_d46c942f,submission_h107_kernel_antipode_transfer_c64_a050_d46c942f.csv,/Users/kbsoo/Downloads/cl2/hitl/h107_h088_antipode_toxicity_solver_hsjepa/submission_h107_kernel_antipode_transfer_c64_a050_d46c942f.csv,1.105272,0.75,0.7372031262266848,-0.0001146402673952,3.660018430227995e-06,15,8,1.105272
h107,h107_broad_antipode_shadow_c140_a030_8dfc1f63,submission_h107_broad_antipode_shadow_c140_a030_8dfc1f63.csv,/Users/kbsoo/Downloads/cl2/hitl/h107_h088_antipode_toxicity_solver_hsjepa/submission_h107_broad_antipode_shadow_c140_a030_8dfc1f63.csv,0.9116000000000001,0.5,0.7313738253425219,6.735943001232177e-05,-2.466840396368828e-06,50,23,0.9116000000000001
h107,h107_objective_antipode_c96_a042_a91647e7,submission_h107_objective_antipode_c96_a042_a91647e7.csv,/Users/kbsoo/Downloads/cl2/hitl/h107_h088_antipode_toxicity_solver_hsjepa/submission_h107_objective_antipode_c96_a042_a91647e7.csv,0.6966,0.25,0.7290819798825529,2.2589467605401824e-05,2.568925798861069e-06,38,20,0.6966
h108,h108_strict_intersection_c48_a085_610a26a0,submission_h108_jury_610a26a0_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_h108_jury_610a26a0_uploadsafe.csv,1.72,1.0,0.92730369,-0.001528316,-5.0438e-05,47,27,1.72
h109,h109_kernel_coeff_focus_c48_t7_54147083,submission_h109_coeff_54147083_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_h109_coeff_54147083_uploadsafe.csv,1.38,1.0,1.086708443,-0.001861699,1.5065e-05,4,2,1.38
