cells,rows,mean_mixture_score,mean_agreement_score,mean_conflict_score,mean_mode_confidence,mean_action_health,sum_predicted_scalar_delta,sum_predicted_bad_delta,sum_predicted_residual_delta,sum_predicted_total_mode_delta,mean_energy_delta,mean_subject_delta,supported_rate,bad_tangent_cosine,variant
12.0,12.0,0.7155044571570176,1.0,0.06122389692696369,0.5547647474109888,0.5181841424189224,-1.8247813145749257,-0.3978502874203825,-0.19053470547289944,-0.5883849928932818,0.003722441101224041,0.0005733346198005415,0.75,-0.0068363575524713225,mixture_consensus_jackpot
12.0,12.0,0.7094811591344737,1.0,0.05641530146879816,0.5351255069958685,0.5038715958294487,-2.0343975427591183,-0.4156899551655593,-0.16353486804750014,-0.5792248232130593,0.007414935646317511,0.001048039953365009,0.8333333333333334,-0.00640617132609306,mixture_consensus_jackpot
12.0,12.0,0.7205633286388023,1.0,0.0659395658177418,0.5218699993125541,0.5207457383438793,-2.647575755831225,-0.38759024509631546,-0.2007012165741235,-0.588291461670439,0.005218144606725678,0.0012433442398087243,0.9166666666666666,-0.007121759992469929,mixture_consensus_jackpot
12.0,12.0,0.7086346612287255,1.0,0.06598664530194258,0.5235929682855475,0.5106585485402043,-1.5161354716216189,-0.34983220887935196,-0.2038456690147188,-0.5536778778940707,0.0020522162352304973,0.0014610570498696926,0.75,-0.006515469162475789,mixture_consensus_jackpot
12.0,11.0,0.7036795001056039,1.0,0.06728207135427919,0.5146674128147483,0.5140057403702217,-2.3993283467488253,-0.36022683201723854,-0.21281482934704132,-0.5730416613642797,0.0039355623990744255,0.0008061042125932207,0.8333333333333334,-0.007195325427006235,mixture_consensus_jackpot
12.0,12.0,0.7152782919083301,1.0,0.06964753657296391,0.5333658951674739,0.5230503411988169,-2.1191211357958766,-0.3460328507705304,-0.20607670821000046,-0.5521095589805308,0.0017142867099467034,0.0013470408737581725,0.8333333333333334,-0.00756697883101839,mixture_consensus_jackpot
12.0,12.0,0.710529119863171,1.0,0.0699257177532966,0.5249667027710039,0.5125724821932519,-2.236166059911438,-0.32844974408413224,-0.21304033670626243,-0.5414900807903948,0.003833750305680996,0.0015027888701598685,0.8333333333333334,-0.007407150957636338,mixture_consensus_jackpot
12.0,12.0,0.7160050131249318,1.0,0.07409036158018596,0.514870851137053,0.5298384920779696,-2.28776893835074,-0.3414314752043116,-0.22912534198326046,-0.570556817187572,0.0027154776740420292,0.0010216835145158332,0.8333333333333334,-0.006789294802421091,mixture_consensus_jackpot
12.0,12.0,0.7193647124600981,1.0,0.06835934255539212,0.5330723967193127,0.5375670335999317,-2.5468756224324727,-0.3793167167736677,-0.23146150253862546,-0.6107782193122931,0.004661354177880855,0.0010285118063109375,0.8333333333333334,-0.00702687935531881,mixture_consensus_jackpot
12.0,12.0,0.7091804416633063,1.0,0.07127928980221447,0.5392657156704171,0.5314629096812972,-2.3674258061483346,-0.36306972473744165,-0.2214458080498449,-0.5845155327872865,0.005514117442943463,0.0007056851494737822,0.8333333333333334,-0.007207080292574685,mixture_consensus_jackpot
