bundle,target,split,mode,rep,null_delta
q2_anchor_home,Q2,subject5,row,4,0.011923331156870609
q2_anchor_home,Q2,subject5,subject,0,0.008558238132190588
q2_anchor_home,Q2,subject5,subject,1,0.011701611554631453
q2_anchor_home,Q2,subject5,subject,2,0.009272806618334961
q2_anchor_home,Q2,subject5,subject,3,0.017488174112479715
q2_anchor_home,Q2,subject5,subject,4,0.011453992413476555
q2_anchor_home,Q2,subject5,dateblock,0,0.024848527316923996
q2_anchor_home,Q2,subject5,dateblock,1,0.016749046916922583
q2_anchor_home,Q2,subject5,dateblock,2,0.015200136923769314
q2_anchor_home,Q2,subject5,dateblock,3,0.013105701290620941
q2_anchor_home,Q2,subject5,dateblock,4,0.016649986132887706
q2_anchor_home,Q2,dateblock5,row,0,0.009785548603005179
q2_anchor_home,Q2,dateblock5,row,1,0.013534921902053187
q2_anchor_home,Q2,dateblock5,row,2,0.00402412804870933
q2_anchor_home,Q2,dateblock5,row,3,0.009566890470460887
q2_anchor_home,Q2,dateblock5,row,4,0.009961120315935768
q2_anchor_home,Q2,dateblock5,subject,0,0.00801001141400659
q2_anchor_home,Q2,dateblock5,subject,1,0.001220549043133179
q2_anchor_home,Q2,dateblock5,subject,2,0.009780381910151181
q2_anchor_home,Q2,dateblock5,subject,3,0.00789103158185056
q2_anchor_home,Q2,dateblock5,subject,4,0.01564017656096872
q2_anchor_home,Q2,dateblock5,dateblock,0,0.006551800387435969
q2_anchor_home,Q2,dateblock5,dateblock,1,0.00023344716144613198
q2_anchor_home,Q2,dateblock5,dateblock,2,0.002820346328947454
q2_anchor_home,Q2,dateblock5,dateblock,3,0.0014180683198361521
q2_anchor_home,Q2,dateblock5,dateblock,4,0.004871071541474037
q3_badnight,Q3,subject5,row,0,-0.011793039378347525
q3_badnight,Q3,subject5,row,1,-0.003263839699650606
q3_badnight,Q3,subject5,row,2,-0.010076079281224781
q3_badnight,Q3,subject5,row,3,-0.009840028778265508
q3_badnight,Q3,subject5,row,4,-0.00735144322839465
q3_badnight,Q3,subject5,subject,0,-0.00901653462172669
q3_badnight,Q3,subject5,subject,1,-0.009329106734598858
q3_badnight,Q3,subject5,subject,2,-0.008648455626110496
q3_badnight,Q3,subject5,subject,3,-0.006729962792962674
q3_badnight,Q3,subject5,subject,4,-0.009006736239354662
q3_badnight,Q3,subject5,dateblock,0,-0.009561736129256704
q3_badnight,Q3,subject5,dateblock,1,-0.012101474971447979
q3_badnight,Q3,subject5,dateblock,2,-0.00851824989059946
q3_badnight,Q3,subject5,dateblock,3,-0.008152327463508469
q3_badnight,Q3,subject5,dateblock,4,-0.0015084362798658546
q3_badnight,Q3,dateblock5,row,0,0.003591796434377237
q3_badnight,Q3,dateblock5,row,1,-0.002610447660390869
q3_badnight,Q3,dateblock5,row,2,-0.0005733027715147943
q3_badnight,Q3,dateblock5,row,3,-0.000757785512374709
q3_badnight,Q3,dateblock5,row,4,0.000597434024219301
q3_badnight,Q3,dateblock5,subject,0,-0.00965321613180048
q3_badnight,Q3,dateblock5,subject,1,-0.0026156235000308614
q3_badnight,Q3,dateblock5,subject,2,-0.007093410796668365
q3_badnight,Q3,dateblock5,subject,3,-0.0012728830874648711
q3_badnight,Q3,dateblock5,subject,4,-0.0012245111812654308
q3_badnight,Q3,dateblock5,dateblock,0,-0.0038700307220468355
q3_badnight,Q3,dateblock5,dateblock,1,0.003406230879844596
q3_badnight,Q3,dateblock5,dateblock,2,-0.004442132318792313
q3_badnight,Q3,dateblock5,dateblock,3,-0.0030636759789142154
q3_badnight,Q3,dateblock5,dateblock,4,-0.004076605579489856
s2_anchor_badnight,S2,subject5,row,0,0.033179941355432785
s2_anchor_badnight,S2,subject5,row,1,0.03501834468127929
s2_anchor_badnight,S2,subject5,row,2,0.03157943450075196
s2_anchor_badnight,S2,subject5,row,3,0.026933314884470594
s2_anchor_badnight,S2,subject5,row,4,0.03087450268873304
s2_anchor_badnight,S2,subject5,subject,0,0.022742864501944293
s2_anchor_badnight,S2,subject5,subject,1,0.03123305365255702
s2_anchor_badnight,S2,subject5,subject,2,0.03015427635722323
s2_anchor_badnight,S2,subject5,subject,3,0.03264664406916784
s2_anchor_badnight,S2,subject5,subject,4,0.02789368710271589
s2_anchor_badnight,S2,subject5,dateblock,0,0.03683946956625683
s2_anchor_badnight,S2,subject5,dateblock,1,0.044192050727229426
s2_anchor_badnight,S2,subject5,dateblock,2,0.024604168195824228
s2_anchor_badnight,S2,subject5,dateblock,3,0.03071386619783778
s2_anchor_badnight,S2,subject5,dateblock,4,0.030962404371200125
s2_anchor_badnight,S2,dateblock5,row,0,0.021758249477447533
s2_anchor_badnight,S2,dateblock5,row,1,0.021667603997980067
s2_anchor_badnight,S2,dateblock5,row,2,0.02045985050042909
s2_anchor_badnight,S2,dateblock5,row,3,0.019498585764641474
s2_anchor_badnight,S2,dateblock5,row,4,0.018467391542308365
s2_anchor_badnight,S2,dateblock5,subject,0,0.02016807626741679
s2_anchor_badnight,S2,dateblock5,subject,1,0.0158750555121151
s2_anchor_badnight,S2,dateblock5,subject,2,0.021508378802153838
s2_anchor_badnight,S2,dateblock5,subject,3,0.01930888548504084
s2_anchor_badnight,S2,dateblock5,subject,4,0.0170118340123272
s2_anchor_badnight,S2,dateblock5,dateblock,0,0.01992379417784229
s2_anchor_badnight,S2,dateblock5,dateblock,1,0.024527321479655972
s2_anchor_badnight,S2,dateblock5,dateblock,2,0.021165291582608936
s2_anchor_badnight,S2,dateblock5,dateblock,3,0.018885100848636815
s2_anchor_badnight,S2,dateblock5,dateblock,4,0.021075451110007526
s4_home_commute,S4,subject5,row,0,0.011757692313500101
s4_home_commute,S4,subject5,row,1,0.008787295305509035
s4_home_commute,S4,subject5,row,2,0.010041465661458693
s4_home_commute,S4,subject5,row,3,0.01087575365137916
s4_home_commute,S4,subject5,row,4,0.00563666424522391
s4_home_commute,S4,subject5,subject,0,0.009474756128990625
s4_home_commute,S4,subject5,subject,1,0.012055021301541013
s4_home_commute,S4,subject5,subject,2,0.005064945259298903
s4_home_commute,S4,subject5,subject,3,0.012135252254143247
s4_home_commute,S4,subject5,subject,4,0.007776844562898622
s4_home_commute,S4,subject5,dateblock,0,0.009718859359794219
s4_home_commute,S4,subject5,dateblock,1,0.013432863498569758
s4_home_commute,S4,subject5,dateblock,2,0.01730412946993487
s4_home_commute,S4,subject5,dateblock,3,0.011267648700481137
s4_home_commute,S4,subject5,dateblock,4,0.006215125840674851
s4_home_commute,S4,dateblock5,row,0,0.01760286699684288
s4_home_commute,S4,dateblock5,row,1,0.02313173881081909
s4_home_commute,S4,dateblock5,row,2,0.017256310834468658
s4_home_commute,S4,dateblock5,row,3,0.02229900167106713
s4_home_commute,S4,dateblock5,row,4,0.01686325772132813
s4_home_commute,S4,dateblock5,subject,0,0.019834879165402497
s4_home_commute,S4,dateblock5,subject,1,0.01959648591926655
s4_home_commute,S4,dateblock5,subject,2,0.02264741356122435
s4_home_commute,S4,dateblock5,subject,3,0.019426773883054582
s4_home_commute,S4,dateblock5,subject,4,0.018903542893236813
s4_home_commute,S4,dateblock5,dateblock,0,0.013855773124063164
s4_home_commute,S4,dateblock5,dateblock,1,0.021121594678004896
s4_home_commute,S4,dateblock5,dateblock,2,0.017583557216799273
s4_home_commute,S4,dateblock5,dateblock,3,0.021247398617375013
s4_home_commute,S4,dateblock5,dateblock,4,0.022288611385415158
s1_fragment_arousal,S1,subject5,row,0,0.005829841661669222
s1_fragment_arousal,S1,subject5,row,1,0.0133527482583784
s1_fragment_arousal,S1,subject5,row,2,0.01299241290474551
s1_fragment_arousal,S1,subject5,row,3,0.013753489771049732
s1_fragment_arousal,S1,subject5,row,4,0.006334565841984996
s1_fragment_arousal,S1,subject5,subject,0,0.0025650317908813003
s1_fragment_arousal,S1,subject5,subject,1,0.01105124089635734
s1_fragment_arousal,S1,subject5,subject,2,0.00017905263266104754
s1_fragment_arousal,S1,subject5,subject,3,0.011052138354803898
s1_fragment_arousal,S1,subject5,subject,4,0.009147616019871352
s1_fragment_arousal,S1,subject5,dateblock,0,0.01540478768317266
s1_fragment_arousal,S1,subject5,dateblock,1,0.02614214081870536
s1_fragment_arousal,S1,subject5,dateblock,2,0.013659797518037142
s1_fragment_arousal,S1,subject5,dateblock,3,0.014878470807635602
s1_fragment_arousal,S1,subject5,dateblock,4,0.010033230064853349
s1_fragment_arousal,S1,dateblock5,row,0,-0.003025213963888995
s1_fragment_arousal,S1,dateblock5,row,1,-0.001006228749748872
s1_fragment_arousal,S1,dateblock5,row,2,0.01330272083875872
s1_fragment_arousal,S1,dateblock5,row,3,-0.0013662906141970188
s1_fragment_arousal,S1,dateblock5,row,4,0.0031346245900988334
s1_fragment_arousal,S1,dateblock5,subject,0,0.002313482758645735
s1_fragment_arousal,S1,dateblock5,subject,1,-0.001997367421523566
s1_fragment_arousal,S1,dateblock5,subject,2,0.007560209352023839
s1_fragment_arousal,S1,dateblock5,subject,3,0.0021802564504628252
s1_fragment_arousal,S1,dateblock5,subject,4,0.010380090191115077
s1_fragment_arousal,S1,dateblock5,dateblock,0,-0.0010851492682719677
s1_fragment_arousal,S1,dateblock5,dateblock,1,0.004028287051576873
s1_fragment_arousal,S1,dateblock5,dateblock,2,0.0001264259039966964
s1_fragment_arousal,S1,dateblock5,dateblock,3,-0.0017660537430456147
s1_fragment_arousal,S1,dateblock5,dateblock,4,0.008353099438240141
