candidate_id,family,alpha,target_subset,cell_mode,k,agree_threshold,file,basename,changed_rows,changed_cells,h010_axis_coeff,h010_axis_cos,h010_axis_public_delta_linear,mean_abs_logit_delta,l1_logit_delta,max_abs_logit_delta,max_abs_prob_delta,mean_agreement_on_changed,max_agreement_on_changed,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4
rowbottom_all_k80_a1,row_bottom,1.0,all,row_bottom_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k80_a1_a271efdf.csv,submission_h011_rowbottom_all_k80_a1_a271efdf.csv,80,160,-0.04898609736982511,-0.22132803114331992,-9.860255273921532e-05,0.003652193772779204,6.391339102363607,0.13537700428314003,0.0316383523879985,0.09375,1.0,0,0,0,80,0,0,80
rowtop_all_k80_a1.5,row_top,1.5,all,row_top_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k80_a1.5_cae0d304.csv,submission_h011_rowtop_all_k80_a1.5_cae0d304.csv,80,160,-1.0489330185754189,-0.8362348229116994,-0.002111363812127178,0.024545660653623038,42.95490614384032,0.6344925607362604,0.1443537663260704,0.0875,1.0,0,0,0,80,0,0,80
rowbottom_all_k80_a1.5,row_bottom,1.5,all,row_bottom_abs,80,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k80_a1.5_cb32d8cf.csv,submission_h011_rowbottom_all_k80_a1.5_cb32d8cf.csv,80,160,-0.07347914605473792,-0.22132803114335525,-0.0001479038291088235,0.005478290659168828,9.58700865354545,0.20306550642471,0.04704648112053811,0.09375,1.0,0,0,0,80,0,0,80
rowtop_all_k120_a0.5,row_top,0.5,all,row_top_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k120_a0.5_11852cb0.csv,submission_h011_rowtop_all_k120_a0.5_11852cb0.csv,120,240,-0.41728958723936777,-0.9135530496245682,-0.0008399488986162943,0.010744258925194818,18.80245311909093,0.2114975202454188,0.05060331569952098,0.1,1.0,0,0,0,120,0,0,120
rowbottom_all_k120_a0.5,row_bottom,0.5,all,row_bottom_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k120_a0.5_5bcfddd9.csv,submission_h011_rowbottom_all_k120_a0.5_5bcfddd9.csv,120,240,-0.06874812876665849,-0.3708048779791875,-0.00013838091532909986,0.003705242535842287,6.484174437724002,0.09268336915672766,0.02316363317462894,0.0875,1.0,0,0,0,120,0,0,120
rowtop_all_k120_a1,row_top,1.0,all,row_top_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k120_a1_872b5596.csv,submission_h011_rowtop_all_k120_a1_872b5596.csv,120,240,-0.8345791744787355,-0.9135530496246741,-0.0016798977972325886,0.021488517850389646,37.60490623818188,0.42299504049083847,0.09899599878567311,0.1,1.0,0,0,0,120,0,0,120
rowbottom_all_k120_a1,row_bottom,1.0,all,row_bottom_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k120_a1_befdeab2.csv,submission_h011_rowbottom_all_k120_a1_befdeab2.csv,120,240,-0.1374962575333171,-0.3708048779792934,-0.00027676183065819993,0.007410485071684565,12.968348875447989,0.1853667383134548,0.04625302860321129,0.0875,1.0,0,0,0,120,0,0,120
rowtop_all_k120_a1.5,row_top,1.5,all,row_top_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k120_a1.5_b072a4db.csv,submission_h011_rowtop_all_k120_a1.5_b072a4db.csv,120,240,-1.2518687617181037,-0.9135530496247096,-0.002519846695848884,0.032232776775584476,56.40735935727284,0.6344925607362604,0.1443537663260704,0.1,1.0,0,0,0,120,0,0,120
rowbottom_all_k120_a1.5,row_bottom,1.5,all,row_bottom_abs,120,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k120_a1.5_39d485a2.csv,submission_h011_rowbottom_all_k120_a1.5_39d485a2.csv,120,240,-0.20624438629997582,-0.37080487797932865,-0.00041514274598730027,0.011115727607526866,19.452523313172016,0.27805010747018183,0.06917019810152775,0.0875,1.0,0,0,0,120,0,0,120
rowtop_all_k180_a0.5,row_top,0.5,all,row_top_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k180_a0.5_7d8e996f.csv,submission_h011_rowtop_all_k180_a0.5_7d8e996f.csv,180,360,-0.48260369464569597,-0.9824496879184074,-0.0009714175818944667,0.013550489637080452,23.71335686489079,0.2114975202454188,0.05060331569952098,0.09166666666666666,1.0,0,0,0,180,0,0,180
rowbottom_all_k180_a0.5,row_bottom,0.5,all,row_bottom_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k180_a0.5_b6ec518f.csv,submission_h011_rowbottom_all_k180_a0.5_b6ec518f.csv,180,360,-0.17136990559016457,-0.5854398442026998,-0.0003449450162624555,0.007557615379324754,13.22582691381832,0.11913219280160531,0.02977207565075285,0.09722222222222222,1.0,0,0,0,180,0,0,180
rowtop_all_k180_a1,row_top,1.0,all,row_top_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k180_a1_19240868.csv,submission_h011_rowtop_all_k180_a1_19240868.csv,180,360,-0.9652073892913919,-0.9824496879185133,-0.0019428351637889333,0.0271009792741609,47.426713729781575,0.42299504049083847,0.09899599878567311,0.09166666666666666,1.0,0,0,0,180,0,0,180
rowbottom_all_k180_a1,row_bottom,1.0,all,row_bottom_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k180_a1_b937a65a.csv,submission_h011_rowbottom_all_k180_a1_b937a65a.csv,180,360,-0.34273981118032926,-0.5854398442028056,-0.0006898900325249113,0.0151152307586495,26.451653827636623,0.23826438560321048,0.059408761657250064,0.09722222222222222,1.0,0,0,0,180,0,0,180
rowtop_all_k180_a1.5,row_top,1.5,all,row_top_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowtop_all_k180_a1.5_10a8893c.csv,submission_h011_rowtop_all_k180_a1.5_10a8893c.csv,180,360,-1.4478110839370881,-0.9824496879185486,-0.0029142527456834004,0.04065146891124136,71.14007059467238,0.6344925607362604,0.1443537663260704,0.09166666666666666,1.0,0,0,0,180,0,0,180
rowbottom_all_k180_a1.5,row_bottom,1.5,all,row_bottom_abs,180,0.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_rowbottom_all_k180_a1.5_caff8d61.csv,submission_h011_rowbottom_all_k180_a1.5_caff8d61.csv,180,360,-0.5141097167704941,-0.5854398442028409,-0.0010348350487873674,0.02267284613797427,39.67748074145497,0.35739657840481603,0.08870332440086864,0.09722222222222222,1.0,0,0,0,180,0,0,180
badagree_all_ge1_a0.5,bad_agree,0.5,all,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_all_ge1_a0.5_82ef3e24.csv,submission_h011_badagree_all_ge1_a0.5_82ef3e24.csv,47,47,-0.0391062708591082,-0.27966505272932773,-7.871576512225885e-05,0.0012136242311045964,2.1238424044330437,0.16977870721961008,0.035519608977823136,1.0,1.0,0,0,0,43,0,0,4
badagree_all_ge1_a1,bad_agree,1.0,all,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_all_ge1_a1_7a8b5f91.csv,submission_h011_badagree_all_ge1_a1_7a8b5f91.csv,47,47,-0.0782125417182162,-0.2796650527294337,-0.00015743153024451732,0.0024272484622091914,4.247684808866085,0.3395574144392194,0.07332098979525048,1.0,1.0,0,0,0,43,0,0,4
badagree_all_ge1_a1.5,bad_agree,1.5,all,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_all_ge1_a1.5_401854da.csv,submission_h011_badagree_all_ge1_a1.5_401854da.csv,47,47,-0.11731881257732443,-0.27966505272946907,-0.00023614729536677623,0.0036408726933137925,6.371527213299137,0.5093361216588298,0.1130384670983815,1.0,1.0,0,0,0,43,0,0,4
badagree_S1_ge1_a0.5,bad_agree,0.5,S1,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_S1_ge1_a0.5_fbf99de0.csv,submission_h011_badagree_S1_ge1_a0.5_fbf99de0.csv,43,43,-0.03183814556069486,-0.2523416159124027,-6.408598756227959e-05,0.001041626019327667,1.822845533823417,0.16977870721961008,0.035519608977823136,1.0,1.0,0,0,0,43,0,0,0
badagree_S1_ge1_a1,bad_agree,1.0,S1,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_S1_ge1_a1_81f00f41.csv,submission_h011_badagree_S1_ge1_a1_81f00f41.csv,43,43,-0.06367629112138953,-0.25234161591250864,-0.00012817197512455882,0.0020832520386553327,3.645691067646832,0.3395574144392194,0.07332098979525048,1.0,1.0,0,0,0,43,0,0,0
badagree_S1_ge1_a1.5,bad_agree,1.5,S1,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_S1_ge1_a1.5_679b50a5.csv,submission_h011_badagree_S1_ge1_a1.5_679b50a5.csv,43,43,-0.09551443668208438,-0.252341615912544,-0.00019225796268683838,0.003124878057983003,5.468536601470255,0.5093361216588298,0.1130384670983815,1.0,1.0,0,0,0,43,0,0,0
badagree_S4_ge1_a0.5,bad_agree,0.5,S4,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_S4_ge1_a0.5_3c83ca14.csv,submission_h011_badagree_S4_ge1_a0.5_3c83ca14.csv,4,4,-0.007268125298413343,-0.12056637423749465,-1.4629777559979265e-05,0.00017199821177692984,0.3009968706096272,0.1347511384177985,0.02836962168313789,1.0,1.0,0,0,0,0,0,0,4
badagree_S4_ge1_a1,bad_agree,1.0,S4,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_S4_ge1_a1_f412d817.csv,submission_h011_badagree_S4_ge1_a1_f412d817.csv,4,4,-0.014536250596826677,-0.12056637423760057,-2.9259555119958514e-05,0.00034399642355385936,0.6019937412192539,0.26950227683559747,0.05818104008581382,1.0,1.0,0,0,0,0,0,0,4
badagree_S4_ge1_a1.5,bad_agree,1.5,S4,bad_agree,0,1.0,hitl/h011_h010_public_inversion_jackpot/submission_h011_badagree_S4_ge1_a1.5_8ec69972.csv,submission_h011_badagree_S4_ge1_a1.5_8ec69972.csv,4,4,-0.02180437589524003,-0.12056637423763583,-4.3889332679937796e-05,0.0005159946353307892,0.9029906118288811,0.4042534152533964,0.0892571010227356,1.0,1.0,0,0,0,0,0,0,4
