loo_mae,loo_p90_abs,loo_spearman,loo_pearson,known_fit_mae,uniform_prior_mae,weight_eff_n,weight_max_over_uniform,weight_top50_mass,weight_top200_mass,q_mean,q_std,q_prior_abs_move,w_prior_l1_move,q_mean_Q1,w_mass_Q1,q_mean_Q2,w_mass_Q2,q_mean_Q3,w_mass_Q3,q_mean_S1,w_mass_S1,q_mean_S2,w_mass_S2,q_mean_S3,w_mass_S3,q_mean_S4,w_mass_S4,q_prior_name,w_prior_name,ridge_mult,cap_mult,config_score
0.0018093490730879554,0.0019379226227354191,0.9729323308270676,0.9802340102058286,0.0018913653813780323,0.0012235873900171834,1582.6128107166198,1.7624681312833625,0.04948932950683864,0.19034974687943543,0.6051447026206916,0.23553370820042727,0.011540506775694754,0.004118534906995624,0.49481206607350336,0.14680154364728346,0.5540468370566308,0.1498157308879971,0.6054477282985015,0.15330280775449306,0.6734252143465783,0.13410901472256398,0.6534320403526765,0.1315994998828359,0.6799134776304899,0.12484642058145778,0.574935554586461,0.15952498252336877,h015_public_posterior,h016_gain_rank,0.0001,0.0,0.002215995142305645
0.0018010789129019405,0.0019963630713594137,0.9729323308270676,0.9929966773367337,0.001790041357882985,0.0033274394280808986,1747.3971056543085,1.7368437862189878,0.03604480769880855,0.12758349509490174,0.5982048086840804,0.22208767551984188,0.005906300369483783,0.002609554457808146,0.4918814460192037,0.14270620009336515,0.5485574591407057,0.14119829171055576,0.6070954816146398,0.14142206625847467,0.6591687339874792,0.1453574049382197,0.6414786885818625,0.14494430674930628,0.6718731542369719,0.1405579290492398,0.5673786972077005,0.1438138012008387,h012_current,h016_median_weight,0.0003,8.0,0.0022223350942756287
0.0018010789129019405,0.0019963630713594137,0.9729323308270676,0.9929966773367337,0.001790041357882985,0.0033274394280808986,1747.3971056543085,1.7368437862189878,0.03604480769880855,0.12758349509490174,0.5982048086840804,0.22208767551984188,0.005906300369483783,0.002609554457808146,0.4918814460192037,0.14270620009336515,0.5485574591407057,0.14119829171055576,0.6070954816146398,0.14142206625847467,0.6591687339874792,0.1453574049382197,0.6414786885818625,0.14494430674930628,0.6718731542369719,0.1405579290492398,0.5673786972077005,0.1438138012008387,h012_current,h016_median_weight,0.0003,12.0,0.0022223350942756287
0.0018010789129019405,0.0019963630713594137,0.9729323308270676,0.9929966773367337,0.001790041357882985,0.0033274394280808986,1747.3971056543085,1.7368437862189878,0.03604480769880855,0.12758349509490174,0.5982048086840804,0.22208767551984188,0.005906300369483783,0.002609554457808146,0.4918814460192037,0.14270620009336515,0.5485574591407057,0.14119829171055576,0.6070954816146398,0.14142206625847467,0.6591687339874792,0.1453574049382197,0.6414786885818625,0.14494430674930628,0.6718731542369719,0.1405579290492398,0.5673786972077005,0.1438138012008387,h012_current,h016_median_weight,0.0003,25.0,0.0022223350942756287
0.0018010789129019405,0.0019963630713594137,0.9729323308270676,0.9929966773367337,0.001790041357882985,0.0033274394280808986,1747.3971056543085,1.7368437862189878,0.03604480769880855,0.12758349509490174,0.5982048086840804,0.22208767551984188,0.005906300369483783,0.002609554457808146,0.4918814460192037,0.14270620009336515,0.5485574591407057,0.14119829171055576,0.6070954816146398,0.14142206625847467,0.6591687339874792,0.1453574049382197,0.6414786885818625,0.14494430674930628,0.6718731542369719,0.1405579290492398,0.5673786972077005,0.1438138012008387,h012_current,h016_median_weight,0.0003,50.0,0.0022223350942756287
0.0018010789129019405,0.0019963630713594137,0.9729323308270676,0.9929966773367337,0.001790041357882985,0.0033274394280808986,1747.3971056543085,1.7368437862189878,0.03604480769880855,0.12758349509490174,0.5982048086840804,0.22208767551984188,0.005906300369483783,0.002609554457808146,0.4918814460192037,0.14270620009336515,0.5485574591407057,0.14119829171055576,0.6070954816146398,0.14142206625847467,0.6591687339874792,0.1453574049382197,0.6414786885818625,0.14494430674930628,0.6718731542369719,0.1405579290492398,0.5673786972077005,0.1438138012008387,h012_current,h016_median_weight,0.0003,0.0,0.0022223350942756287
0.001855911057202643,0.0019511212699446223,1.0,0.9976739339679677,0.0018569347657120816,0.0020262804628911903,1749.9992623852902,1.001995934701588,0.028608703223196367,0.11439253003768458,0.5997711174533806,0.22594308424380083,0.0008489328307379971,0.0004911147308938819,0.4935384058978255,0.14288796670332388,0.5503488119762198,0.1428875738870442,0.6078900878880045,0.14287906359435537,0.66199853228448,0.14282703711452244,0.6429417346066588,0.14283080612917892,0.6728384306756002,0.14281361675549165,0.5688418188448747,0.14287393581608349,h016_candidate,uniform,0.03,8.0,0.002263691374688798
0.001855911057202643,0.0019511212699446223,1.0,0.9976739339679677,0.0018569347657120816,0.0020262804628911903,1749.9992623852902,1.001995934701588,0.028608703223196367,0.11439253003768458,0.5997711174533806,0.22594308424380083,0.0008489328307379971,0.0004911147308938819,0.4935384058978255,0.14288796670332388,0.5503488119762198,0.1428875738870442,0.6078900878880045,0.14287906359435537,0.66199853228448,0.14282703711452244,0.6429417346066588,0.14283080612917892,0.6728384306756002,0.14281361675549165,0.5688418188448747,0.14287393581608349,h016_candidate,uniform,0.03,12.0,0.002263691374688798
0.001855911057202643,0.0019511212699446223,1.0,0.9976739339679677,0.0018569347657120816,0.0020262804628911903,1749.9992623852902,1.001995934701588,0.028608703223196367,0.11439253003768458,0.5997711174533806,0.22594308424380083,0.0008489328307379971,0.0004911147308938819,0.4935384058978255,0.14288796670332388,0.5503488119762198,0.1428875738870442,0.6078900878880045,0.14287906359435537,0.66199853228448,0.14282703711452244,0.6429417346066588,0.14283080612917892,0.6728384306756002,0.14281361675549165,0.5688418188448747,0.14287393581608349,h016_candidate,uniform,0.03,25.0,0.002263691374688798
0.001855911057202643,0.0019511212699446223,1.0,0.9976739339679677,0.0018569347657120816,0.0020262804628911903,1749.9992623852902,1.001995934701588,0.028608703223196367,0.11439253003768458,0.5997711174533806,0.22594308424380083,0.0008489328307379971,0.0004911147308938819,0.4935384058978255,0.14288796670332388,0.5503488119762198,0.1428875738870442,0.6078900878880045,0.14287906359435537,0.66199853228448,0.14282703711452244,0.6429417346066588,0.14283080612917892,0.6728384306756002,0.14281361675549165,0.5688418188448747,0.14287393581608349,h016_candidate,uniform,0.03,50.0,0.002263691374688798
