row,bundle_size,targets,flat_indices,steps,public_delta_estimate,public_utility,old_route_energy,new_route_energy,route_energy_delta,max_h088_alignment,min_stability,source_support_sum,solver_score
194,1,Q2,1359,"[(1359, 'Q2', -0.2756712402168704)]",-7.407076791586007e-05,7.407076791586007e-05,0.8036143653369592,0.7899904961714391,-0.013623869165520053,0.0,1.0,7,0.0005218175782925792
189,1,S3,1328,"[(1328, 'S3', 0.43855208005963525)]",-0.0002994759858653604,0.0002994759858653604,0.7409342680957336,0.7365803435085242,-0.004353924587209401,0.6091428571428571,1.0,7,0.0005138350481265772
200,1,S1,1403,"[(1403, 'S1', 0.38288203745304783)]",-0.00022115504702744523,0.00022115504702744523,0.7515558055596577,0.7437713616857814,-0.007784443873876334,0.6188571428571429,1.0,6,0.0005102282117626067
129,1,S3,908,"[(908, 'S3', -0.4263311122831517)]",-0.0002812785148009893,0.0002812785148009893,0.8456427230429656,0.8406387400255009,-0.0050039830174647415,0.6125714285714285,1.0,4,0.0004733491995087657
44,1,Q2,309,"[(309, 'Q2', -0.4548444044241263)]",-0.0002449249560279073,0.0002449249560279073,0.5880426420182794,0.5840586292041198,-0.00398401281415961,0.0,1.0,9,0.00045504898504521033
184,1,S1,1291,"[(1291, 'S1', 0.4951348496703227)]",-0.0003910914057746941,0.0003910914057746941,0.6840839009131192,0.6855720218397356,0.001488120926616432,0.6177142857142857,1.0,6,0.00039776738311523874
17,1,S1,122,"[(122, 'S1', 0.4425378402635246)]",-0.0003055330763714368,0.0003055330763714368,0.6371997392368175,0.6365369878472168,-0.000662751389600702,0.5542857142857143,1.0,6,0.00039528340395597676
191,1,S3,1342,"[(1342, 'S3', 0.3766934338295824)]",-0.00021317232227377784,0.00021317232227377784,0.7591871800972029,0.7555080316461613,-0.0036791484510415584,0.5828571428571429,1.0,6,0.00037448134837233523
56,1,Q2,393,"[(393, 'Q2', -0.5951648028129054)]",-0.00044623487022965136,0.00044623487022965136,0.6183313998519636,0.6215609184921148,0.0032295186401511966,0.0,1.0,6,0.0003692724953621185
138,1,S2,970,"[(970, 'S2', 0.3345428344956298)]",-0.00011352618647813213,0.00011352618647813213,0.6949810052254028,0.689104390910196,-0.005876614315206807,0.5017142857142857,1.0,8,0.00033586541560446666
136,1,Q2,953,"[(953, 'Q2', 0.6385299679573214)]",-0.0005204425350717776,0.0005204425350717776,0.9914358367916817,0.9972219035088543,0.005786066717172633,0.0,1.0,3,0.0002948148223809567
237,1,S4,1665,"[(1665, 'S4', -0.14237194881734594)]",-1.748589495231752e-05,1.748589495231752e-05,0.7636923658575034,0.7549882850466604,-0.008704080810843062,0.556,0.9615384615384616,4,0.00027383040365220945
94,1,S4,664,"[(664, 'S4', 0.339638110870709)]",-0.0001684044522731346,0.0001684044522731346,0.6656771403506413,0.6660378841823523,0.0003607438317110301,0.5885714285714285,1.0,6,0.00018674422646718084
137,1,S4,965,"[(965, 'S4', -0.10978133980792865)]",-6.717720954965022e-06,6.717720954965022e-06,0.9835033403095894,0.9776599307898971,-0.005843409519692311,0.0,0.9230769230769231,4,0.0001779848865817834
206,1,Q1,1442,"[(1442, 'Q1', -0.30182740085370896)]",-0.00010395983286336988,0.00010395983286336988,0.5988292345001405,0.5969277099140199,-0.0019015245861205843,0.6102857142857143,1.0,3,0.00017173807330457346
153,1,Q3,1073,"[(1073, 'Q3', -0.23103775546558838)]",-5.298078821519558e-05,5.298078821519558e-05,0.6597723539272723,0.6561758615733114,-0.0035964923539608673,0.6085714285714285,1.0,4,0.00016644187946040028
