q_source,row_prior,subset_size,label_mode,particles,best_mae,median_mae,best_spearman,lofo_mae,lofo_max_abs
h012posterior,h048_support_identity,45,temperature_sample,7,0.0014774097787936522,0.0040179521069445175,0.6601503759389403,0.0009637569539851871,0.004235437416871126
h012,uniform,59,sample,10,0.0010778638139105794,0.00220343987922826,0.8781954887205949,0.000965254448835259,0.002315244195189312
h041_route_private_tempered_q,h041_public_route,75,temperature_sample,7,0.001497715540959433,0.002570429914212429,0.7293233082696723,0.0009654496398994324,0.007638709363699268
h012,h048_support_identity_sharp,95,temperature_sample,7,0.0013926566983715662,0.00368236050228416,0.8676691729311359,0.0009666872199812799,0.0025865876224021797
h041_route_private_tempered_q,h041_public_not_private,75,sample,10,0.0010406702441604027,0.004080651192970982,0.7142857142847305,0.0009668098424020589,0.003393902453049387
h048_q2_support_phase_q,h041_public_not_private,155,temperature_sample,7,0.0011110097585979462,0.003423398830271909,0.7458646616531082,0.0009681373470028416,0.0028793247374817935
posterior_vector_mid,h041_public_not_private,75,temperature_sample,7,0.0010711374924131383,0.00619996122120519,0.8947368421040308,0.0009686632136867325,0.0026007511737845233
h041_route_private_tempered_q,h041_public_not_private,125,sample,10,0.0005572361137610913,0.003018522188897161,0.8255639097732991,0.0009693893427650056,0.0023671104930171397
h041_route_private_tempered_q,h048_public_core_tail,45,sample,10,0.0022720742217797467,0.003562755042224554,0.8165413533823339,0.0009697543093774095,0.00213081398434729
h048_q2_support_phase_q,h048_support_identity,155,temperature_sample,7,0.0012829020589388176,0.002749059928751113,0.9127819548859609,0.0009707549777963943,0.0025217918598286794
posterior_vector_mid,h048_support_q2regime,75,sample,10,0.0014792210128509648,0.0033302134522674182,0.957894736840786,0.0009712200655551612,0.0012608996282100172
h041_route_public_q,h041_memory_disagree_public,75,temperature_sample,7,0.001127394092623911,0.002241066224887549,0.8135338345853459,0.0009715762280235778,0.003981011830769252
h041_route_private_tempered_q,h041_public_route,125,temperature_sample,7,0.0013704658518051437,0.0021963056201307327,0.8857142857130659,0.0009719839155169965,0.0036989860890616413
h048_q2_public_soft_q,h041_public_not_private,190,sample,10,0.0007323331680344177,0.0030578919828025512,0.9263157894724086,0.0009720729284721449,0.0026256437089213786
h012posterior,h048_support_identity_sharp,75,temperature_sample,7,0.0012191729605555025,0.0030927093749377713,0.860150375938665,0.0009724917610840656,0.002507436788995572
