candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012,h048_world_delta_vs_h012,h048_world_iqr
h048_h042core_world_tail6_a0.66_0.34_c51_7a1935f8,submission_h048_h042core_world_tail6_a0.66_0.34_c51_7a1935f8.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.66_0.34_c51_7a1935f8.csv,h042core_world_tail6_a0.66_0.34,h042core_world_tail6_a0.66_0.34,2,51,51,0.004459679501494878,0.048488496918805524,0.020125745054274866,0.2954686075418076,-0.00017510190492833066,0.0007827978222378311,1.770776958553715e-06,-1.6414749122990225e-05,-5.524774426252868e-05,0.0009163975359534208
h048_h042core_world_tail6_a0.66_0.46_c51_721ef5a9,submission_h048_h042core_world_tail6_a0.66_0.46_c51_721ef5a9.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.66_0.46_c51_721ef5a9.csv,h042core_world_tail6_a0.66_0.46,h042core_world_tail6_a0.66_0.46,2,51,51,0.004498412384595082,0.048488496918805524,0.020295044792451738,0.2954686075418076,-0.00017520420550227054,0.0007871898294920358,1.5145042932184998e-06,-1.703886514161338e-05,-5.39827648434853e-05,0.0009301988954599555
h048_h042core_world_tail6_a0.78_0.06_c51_2f018121,submission_h048_h042core_world_tail6_a0.78_0.06_c51_2f018121.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.78_0.06_c51_2f018121.csv,h042core_world_tail6_a0.78_0.06,h042core_world_tail6_a0.78_0.06,2,51,51,0.005151421804662339,0.05640827282238181,0.02330272368873009,0.3491901725494082,-0.00019651877117157253,0.0009052381345797784,6.601319035260015e-06,-1.3076492338921012e-05,-5.671770595558985e-05,0.0010487080475984041
h048_h042core_world_tail6_a0.78_0.1_c51_95299d7d,submission_h048_h042core_world_tail6_a0.78_0.1_c51_95299d7d.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.78_0.1_c51_95299d7d.csv,h042core_world_tail6_a0.78_0.1,h042core_world_tail6_a0.78_0.1,2,51,51,0.005164367434303357,0.05640827282238181,0.02335915693478905,0.3491901725494082,-0.00019660228286247526,0.0009081029377126923,6.499716623895563e-06,-1.3303057098401026e-05,-5.63505628354776e-05,0.0010509912889648165
h048_h042core_world_tail6_a0.78_0.16_c51_8c62392d,submission_h048_h042core_world_tail6_a0.78_0.16_c51_8c62392d.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.78_0.16_c51_8c62392d.csv,h042core_world_tail6_a0.78_0.16,h042core_world_tail6_a0.78_0.16,2,51,51,0.005183778060575224,0.05640827282238181,0.02344380680387749,0.3491901725494082,-0.00019671595712925848,0.0009127848374208602,6.3511097648286755e-06,-1.3638561913667015e-05,-5.578705748975992e-05,0.0010553694302578367
h048_h042core_world_tail6_a0.78_0.24_c51_bc25ef33,submission_h048_h042core_world_tail6_a0.78_0.24_c51_bc25ef33.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.78_0.24_c51_bc25ef33.csv,h042core_world_tail6_a0.78_0.24,h042core_world_tail6_a0.78_0.24,2,51,51,0.0052096440462490404,0.05640827282238181,0.023556673295995402,0.3491901725494082,-0.00019684589211980556,0.0009168466410338619,6.160050477782941e-06,-1.4077796146981275e-05,-5.501185187954622e-05,0.001064268650155647
h048_h042core_world_tail6_a0.78_0.34_c51_01a1df6c,submission_h048_h042core_world_tail6_a0.78_0.34_c51_01a1df6c.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.78_0.34_c51_01a1df6c.csv,h042core_world_tail6_a0.78_0.34,h042core_world_tail6_a0.78_0.34,2,51,51,0.005241952117092456,0.05640827282238181,0.023697756411142804,0.3491901725494082,-0.00019697356939552942,0.000921874345949492,5.9326011843924225e-06,-1.461381270181168e-05,-5.4004513869026635e-05,0.0010772085295060933
h048_h042core_world_tail6_a0.78_0.46_c51_09aecf09,submission_h048_h042core_world_tail6_a0.78_0.46_c51_09aecf09.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.78_0.46_c51_09aecf09.csv,h042core_world_tail6_a0.78_0.46,h042core_world_tail6_a0.78_0.46,2,51,51,0.00528068500019266,0.05640827282238181,0.023867056149319672,0.3491901725494082,-0.00019707586996946927,0.0009301980308511852,5.676328519057209e-06,-1.5237928720434836e-05,-5.2739534449983284e-05,0.001091886998946137
h048_h042core_world_tail6_a0.92_0.06_c51_fbd92e71,submission_h048_h042core_world_tail6_a0.92_0.06_c51_fbd92e71.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.92_0.06_c51_fbd92e71.csv,h042core_world_tail6_a0.92_0.06,h042core_world_tail6_a0.92_0.06,2,51,51,0.006060243941744131,0.06530560317851364,0.0274700702717427,0.411865331724943,-0.00021826053016926189,0.001067732078140098,1.285067506020512e-05,-9.296415481305763e-06,-5.071443025768e-05,0.0012390055858515154
h048_h042core_world_tail6_a0.92_0.1_c51_3d0a953f,submission_h048_h042core_world_tail6_a0.92_0.1_c51_3d0a953f.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.92_0.1_c51_3d0a953f.csv,h042core_world_tail6_a0.92_0.1,h042core_world_tail6_a0.92_0.1,2,51,51,0.006073189571385147,0.06530560317851364,0.027526503517801656,0.411865331724943,-0.00021834404186016465,0.0010700319969249202,1.274907264884067e-05,-9.522980240785777e-06,-5.034728713756773e-05,0.0012415297970679202
h048_h042core_world_tail6_a0.92_0.16_c51_8668bcf2,submission_h048_h042core_world_tail6_a0.92_0.16_c51_8668bcf2.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.92_0.16_c51_8668bcf2.csv,h042core_world_tail6_a0.92_0.16,h042core_world_tail6_a0.92_0.16,2,51,51,0.006092600197657014,0.06530560317851364,0.027611153386890096,0.411865331724943,-0.00021845771612694783,0.0010739776242442128,1.2600465789773781e-05,-9.858485056051768e-06,-4.9783781791850076e-05,0.0012446152312838858
h048_h042core_world_tail6_a0.92_0.24_c51_827f6cf5,submission_h048_h042core_world_tail6_a0.92_0.24_c51_827f6cf5.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.92_0.24_c51_827f6cf5.csv,h042core_world_tail6_a0.92_0.24,h042core_world_tail6_a0.92_0.24,2,51,51,0.006118466183330831,0.06530560317851364,0.02772401987900801,0.411865331724943,-0.00021858765111749495,0.0010806945038638904,1.2409406502728045e-05,-1.0297719289366026e-05,-4.900857618163639e-05,0.0012488298695658927
h048_h042core_world_tail6_a0.92_0.34_c51_8a165405,submission_h048_h042core_world_tail6_a0.92_0.34_c51_8a165405.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.92_0.34_c51_8a165405.csv,h042core_world_tail6_a0.92_0.34,h042core_world_tail6_a0.92_0.34,2,51,51,0.006150774254174247,0.06530560317851364,0.02786510299415541,0.411865331724943,-0.0002187153283932188,0.001082294576892673,1.2181957209337529e-05,-1.083373584419643e-05,-4.8001238171116764e-05,0.0012617617619482043
h048_h042core_world_tail6_a0.92_0.46_c51_8d119c1a,submission_h048_h042core_world_tail6_a0.92_0.46_c51_8d119c1a.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail6_a0.92_0.46_c51_8d119c1a.csv,h042core_world_tail6_a0.92_0.46,h042core_world_tail6_a0.92_0.46,2,51,51,0.006189507137274451,0.06530560317851364,0.02803440273233228,0.411865331724943,-0.0002188176289671586,0.0010906859638358005,1.1925684544002314e-05,-1.1457851862819583e-05,-4.6736258752073425e-05,0.001276418861860253
h048_h042core_world_tail10_a0.58_0.06_c55_dd147c34,submission_h048_h042core_world_tail10_a0.58_0.06_c55_dd147c34.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.58_0.06_c55_dd147c34.csv,h042core_world_tail10_a0.58_0.06,h042core_world_tail10_a0.58_0.06,2,55,55,0.0038548169538319675,0.04305671614590323,0.017387525013849978,0.25965423087007267,-0.00015856346645204303,0.000675139140046834,3.0211435894025223e-07,-1.5382778597027115e-05,-5.675467913597287e-05,0.0007839584423283295
h048_h042core_world_tail10_a0.58_0.1_c55_4ac8d4c8,submission_h048_h042core_world_tail10_a0.58_0.1_c55_4ac8d4c8.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.58_0.1_c55_4ac8d4c8.csv,h042core_world_tail10_a0.58_0.1,h042core_world_tail10_a0.58_0.1,2,55,55,0.0038736197985026564,0.04305671614590323,0.017469393984286572,0.25965423087007267,-0.0001587553894979837,0.0006804806803969947,2.1282551296056157e-07,-1.5642108031693092e-05,-5.636979348400123e-05,0.0007881705569465923
h048_h042core_world_tail10_a0.58_0.16_c55_a19f4fce,submission_h048_h042core_world_tail10_a0.58_0.16_c55_a19f4fce.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.58_0.16_c55_a19f4fce.csv,h042core_world_tail10_a0.58_0.16,h042core_world_tail10_a0.58_0.16,2,55,55,0.0039018129509658488,0.04305671614590323,0.017592197439941462,0.25965423087007267,-0.00015902757492229364,0.0006816043446736446,8.343816292429482e-08,-1.6025132262454088e-05,-5.57755675660521e-05,0.0007912433512471275
h048_h042core_world_tail10_a0.58_0.24_c55_d023b557,submission_h048_h042core_world_tail10_a0.58_0.24_c55_d023b557.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.58_0.24_c55_d023b557.csv,h042core_world_tail10_a0.58_0.24,h042core_world_tail10_a0.58_0.24,2,55,55,0.003939382755279584,0.04305671614590323,0.01775593538081464,0.25965423087007267,-0.00015936119840575616,0.0006803104426795043,-8.059730174438674e-08,-1.652468977208182e-05,-5.495173952194347e-05,0.0007992452524552871
h048_h042core_world_tail10_a0.58_0.34_c55_a7ab3732,submission_h048_h042core_world_tail10_a0.58_0.34_c55_a7ab3732.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.58_0.34_c55_a7ab3732.csv,h042core_world_tail10_a0.58_0.34,h042core_world_tail10_a0.58_0.34,2,55,55,0.00398631047421764,0.04305671614590323,0.017960607806906125,0.25965423087007267,-0.0001597311859608035,0.000686773626681034,-2.7202168835916214e-07,-1.7131236060381335e-05,-5.3871319404300114e-05,0.000813010008036018
h048_h042core_world_tail10_a0.58_0.46_c55_a1fa81d9,submission_h048_h042core_world_tail10_a0.58_0.46_c55_a1fa81d9.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.58_0.46_c55_a1fa81d9.csv,h042core_world_tail10_a0.58_0.46,h042core_world_tail10_a0.58_0.46,2,55,55,0.00404257183872959,0.04305671614590323,0.018206214718215902,0.25965423087007267,-0.00016010623680792548,0.000689364706500551,-4.817741267273695e-07,-1.7832847652427712e-05,-5.250061285203258e-05,0.0008083629350798272
h048_h042core_world_tail10_a0.66_0.06_c55_7b8ab799,submission_h048_h042core_world_tail10_a0.66_0.06_c55_7b8ab799.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.66_0.06_c55_7b8ab799.csv,h042core_world_tail10_a0.66_0.06,h042core_world_tail10_a0.66_0.06,2,55,55,0.004377938277837078,0.048488496918805524,0.019768865918428608,0.2954686075418076,-0.00017481383177477157,0.0007680843192116893,2.457215702751595e-06,-1.4928204427826518e-05,-5.7938431357432954e-05,0.0008910410286047355
h048_h042core_world_tail10_a0.66_0.1_c55_d5fcc486,submission_h048_h042core_world_tail10_a0.66_0.1_c55_d5fcc486.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.66_0.1_c55_d5fcc486.csv,h042core_world_tail10_a0.66_0.1,h042core_world_tail10_a0.66_0.1,2,55,55,0.004396741122507767,0.048488496918805524,0.019850734888865205,0.2954686075418076,-0.00017500575482071233,0.0007714694314424132,2.3679268567719048e-06,-1.5187533862492491e-05,-5.7553545705461304e-05,0.000894972756723296
h048_h042core_world_tail10_a0.66_0.16_c55_53391893,submission_h048_h042core_world_tail10_a0.66_0.16_c55_53391893.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.66_0.16_c55_53391893.csv,h042core_world_tail10_a0.66_0.16,h042core_world_tail10_a0.66_0.16,2,55,55,0.00442493427497096,0.048488496918805524,0.019973538344520095,0.2954686075418076,-0.0001752779402450222,0.0007747808885356664,2.2385395067356394e-06,-1.557055809325349e-05,-5.695931978751219e-05,0.0009000964980082909
h048_h042core_world_tail10_a0.66_0.24_c55_54b859a8,submission_h048_h042core_world_tail10_a0.66_0.24_c55_54b859a8.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.66_0.24_c55_54b859a8.csv,h042core_world_tail10_a0.66_0.24,h042core_world_tail10_a0.66_0.24,2,55,55,0.004462504079284694,0.048488496918805524,0.020137276285393274,0.2954686075418076,-0.00017561156372848473,0.0007750454122185985,2.074504042066956e-06,-1.607011560288122e-05,-5.613549174340357e-05,0.0009071360940457461
h048_h042core_world_tail10_a0.66_0.34_c55_f2427bbc,submission_h048_h042core_world_tail10_a0.66_0.34_c55_f2427bbc.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.66_0.34_c55_f2427bbc.csv,h042core_world_tail10_a0.66_0.34,h042core_world_tail10_a0.66_0.34,2,55,55,0.00450943179822275,0.048488496918805524,0.02034194871148476,0.2954686075418076,-0.00017598155128353214,0.0007781548853317811,1.8830796554521795e-06,-1.6676661891180734e-05,-5.505507162576021e-05,0.0009200518579368237
h048_h042core_world_tail10_a0.66_0.46_c55_76a36b9b,submission_h048_h042core_world_tail10_a0.66_0.46_c55_76a36b9b.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.66_0.46_c55_76a36b9b.csv,h042core_world_tail10_a0.66_0.46,h042core_world_tail10_a0.66_0.46,2,55,55,0.004565693162734701,0.048488496918805524,0.02058755562279453,0.2954686075418076,-0.00017635660213065403,0.0007804059982402423,1.6733272170839737e-06,-1.737827348322711e-05,-5.368436507349271e-05,0.0009247180287792734
h048_h042core_world_tail10_a0.78_0.06_c55_4350f29b,submission_h048_h042core_world_tail10_a0.78_0.06_c55_4350f29b.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.78_0.06_c55_4350f29b.csv,h042core_world_tail10_a0.78_0.06,h042core_world_tail10_a0.78_0.06,2,55,55,0.005160210893434655,0.05640827282238181,0.023340877275296545,0.3491901725494082,-0.00019668549624197036,0.0009073182972668312,6.619039928590303e-06,-1.3127268006647972e-05,-5.669520096393095e-05,0.0010518356673712228
h048_h042core_world_tail10_a0.78_0.1_c55_ca49e4a4,submission_h048_h042core_world_tail10_a0.78_0.1_c55_ca49e4a4.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.78_0.1_c55_ca49e4a4.csv,h042core_world_tail10_a0.78_0.1,h042core_world_tail10_a0.78_0.1,2,55,55,0.005179013738105345,0.05640827282238181,0.02342274624573314,0.3491901725494082,-0.00019687741928791104,0.0009105417577341735,6.529751082610613e-06,-1.3386597441313947e-05,-5.631031531195929e-05,0.0010561829980179818
h048_h042core_world_tail10_a0.78_0.16_c55_02f6e28d,submission_h048_h042core_world_tail10_a0.78_0.16_c55_02f6e28d.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.78_0.16_c55_02f6e28d.csv,h042core_world_tail10_a0.78_0.16,h042core_world_tail10_a0.78_0.16,2,55,55,0.005207206890568537,0.05640827282238181,0.023545549701388026,0.3491901725494082,-0.0001971496047122209,0.0009128750530929348,6.400363732574347e-06,-1.3769621672074946e-05,-5.571608939401017e-05,0.0010613582582170912
h048_h042core_world_tail10_a0.78_0.24_c55_6a6c437b,submission_h048_h042core_world_tail10_a0.78_0.24_c55_6a6c437b.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.78_0.24_c55_6a6c437b.csv,h042core_world_tail10_a0.78_0.24,h042core_world_tail10_a0.78_0.24,2,55,55,0.005244776694882273,0.05640827282238181,0.02370928764226121,0.3491901725494082,-0.0001974832281956835,0.0009174853973924141,6.2363282679056655e-06,-1.4269179181702677e-05,-5.489226134990155e-05,0.0010662060494224866
h048_h042core_world_tail10_a0.78_0.34_c55_0df3562b,submission_h048_h042core_world_tail10_a0.78_0.34_c55_0df3562b.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.78_0.34_c55_0df3562b.csv,h042core_world_tail10_a0.78_0.34,h042core_world_tail10_a0.78_0.34,2,55,55,0.005291704413820327,0.05640827282238181,0.023913960068352693,0.3491901725494082,-0.00019785321575073084,0.0009156910634115093,6.044903881290887e-06,-1.487572547000219e-05,-5.381184123225822e-05,0.0010779565631631812
h048_h042core_world_tail10_a0.78_0.46_c55_148eb981,submission_h048_h042core_world_tail10_a0.78_0.46_c55_148eb981.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.78_0.46_c55_148eb981.csv,h042core_world_tail10_a0.78_0.46,h042core_world_tail10_a0.78_0.46,2,55,55,0.0053479657783322785,0.05640827282238181,0.02415956697966247,0.3491901725494082,-0.00019822826659785282,0.0009252122720722259,5.83515144292268e-06,-1.557733706204857e-05,-5.2441134679990665e-05,0.0010971815474455832
h048_h042core_world_tail10_a0.92_0.06_c55_330b7fac,submission_h048_h042core_world_tail10_a0.92_0.06_c55_330b7fac.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.92_0.06_c55_330b7fac.csv,h042core_world_tail10_a0.92_0.06,h042core_world_tail10_a0.92_0.06,2,55,55,0.006069033030516447,0.06530560317851364,0.02750822385830915,0.411865331724943,-0.0002184272552396597,0.0010684021843546277,1.2868395953535407e-05,-9.34719114903272e-06,-5.069192526602109e-05,0.0012422417389647627
h048_h042core_world_tail10_a0.92_0.1_c55_ef7bea0e,submission_h048_h042core_world_tail10_a0.92_0.1_c55_ef7bea0e.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.92_0.1_c55_ef7bea0e.csv,h042core_world_tail10_a0.92_0.1,h042core_world_tail10_a0.92_0.1,2,55,55,0.006087835875187135,0.06530560317851364,0.027590092828745746,0.411865331724943,-0.0002186191782856004,0.0010738474331832648,1.2779107107555719e-05,-9.606520583698698e-06,-5.030703961404942e-05,0.0012456116335168496
h048_h042core_world_tail10_a0.92_0.16_c55_91948f79,submission_h048_h042core_world_tail10_a0.92_0.16_c55_91948f79.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.92_0.16_c55_91948f79.csv,h042core_world_tail10_a0.92_0.16,h042core_world_tail10_a0.92_0.16,2,55,55,0.0061160290276503285,0.06530560317851364,0.027712896284400636,0.411865331724943,-0.0002188913637099103,0.0010766785093963634,1.2649719757519453e-05,-9.989544814459694e-06,-4.971281369610033e-05,0.0012477297761146664
h048_h042core_world_tail10_a0.92_0.24_c55_2f93e8ce,submission_h048_h042core_world_tail10_a0.92_0.24_c55_2f93e8ce.csv,/Users/kbsoo/Downloads/cl2/hitl/h048_q2_public_subset_support_world_jepa/submission_h048_h042core_world_tail10_a0.92_0.24_c55_2f93e8ce.csv,h042core_world_tail10_a0.92_0.24,h042core_world_tail10_a0.92_0.24,2,55,55,0.0061535988319640625,0.06530560317851364,0.027876634225273814,0.411865331724943,-0.00021922498719337288,0.0010805835678278247,1.248568429285077e-05,-1.0489102324087426e-05,-4.8888985651991696e-05,0.0012560918092684552
