particle,q_source,row_prior,subset_size,label_mode,mae,rmse,max_abs,spearman,mean_pred_delta,std_pred_delta
8082,h048_q2_support_phase_q,h041_public_not_private,155,sample,0.005021678958141423,0.005168009567990813,0.0075663649063762,0.47669172932265164,0.004359236486858532,0.000945939618073225
425,h012,h041_memory_disagree_public,45,sample,0.0050218852696582335,0.005432650563964351,0.01105932359520104,0.49774436090157004,0.013841020015948719,0.0037972085005509196
1033,h012,h048_support_public_not_private,75,temperature_sample,0.005022499221060468,0.005218324117218539,0.007104451792112371,0.9353383458633735,0.0044813017274322395,0.0026902077961328545
11760,h048_q2_public_soft_q,h048_support_public_not_private,45,sample,0.005023448057147325,0.005489193648865749,0.012813704646594173,0.7654135338335322,0.01440436350214728,0.0030321658949628485
7730,h048_q2_support_phase_q,uniform,59,temperature_sample,0.005024339993090963,0.005663188541963806,0.009913544094205659,-0.5127819548865117,0.004356575451908991,0.0017934493058576631
8621,h048_q2_support_phase_q,h048_support_public,125,sample,0.005024440152274328,0.005156327575231515,0.008040656805801034,0.6812030075178588,0.004356475292725625,0.0005743170660480041
2051,h012posterior,h041_memory_disagree_public,125,temperature_sample,0.005025036649434584,0.005241073188949282,0.009086937685227274,0.4992481203000642,0.00435587879556537,0.002167826729681238
11842,h048_q2_public_soft_q,h048_support_public_not_private,125,sample,0.005026382493217438,0.00513474240290501,0.006857490015503419,0.8255639097732992,0.004354532951782517,0.001933750382767832
2807,h012posterior,h048_core_tail_prior,45,sample,0.005026624918177898,0.005186400199264342,0.006800772404782225,0.7218045112772012,0.004354290526822057,0.002468255731442245
1854,h012posterior,h041_public_not_private,59,temperature_sample,0.005027028283960065,0.00525675266320687,0.008598493322748906,0.6511278195479754,0.014340791689564068,0.0017123628034991243
7333,h041_route_private_tempered_q,h048_support_q2regime,75,temperature_sample,0.0050271119310411,0.005189002878798083,0.008719323108964644,0.5819548872172435,0.004353803513958855,0.001485120932241367
8164,h048_q2_support_phase_q,h041_memory_disagree_public,75,sample,0.005030997056128296,0.005260717353523431,0.006665120851550074,0.4375939849618032,0.014411912501128252,0.001485854027535857
1536,h012,h048_public_core_tail,190,temperature_sample,0.0050310925909059,0.005118496502891559,0.00785165532713628,0.7112781954877422,0.004349822854094054,0.0014160994022555226
2856,h012posterior,h048_core_tail_prior,75,temperature_sample,0.005031133649885057,0.005403774635080156,0.01119303514590907,0.6195488721795979,0.004349781795114896,0.0021712133461121268
4667,h041_route_public_q,uniform,75,sample,0.005031362543952841,0.005393534674298947,0.012866674837719796,0.5609022556383252,0.004349552901047113,0.0019303190112244547
8273,h048_q2_support_phase_q,h048_support_identity,45,temperature_sample,0.005033392672998742,0.0055541498686346395,0.011017189087907778,0.6796992481193646,0.014414308117998698,0.003378190609037407
10703,h048_q2_coretail_q,h048_public_core_tail,95,sample,0.00503389598489163,0.005341435560295136,0.010964347164311338,0.6436090225555045,0.014414811429891584,0.002682493066174404
376,h012,h041_public_not_private,125,temperature_sample,0.005035031754448197,0.005237810245732946,0.009559198484479349,0.5398496240594068,0.0043458836905517564,0.0009749905512168971
10204,h048_q2_coretail_q,h048_support_public,190,sample,0.005035198993696564,0.00509690066560793,0.006597251976041785,0.9082706766904783,0.004345716451303391,0.0010414930043076609
764,h012,h048_support_identity_sharp,95,sample,0.005035609316870848,0.005132468097574519,0.007786964981961264,0.5729323308262786,0.0043453061281291065,0.0018975551360595336
12127,h048_q2_public_soft_q,h048_core_tail_prior,125,sample,0.005035659916364301,0.005206967180525891,0.007158984817253287,0.5187969924804885,0.004345255528635654,0.0014937324551077837
793,h012,h048_support_identity_sharp,125,temperature_sample,0.00503668993598324,0.005190021532405752,0.008183776024643215,0.6255639097735745,0.004344225509016714,0.0012033386756074268
9665,h048_q2_coretail_q,h041_memory_disagree_public,45,sample,0.005036697776150381,0.005297161570638671,0.00828774370290965,0.4977443609015701,0.004487881941842022,0.0026357059786381084
1131,h012,h048_support_q2regime,45,temperature_sample,0.005036770729793005,0.005321706211035804,0.010549929826581232,0.559398496239831,0.0043441447152069495,0.002619288165108891
2463,h012posterior,h048_support_public,125,sample,0.0050374520741988905,0.005257857301052468,0.00699854536179402,0.3142857142852814,0.014418367519198847,0.0012841757649594888
10843,h048_q2_public_soft_q,uniform,95,sample,0.005038453754220894,0.0053416629234398225,0.00988008774314356,0.8796992481190892,0.01441936919922085,0.0028770350632333097
11455,h048_q2_public_soft_q,h048_support_identity,155,temperature_sample,0.005038900289856976,0.005103810233265921,0.006608729255935166,0.8120300751868516,0.004342015155142978,0.0016251328890040631
6520,h041_route_private_tempered_q,h041_public_not_private,125,sample,0.005039772532866207,0.0053856831856253715,0.011211663507787488,0.31729323308226975,0.004341142912133747,0.0021389102186358576
4720,h041_route_public_q,uniform,155,sample,0.005040478937140222,0.005160496160919321,0.0071619554124914275,0.5924812030067027,0.004340436507859732,0.0015174268903475243
