rowposterior_delta_vs_h012,uniform_row_delta_vs_h012,rowposterior_beats_rate,rowposterior_p90_row_delta,candidate_id,mode,target_subset,row_k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowposterior_delta_vs_h012,h018_uniform_row_delta_vs_h012,h019_decision,decision_rank,file
-0.0005336773718253774,-0.0004914068193110666,0.864,0.0,inclusion_all_r210_a0.75,inclusion,all,210,0.75,210,1470,0.007273759121935069,0.08739248873299255,0.003952661028310378,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r210_a0.75_de745234.csv
-0.0005336773718253774,-0.0004914068193110666,0.864,0.0,lift_all_r210_a0.75,lift,all,210,0.75,210,1470,0.007273759121935069,0.08739248873299255,0.003952661028310378,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r210_a0.75_de745234.csv
-0.0005247350159318553,-0.0004756412071089756,0.764,0.0,inclusion_all_r180_a1,inclusion,all,180,1.0,180,1260,0.008415988956709617,0.11298815705193355,0.0028104311935358405,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r180_a1_ff6b96c2.csv
-0.0005247350159318553,-0.0004756412071089756,0.764,0.0,lift_all_r180_a1,lift,all,180,1.0,180,1260,0.008415988956709617,0.11298815705193355,0.0028104311935358405,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r180_a1_ff6b96c2.csv
-0.0005205099818557784,-0.0004834100268613809,0.792,0.0,gain_all_r180_a1.25,gain,all,180,1.25,180,1260,0.011092803692946442,0.13669790015525174,0.0044944143324898754,0.026195921908804154,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r180_a1.25_7fc08d66.csv
-0.0005198267695817591,-0.0004828328913941055,0.792,0.0,gain_all_r180_a0.75,gain,all,180,0.75,180,1260,0.006714114663740984,0.08739248873299255,0.004512305486504465,0.026334951791288752,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r180_a0.75_ce6ce9d1.csv
-0.0005125171785636429,-0.00046975750944132166,0.692,0.0,gain_all_r150_a1,gain,all,150,1.0,150,1050,0.007663307418396496,0.11298815705193355,0.0035631127318489627,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r150_a1_3cd059bd.csv
-0.0005112647877594078,-0.00046727540452368605,0.776,0.0,row_score_all_r180_a1.25,row_score,all,180,1.25,180,1260,0.010658404691526598,0.13669790015525174,0.004756111625691732,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r180_a1.25_49a32309.csv
-0.0005105774123766425,-0.00046669582117681013,0.776,0.0,row_score_all_r180_a0.75,row_score,all,180,0.75,180,1260,0.006452709582604713,0.08739248873299255,0.004773710567640736,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r180_a0.75_415b9869.csv
-0.000503159843854383,-0.00045395653097987144,0.676,0.0,row_score_all_r150_a1,row_score,all,150,1.0,150,1050,0.0073933809842815735,0.11298815705193355,0.0038330391659638836,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,row_subset_sensor,1,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r150_a1_2c2671d5.csv
-0.0004938107579081063,-0.00044745123661386644,0.764,0.0,inclusion_all_r180_a1.25,inclusion,all,180,1.25,180,1260,0.01047590584991612,0.13669790015525174,0.004870348086742336,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r180_a1.25_f1000fa8.csv
-0.0004938107579081063,-0.00044745123661386644,0.764,0.0,lift_all_r180_a1.25,lift,all,180,1.25,180,1260,0.01047590584991612,0.13669790015525174,0.004870348086742336,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r180_a1.25_f1000fa8.csv
-0.0004931562803296797,-0.0004469095494545084,0.764,0.0,inclusion_all_r180_a0.75,inclusion,all,180,0.75,180,1260,0.00633954354403357,0.08739248873299255,0.004886876606211877,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r180_a0.75_7ede98c1.csv
-0.0004931562803296797,-0.0004469095494545084,0.764,0.0,lift_all_r180_a0.75,lift,all,180,0.75,180,1260,0.00633954354403357,0.08739248873299255,0.004886876606211877,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r180_a0.75_7ede98c1.csv
-0.0004906350426226828,-0.0004613491022326861,0.972,-0.00017241157379751197,gain_all_r240_a0.55,gain,all,240,0.55,240,1680,0.006093782345706116,0.06558874566176454,0.005132637804539329,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r240_a0.55_c530b14c.csv
-0.0004890133881935096,-0.0004587715370697834,0.964,-0.00015341218340952088,row_score_all_r240_a0.55,row_score,all,240,0.55,240,1680,0.0060489317748381195,0.06558874566176454,0.005177488375407324,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r240_a0.55_9b08a266.csv
-0.0004856524029710763,-0.00045423343589906306,0.96,-0.00013860683017603335,inclusion_all_r240_a0.55,inclusion,all,240,0.55,240,1680,0.005988443041957347,0.06558874566176454,0.0052379771082880985,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r240_a0.55_c263d3f3.csv
-0.0004856524029710763,-0.00045423343589906306,0.96,-0.00013860683017603335,lift_all_r240_a0.55,lift,all,240,0.55,240,1680,0.005988443041957347,0.06558874566176454,0.0052379771082880985,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r240_a0.55_c263d3f3.csv
-0.00048241813383478253,-0.00044201418648192383,0.692,0.0,gain_all_r150_a1.25,gain,all,150,1.25,150,1050,0.00953345662787285,0.13669790015525174,0.005433261941325311,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r150_a1.25_fb94f846.csv
